id,grounUnit,eventLimit,unitEventLimit,itemUnitWeight,itemUnitLimit,shopUnitWeight,shopUnitLimt,recoverUnitWeight,recoverUnitLimt,monsterUnitWeight,monsterUnitLimt,specialUnitWeght,specialUnitLimit,lastMapRange,mapRange,extraBlockNum,
94,22,54,3,100,34,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,3,
95,22,54,3,100,34,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,3,
96,22,54,3,100,34,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,3,
97,22,54,3,100,38,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,3,
98,23,56,3,100,38,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,4,
99,23,56,3,100,38,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,4,
100,23,56,3,100,38,100,4,50,5,200,24,10,1,s==5|14|19,s==5|20|37,4,
101,23,57,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,4,
102,23,57,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,4,
103,23,57,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,4,
104,24,59,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,5,
105,24,59,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,5,
106,24,59,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,5,
107,24,59,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,5,
108,24,59,3,100,38,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,5,
109,24,59,3,100,42,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,5,
110,25,61,3,100,42,100,5,50,5,200,26,10,1,s==5|14|19,s==5|20|37,6,
111,25,62,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,6,
112,25,62,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,6,
113,25,62,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,6,
114,25,62,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,6,
115,25,62,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,6,
116,26,64,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,7,
117,26,64,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,7,
118,26,64,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,7,
119,26,64,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,7,
120,26,64,3,100,42,100,5,50,5,200,28,10,1,s==5|14|19,s==5|20|37,7,
121,26,65,3,100,46,100,5,50,5,200,30,10,1,s==5|14|19,s==5|20|37,7,
122,27,67,3,100,46,100,5,50,5,200,30,10,1,s==5|14|19,s==5|20|37,8,
123,27,67,3,100,46,100,5,50,5,200,30,10,1,s==5|14|19,s==5|20|37,8,
124,27,67,3,100,46,100,5,50,5,200,30,10,1,s==5|14|19,s==5|20|37,8,
125,27,67,3,100,46,100,5,50,5,200,30,10,1,s==5|14|19,s==5|20|37,8,
126,27,67,3,100,46,100,6,50,5,200,30,10,1,s==5|14|19,s==5|20|37,8,
127,27,67,3,100,46,100,6,50,5,200,30,10,1,s==5|14|19,s==5|20|37,8,
128,28,69,3,100,46,100,6,50,5,200,30,10,1,s==5|14|19,s==5|20|37,9,
129,28,69,3,100,46,100,6,50,5,200,30,10,1,s==5|14|19,s==5|20|37,9,
130,28,69,3,100,46,100,6,50,5,200,30,10,1,s==5|14|19,s==5|20|37,9,
131,28,70,3,100,46,100,6,50,5,200,32,10,1,s==5|14|19,s==5|20|37,9,
132,28,70,3,100,46,100,6,50,5,200,32,10,1,s==5|14|19,s==5|20|37,9,
133,28,70,3,100,50,100,6,50,5,200,32,10,1,s==5|14|19,s==5|20|37,9,
134,29,72,3,100,50,100,6,50,5,200,32,10,1,s==5|14|19,s==5|20|37,10,
135,29,72,3,100,50,100,6,50,5,200,32,10,1,s==5|14|19,s==5|20|37,10,
136,29,72,3,100,50,100,6,50,6,200,32,10,1,s==5|14|19,s==5|20|37,10,
137,29,72,3,100,50,100,6,50,6,200,32,10,1,s==5|14|19,s==5|20|37,10,
138,29,72,3,100,50,100,6,50,6,200,32,10,1,s==5|14|19,s==5|20|37,10,
139,29,72,3,100,50,100,6,50,6,200,32,10,1,s==5|14|19,s==5|20|37,10,
140,30,74,3,100,50,100,6,50,6,200,32,10,1,s==5|14|19,s==5|20|37,11,
141,30,75,3,100,50,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,11,
142,30,75,3,100,50,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,11,
143,30,75,3,100,50,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,11,
144,30,75,3,100,50,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,11,
145,30,75,3,100,54,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,11,
146,31,77,3,100,54,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,12,
147,31,77,3,100,54,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,12,
148,31,77,3,100,54,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,12,
149,31,77,3,100,54,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,12,
150,31,77,3,100,54,100,6,50,6,200,34,10,1,s==5|14|19,s==5|20|37,12,
151,31,78,3,100,54,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,12,
152,32,80,3,100,54,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,13,
153,32,80,3,100,54,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,13,
154,32,80,3,100,54,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,13,
155,32,80,3,100,54,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,13,
156,32,80,3,100,54,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,13,
157,32,80,3,100,58,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,13,
158,33,82,3,100,58,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,14,
159,33,82,3,100,58,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,14,
160,33,82,3,100,58,100,7,50,6,200,36,10,1,s==5|14|19,s==5|20|37,14,
161,33,83,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,14,
162,33,83,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,14,
163,33,83,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,14,
164,34,85,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,15,
165,34,85,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,15,
166,34,85,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,15,
167,34,85,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,15,
168,34,85,3,100,58,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,15,
169,34,85,3,100,62,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,15,
170,35,87,3,100,62,100,7,50,6,200,38,10,1,s==5|14|19,s==5|20|37,16,
171,35,88,3,100,62,100,7,50,6,200,40,10,1,s==5|14|19,s==5|20|37,16,
172,35,88,3,100,62,100,7,50,6,200,40,10,1,s==5|14|19,s==5|20|37,16,
173,35,88,3,100,62,100,7,50,6,200,40,10,1,s==5|14|19,s==5|20|37,16,
174,35,88,3,100,62,100,7,50,6,200,40,10,1,s==5|14|19,s==5|20|37,16,
175,35,88,3,100,62,100,7,50,6,200,40,10,1,s==5|14|19,s==5|20|37,16,
176,36,90,3,100,62,100,8,50,6,200,40,10,1,s==5|14|19,s==5|20|37,17,
177,36,90,3,100,62,100,8,50,6,200,40,10,1,s==5|14|19,s==5|20|37,17,
178,36,90,3,100,62,100,8,50,6,200,40,10,1,s==5|14|19,s==5|20|37,17,
179,36,90,3,100,62,100,8,50,6,200,40,10,1,s==5|14|19,s==5|20|37,17,
180,36,90,3,100,62,100,8,50,6,200,40,10,1,s==5|14|19,s==5|20|37,17,
181,36,91,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,17,
182,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
183,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
184,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
185,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
186,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
187,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
188,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
189,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
190,37,93,3,100,66,100,8,50,7,200,42,10,1,s==5|14|19,s==5|20|37,18,
191,37,94,3,100,66,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
192,37,94,3,100,66,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
193,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
194,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
195,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
196,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
197,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
198,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
199,37,94,3,100,70,100,8,50,7,200,44,10,1,s==5|14|19,s==5|20|37,18,
