id,name,time,iconid,armpoint,addPro-type-1,addPro-way-1,addPro-value-1,addPro-type-2,addPro-way-2,addPro-value-2,addPro-type-3,addPro-way-3,addPro-value-3,addPro-type-4,addPro-way-4,addPro-value-4,ActivatioCondition,convert,useLimit,dwkShow,hideKuang,
30028,s==19|Quốc Vận Xương Long,0,30028,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30107|1,,,,
30029,s==18|Ngạo Thị Quần Hùng,0,30029,0|0,,,,,,,,,,,,,s==65|Mua trong thương trường võ đấu ， cần đứng đầu khu chiến Quần Hùng,,,,,
30030,s==15|Duy Ngã Độc Tôn,0,30030,0|0,,,,,,,,,,,,,s==65|Mua trong thương trường võ đấu ， cần đứng đầu khu chiến Vương Hầu,,,,,
30031,s==18|Tùy Thân Thông Bảo,0,30031,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30032,s==13|Cẩm Tú Tân Hỷ,0,30032,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30108|1,,,,
30033,s==20|Nghênh Xuân Nạp Phúc,0,30033,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30109|1,,,,
30034,s==19|Sách Hoạch Tế Thiên,0,30034,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30035,s==22|Nhân Nguyệt Lưỡng Viên,0,30035,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30110|1,,,,
30036,s==18|Thanh Liễu Ảnh Môn,0,30036,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30111|1,,,,
30037,s==16|Bách Vạn Hùng Sư,0,30037,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30112|1,,,,
30038,s==15|Long Chu Thị Vũ,0,30038,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30113|1,,,,
30039,s==21|Thành Phượng Phá Lãng,0,30039,0|0,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30040,s==19|Hợp Tùng Liên Hoành,0,30040,0|0,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30041,s==21|Tình Thiên Triều Nhan,0,30041,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30114|1,,,,
75003,s==18|Quy Triều Tụ Nghĩa,0,75003,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30042,s==20|Diễm Diễm Sinh Huỳnh,0,30042,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30043,s==19|Vãng Tích Kim Triều,0,30043,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30121|1,,,,
30044,s==17|Kỷ Niệm·Nhất Niên,0,30044,0|0,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30045,s==14|Thế Kỷ Kim Cầu,0,30045,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30046,s==15|Sư Vũ Hiến Thụy,0,30046,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30047,s==21|Tình Thiên Nhất Tuyến,0,30047,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30115|1,,,,
30048,s==16|Thái Cực Mông Hổ,0,30048,,,,,,,,,,,,,,s==27|Thu Thập Qua Ưu Đãi Nạp Đầu,2|30116|1,,,,
30051,s==15|Đồng Tâm Vị Mẫn,0,30051,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30119|1,,,,
30049,s==13|Đại Ngoạn Gia,0,30049,5|-1,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,s==3|1,3,1,,
30050,s==22|Siêu Cấp Đại Ngoạn Gia,0,30050,0|0,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,s==3|1,4,1,,
30052,s==20|Quốc Sắc Thiên Hương,2592000,30052,0|0,,,,,,,,,,,,,s==69|Hoạt động Thề Ước Hoa Nương ， nhận được khi xếp hạng 1-5 bảng thu hoa,,,,1,
30053,s==18|Quế Phức Lan Hương,2592000,30053,0|0,,,,,,,,,,,,,s==70|Hoạt động Thề Ước Hoa Nương ， nhận được khi xếp hạng 6-10 bảng thu hoa,,,,,
30054,s==15|Ám Hương Sơ Ảnh,2592000,30054,0|0,,,,,,,,,,,,,s==72|Hoạt động Thề Ước Hoa Nương ， nhận được khi xếp hạng 11-100 bảng thu hoa,,,,,
30055,s==17|Vạn Tử Thiên Hồng,2592000,30055,0|0,,,,,,,,,,,,,s==70|Hoạt động Thề Ước Hoa Nương ， nhận được khi xếp hạng 1-5 bảng tặng hoa,,,,1,
30056,s==16|Hoa Đoàn Cẩm Túc,2592000,30056,0|0,,,,,,,,,,,,,s==71|Hoạt động Thề Ước Hoa Nương ， nhận được khi xếp hạng 6-10 bảng tặng hoa,,,,,
30057,s==15|Sắc Tử Yên Hồng,2592000,30057,0|0,,,,,,,,,,,,,s==72|Hoạt động Thề Ước Hoa Nương ， nhận được khi xếp hạng 11-30 bảng tặng hoa,,,,,
30058,s==18|Đế Tôn Vương Quyền,0,30058,0|0,,,,,,,,,,,,,s==17|Đạt Đế Vương Nhận,,,,,
30059,s==19|Hạ Nhật Phần Phương,0,30059,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30120|1,,,,
30060,s==18|Tùng Hạc Diên Niên,0,30060,,,,,,,,,,,,,,s==35|Thu Thập Qua Kích Hoạt Thẻ Trọn Đời,,,,,
30061,s==17|Kỷ Niệm · Nhị Tải,0,30061,0|0,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30062,s==16|Tinh Hán Sán Lạn,0,30062,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30063,s==16|Vạn Thánh Tế Đàn,0,30063,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30122|1,,,,
30064,s==20|Băng Thiên Tuyết Địa,0,30064,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30123|1,,,,
30065,s==18|Mai Hoa Ngạo Tuyết,0,30065,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30124|1,,,,
30066,s==16|Mệnh Định Chi Tử,0,30066,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30067,s==15|Long Sư Vũ Động,0,30067,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30125|1,,,,
