name,value,desc,
s==18|unionNoticeNeedVIP,s==1|3,s==9|Quân Đoàn,
s==20|unionNoticeNeedlevel,s==2|50,s==9|Quân Đoàn,
s==19|unionCreateVipLimit,s==1|2,s==9|Quân Đoàn,
s==18|unionCreateConsume,s==3|100,s==9|Quân Đoàn,
s==19|unionJoinLevelLimit,s==19|1|10|20|30|40|50|60,s==9|Quân Đoàn,
s==24|unionNameExchangeConsume,s==3|500,s==9|Quân Đoàn,
s==25|unionRecruitNoticeFreeNum,s==1|1,s==9|Quân Đoàn,
s==25|unionRecruitNoticeConsume,s==6|1|9|50,s==9|Quân Đoàn,
s==15|unionExchangeCD,s==3|1|1,s==9|Quân Đoàn,
s==23|unionMasterExchangeTime,s==3|2|3,s==9|Quân Đoàn,
s==26|unionMasterExchangeConsume,s==7|300|500,s==9|Quân Đoàn,
s==15|unionAssembleCD,s==1|4,s==9|Quân Đoàn,
s==14|unionBuffMaxLv,s==2|15,s==9|Quân Đoàn,
s==24|unionCopyHurtRankLikeNum,s==1|3,s==9|Quân Đoàn,
s==27|unionCopyHurtRankLikeReward,s==8|1|8|3000,s==9|Quân Đoàn,
s==18|unionTecLevelLimit,s==5|78|78,s==9|Quân Đoàn,
s==18|unionTecResetFirst,s==7|1|9|100,s==9|Quân Đoàn,
s==20|unionTecResetConsume,s==7|1|9|100,s==9|Quân Đoàn,
s==24|unionTecResetCoefficient,s==1|8,s==9|Quân Đoàn,
s==24|unionRedpacketGrantLimit,s==8|30|20|10,s==9|Quân Đoàn,
s==27|unionRedpacketMoneyMinLimit,s==3|100,s==9|Quân Đoàn,
s==16|unionSysPortrait,s==5|30002,s==9|Quân Đoàn,
s==22|unionCopyFreeChallenge,s==1|3,s==9|Quân Đoàn,
s==21|unionCopyBuyChallenge,s==19|1:20|2:30|3:40|4:50,s==9|Quân Đoàn,
s==13|unionLogLimit,s==2|50,s==9|Quân Đoàn,
s==14|unionMailLimit,s==1|1,s==9|Quân Đoàn,
s==15|unionBuffReward,s==8|1|17|100,s==9|Quân Đoàn,
s==21|templeChallengeFailCD,s==2|20,s==12|Vũ Thần Điện,
s==11|cutCopyAuto,s==1|3,s==15|Thiên Lý Đơn Kỵ,
s==16|cutCopyPassLimit,s==13|0:0|1:15|2:15,s==15|Thiên Lý Đơn Kỵ,
s==17|cutCopyPowerLimit,s==16|1|800000|1500000,s==15|Thiên Lý Đơn Kỵ,
s==21|cutCopyHirePowerLimit,s==3|1.5,s==15|Thiên Lý Đơn Kỵ,
s==19|cutCopyHireNumLimit,s==1|3,s==15|Thiên Lý Đơn Kỵ,
s==16|cutSupportReward,s==17|1,8,10000|1,12,10,s==15|Thiên Lý Đơn Kỵ,
s==19|cutDailyReviveCount,s==1|2,s==15|Thiên Lý Đơn Kỵ,
s==25|cutActivityRewardAddition,s==4|1000,s==15|Thiên Lý Đơn Kỵ,
s==21|cutCopyHeroReviveCost,s==6|1|9|50,s==15|Thiên Lý Đơn Kỵ,
s==22|shrineReturnRandomChip,s==42|1:3100|2:3200|3:3300|4:3400|5:3500|10:3015,s==20|Chuyển Sinh Thần Đàn,
s==22|shrineReturnselectChip,s==42|1:1478|2:1479|3:1480|4:1481|5:1482|10:1481,s==20|Chuyển Sinh Thần Đàn,
s==21|shrineRebornStarLimit,s==5|7|8|9,s==20|Chuyển Sinh Thần Đàn,
s==16|shrineRebornProp,s==4|1053,s==20|Chuyển Sinh Thần Đàn,
s==19|shrineRebornPropNum,s==14|7:10|8:20|9:30,s==20|Chuyển Sinh Thần Đàn,
s==23|shrineExchangeStarLimit,s==14|10|11|12|13|14,s==20|Chuyển Sinh Thần Đàn,
s==18|shrineExchangeProp,s==4|1054,s==20|Chuyển Sinh Thần Đàn,
s==21|shrineExchangePropNum,s==29|10:10|11:20|12:30|13:40|14:50,s==20|Chuyển Sinh Thần Đàn,
s==24|shrineExchangeGroupLimit,s==12|1:2:3|4:5:10,s==20|Chuyển Sinh Thần Đàn,
s==19|shrineExchangeCount,s==26|10:5|11:7|12:9|13:11|14:14,s==20|Chuyển Sinh Thần Đàn,
s==21|shrineRecallStarLimit,s==14|10|11|12|13|14,s==20|Chuyển Sinh Thần Đàn,
s==16|shrineRecallProp,s==4|1054,s==20|Chuyển Sinh Thần Đàn,
s==19|shrineRecallPropNum,s==29|10:10|11:20|12:30|13:40|14:50,s==20|Chuyển Sinh Thần Đàn,
s==23|shrineRecallReplaceHero,s==5|26901,s==20|Chuyển Sinh Thần Đàn,
s==22|battleReportFightPower,s==4|1000,s==9|Chiến Báo,
s==21|battleReportLikeLimit,s==1|3,s==9|Chiến Báo,
s==20|battleReportLikeGold,s==5|30000,s==9|Chiến Báo,
s==12|prayVIPLevel,s==13|1,15,2|2,10,2,s==7|Kỳ Phúc,
s==16|jeneralShopLevel,s==27|40:1  50:2  65:3 80:4 999:5,s==19|Thần Bí Thương Điếm,
s==11|FreeRefresh,s==7|10|7200,s==19|Thần Bí Thương Điếm,
s==15|PurchaseRefresh,s==6|20|100,s==19|Thần Bí Thương Điếm,
s==14|DefaultProduct,s==23|901|902|903|904|905|906,s==19|Thần Bí Thương Điếm,
s==24|AristocraticMonthlyCard ,s==10|1|120|9|30,s==18|Quý Tộc Nguyệt Thẻ,
s==15|KingMonthlyCard,s==11| 1|200|9|30,s==20|Vương Giả Nguyệt Thẻ,
s==20|ActivateMonthlyCard1,s==2|30,s==18|Quý Tộc Nguyệt Thẻ,
s==20|ActivateMonthlyCard2,s==2|98,s==20|Vương Giả Nguyệt Thẻ,
s==21|warOfJingZhouFightNum,s==2|10,s==19|Kinh Châu Chi Chiến,
s==23|warOfJingZhouBuyConsume,s==14|1|9|50,1|9|100,s==19|Kinh Châu Chi Chiến,
s==19|warOfJingZhouBuyNum,s==1|2,s==19|Kinh Châu Chi Chiến,
s==24|warOfJingZhouNameAndDesc,s==138|1|4|Thần·Nhật Diệu Thần Điện:2|2|Thục·Giang Lăng Phủ Thành:3|1|Ngụy·Tương Dương Cự Thành:4|5|Ma·Vĩnh Ám Chi Thành:5|3|Ngô·Độ Giang Thủy Sư,s==19|Kinh Châu Chi Chiến,
s==20|warOfJingZhouExtHurt,s==8|2|1|5000,s==19|Kinh Châu Chi Chiến,
s==14|factionBossWei,s==29|21510|21508|21503|21507|21505,s==19|Kinh Châu Chi Chiến,
s==14|factionBossShu,s==29|22504|22507|22509|22508|22502,s==19|Kinh Châu Chi Chiến,
s==13|factionBossWu,s==29|23510|23506|23503|23508|23507,s==19|Kinh Châu Chi Chiến,
s==15|factionBossShen,s==29|24504|24510|24508|24503|24513,s==19|Kinh Châu Chi Chiến,
s==13|factionBossMo,s==29|25504|25509|25510|25507|25513,s==19|Kinh Châu Chi Chiến,
s==19|warOfJingZhouTeQuan,s==3|2|6,s==19|Kinh Châu Chi Chiến,
s==12|unionWarDate,s==5|1|3|5,s==18|Quân Đoàn Tranh Bá,
s==17|unionWarMatchTime,s==8|00:00:00,s==18|Quân Đoàn Tranh Bá,
s==19|unionWarAgainstTime,s==11|12:00|20:00,s==18|Quân Đoàn Tranh Bá,
s==23|unionWarActiveCondition,s==2|24,s==18|Quân Đoàn Tranh Bá,
s==21|unionWarSettlementBox,s==20|2:1562|2:1563|2:1564,s==18|Quân Đoàn Tranh Bá,
s==19|shopUnionWarUnitExp,s==11|300|200|100,s==18|Quân Đoàn Tranh Bá,
s==19|unionWarGroupingNum,s==1|8,s==18|Quân Đoàn Tranh Bá,
s==17|unionWarRemainder,s==1|4,s==18|Quân Đoàn Tranh Bá,
s==22|unionWarChallengeTimes,s==1|5,s==18|Quân Đoàn Tranh Bá,
s==17|unionWarFreeTimes,s==1|2,s==18|Quân Đoàn Tranh Bá,
s==14|activityMember,s==1|6,s==18|Quân Đoàn Tranh Bá,
s==17|heroRivalDateType,s==25|Năm YYYY Tháng MM Ngày dd,,
s==18|heroRivalStartDate,s==3|2|5,s==21|Văn Đỉnh Trung Nguyên,
s==18|heroRivalStartTime,s==5|21:05,s==21|Văn Đỉnh Trung Nguyên,
s==18|heroRivalReadyTime,s==2|15,s==21|Văn Đỉnh Trung Nguyên,
s==18|heroRivalGuessTime,s==2|60,s==21|Văn Đỉnh Trung Nguyên,
s==19|heroRivalBattleTime,s==3|120,s==21|Văn Đỉnh Trung Nguyên,
s==22|heroRivalTrialWinPoint,s==3|100,s==21|Văn Đỉnh Trung Nguyên,
s==24|heroRivalTrialTotalPoint,s==9|5000|5000,s==21|Văn Đỉnh Trung Nguyên,
s==20|heroRivalChatConsume,s==3|500,s==21|Văn Đỉnh Trung Nguyên,
s==21|heroRivalGuessChipMin,s==2|10,s==21|Văn Đỉnh Trung Nguyên,
s==21|heroRivalGuessChipMax,s==4|3500,s==21|Văn Đỉnh Trung Nguyên,
s==17|heroRivalChipGive,s==2|60,s==21|Văn Đỉnh Trung Nguyên,
s==18|bottomLineChipGive,s==3|500,s==21|Văn Đỉnh Trung Nguyên,
s==18|heroRivalChipGive2,s==3|500,s==21|Văn Đỉnh Trung Nguyên,
s==21|heroRivalChipExchange,s==5|25|16,s==21|Văn Đỉnh Trung Nguyên,
s==14|heroRivalaward,s==22|2,1004|2,1006|1,8|1,10,s==21|Văn Đỉnh Trung Nguyên,
s==18|heroRivalRankAward,s==6|95|105,s==21|Văn Đỉnh Trung Nguyên,
s==20|heroRivalBattleScene,s==5|50000,s==21|Văn Đỉnh Trung Nguyên,
s==20|heroRivalBattleQuick,s==1|3,s==21|Văn Đỉnh Trung Nguyên,
s==17|dailyCopyFreeTime,s==1|2,s==19|Phó bản thường nhật,
s==22|equipCastHeroStarLimit,s==2|10,s==16|Đúc hồn trang bị,
s==23|equipCastReturnResource,s==10|1|9|50|3|1,s==16|Đúc hồn trang bị,
s==20|savageInvadeFightNum,s==3|2|2,s==15|Man di xâm nhập,
s==22|savageInvadeBuyConsume,s==14|1,9,50|1,9,100,s==15|Man di xâm nhập,
s==13|savageHurtKey,s==5|62|70,s==15|Man di xâm nhập,
s==13|savageRankKey,s==5|50|61,s==15|Man di xâm nhập,
s==17|minRobotPvpPoints,s==4|1022,s==10|Trường tập,
s==24|pvpPointsRobotPowerratio,s==3|173,s==10|Trường tập,
s==15|duelFreeRefresh,s==5|3|999,s==10|Trường tập,
s==15|duelTokenItemId,s==4|1005,s==10|Trường tập,
s==13|duelTokenCost,s==6|1,9,20,s==10|Trường tập,
s==12|duelFreeTime,s==1|3,s==10|Trường tập,
s==11|pvpFlushNum,s==2|10,s==10|Trường tập,
s==12|duelLikeGold,s==5|10000,s==10|Trường tập,
s==13|duelLikeLimit,s==2|10,s==10|Trường tập,
s==16|duelRankDailyKey,s==5|71|82,s==10|Trường tập,
s==17|duelRankSeasonKey,s==5|83|94,s==10|Trường tập,
s==10|duelOpenLv,s==1|8,s==10|Trường tập,
s==9|firstDuel,s==5|10261,s==10|Trường tập,
s==14|pvpTokenItemId,s==4|1005,s==10|Trường tập,
s==16|pvpSkipCondition,s==1|3,s==10|Trường tập,
s==14|GeneralsRating,s==2|50,s==17|Giải đáp nghi nan,
s==4|mail,s==1|7,s==7|Thư tín,
s==20|northCopyOpenRequire,s==11|105|110,120,s==21|Bắc phạt Trung Nguyên,
s==25|northCopyFreeChallengeNum,s==1|2,s==21|Bắc phạt Trung Nguyên,
s==29|northCopyPurchaseChallengeNum,s==1|2,s==21|Bắc phạt Trung Nguyên,
s==26|northCopyChallengeNumPrice,s==7|1|9|100,s==21|Bắc phạt Trung Nguyên,
s==16|sacrificeFreeNum,s==1|1,s==21|Bắc phạt Trung Nguyên,
s==23|sacrificeFreeNumRefresh,s==7|0|0|1|0,s==21|Bắc phạt Trung Nguyên,
s==17|sacrificeFloorNum,s==5|15|15,s==21|Bắc phạt Trung Nguyên,
s==13|sacrificeIcon,s==42|1009|1008|531101|531102|531212|531310|1010,s==21|Bắc phạt Trung Nguyên,
s==25|dayBattleHeroTrainingIcon,s==14|1003|1006|8|10,s==32|Phó bản - Huyết chiến Trường Bản,
s==31|battleHeroTrainingFirstPassIcon,s==7|1003|10,s==32|Phó bản - Huyết chiến Trường Bản,
s==27|battleHeroTrainingDailyIcon,s==4|8|10,s==32|Phó bản - Huyết chiến Trường Bản,
s==26|battleHeroTrainingRankIcon,s==7|1006|10,s==32|Phó bản - Huyết chiến Trường Bản,
s==28|battleHeroTrainingReduceTire,s==2|10,s==32|Phó bản - Huyết chiến Trường Bản,
s==31|battleHeroTrainingSupportReward,s==17|1,12,10|1,8,10000,s==32|Phó bản - Huyết chiến Trường Bản,
s==29|battleHeroTrainingCombatPower,s==1|2,s==32|Phó bản - Huyết chiến Trường Bản,
s==24|battleHeroTrainingReward,s==8|1,8,5000,s==32|Phó bản - Huyết chiến Trường Bản,
s==15|BHTBackstageNum,s==2|50,s==32|Phó bản - Huyết chiến Trường Bản,
s==18|friendFriendsLimit,s==3|150,s==7|Hữu hảo,
s==17|friendBlacksLimit,s==2|50,s==7|Hữu hảo,
s==15|friendGiveLimit,s==2|20,s==7|Hữu hảo,
s==20|friendFriendshipGive,s==2|10,s==7|Hữu hảo,
s==16|friendGiveOfCoin,s==5|10000,s==7|Hữu hảo,
s==19|worldLevelRefreshCd,s==4|3600,s==6|Cơ bản,
s==19|worldLevelPlayerNum,s==2|10,s==6|Cơ bản,
s==14|warOfHuLaoIcon,s==24|2|3008,2|1006,2|1027,1|8,s==21|Chiến trường Tam Quốc,
s==17|warOfJingzhouIcon,s==27|2|1043,2|1038,2|1039,2|1040,s==21|Chiến trường Tam Quốc,
s==14|warOfManYiIcon,s==25|2|3008,2|1086,2|1006,1|33,s==21|Chiến trường Tam Quốc,
s==14|warOfBeiFaIcon,s==24|2|1008,2|1010,2|1009,1|9,s==21|Chiến trường Tam Quốc,
s==14|warOfHuLaoTips,s==96|<outline color=#491c2b=1><color=#00ff00>Mỗi 2 ngày</c><outline color=#491c2b=1>reset một lần</c>,s==21|Chiến trường Tam Quốc,
s==17|warOfJingzhouTips,s==196|<outline color=#491c2b=1><color=#00ff00>Thứ Hai</c> đến <outline color=#491c2b=1><color=#00ff00>Thứ Sáu</c> luân phiên khai mở，<outline color=#491c2b=1><color=#00ff00>Cuối Tuần</c> toàn bộ khai mở,s==21|Chiến trường Tam Quốc,
s==14|warOfManYiTips,s==173|<outline color=#491c2b=1><color=#00ff00>Thứ Ba</c>、<outline color=#491c2b=1><color=#00ff00>Thứ Năm</c>、<outline color=#491c2b=1><color=#00ff00>Thứ Bảy</c> 8:00-22:00 khai mở,s==21|Chiến trường Tam Quốc,
s==14|warOfBeiFaTips,s==128|<outline color=#491c2b=1><color=#00ff00>Suốt ngày</c><outline color=#491c2b=1> mở cửa， tham gia thu hoạch trang sức võ tướng</c>,s==21|Chiến trường Tam Quốc,
s==13|warHLEnemyPos,s==13|2|16|31|42|50,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==16|warHLPoisonCount,s==1|5,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==14|warHLCureCount,s==3|5,8,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==13|warHLEventPos,s==14|10|25|37|47|51,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==18|warHLBuyPoisonCost,s==6|1|9|30,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==17|warHLActivityBuff,s==8|2|1|1000,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==14|warHLPowerNeed,s==7|2000000,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==8|warHLKey,s==8|2,1063,1,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==15|warHLLuckyAward,s==7|1,9,240,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==15|warHLAutoFinish,s==3|100,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==18|warHLAutoFinishVip,s==1|2,s==30|Chiến trường Tam Quốc - Hổ Lao,
s==13|clickGoldTime,s==15|3|10|10,3|15|15,s==8|Điểm Kim,
s==20|clickGoldRefreshTime,s==15|0:00|9:00|19:00,s==8|Điểm Kim,
s==13|clickGoldCost,s==13|9,1,20|9,1,50,s==8|Điểm Kim,
s==21|clickGoldActivityTime,s==2|10,s==8|Điểm Kim,
s==17|clickGoldVipClean,s==1|8,s==8|Điểm Kim,
s==8|FundDays,s==2|30,s==16|Quỹ siêu giá trị,
s==11|daysBetween,s==2|10,s==16|Quỹ siêu giá trị,
s==17|fundRemainingTime,s==4|7200,s==16|Quỹ siêu giá trị,
s==10|totalValue,s==11|25600|65600,s==16|Quỹ siêu giá trị,
s==25|heroChipSynthesisLimitNum,s==2|50,s==9|Bảo rương,
s==22|packageCombineLimitNum,s==4|9999,s==9|Bảo rương,
s==15|WeekendBenefits,s==14|1405|1406|1407,s==16|Chu Mạt Phúc Lợi,
s==8|Blessing,s==8|2|1066|1,s==14|Chu Mạt Cẩm Lý,
s==19|BlessingConsumption,s==10|2|1066|999,s==14|Chu Mạt Cẩm Lý,
s==9|KoiReward,s==9|2|1003|50,s==14|Chu Mạt Cẩm Lý,
s==21|heroUpStarlevelNeed11,s==7|115|105,s==19|Võ tướng thăng tinh,
s==21|heroUpStarlevelNeed12,s==7|138|128,s==19|Võ tướng thăng tinh,
s==21|heroUpStarlevelNeed13,s==7|158|148,s==19|Võ tướng thăng tinh,
s==20|MaximumNumberOfTasks,s==1|6,s==17|Tam Quốc mật lệnh,
s==11|RewardOrder,s==12|1130|1|54|10,s==17|Tam Quốc mật lệnh,
s==16|BattleExperience,s==12|1110|1|55|10,s==23|Chinh chiến kinh nghiệm,
s==21|MaximumNumberOfTasks2,s==1|6,s==23|Chinh chiến kinh nghiệm,
s==17|battleVipNoEffect,s==1|5,s==23|Chinh chiến kinh nghiệm,
s==12|SevenDayGoal,s==6|1131|1,s==18|Thất nhật mục tiêu,
s==12|LuckyFortune,s==5|1|2|3,s==18|Chiêu Tài Tiến Bảo,
s==16|AdventuresPoints,s==11|0|1|2|3|4|5,s==17|Tiêu tặc đoạt bảo,
s==17|RedAdventurestask,s==2|16,s==17|Tiêu tặc đoạt bảo,
s==18|RedAdventurestask1,s==2|25,s==17|Tiêu tặc đoạt bảo,
s==17|FristRedAdventure,s==4|6602,s==17|Tiêu tặc đoạt bảo,
s==17|PassthroughPoints,s==5|1|2|3,s==19|Qua quan chém tướng,
s==16|FastCombatPoints,s==7|1|2|3|4,s==18|Tốc chiến tinh anh,
s==20|BattleOfGuanduPionts,s==1|5,s==17|Quan Độ chi chiến,
s==19|AccumulatedRecharge,s==1|6,s==14|Lũy nạp hảo lễ,
s==8|Verified,s==28|1|9|200,1|8|50000,1|10|30000,s==20|Thực danh chứng thực,
s==16|DownloadGoodGift,s==28|1|9|200,1|8|50000,1|10|30000,s==16|Tải xuống hảo lễ,
s==13|dailyCopyIcon,s==14|8|10|3002|1027,s==57|Hằng nhật phụ bản chiến dịch đại sảnh hiển thị biểu tượng,
s==22|battleHeroTrainingIcon,s==14|8|10|1003|1006,s==62|Huyết chiến Trường Bản chiến dịch đại sảnh hiển thị biểu tượng,
s==11|cutCopyIcon,s==4|8|15,s==55|Thiên lý đơn kỵ chiến dịch đại sảnh hiển thị biểu tượng,
s==19|templeChallengeIcon,s==17|19529|19530|19531,s==51|Võ hồn điện chiến dịch đại sảnh hiển thị biểu tượng,
s==17|permanentRobotNum,s==3|128,s==12|Cơ giới nhân,
s==23|robotPropertyTypeAdjust,s==5|1|2|4,s==12|Cơ giới nhân,
s==10|ChangeName,s==7|1|9|200,s==17|Quân chủ chi tiết,
s==14|ChangeNameItem,s==8|2|6678|1,s==12|Cải danh thẻ,
s==19|UnionChangeNameItem,s==8|2|6679|1,s==22|Quân đoàn cải danh thẻ,
s==19|heroExchangeChipNum,s==20|3:20|4:30|5:50|6:300,s==8|Võ Tướng,
s==22|fuJiangExchangeChipNum,s==14|3:20|4:30|5:60,s==9|Phó tướng,
s==16|NumberOfGenerals,s==2|10,s==9|Dịch trạm,
s==9|DailyGift,s==4|1511,s==15|Mỗi nhật lễ bao,
s==18|MilesCopyawardicon,s==4|15|8,s==28|Chiến dịch - Thiên lý đơn kỵ,
s==21|MilesCopyawardiconone,s==4|15|8,s==28|Chiến dịch - Thiên lý đơn kỵ,
s==21|MilesCopyawardicontwo,s==4|15|8,s==28|Chiến dịch - Thiên lý đơn kỵ,
s==23|MilesCopyawardiconthree,s==4|15|8,s==28|Chiến dịch - Thiên lý đơn kỵ,
s==20|battleTimeConsuming1,s==1|5,s==19|Chiến đấu thời gian,
s==20|battleTimeConsuming2,s==1|2,s==19|Chiến đấu thời gian,
s==20|battleTimeConsuming3,s==1|3,s==19|Chiến đấu thời gian,
s==20|battleTimeConsuming4,s==1|3,s==19|Chiến đấu thời gian,
s==20|battleTimeConsuming5,s==1|2,s==19|Chiến đấu thời gian,
s==17|OneclickSacrifice,s==2|20,s==9|Dịch trạm,
s==17|firsteRecruitment,s==5|23403,s==16|Hệ thống dẫn dắt,
s==18|firsteRecruitment2,s==5|23503,s==16|Hệ thống dẫn dắt,
s==12|newguidestop,s==2|10,,
s==13|fristRecharge,s==19|2|1006|100:2|1003|1,s==15|Thủ sạc tặng lễ,
s==22|manDefaultMonarchImage,s==6|235100,s==32|Nam mặc định quân chủ hình tượng,
s==24|girlsDefaultMonarchImage,s==6|255090,s==31|Nữ mặc định quân chủ hình tượng,
s==23|DefaultHeroMonarchImage,s==5|21405,s==37|Mặc định võ tướng quân chủ hình tượng,
s==17|heroRiseSharplyLv,s==1|3,s==17|Anh hùng trỗi dậy,
s==20|heroRiseSharplyPayLv,s==7|1|9|600,s==17|Anh hùng trỗi dậy,
s==26|heroRiseSharplyPayIntegral,s==6|100:60,s==17|Anh hùng trỗi dậy,
s==24|heroRiseIntegrationLimit,s==5|20000,s==17|Anh hùng trỗi dậy,
s==18|heroRiseLevelLimit,s==2|40,s==17|Anh hùng trỗi dậy,
s==28|heroRiseInteGrationOncelimit,s==4|1000,s==17|Anh hùng trỗi dậy,
s==19|heroRiseDaysRefresh,s==5|86400,s==17|Anh hùng trỗi dậy,
s==20|heroRiseWeeksRefresh,s==6|604800,s==17|Anh hùng trỗi dậy,
s==17|playerDefaultHero,s==5|23404,s==23|Người chơi tạo nhân vật,
s==16|CargoReFreshTime,s==1|0,s==17|Tào vận phong vân,
s==16|CargoTimeRecover,s==5|28800,s==17|Tào vận phong vân,
s==19|CargoVIPTimeRecover,s==5|21600,s==17|Tào vận phong vân,
s==9|MaxChosen,s==1|1,s==17|Tào vận phong vân,
s==13|FriendCooling,s==2|10,s==17|Tào vận phong vân,
s==9|CargoTime,s==1|3,s==17|Tào vận phong vân,
s==12|CargoMaxTime,s==3|2|3,s==17|Tào vận phong vân,
s==14|CargoFirstTime,s==1|1,s==17|Tào vận phong vân,
s==17|ChosenFreeRefresh,s==1|3,s==17|Tào vận phong vân,
s==10|PayRefresh,s==28|50|50|50|100|100|100|200|200,s==17|Tào vận phong vân,
s==11|ShipUpGrade,s==15|10|20|40|60|200,s==17|Tào vận phong vân,
s==14|VIPShipUpGrade,s==13|0|0|40|60|200,s==17|Tào vận phong vân,
s==17|ChosenRewardLimit,s==10|2|1078|150,s==17|Tào vận phong vân,
s==12|ChosenReward,s==19|2|1078|15,1|8|50000,s==17|Tào vận phong vân,
s==9|MaxPayRob,s==1|5,s==17|Tào vận phong vân,
s==8|PriceRob,s==2|20,s==17|Tào vận phong vân,
