id,activityId,changeType,rounds,roundsrewards-type-1,roundsrewards-id-1,roundsrewards-value-1,roundsrewards-type-2,roundsrewards-id-2,roundsrewards-value-2,roundsrewards-type-3,roundsrewards-id-3,roundsrewards-value-3,needNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
52,3080,1,3,,,,,,,,,,82,1,9,50,1,8,750000,,,,
53,3080,1,3,,,,,,,,,,88,1,9,100,1,8,800000,,,,
54,3080,1,3,,,,,,,,,,94,1,9,150,1,8,900000,,,,
55,3080,1,3,,,,,,,,,,100,1,9,200,1,8,1100000,,,,
56,3080,1,4,1,8,3500000,2,1014,2,,,,106,1,9,250,1,8,1300000,,,,
57,3080,1,4,,,,,,,,,,112,1,9,300,1,8,1400000,,,,
58,3080,1,4,,,,,,,,,,118,1,9,300,1,8,1500000,,,,
59,3080,1,4,,,,,,,,,,124,1,9,300,1,8,1600000,,,,
60,3080,1,4,,,,,,,,,,130,1,9,300,1,8,1700000,,,,
61,3080,1,4,,,,,,,,,,136,1,9,300,1,8,1800000,,,,
62,3080,1,5,1,8,5000000,2,1004,1,,,,142,1,9,300,1,8,1900000,,,,
63,3080,1,5,,,,,,,,,,148,1,9,300,1,8,2000000,,,,
64,3080,1,5,,,,,,,,,,154,1,9,300,1,8,2100000,,,,
65,3080,1,5,,,,,,,,,,160,1,9,300,1,8,2500000,,,,
66,3080,1,5,,,,,,,,,,166,1,9,300,1,8,3000000,,,,
67,3080,1,5,,,,,,,,,,172,1,9,300,1,8,3500000,,,,
68,3080,2,,,,,,,,,,,1000,1,9,100,2,1003,2,,,,
69,3080,2,,,,,,,,,,,2000,1,9,100,2,1003,2,,,,
70,3080,2,,,,,,,,,,,3000,1,9,100,2,1003,2,,,,
71,3080,2,,,,,,,,,,,5000,1,9,100,2,1003,2,,,,
72,3080,2,,,,,,,,,,,7000,1,9,100,2,1003,2,,,,
73,3080,2,,,,,,,,,,,10000,1,9,100,2,1003,2,,,,
74,3080,2,,,,,,,,,,,12000,1,9,100,2,1003,2,,,,
