id,dressid,level,nextLv,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,propertys-type-1,propertys-way-1,propertys-value-1,propertys-type-2,propertys-way-2,propertys-value-2,
74,901,4,5,2,1090,1140,1,8,1000000,1,1,400,5,1,350,
75,901,5,6,2,1090,1200,1,8,1000000,1,1,400,5,1,400,
76,901,6,7,2,1090,1260,1,8,1000000,1,1,450,5,1,400,
77,901,7,8,2,1090,1320,1,8,1000000,1,1,450,5,1,450,
78,901,8,9,2,1090,1380,1,8,1000000,1,1,500,5,1,450,
79,901,9,10,2,1090,1440,1,8,1000000,1,1,500,5,1,500,
80,901,10,11,2,1090,1500,1,8,1000000,1,1,600,5,1,600,
81,1001,1,2,2,1090,960,1,8,1000000,2,1,300,9,1,300,
82,1001,2,3,2,1090,1020,1,8,1000000,2,1,350,9,1,300,
83,1001,3,4,2,1090,1080,1,8,1000000,2,1,350,9,1,350,
84,1001,4,5,2,1090,1140,1,8,1000000,2,1,400,9,1,350,
85,1001,5,6,2,1090,1200,1,8,1000000,2,1,400,9,1,400,
86,1001,6,7,2,1090,1260,1,8,1000000,2,1,450,9,1,400,
87,1001,7,8,2,1090,1320,1,8,1000000,2,1,450,9,1,450,
88,1001,8,9,2,1090,1380,1,8,1000000,2,1,500,9,1,450,
89,1001,9,10,2,1090,1440,1,8,1000000,2,1,500,9,1,500,
90,1001,10,11,2,1090,1500,1,8,1000000,2,1,600,9,1,600,
91,1101,1,2,2,1090,960,1,8,1000000,1,1,300,8,1,300,
92,1101,2,3,2,1090,1020,1,8,1000000,1,1,350,8,1,300,
93,1101,3,4,2,1090,1080,1,8,1000000,1,1,350,8,1,350,
94,1101,4,5,2,1090,1140,1,8,1000000,1,1,400,8,1,350,
95,1101,5,6,2,1090,1200,1,8,1000000,1,1,400,8,1,400,
96,1101,6,7,2,1090,1260,1,8,1000000,1,1,450,8,1,400,
97,1101,7,8,2,1090,1320,1,8,1000000,1,1,450,8,1,450,
98,1101,8,9,2,1090,1380,1,8,1000000,1,1,500,8,1,450,
99,1101,9,10,2,1090,1440,1,8,1000000,1,1,500,8,1,500,
100,1101,10,11,2,1090,1500,1,8,1000000,1,1,600,8,1,600,
101,1401,1,2,2,1090,960,1,8,1000000,1,1,150,2,1,150,
102,1401,2,3,2,1090,1020,1,8,1000000,1,1,175,2,1,150,
103,1401,3,4,2,1090,1080,1,8,1000000,1,1,175,2,1,175,
104,1401,4,5,2,1090,1140,1,8,1000000,1,1,200,2,1,175,
105,1401,5,6,2,1090,1200,1,8,1000000,1,1,200,2,1,200,
106,1401,6,7,2,1090,1260,1,8,1000000,1,1,225,2,1,200,
107,1401,7,8,2,1090,1320,1,8,1000000,1,1,225,2,1,225,
108,1401,8,9,2,1090,1380,1,8,1000000,1,1,250,2,1,225,
109,1401,9,10,2,1090,1440,1,8,1000000,1,1,250,2,1,250,
110,1401,10,11,2,1090,1500,1,8,1000000,1,1,300,2,1,300,
111,1201,1,2,2,1090,960,1,8,1000000,2,1,300,15,1,600,
112,1201,2,3,2,1090,1020,1,8,1000000,2,1,350,15,1,600,
113,1201,3,4,2,1090,1080,1,8,1000000,2,1,350,15,1,700,
114,1201,4,5,2,1090,1140,1,8,1000000,2,1,400,15,1,700,
115,1201,5,6,2,1090,1200,1,8,1000000,2,1,400,15,1,800,
116,1201,6,7,2,1090,1260,1,8,1000000,2,1,450,15,1,800,
117,1201,7,8,2,1090,1320,1,8,1000000,2,1,450,15,1,900,
118,1201,8,9,2,1090,1380,1,8,1000000,2,1,500,15,1,900,
119,1201,9,10,2,1090,1440,1,8,1000000,2,1,500,15,1,1000,
120,1201,10,11,2,1090,1500,1,8,1000000,2,1,600,15,1,1200,
121,1501,1,2,2,1090,960,1,8,1000000,1,1,300,7,1,300,
122,1501,2,3,2,1090,1020,1,8,1000000,1,1,350,7,1,300,
123,1501,3,4,2,1090,1080,1,8,1000000,1,1,350,7,1,350,
124,1501,4,5,2,1090,1140,1,8,1000000,1,1,400,7,1,350,
125,1501,5,6,2,1090,1200,1,8,1000000,1,1,400,7,1,400,
126,1501,6,7,2,1090,1260,1,8,1000000,1,1,450,7,1,400,
127,1501,7,8,2,1090,1320,1,8,1000000,1,1,450,7,1,450,
128,1501,8,9,2,1090,1380,1,8,1000000,1,1,500,7,1,450,
129,1501,9,10,2,1090,1440,1,8,1000000,1,1,500,7,1,500,
130,1501,10,11,2,1090,1500,1,8,1000000,1,1,600,7,1,600,
131,1601,1,2,2,1090,960,1,8,1000000,1,1,300,5,1,300,
132,1601,2,3,2,1090,1020,1,8,1000000,1,1,350,5,1,300,
133,1601,3,4,2,1090,1080,1,8,1000000,1,1,350,5,1,350,
134,1601,4,5,2,1090,1140,1,8,1000000,1,1,400,5,1,350,
135,1601,5,6,2,1090,1200,1,8,1000000,1,1,400,5,1,400,
136,1601,6,7,2,1090,1260,1,8,1000000,1,1,450,5,1,400,
137,1601,7,8,2,1090,1320,1,8,1000000,1,1,450,5,1,450,
138,1601,8,9,2,1090,1380,1,8,1000000,1,1,500,5,1,450,
139,1601,9,10,2,1090,1440,1,8,1000000,1,1,500,5,1,500,
140,1601,10,11,2,1090,1500,1,8,1000000,1,1,600,5,1,600,
141,1701,1,2,2,1090,960,1,8,1000000,1,1,150,8,1,300,
142,1701,2,3,2,1090,1020,1,8,1000000,1,1,175,8,1,300,
143,1701,3,4,2,1090,1080,1,8,1000000,1,1,175,8,1,350,
144,1701,4,5,2,1090,1140,1,8,1000000,1,1,200,8,1,350,
145,1701,5,6,2,1090,1200,1,8,1000000,1,1,200,8,1,400,
146,1701,6,7,2,1090,1260,1,8,1000000,1,1,225,8,1,400,
147,1701,7,8,2,1090,1320,1,8,1000000,1,1,225,8,1,450,
148,1701,8,9,2,1090,1380,1,8,1000000,1,1,250,8,1,450,
149,1701,9,10,2,1090,1440,1,8,1000000,1,1,250,8,1,500,
150,1701,10,11,2,1090,1500,1,8,1000000,1,1,300,8,1,600,
151,1801,1,2,2,1090,960,1,8,1000000,2,1,300,7,1,300,
152,1801,2,3,2,1090,1020,1,8,1000000,2,1,350,7,1,300,
153,1801,3,4,2,1090,1080,1,8,1000000,2,1,350,7,1,350,
154,1801,4,5,2,1090,1140,1,8,1000000,2,1,400,7,1,350,
155,1801,5,6,2,1090,1200,1,8,1000000,2,1,400,7,1,400,
156,1801,6,7,2,1090,1260,1,8,1000000,2,1,450,7,1,400,
157,1801,7,8,2,1090,1320,1,8,1000000,2,1,450,7,1,450,
158,1801,8,9,2,1090,1380,1,8,1000000,2,1,500,7,1,450,
159,1801,9,10,2,1090,1440,1,8,1000000,2,1,500,7,1,500,
160,1801,10,11,2,1090,1500,1,8,1000000,2,1,600,7,1,600,
