id,chapterId,gridId,gridx,gridy,gridType,gridIcon,gridEventId,changeEventId,
147,2,67,2,4,13,40013,20013,,
148,2,68,3,4,11,40011,,,
149,2,69,4,4,10,40010,,,
150,2,70,5,4,12,40012,,,
151,2,71,6,4,13,40013,10029,,
152,2,72,7,4,13,40013,,,
153,2,73,8,4,11,40011,,,
154,2,74,9,4,10,40010,,,
155,2,75,10,4,12,40012,,,
156,2,76,11,4,13,40013,,,
157,2,77,12,4,13,40013,20040,,
158,2,78,13,4,9,40009,,,
159,2,79,14,4,9,40009,,,
160,2,80,15,4,0,,,,
161,2,81,0,5,13,40013,20014,,
162,2,82,1,5,13,40013,20015,,
163,2,83,2,5,13,40013,20016,,
164,2,84,3,5,12,40012,,,
165,2,85,4,5,10,40010,,,
166,2,86,5,5,11,40011,,,
167,2,87,6,5,13,40013,,,
168,2,88,7,5,10,40010,,,
169,2,89,8,5,13,40013,20017,,
170,2,90,9,5,13,40013,20048,,
171,2,91,10,5,12,40012,,,
172,2,92,11,5,13,40013,,,
173,2,93,12,5,13,40013,20019,,
174,2,94,13,5,12,40012,,,
175,2,95,14,5,13,40013,20020,,
176,2,96,15,5,0,,,,
177,2,97,0,6,10,40010,,,
178,2,98,1,6,13,40013,20021,,
179,2,99,2,6,11,40011,,,
180,2,100,3,6,13,40013,20050,,
181,2,101,4,6,10,40010,,,
182,2,102,5,6,13,40013,20022,,
183,2,103,6,6,11,40011,,,
184,2,104,7,6,10,40010,,,
185,2,105,8,6,11,40011,,,
186,2,106,9,6,10,40010,,,
187,2,107,10,6,12,40012,,,
188,2,108,11,6,13,40013,,,
189,2,109,12,6,9,40009,,,
190,2,110,13,6,9,40009,,,
191,2,111,14,6,11,40011,,,
192,2,112,15,6,13,40013,20023,,
193,2,113,0,7,12,40012,,,
194,2,114,1,7,10,40010,,,
195,2,115,2,7,13,40013,20024,,
196,2,116,3,7,11,40011,,,
197,2,117,4,7,10,40010,,,
198,2,118,5,7,13,40013,,,
199,2,119,6,7,13,40013,20025,,
200,2,120,7,7,13,40013,20026,,
201,2,121,8,7,13,40013,20027,,
202,2,122,9,7,12,40012,20051,,
203,2,123,10,7,13,40013,,,
204,2,124,11,7,9,40009,,,
205,2,125,12,7,12,40012,,,
206,2,126,13,7,9,40009,,,
207,2,127,14,7,11,40011,,,
208,2,128,15,7,13,40013,20028,,
209,2,129,0,8,13,40013,20029,,
210,2,130,1,8,10,40010,,,
211,2,131,2,8,11,40011,,,
212,2,132,3,8,13,40013,20030,,
213,2,133,4,8,13,40013,10017,,
214,2,134,5,8,13,40013,10019,,
215,2,135,6,8,13,40013,10019,,
216,2,136,7,8,13,40013,10019,,
217,2,137,8,8,13,40013,10037,,
218,2,138,9,8,13,40013,10029,,
219,2,139,10,8,13,40013,20031,,
220,2,140,11,8,9,40009,,,
221,2,141,12,8,13,40013,,,
222,2,142,13,8,13,40013,20032,,
223,2,143,14,8,13,40013,20033,,
224,2,144,15,8,0,,,,
225,2,145,0,9,12,40012,20046,,
226,2,146,1,9,11,40011,,,
227,2,147,2,9,13,40013,,,
228,2,148,3,9,13,40013,10017,,
229,2,149,4,9,13,40013,10036,,
230,2,150,5,9,13,40013,20043,20045,
231,2,151,6,9,12,40012,,,
232,2,152,7,9,13,40013,10036,,
233,2,153,8,9,13,40013,10037,,
234,2,154,9,9,13,40013,,,
235,2,155,10,9,12,40012,,,
236,2,156,11,9,10,40010,,,
237,2,157,12,9,11,40011,,,
238,2,158,13,9,13,40013,20034,,
239,2,159,14,9,0,,,,
240,2,160,15,9,0,,,,
241,2,161,0,10,0,,,,
242,2,162,1,10,13,40013,,,
243,2,163,2,10,12,40012,,,
244,2,164,3,10,13,40013,20035,,
245,2,165,4,10,13,40013,,,
246,2,166,5,10,13,40013,20036,,
247,2,167,6,10,13,40013,20037,,
248,2,168,7,10,13,40013,20038,,
249,2,169,8,10,12,40012,,,
250,2,170,9,10,13,40013,10037,20039,
251,2,171,10,10,13,40013,,,
252,2,172,11,10,10,40010,,,
253,2,173,12,10,11,40011,,,
254,2,174,13,10,12,40012,,,
255,2,175,14,10,10,40010,,,
256,2,176,15,10,0,,,,
257,2,177,0,11,0,,,,
258,2,178,1,11,10,40010,,,
259,2,179,2,11,13,40013,10017,,
260,2,180,3,11,13,40013,,,
261,2,181,4,11,13,40013,10017,,
262,2,182,5,11,12,40012,20049,,
263,2,183,6,11,13,40013,10037,,
264,2,184,7,11,13,40013,,,
265,2,185,8,11,12,40012,,,
266,2,186,9,11,13,40013,10037,,
267,2,187,10,11,11,40011,,,
268,2,188,11,11,13,40013,10030,,
269,2,189,12,11,13,40013,20047,,
270,2,190,13,11,13,40013,20041,,
271,2,191,14,11,0,,,,
272,2,192,15,11,0,,,,
273,3,1,0,0,15,40015,10043,,
274,3,2,1,0,15,40015,10041,,
275,3,3,2,0,15,40015,10041,,
276,3,4,3,0,15,40015,10041,,
277,3,5,4,0,15,40015,10041,,
278,3,6,5,0,15,40015,10041,,
279,3,7,6,0,15,40015,10041,,
280,3,8,7,0,15,40015,10041,,
281,3,9,8,0,15,40015,10046,,
282,3,10,9,0,15,40015,10043,,
283,3,11,10,0,15,40015,10041,,
284,3,12,11,0,15,40015,10041,,
285,3,13,12,0,15,40015,10041,,
286,3,14,13,0,15,40015,10041,,
287,3,15,14,0,15,40015,10041,,
288,3,16,15,0,15,40015,10046,,
289,3,17,0,1,15,40015,10044,,
290,3,18,1,1,16,40016,,,
291,3,19,2,1,17,40017,,,
292,3,20,3,1,18,40018,,,
293,3,21,4,1,15,40015,,,
294,3,22,5,1,14,40014,30034,,
295,3,23,6,1,15,40015,30044,,
296,3,24,7,1,15,40015,10051,,
297,3,25,8,1,16,40016,,,
298,3,26,9,1,15,40015,10044,,
299,3,27,10,1,18,40018,,,
300,3,28,11,1,19,40019,,,
301,3,29,12,1,14,40014,30042,,
302,3,30,13,1,16,40016,,,
303,3,31,14,1,15,40015,10051,,
304,3,32,15,1,0,,,,
305,3,33,0,2,15,40015,10052,,
306,3,34,1,2,16,40016,,,
307,3,35,2,2,15,40015,10036,,
308,3,36,3,2,17,40017,,,
309,3,37,4,2,14,40014,30030,,
310,3,38,5,2,15,40015,30031,,
311,3,39,6,2,18,40018,,,
312,3,40,7,2,14,40014,10036,,
313,3,41,8,2,15,40015,10053,,
314,3,42,9,2,15,40015,10052,,
315,3,43,10,2,17,40017,,,
316,3,44,11,2,15,40015,10036,,
317,3,45,12,2,18,40018,,,
318,3,46,13,2,14,40014,30033,,
319,3,47,14,2,15,40015,,,
320,3,48,15,2,15,40015,10053,,
321,3,49,0,3,15,40015,10044,,
322,3,50,1,3,16,40016,,,
323,3,51,2,3,15,40015,10036,,
324,3,52,3,3,14,40014,30027,,
325,3,53,4,3,15,40015,30028,,
326,3,54,5,3,14,40014,30029,,
327,3,55,6,3,15,40015,10036,,
328,3,56,7,3,15,40015,10051,,
329,3,57,8,3,16,40016,,,
330,3,58,9,3,15,40015,10044,,
331,3,59,10,3,16,40016,,,
332,3,60,11,3,14,40014,,,
333,3,61,12,3,15,40015,30021,,
334,3,62,13,3,14,40014,30022,,
335,3,63,14,3,15,40015,10051,,
336,3,64,15,3,0,,,,
337,3,65,0,4,15,40015,10052,,
338,3,66,1,4,19,40019,,,
339,3,67,2,4,16,40016,,,
340,3,68,3,4,14,40014,30043,,
341,3,69,4,4,15,40015,30025,,
342,3,70,5,4,14,40014,30026,,
343,3,71,6,4,17,40017,,,
344,3,72,7,4,18,40018,,,
345,3,73,8,4,15,40015,10053,,
346,3,74,9,4,15,40015,10052,,
347,3,75,10,4,17,40017,,,
348,3,76,11,4,15,40015,10036,,
349,3,77,12,4,14,40014,,,
350,3,78,13,4,15,40015,,,
351,3,79,14,4,14,40014,,,
352,3,80,15,4,15,40015,10053,,
353,3,81,0,5,15,40015,10042,,
354,3,82,1,5,15,40015,10041,,
355,3,83,2,5,15,40015,10041,,
356,3,84,3,5,15,40015,10041,,
357,3,85,4,5,15,40015,10054,30024,
358,3,86,5,5,15,40015,10041,,
359,3,87,6,5,15,40015,10041,,
360,3,88,7,5,15,40015,10045,,
361,3,89,8,5,16,40016,,,
362,3,90,9,5,15,40015,10042,,
363,3,91,10,5,15,40015,10041,,
364,3,92,11,5,15,40015,10041,,
365,3,93,12,5,15,40015,10054,30020,
366,3,94,13,5,15,40015,10041,,
367,3,95,14,5,15,40015,10045,,
368,3,96,15,5,0,,,,
369,3,97,0,6,0,,,,
370,3,98,1,6,15,40015,10019,,
371,3,99,2,6,15,40015,10019,,
372,3,100,3,6,15,40015,10019,,
373,3,101,4,6,15,40015,,,
374,3,102,5,6,15,40015,,,
375,3,103,6,6,15,40015,10019,,
376,3,104,7,6,15,40015,10019,,
377,3,105,8,6,15,40015,10019,,
378,3,106,9,6,15,40015,10019,,
379,3,107,10,6,15,40015,10019,,
380,3,108,11,6,15,40015,10019,,
381,3,109,12,6,15,40015,,,
382,3,110,13,6,15,40015,,,
383,3,111,14,6,15,40015,10019,,
384,3,112,15,6,0,,,,
385,3,113,0,7,0,,,,
386,3,114,1,7,14,40014,30063,30064,
387,3,115,2,7,17,40017,,,
388,3,116,3,7,18,40018,,,
389,3,117,4,7,15,40015,30035,30032,
390,3,118,5,7,19,40019,,,
391,3,119,6,7,16,40016,,,
392,3,120,7,7,16,40016,,,
393,3,121,8,7,15,40015,,,
394,3,122,9,7,14,40014,,,
395,3,123,10,7,17,40017,,,
396,3,124,11,7,18,40018,,,
397,3,125,12,7,15,40015,30018,,
398,3,126,13,7,19,40019,,,
399,3,127,14,7,0,,,,
400,3,128,15,7,0,,,,
401,3,129,0,8,0,,,,
402,3,130,1,8,15,40015,,,
403,3,131,2,8,14,40014,30001,,
404,3,132,3,8,15,40015,,,
405,3,133,4,8,14,40014,30003,,
406,3,134,5,8,15,40015,,,
407,3,135,6,8,16,40016,,,
408,3,136,7,8,15,40015,30036,,
409,3,137,8,8,16,40016,,,
410,3,138,9,8,14,40014,30040,,
411,3,139,10,8,15,40015,,,
412,3,140,11,8,14,40014,30016,,
413,3,141,12,8,15,40015,,,
414,3,142,13,8,17,40017,,,
415,3,143,14,8,14,40014,30017,,
416,3,144,15,8,15,40015,30041,,
417,3,145,0,9,14,40014,30059,,
418,3,146,1,9,18,40018,,,
419,3,147,2,9,19,40019,,,
420,3,148,3,9,16,40016,,,
421,3,149,4,9,17,40017,,,
422,3,150,5,9,18,40018, ,,
423,3,151,6,9,15,40015,30023,,
424,3,152,7,9,17,40017,,,
425,3,153,8,9,14,40014,,,
426,3,154,9,9,18,40018,,,
427,3,155,10,9,15,40015,30014,,
428,3,156,11,9,19,40019,,,
429,3,157,12,9,14,40014,30049,,
430,3,158,13,9,16,40016,,,
431,3,159,14,9,15,40015,30015,,
432,3,160,15,9,0,,,,
433,3,161,0,10,0,,,,
434,3,162,1,10,14,40014,,,
435,3,163,2,10,15,40015,30002,,
436,3,164,3,10,14,40014,,,
437,3,165,4,10,15,40015,30004,,
438,3,166,5,10,14,40014,,,
439,3,167,6,10,15,40015,,,
440,3,168,7,10,17,40017,,,
441,3,169,8,10,18,40018,,,
442,3,170,9,10,19,40019,,,
443,3,171,10,10,14,40014,30037,,
444,3,172,11,10,15,40015,30012,,
445,3,173,12,10,14,40014,30039,,
446,3,174,13,10,15,40015,,,
447,3,175,14,10,14,40014,30013,,
448,3,176,15,10,0,,,,
449,3,177,0,11,0,,,,
450,3,178,1,11,0,,,,
451,3,179,2,11,19,40019,,,
452,3,180,3,11,16,40016,,,
453,3,181,4,11,15,40015,,,
454,3,182,5,11,14,40014,,,
455,3,183,6,11,15,40015,,,
456,3,184,7,11,14,40014,30005,,
457,3,185,8,11,15,40015,,,
458,3,186,9,11,17,40017,,,
459,3,187,10,11,18,40018,,,
460,3,188,11,11,14,40014,,,
461,3,189,12,11,15,40015,,,
462,3,190,13,11,14,40014,,,
463,3,191,14,11,0,,,,
464,3,192,15,11,0,,,,
465,3,193,0,12,0,,,,
466,3,194,1,12,0,,,,
467,3,195,2,12,0,,,,
468,3,196,3,12,14,40014,10019,,
469,3,197,4,12,15,40015,30045,,
470,3,198,5,12,14,40014,30046,,
471,3,199,6,12,15,40015,10019,,
472,3,200,7,12,14,40014,10019,,
473,3,201,8,12,15,40015,,,
474,3,202,9,12,14,40014,30006,,
475,3,203,10,12,15,40015,,,
476,3,204,11,12,17,40017,,,
477,3,205,12,12,14,40014,30010,,
478,3,206,13,12,15,40015,30011,,
479,3,207,14,12,0,,,,
480,3,208,15,12,0,,,,
481,3,209,0,13,0,,,,
482,3,210,1,13,0,,,,
483,3,211,2,13,15,40015,,30051,
484,3,212,3,13,14,40014,10040,,
485,3,213,4,13,15,40015,,,
486,3,214,5,13,14,40014,10040,,
487,3,215,6,13,15,40015,,,
488,3,216,7,13,14,40014,10037,,
489,3,217,8,13,15,40015,10037,,
490,3,218,9,13,14,40014,,,
491,3,219,10,13,15,40015,,,
492,3,220,11,13,14,40014,,,
493,3,221,12,13,15,40015,30007,,
494,3,222,13,13,0,,,,
495,3,223,14,13,0,,,,
496,3,224,15,13,0,,,,
497,3,225,0,14,0,,,,
498,3,226,1,14,0,,,,
499,3,227,2,14,0,,,,
500,3,228,3,14,15,40015,,30050,
501,3,229,4,14,14,40014,,,
502,3,230,5,14,15,40015,,30057,
503,3,231,6,14,14,40014,,30052,
504,3,232,7,14,15,40015,10025,,
505,3,233,8,14,14,40014,10025,,
506,3,234,9,14,15,40015,10037,,
507,3,235,10,14,14,40014,,,
508,3,236,11,14,15,40015,,,
509,3,237,12,14,17,40017,,,
510,3,238,13,14,15,40015,30008,,
511,3,239,14,14,0,,,,
512,3,240,15,14,0,,,,
513,3,241,0,15,0,,,,
514,3,242,1,15,0,,,,
515,3,243,2,15,0,,,,
516,3,244,3,15,14,40014,,30060,
517,3,245,4,15,15,40015,,30061,
518,3,246,5,15,14,40014,,,
519,3,247,6,15,15,40015,,,
520,3,248,7,15,14,40014,,,
521,3,249,8,15,15,40015,,,
522,3,250,9,15,14,40014,10037,,
523,3,251,10,15,15,40015,30009,,
524,3,252,11,15,17,40017,,,
525,3,253,12,15,14,40014,30056,,
526,3,254,13,15,15,40015,30062,,
527,3,255,14,15,0,,,,
528,3,256,15,15,0,,,,
529,3,257,0,16,0,,,,
530,3,258,1,16,0,,,,
531,3,259,2,16,0,,,,
532,3,260,3,16,14,40014,30053,,
533,3,261,4,16,15,40015,30047,30058,
534,3,262,5,16,14,40014,30048,,
535,3,263,6,16,15,40015,30054,,
536,3,264,7,16,14,40014,10029,,
537,3,265,8,16,18,40018,10029,,
538,3,266,9,16,15,40015,10029,,
539,3,267,10,16,14,40014,10037,,
540,3,268,11,16,15,40015,30038,,
541,3,269,12,16,19,40019,,,
542,3,270,13,16,0,,,,
543,3,271,14,16,0,,,,
544,3,272,15,16,0,,,,
545,4,1,0,0,0,,,,
546,4,2,1,0,0,,,,
547,4,3,2,0,0,,,,
548,4,4,3,0,0,,,,
549,4,5,4,0,6,40006,,,
550,4,6,5,0,6,40006,,,
551,4,7,6,0,1,40001,,40003,
552,4,8,7,0,1,40001,,,
553,4,9,8,0,1,40001,,40052,
554,4,10,9,0,6,40006,,,
555,4,11,10,0,6,40006,,,
556,4,12,11,0,1,40001,,40049,
557,4,13,12,0,2,40002,,40045,
558,4,14,13,0,2,40002,,,
559,4,15,14,0,0,,,,
560,4,16,15,0,0,,,,
561,4,17,0,1,0,,,,
562,4,18,1,1,1,40001,40048,,
563,4,19,2,1,1,40001,,,
564,4,20,3,1,2,40002,,,
565,4,21,4,1,1,40001,,40037,
566,4,22,5,1,1,40001,,40002,
567,4,23,6,1,6,40006,,,
568,4,24,7,1,2,40002,,,
569,4,25,8,1,3,40003,40033,,
570,4,26,9,1,1,40001,40042,,
571,4,27,10,1,2,40002,,,
572,4,28,11,1,1,40001,40035,40045,
573,4,29,12,1,1,40001,,,
574,4,30,13,1,1,40001,40034,40034,
575,4,31,14,1,0,,,,
576,4,32,15,1,0,,,,
577,4,33,0,2,0,,,,
578,4,34,1,2,2,40002,,,
579,4,35,2,2,6,40006,,,
580,4,36,3,2,1,40001,40001,,
581,4,37,4,2,3,40003,,,
582,4,38,5,2,4,40004,40047,,
583,4,39,6,2,2,40002,,,
584,4,40,7,2,1,40001,,,
585,4,41,8,2,1,40001,40031,,
586,4,42,9,2,20,40020,,,
587,4,43,10,2,21,40021,,,
588,4,44,11,2,21,40021,,,
589,4,45,12,2,21,40021,,,
590,4,46,13,2,22,40022,,,
591,4,47,14,2,1,40001,40032,,
592,4,48,15,2,0,,,,
593,4,49,0,3,0,,,,
594,4,50,1,3,1,40001,40038,,
595,4,51,2,3,6,40006,,,
596,4,52,3,3,2,40002,,,
597,4,53,4,3,6,40006,,,
598,4,54,5,3,2,40002,,,
599,4,55,6,3,2,40002,,,
600,4,56,7,3,1,40001,40029,,
601,4,57,8,3,23,40023,,,
602,4,58,9,3,24,40024,,,
603,4,59,10,3,24,40024,,,
604,4,60,11,3,24,40024,,,
605,4,61,12,3,24,40024,,,
606,4,62,13,3,25,40025,,,
607,4,63,14,3,1,40001,40030,,
608,4,64,15,3,0,,,,
609,4,65,0,4,0,,,,
610,4,66,1,4,2,40002,,,
611,4,67,2,4,3,40003,,,
612,4,68,3,4,1,40001,40005,,
613,4,69,4,4,1,40001,40051,,
614,4,70,5,4,4,40004,,,
615,4,71,6,4,1,40001,10029,,
616,4,72,7,4,6,40006,,,
617,4,73,8,4,1,40001,40027,,
618,4,74,9,4,26,40026,,,
619,4,75,10,4,27,40027,,,
620,4,76,11,4,27,40027,,,
621,4,77,12,4,27,40027,,,
622,4,78,13,4,28,40028,,,
623,4,79,14,4,1,40001,40028,,
624,4,80,15,4,0,,,,
625,4,81,0,5,0,,,,
626,4,82,1,5,2,40002,,,
627,4,83,2,5,6,40006,,,
628,4,84,3,5,2,40002,,,
629,4,85,4,5,6,40006,,,
630,4,86,5,5,1,40001,40004,,
631,4,87,6,5,2,40002,,,
632,4,88,7,5,6,40006,,,
633,4,89,8,5,1,40001,40025,,
634,4,90,9,5,3,40003,,,
635,4,91,10,5,1,40001,40023,,
636,4,92,11,5,1,40001,40024,,
637,4,93,12,5,4,40004,,,
638,4,94,13,5,1,40001,40026,,
639,4,95,14,5,2,40002,,,
640,4,96,15,5,0,,,,
641,4,97,0,6,0,,,,
642,4,98,1,6,1,40001,10003,,
643,4,99,2,6,1,40001,40039,,
644,4,100,3,6,1,40001,40013,,
645,4,101,4,6,1,40001,,,
646,4,102,5,6,6,40006,,,
647,4,103,6,6,1,40001,40006,,
648,4,104,7,6,3,40003,,,
649,4,105,8,6,2,40002,,,
650,4,106,9,6,6,40006,,,
651,4,107,10,6,2,40002,,,
652,4,108,11,6,1,40001,40022,,
653,4,109,12,6,6,40006,,,
654,4,110,13,6,2,40002,,,
655,4,111,14,6,6,40006,,,
656,4,112,15,6,0,,,,
657,4,113,0,7,0,,,,
658,4,114,1,7,6,40006,,,
659,4,115,2,7,1,40001,40014,,
660,4,116,3,7,4,40004,,,
661,4,117,4,7,2,40002,,,
662,4,118,5,7,1,40001,,,
663,4,119,6,7,3,40003,,,
664,4,120,7,7,4,40004,,,
665,4,121,8,7,1,40001,40016,,
666,4,122,9,7,1,40001,,,
667,4,123,10,7,3,40003,,,
668,4,124,11,7,1,40001,,,
669,4,125,12,7,4,40004,,,
670,4,126,13,7,1,40001,10025,,
671,4,127,14,7,1,40001,,,
672,4,128,15,7,0,,,,
673,4,129,0,8,0,,,,
674,4,130,1,8,3,40003,,,
675,4,131,2,8,6,40006,,,
676,4,132,3,8,2,40002,,,
677,4,133,4,8,1,40001,40010,,
678,4,134,5,8,1,40001,40007,,
679,4,135,6,8,4,40004,,,
680,4,136,7,8,1,40001,10025,,
681,4,137,8,8,1,40001,,,
682,4,138,9,8,6,40006,,,
683,4,139,10,8,2,40002,,,
684,4,140,11,8,1,40001,40017,,
685,4,141,12,8,6,40006,,,
686,4,142,13,8,1,40001,40018,,
687,4,143,14,8,2,40002,,,
688,4,144,15,8,0,,,,
689,4,145,0,9,0,,,,
690,4,146,1,9,3,40003,,,
691,4,147,2,9,1,40001,40041,,
692,4,148,3,9,2,40002,,,
693,4,149,4,9,4,40004,,,
694,4,150,5,9,6,40006,,,
695,4,151,6,9,1,40001,40008,,
696,4,152,7,9,1,40001,40009,,
697,4,153,8,9,0,,,,
698,4,154,9,9,6,40006,,,
699,4,155,10,9,2,40002,,,
700,4,156,11,9,1,40001,,,
701,4,157,12,9,6,40006,,,
702,4,158,13,9,1,40001,40021,,
703,4,159,14,9,3,40003,,,
704,4,160,15,9,0,,,,
705,4,161,0,10,0,,,,
706,4,162,1,10,0,,,,
707,4,163,2,10,1,40001,10003,,
708,4,164,3,10,1,40001,40015,,
709,4,165,4,10,1,40001,40012,,
710,4,166,5,10,4,40004,,,
711,4,167,6,10,2,40002,,,
712,4,168,7,10,1,40001,40011,,
713,4,169,8,10,0,,,,
714,4,170,9,10,0,,,,
715,4,171,10,10,1,40001,10003,,
716,4,172,11,10,1,40001,40019,,
717,4,173,12,10,1,40001,40020,,
718,4,174,13,10,6,40006,,,
719,4,175,14,10,1,40001,40044,,
720,4,176,15,10,0,,,,
721,4,177,0,11,0,,,,
722,4,178,1,11,0,,,,
723,4,179,2,11,2,40002,,,
724,4,180,3,11,6,40006,,,
725,4,181,4,11,1,40001,,,
726,4,182,5,11,2,40002,,,
727,4,183,6,11,1,40001,40040,,
728,4,184,7,11,3,40003,,,
729,4,185,8,11,6,40006,,,
730,4,186,9,11,2,40002,,,
731,4,187,10,11,4,40004,,,
732,4,188,11,11,1,40001,40043,,
733,4,189,12,11,1,40001,,,
734,4,190,13,11,0,,,,
735,4,191,14,11,0,,,,
736,4,192,15,11,0,,,,
737,5,1,0,0,0,,,,
738,5,2,1,0,0,,,,
739,5,3,2,0,0,,,,
740,5,4,3,0,0,,,,
741,5,5,4,0,0,,,,
742,5,6,5,0,0,,,,
743,5,7,6,0,0,,,,
744,5,8,7,0,0,,,,
745,5,9,8,0,0,,,,
746,5,10,9,0,0,,,,
747,5,11,10,0,0,,,,
748,5,12,11,0,0,,,,
749,5,13,12,0,0,,,,
750,5,14,13,0,0,,,,
751,5,15,14,0,0,,,,
752,5,16,15,0,0,,,,
753,5,17,16,0,0,,,,
754,5,18,17,0,0,,,,
