id,group,classify,level,base-type-1,base-way-1,base-value-1,
72,1003,1,12,3,1,560,
73,1004,2,1,7,1,40,
74,1004,2,2,7,1,80,
75,1004,2,3,7,1,120,
76,1004,2,4,7,1,160,
77,1004,2,5,7,1,200,
78,1004,2,6,7,1,240,
79,1004,2,7,7,1,280,
80,1004,2,8,7,1,320,
81,1004,2,9,7,1,360,
82,1004,2,10,7,1,400,
83,1004,2,11,7,1,440,
84,1004,2,12,7,1,480,
85,1004,1,1,7,1,40,
86,1004,1,2,7,1,80,
87,1004,1,3,7,1,120,
88,1004,1,4,7,1,160,
89,1004,1,5,7,1,210,
90,1004,1,6,7,1,260,
91,1004,1,7,7,1,310,
92,1004,1,8,7,1,360,
93,1004,1,9,7,1,410,
94,1004,1,10,7,1,460,
95,1004,1,11,7,1,510,
96,1004,1,12,7,1,560,
97,1005,2,1,20,1,40,
98,1005,2,2,20,1,80,
99,1005,2,3,20,1,120,
100,1005,2,4,20,1,160,
101,1005,2,5,20,1,200,
102,1005,2,6,20,1,240,
103,1005,2,7,20,1,280,
104,1005,2,8,20,1,320,
105,1005,2,9,20,1,360,
106,1005,2,10,20,1,400,
107,1005,2,11,20,1,440,
108,1005,2,12,20,1,480,
109,1005,1,1,20,1,40,
110,1005,1,2,20,1,80,
111,1005,1,3,20,1,120,
112,1005,1,4,20,1,160,
113,1005,1,5,20,1,210,
114,1005,1,6,20,1,260,
115,1005,1,7,20,1,310,
116,1005,1,8,20,1,360,
117,1005,1,9,20,1,410,
118,1005,1,10,20,1,460,
119,1005,1,11,20,1,510,
120,1005,1,12,20,1,560,
121,1006,2,1,10,1,40,
122,1006,2,2,10,1,80,
123,1006,2,3,10,1,120,
124,1006,2,4,10,1,160,
125,1006,2,5,10,1,200,
126,1006,2,6,10,1,240,
127,1006,2,7,10,1,280,
128,1006,2,8,10,1,320,
129,1006,2,9,10,1,360,
130,1006,2,10,10,1,400,
131,1006,2,11,10,1,440,
132,1006,2,12,10,1,480,
133,1006,1,1,10,1,40,
134,1006,1,2,10,1,80,
135,1006,1,3,10,1,120,
136,1006,1,4,10,1,160,
137,1006,1,5,10,1,210,
138,1006,1,6,10,1,260,
139,1006,1,7,10,1,310,
140,1006,1,8,10,1,360,
141,1006,1,9,10,1,410,
142,1006,1,10,10,1,460,
143,1006,1,11,10,1,510,
144,1006,1,12,10,1,560,
145,1007,2,1,14,1,80,
146,1007,2,2,14,1,160,
147,1007,2,3,14,1,240,
148,1007,2,4,14,1,320,
149,1007,2,5,14,1,400,
150,1007,2,6,14,1,480,
151,1007,2,7,14,1,560,
152,1007,2,8,14,1,640,
153,1007,2,9,14,1,720,
154,1007,2,10,14,1,800,
155,1007,2,11,14,1,880,
156,1007,2,12,14,1,960,
157,1007,1,1,14,1,80,
158,1007,1,2,14,1,160,
159,1007,1,3,14,1,240,
160,1007,1,4,14,1,320,
161,1007,1,5,14,1,420,
162,1007,1,6,14,1,520,
163,1007,1,7,14,1,620,
164,1007,1,8,14,1,720,
165,1007,1,9,14,1,820,
166,1007,1,10,14,1,920,
167,1007,1,11,14,1,1020,
168,1007,1,12,14,1,1120,
169,1008,2,1,15,1,80,
170,1008,2,2,15,1,160,
171,1008,2,3,15,1,240,
172,1008,2,4,15,1,320,
173,1008,2,5,15,1,400,
174,1008,2,6,15,1,480,
175,1008,2,7,15,1,560,
176,1008,2,8,15,1,640,
177,1008,2,9,15,1,720,
178,1008,2,10,15,1,800,
179,1008,2,11,15,1,880,
180,1008,2,12,15,1,960,
181,1008,1,1,15,1,80,
182,1008,1,2,15,1,160,
183,1008,1,3,15,1,240,
184,1008,1,4,15,1,320,
185,1008,1,5,15,1,420,
186,1008,1,6,15,1,520,
187,1008,1,7,15,1,620,
188,1008,1,8,15,1,720,
189,1008,1,9,15,1,820,
190,1008,1,10,15,1,920,
191,1008,1,11,15,1,1020,
192,1008,1,12,15,1,1120,
193,1009,2,1,19,1,40,
194,1009,2,2,19,1,80,
195,1009,2,3,19,1,120,
196,1009,2,4,19,1,160,
197,1009,2,5,19,1,200,
198,1009,2,6,19,1,240,
199,1009,2,7,19,1,280,
200,1009,2,8,19,1,320,
201,1009,2,9,19,1,360,
202,1009,2,10,19,1,400,
203,1009,2,11,19,1,440,
204,1009,2,12,19,1,480,
205,1009,1,1,19,1,40,
206,1009,1,2,19,1,80,
207,1009,1,3,19,1,120,
208,1009,1,4,19,1,160,
209,1009,1,5,19,1,210,
210,1009,1,6,19,1,260,
211,1009,1,7,19,1,310,
212,1009,1,8,19,1,360,
213,1009,1,9,19,1,410,
214,1009,1,10,19,1,460,
215,1009,1,11,19,1,510,
216,1009,1,12,19,1,560,
217,1010,2,1,16,1,40,
218,1010,2,2,16,1,80,
219,1010,2,3,16,1,120,
220,1010,2,4,16,1,160,
221,1010,2,5,16,1,200,
222,1010,2,6,16,1,240,
223,1010,2,7,16,1,280,
224,1010,2,8,16,1,320,
225,1010,2,9,16,1,360,
226,1010,2,10,16,1,400,
227,1010,2,11,16,1,440,
228,1010,2,12,16,1,480,
229,1010,1,1,16,1,40,
230,1010,1,2,16,1,80,
231,1010,1,3,16,1,120,
232,1010,1,4,16,1,160,
233,1010,1,5,16,1,210,
234,1010,1,6,16,1,260,
235,1010,1,7,16,1,310,
236,1010,1,8,16,1,360,
237,1010,1,9,16,1,410,
238,1010,1,10,16,1,460,
239,1010,1,11,16,1,510,
240,1010,1,12,16,1,560,
241,1011,2,1,17,1,40,
242,1011,2,2,17,1,80,
243,1011,2,3,17,1,120,
244,1011,2,4,17,1,160,
245,1011,2,5,17,1,200,
246,1011,2,6,17,1,240,
247,1011,2,7,17,1,280,
248,1011,2,8,17,1,320,
249,1011,2,9,17,1,360,
250,1011,2,10,17,1,400,
251,1011,2,11,17,1,440,
252,1011,2,12,17,1,480,
253,1011,1,1,17,1,40,
254,1011,1,2,17,1,80,
255,1011,1,3,17,1,120,
256,1011,1,4,17,1,160,
257,1011,1,5,17,1,210,
258,1011,1,6,17,1,260,
259,1011,1,7,17,1,310,
260,1011,1,8,17,1,360,
261,1011,1,9,17,1,410,
262,1011,1,10,17,1,460,
263,1011,1,11,17,1,510,
264,1011,1,12,17,1,560,
265,1012,2,1,18,1,40,
266,1012,2,2,18,1,80,
267,1012,2,3,18,1,120,
268,1012,2,4,18,1,160,
269,1012,2,5,18,1,200,
270,1012,2,6,18,1,240,
271,1012,2,7,18,1,280,
272,1012,2,8,18,1,320,
273,1012,2,9,18,1,360,
274,1012,2,10,18,1,400,
275,1012,2,11,18,1,440,
276,1012,2,12,18,1,480,
277,1012,1,1,18,1,40,
278,1012,1,2,18,1,80,
279,1012,1,3,18,1,120,
280,1012,1,4,18,1,160,
281,1012,1,5,18,1,210,
282,1012,1,6,18,1,260,
283,1012,1,7,18,1,310,
284,1012,1,8,18,1,360,
285,1012,1,9,18,1,410,
286,1012,1,10,18,1,460,
287,1012,1,11,18,1,510,
288,1012,1,12,18,1,560,
289,1013,2,1,24,1,80,
290,1013,2,2,24,1,160,
291,1013,2,3,24,1,240,
292,1013,2,4,24,1,320,
293,1013,2,5,24,1,400,
294,1013,2,6,24,1,480,
295,1013,2,7,24,1,560,
296,1013,2,8,24,1,640,
297,1013,2,9,24,1,720,
298,1013,2,10,24,1,800,
299,1013,2,11,24,1,880,
300,1013,2,12,24,1,960,
301,1013,1,1,24,1,80,
302,1013,1,2,24,1,160,
303,1013,1,3,24,1,240,
304,1013,1,4,24,1,320,
305,1013,1,5,24,1,420,
306,1013,1,6,24,1,520,
307,1013,1,7,24,1,620,
308,1013,1,8,24,1,720,
309,1013,1,9,24,1,820,
310,1013,1,10,24,1,920,
311,1013,1,11,24,1,1020,
312,1013,1,12,24,1,1120,
313,1014,2,1,23,1,80,
314,1014,2,2,23,1,160,
315,1014,2,3,23,1,240,
316,1014,2,4,23,1,320,
317,1014,2,5,23,1,400,
318,1014,2,6,23,1,480,
319,1014,2,7,23,1,560,
320,1014,2,8,23,1,640,
321,1014,2,9,23,1,720,
322,1014,2,10,23,1,800,
323,1014,2,11,23,1,880,
324,1014,2,12,23,1,960,
325,1014,1,1,23,1,80,
326,1014,1,2,23,1,160,
327,1014,1,3,23,1,240,
328,1014,1,4,23,1,320,
329,1014,1,5,23,1,420,
330,1014,1,6,23,1,520,
331,1014,1,7,23,1,620,
332,1014,1,8,23,1,720,
333,1014,1,9,23,1,820,
334,1014,1,10,23,1,920,
335,1014,1,11,23,1,1020,
336,1014,1,12,23,1,1120,
337,1015,2,1,5,1,40,
338,1015,2,2,5,1,80,
339,1015,2,3,5,1,120,
340,1015,2,4,5,1,160,
341,1015,2,5,5,1,200,
342,1015,2,6,5,1,240,
343,1015,2,7,5,1,280,
344,1015,2,8,5,1,320,
345,1015,2,9,5,1,360,
346,1015,2,10,5,1,400,
347,1015,2,11,5,1,440,
348,1015,2,12,5,1,480,
349,1015,1,1,5,1,40,
350,1015,1,2,5,1,80,
351,1015,1,3,5,1,120,
352,1015,1,4,5,1,160,
353,1015,1,5,5,1,210,
354,1015,1,6,5,1,260,
355,1015,1,7,5,1,310,
356,1015,1,8,5,1,360,
357,1015,1,9,5,1,410,
358,1015,1,10,5,1,460,
359,1015,1,11,5,1,510,
360,1015,1,12,5,1,560,
361,1016,2,1,6,1,80,
362,1016,2,2,6,1,160,
363,1016,2,3,6,1,240,
364,1016,2,4,6,1,320,
365,1016,2,5,6,1,400,
366,1016,2,6,6,1,480,
367,1016,2,7,6,1,560,
368,1016,2,8,6,1,640,
369,1016,2,9,6,1,720,
370,1016,2,10,6,1,800,
371,1016,2,11,6,1,880,
372,1016,2,12,6,1,960,
373,1016,1,1,6,1,80,
374,1016,1,2,6,1,160,
375,1016,1,3,6,1,240,
376,1016,1,4,6,1,320,
377,1016,1,5,6,1,420,
378,1016,1,6,6,1,520,
379,1016,1,7,6,1,620,
380,1016,1,8,6,1,720,
381,1016,1,9,6,1,820,
382,1016,1,10,6,1,920,
383,1016,1,11,6,1,1020,
384,1016,1,12,6,1,1120,
385,1001,3,1,2,1,40,
386,1001,3,2,2,1,80,
387,1001,3,3,2,1,120,
388,1001,3,4,2,1,160,
389,1001,3,5,2,1,210,
390,1001,3,6,2,1,260,
391,1001,3,7,2,1,310,
392,1001,3,8,2,1,360,
393,1001,3,9,2,1,410,
394,1001,3,10,2,1,460,
395,1001,3,11,2,1,510,
396,1001,3,12,2,1,560,
397,1002,3,1,1,1,40,
398,1002,3,2,1,1,80,
399,1002,3,3,1,1,120,
400,1002,3,4,1,1,160,
401,1002,3,5,1,1,210,
402,1002,3,6,1,1,260,
403,1002,3,7,1,1,310,
404,1002,3,8,1,1,360,
405,1002,3,9,1,1,410,
406,1002,3,10,1,1,460,
407,1002,3,11,1,1,510,
408,1002,3,12,1,1,560,
409,1003,3,1,3,1,40,
410,1003,3,2,3,1,80,
411,1003,3,3,3,1,120,
412,1003,3,4,3,1,160,
413,1003,3,5,3,1,210,
414,1003,3,6,3,1,260,
415,1003,3,7,3,1,310,
416,1003,3,8,3,1,360,
417,1003,3,9,3,1,410,
418,1003,3,10,3,1,460,
419,1003,3,11,3,1,510,
420,1003,3,12,3,1,560,
421,1004,3,1,7,1,40,
422,1004,3,2,7,1,80,
423,1004,3,3,7,1,120,
424,1004,3,4,7,1,160,
425,1004,3,5,7,1,210,
426,1004,3,6,7,1,260,
427,1004,3,7,7,1,310,
428,1004,3,8,7,1,360,
429,1004,3,9,7,1,410,
430,1004,3,10,7,1,460,
431,1004,3,11,7,1,510,
432,1004,3,12,7,1,560,
433,1005,3,1,20,1,40,
434,1005,3,2,20,1,80,
435,1005,3,3,20,1,120,
436,1005,3,4,20,1,160,
437,1005,3,5,20,1,210,
438,1005,3,6,20,1,260,
439,1005,3,7,20,1,310,
440,1005,3,8,20,1,360,
441,1005,3,9,20,1,410,
442,1005,3,10,20,1,460,
443,1005,3,11,20,1,510,
444,1005,3,12,20,1,560,
445,1006,3,1,10,1,40,
446,1006,3,2,10,1,80,
447,1006,3,3,10,1,120,
448,1006,3,4,10,1,160,
449,1006,3,5,10,1,210,
450,1006,3,6,10,1,260,
451,1006,3,7,10,1,310,
452,1006,3,8,10,1,360,
453,1006,3,9,10,1,410,
454,1006,3,10,10,1,460,
455,1006,3,11,10,1,510,
456,1006,3,12,10,1,560,
457,1007,3,1,14,1,80,
458,1007,3,2,14,1,160,
459,1007,3,3,14,1,240,
460,1007,3,4,14,1,320,
461,1007,3,5,14,1,420,
462,1007,3,6,14,1,520,
463,1007,3,7,14,1,620,
464,1007,3,8,14,1,720,
465,1007,3,9,14,1,820,
466,1007,3,10,14,1,920,
467,1007,3,11,14,1,1020,
468,1007,3,12,14,1,1120,
469,1008,3,1,15,1,80,
470,1008,3,2,15,1,160,
471,1008,3,3,15,1,240,
472,1008,3,4,15,1,320,
473,1008,3,5,15,1,420,
474,1008,3,6,15,1,520,
475,1008,3,7,15,1,620,
476,1008,3,8,15,1,720,
477,1008,3,9,15,1,820,
478,1008,3,10,15,1,920,
479,1008,3,11,15,1,1020,
480,1008,3,12,15,1,1120,
481,1009,3,1,19,1,40,
482,1009,3,2,19,1,80,
483,1009,3,3,19,1,120,
484,1009,3,4,19,1,160,
485,1009,3,5,19,1,210,
486,1009,3,6,19,1,260,
487,1009,3,7,19,1,310,
488,1009,3,8,19,1,360,
489,1009,3,9,19,1,410,
490,1009,3,10,19,1,460,
491,1009,3,11,19,1,510,
492,1009,3,12,19,1,560,
493,1010,3,1,16,1,40,
494,1010,3,2,16,1,80,
495,1010,3,3,16,1,120,
496,1010,3,4,16,1,160,
497,1010,3,5,16,1,210,
498,1010,3,6,16,1,260,
499,1010,3,7,16,1,310,
500,1010,3,8,16,1,360,
501,1010,3,9,16,1,410,
502,1010,3,10,16,1,460,
503,1010,3,11,16,1,510,
504,1010,3,12,16,1,560,
505,1011,3,1,17,1,40,
506,1011,3,2,17,1,80,
507,1011,3,3,17,1,120,
508,1011,3,4,17,1,160,
509,1011,3,5,17,1,210,
510,1011,3,6,17,1,260,
511,1011,3,7,17,1,310,
512,1011,3,8,17,1,360,
513,1011,3,9,17,1,410,
514,1011,3,10,17,1,460,
515,1011,3,11,17,1,510,
516,1011,3,12,17,1,560,
517,1012,3,1,18,1,40,
518,1012,3,2,18,1,80,
519,1012,3,3,18,1,120,
520,1012,3,4,18,1,160,
521,1012,3,5,18,1,210,
522,1012,3,6,18,1,260,
523,1012,3,7,18,1,310,
524,1012,3,8,18,1,360,
525,1012,3,9,18,1,410,
526,1012,3,10,18,1,460,
527,1012,3,11,18,1,510,
528,1012,3,12,18,1,560,
529,1013,3,1,24,1,80,
530,1013,3,2,24,1,160,
531,1013,3,3,24,1,240,
532,1013,3,4,24,1,320,
533,1013,3,5,24,1,420,
534,1013,3,6,24,1,520,
535,1013,3,7,24,1,620,
536,1013,3,8,24,1,720,
537,1013,3,9,24,1,820,
538,1013,3,10,24,1,920,
539,1013,3,11,24,1,1020,
540,1013,3,12,24,1,1120,
541,1014,3,1,23,1,80,
542,1014,3,2,23,1,160,
543,1014,3,3,23,1,240,
544,1014,3,4,23,1,320,
545,1014,3,5,23,1,420,
546,1014,3,6,23,1,520,
547,1014,3,7,23,1,620,
548,1014,3,8,23,1,720,
549,1014,3,9,23,1,820,
550,1014,3,10,23,1,920,
551,1014,3,11,23,1,1020,
552,1014,3,12,23,1,1120,
553,1015,3,1,5,1,40,
554,1015,3,2,5,1,80,
555,1015,3,3,5,1,120,
556,1015,3,4,5,1,160,
557,1015,3,5,5,1,210,
558,1015,3,6,5,1,260,
559,1015,3,7,5,1,310,
560,1015,3,8,5,1,360,
561,1015,3,9,5,1,410,
562,1015,3,10,5,1,460,
563,1015,3,11,5,1,510,
564,1015,3,12,5,1,560,
565,1016,3,1,6,1,80,
566,1016,3,2,6,1,160,
567,1016,3,3,6,1,240,
568,1016,3,4,6,1,320,
569,1016,3,5,6,1,420,
570,1016,3,6,6,1,520,
571,1016,3,7,6,1,620,
572,1016,3,8,6,1,720,
573,1016,3,9,6,1,820,
574,1016,3,10,6,1,920,
575,1016,3,11,6,1,1020,
576,1016,3,12,6,1,1120,
