id,hint,
0,s==17|Thao tác thất bại,
5027,s==25|Thần vị này đã chiếm lĩnh,
5028,s==29|Thần vị này đang bị thử thách,
5029,s==22|Chủ công xin bình tĩnh,
5030,s==28|Ngài đã là chủ tháp tầng này,
5031,s==46|Mở khóa khi vượt qua tầng 400 Tháp Thông Thiên,
5032,s==28|Chủ đài tầng này đã thay đổi,
5033,s==25|Chủ đài này không tồn tại,
5034,s==23|Số sao cần mua không đủ,
6000,s==41|Người chơi này đã nằm trong danh sách đen,
6001,s==41|Đã gửi đơn xin kết bạn với người chơi này,
6002,s==32|Không thể kết bạn với chính mình,
6003,s==33|Chưa được đối phương thêm làm bạn,
6004,s==54|Hệ thống hữu hảo vượt quá số thao tác đồng thời tối đa,
6005,s==39|Đã trở thành hữu hảo với người chơi này,
6006,s==36|Chưa phải hữu hảo với người chơi này,
6007,s==37|Xin chọn hữu hảo để tặng điểm hữu hảo,
6008,s==29|Lượt tặng hôm nay đã dùng hết,
6009,s==36|Đã tặng điểm hữu hảo cho hữu hảo này,
6010,s==24|Danh sách hữu hảo đã đầy,
6011,s==20|Danh sách đen đã đầy,
6012,s==30|Điểm hữu hảo hiện tại không đủ,
7000,s==44|Chủ công nói quá nhiều lời trong một hơi rồi,
8000,s==36|Chủ công chưa tham gia hoạt động này,
8001,s==43|Số ngày đăng nhập tích lũy hiện tại chưa đủ,
8002,s==37|Số ngày nạp tích lũy hiện tại chưa đủ,
8003,s==33|Gói phúc lợi cuối tuần đã hết hạn,
8004,s==46|Thời gian nhận gói phúc lợi cuối tuần chưa đến,
8005,s==22|Lượt ban phúc không đủ,
8006,s==25|Lượt ban phúc đã dùng hết,
8007,s==21|Hoạt động đã kết thúc,
8008,s==13|Quân cờ đã mở,
8009,s==30|Vật phẩm Đồng Tâm Kết không đủ,
8010,s==30|Số lần làm mới đã đạt giới hạn,
8011,s==31|Chưa hoàn thành tất cả nhiệm vụ,
8012,s==35|Hôm nay không còn lượt gieo xúc xắc,
8013,s==54|Lượt gieo xúc xắc của bàn xúc xắc đã chọn đạt giới hạn,
8014,s==20|Chủ công đã yến tiệc,
8015,s==38|Xin chọn toàn bộ danh sách nguyện vọng,
8016,s==31|Danh sách nguyện vọng chưa chọn,
8017,s==17|Kim chén không đủ,
9000,s==24|Tên quân đoàn đã tồn tại,
9001,s==40|Chủ công tạm thời chưa có quyền thao tác,
9002,s==62|Thời gian ngoại tuyến của quân đoàn trưởng chưa đủ để luận tội,
9003,s==41|Người chơi này đã gia nhập quân đoàn khác,
9004,s==47|Thời gian hồi chiêu đổi quân đoàn chưa kết thúc,
9005,s==37|Quân đoàn trưởng không thể bị loại bỏ,
9006,s==46|Người chơi này không phải phó quân đoàn trưởng,
9007,s==41|Người chơi này đã là phó quân đoàn trưởng,
9008,s==48|Chức phó quân đoàn trưởng đã đạt giới hạn tối đa,
9009,s==42|Chủ công tự thân chính là quân đoàn trưởng,
9010,s==33|Hiện tại quân đoàn nhân số đã đầy,
9011,s==37|Quân đoàn địch tướng dữ liệu sai lệch,
9012,s==64|Cấp bậc kỹ năng quân đoàn cao nhất vượt quá cấp thấp nhất 15 cấp,
9013,s==33|Chủ công hôm nay đã hiến tặng rồi,
9014,s==31|Ô kỹ năng này đã được khai sáng,
9015,s==34|Chủ công đã cướp qua bao lì xì này,
9016,s==26|Lượt thử thách đã dùng hết,
9017,s==23|Quân đoàn không tồn tại,
9018,s==31|Lượt phát bao lì xì đã dùng hết,
9019,s==25|Bao lì xì đã bị cướp sạch,
9020,s==36|Tiến độ hiến tặng quân đoàn không đủ,
9021,s==42|Chưa thử thách qua chương phụ bản hiện tại,
9022,s==29|Lượt bái phục đã đạt giới hạn,
9023,s==11|Đã bái phục,
9024,s==31|Quân đoàn tranh bá chưa khai mở,
9025,s==59|Trong thời gian quân đoàn tranh bá không được rời quân đoàn,
9026,s==46|Quân đoàn này chưa tham gia quân đoàn tranh bá,
9027,s==31|Thông tin đơn xin không tồn tại,
9028,s==32|Quân đoàn tranh bá chưa kết toán,
9029,s==56|Chỉ có binh sĩ hoạt động trong quân đoàn mới có thể nhận,
9030,s==41|Rương kết toán đã bị người chơi khác nhận,
9031,s==24|Không thỏa mãn điều kiện,
9032,s==25|Đã vượt quá số sao tối đa,
9033,s==29|Điểm chiến lược không tồn tại,
9034,s==37|Điểm chiến lược đã hết lượt thử thách,
9035,s==36|Người chơi này không thuộc quân đoàn,
9036,s==33|Điểm chiến lược đang bị thử thách,
9037,s==49|Phải còn lại quân đoàn trưởng mới có thể giải tán,
10001,s==15|Không có đạo cụ,
10002,s==23|Chưa đạt cấp độ mở khóa,
10003,s==19|Phần thưởng đã nhận,
10004,s==18|Đã từng điểm thích,
10005,s==27|Lượt điểm thích đã dùng hết,
10006,s==45|Xếp hạng trường tập chưa đạt thứ hạng sự kiện,
10007,s==59|Vấn đỉnh Trung Nguyên vòng này không phải giai đoạn dự đoán,
10008,s==45|Vấn đỉnh Trung Nguyên vòng này đã dự đoán rồi,
11000,s==22|Thần binh chưa khai mở,
11001,s==24|Thần binh chưa giải khóa,
11002,s==22|Thần binh đã giải khóa,
11003,s==34|Nhiệm vụ thần binh chưa hoàn thành,
12000,s==39|Nguyên liệu hợp thành trang bị không đủ,
12001,s==22|Trang bị không thể đổi,
12002,s==37|Ít nhất cần hai tướng ấn để hợp thành,
12003,s==32|Hợp thành tướng ấn cần cùng loại,
12004,s==27|Vận may cần để đổi không đủ,
12005,s==37|Nguyên liệu tái chế tướng ấn không đủ,
12006,s==48|Lần tinh luyện cần để nâng sao phụ kiện không đủ,
12007,s==40|Đạo cụ cần để nâng cấp phụ kiện không đủ,
12008,s==40|Đạo cụ cần để nâng sao phụ kiện không đủ,
12009,s==41|Đạo cụ cần để tẩy luyện phụ kiện không đủ,
12010,s==42|Đạo cụ cần để chuyển đổi phụ kiện không đủ,
12011,s==39|Chỉ có thể chuyển đổi phụ kiện cùng sao,
12012,s==36|Đạo cụ thám hiểm tinh thạch không đủ,
12013,s==38|Tinh thạch hiện tại không thể nâng cấp,
12014,s==35|Đạo cụ nâng cấp tinh thạch không đủ,
12015,s==47|Loại tinh thạch tiêu hao để nâng cấp không đúng,
12016,s==59|Tinh thạch truyền thừa bị truyền thừa thuộc tính không đúng,
12017,s==56|Thuộc tính mục tiêu truyền thừa tinh thạch không tồn tại,
12018,s==73|Tinh thạch mục tiêu truyền thừa có thuộc tính trùng không thể truyền thừa,
12019,s==38|Đạo cụ truyền thừa tinh thạch không đủ,
12020,s==90|Thuộc tính mục tiêu truyền thừa và thuộc tính bị truyền thừa giống nhau mà giá trị lớn hơn,
12021,s==36|Đạo cụ hợp thành tinh thạch không đủ,
12022,s==57|Trong trận pháp không thể khảm nhiều tinh thạch cùng loại,
12023,s==108|Túi sao thạch đã đầy， cần phải phân giải hoặc hợp thành một phần sao thạch rồi mới có thể tiếp tục thám hiểm,
12024,s==29|Không thể tiếp tục thần luyện,
12025,s==26|Đạo cụ thần luyện không đủ,
12026,s==40|Thám hiểm phù thạch đã đạt giới hạn lượt,
13000,s==30|Kinh nghiệm tướng cần không đủ,
13001,s==22|Đồng tiền cần không đủ,
13002,s==43|Chủ công chưa hoàn thành xác thực danh tính,
13003,s==28|Tên nhân vật nhập đã tồn tại,
13004,s==52|Tên nhân vật không được chứa ký tự、 hoặc từ nhạy cảm,
13005,s==48|Tên nhân vật ngắn nhất hai chữ、 dài nhất sáu chữ,
15000,s==25|Lượt chiến nhanh không đủ,
15001,s==16|ải chưa vượt qua,
15002,s==28|Chưa đạt tiến độ nhận thưởng,
15003,s==30|Phần thưởng trực tuyến đã nhận,
18000,s==38|Nhiệm vụ kỳ duyên nhận được trống rỗng,
18001,s==37|Trạng thái nhiệm vụ kỳ duyên sai lệch,
18002,s==41|Kỳ ngộ tiếp nhận sở cầu công tích bất túc,
18003,s==33|Kỳ ngộ võ tướng bất mãn điều kiện,
18004,s==33|Kỳ ngộ gia tốc sở cầu KNB bất túc,
18005,s==11|KNB bất túc,
19000,s==10|Dã mua quá,
19001,s==26|Mua lần số đã đạt giới hạn,
19002,s==39|Chủ công thượng vị mua đặc quyền lễ bao,
20000,s==44|Chủ công lũy tích điểm danh thiên số bất túc,
20001,s==35|Chủ công kim nhật dĩ kinh điểm danh,
20002,s==48|Chủ công điểm danh dĩ lũy tích đến tối đa lần số,
20003,s==39|Chủ công thượng vị kích hoạt nguyệt thẻ,
20004,s==33|Chỉ hữu mua quỹ kim hậu năng lĩnh,
20005,s==16|Kích hoạt mã lỗi,
20006,s==20|Kích hoạt mã vô hiệu,
20007,s==18|Tiến cử mã vô hiệu,
20008,s==34|Tiến cử thưởng lãi dĩ đạt giới hạn,
20009,s==58|Thái loại lễ bao ngã dĩ đổi hoặc thử lễ bao dĩ sử dụng quá,
20011,s==22|Lễ bao mã dĩ thất hiệu,
20012,s==13|Lễ bao mã lỗi,
20013,s==13|Lễ bao mã lỗi,
20014,s==19|Lễ bao mã dĩ quá kỳ,
20015,s==37|Nhận thất bại，phần thưởng đã nhận hết,
20016,s==41|Cấp bậc chưa đủ， xin chư vị cố gắng thêm.,
20017,s==38|Nhận thất bại，phần thưởng đã được nhận,
21000,s==26|Chủ công thượng vị bố trận,
21001,s==31|Địch phương cứ điểm dĩ công phá,
21002,s==35|Tiền chế cứ điểm thượng vị công phá,
21003,s==26|Võ tướng dĩ kinh trận vong,
21004,s==30|Thái vấn đề dĩ kinh đáp án quá,
21005,s==22|Đặc thù đạo cụ bất túc,
21006,s==22|Sử dụng lần số bất túc,
21007,s==18|Huyết lượng dĩ mãn,
21008,s==18|Thưởng lãi dĩ lĩnh,
21009,s==27|Cứ điểm công phá số bất túc,
21010,s==18|Tài nguyên bất túc,
21011,s==16|Bất thị võ tướng,
21012,s==31|Đương tiền dĩ thị cuối quan các,
21013,s==28|Hạnh vận xí tử dĩ hoàn thành,
21014,s==17|Tinh số bất túc ồ,
21015,s==45|Mua đẳng hành quân thương phẩm đạo cụ bất túc,
21016,s==37|Hành quân thương điếm vô thử vật phẩm,
21017,s==25|Thái vật phẩm dĩ thâu mại,
21018,s==34|Đương tiền chương hồi vị giải khóa,
21019,s==32|Đương tiền quan các vị giải khóa,
21020,s==40|Dĩ kinh thông quan tối đa tinh số liễu ồ,
21021,s==26|Bảo tương y chi dĩ bị lĩnh,
21022,s==22|Sử dụng lần số bất túc,
21023,s==25|Thương phẩm dĩ thâu không,
21024,s==16|Độc dược bất túc,
21025,s==22|Thỉnh tiên thượng trận,
21026,s==69|Ngã sử lịch sử tối cao chiến lực vị đạt nhất kiết khiêu chiến yêu cầu,
21027,s==63|Tiết báo! Bổn tầng quan các thủ tướng dĩ bị toàn diện kích bại!,
22000,s==24|Sai lầm lễ bao loại hình,
22001,s==16|Lễ bao dĩ quá kỳ,
22002,s==17|Vị mua thử lễ bao,
23000,s==16|Thư kiện tồn tại,
23001,s==37|Vô đủ túi cách lĩnh thư kiện vật phẩm,
23002,s==11|Thư dĩ lĩnh,
23003,s==20|Thư thưởng lãi không,
25000,s==48|Chiến công thạch tinh cấp thưởng lãi bất tồn tại,
25001,s==19|Vô phù hợp võ tướng,
26000,s==12|Tinh cấp lỗi,
26001,s==27|Nhu yếu tương đồng võ tướng,
26002,s==25|Võ tướng số lượng bất đối,
26003,s==27|Trí hoán trận doanh hạn chế,
26004,s==61|Tướng mục tiêu phải là sao năm khởi thủy，và sở hữu tứ kỹ năng,
27000,s==28|Cải hoán đầu tượng khung lỗi,
27001,s==25|Cải hoán xưng hiệu ID lỗi,
27002,s==26|Thái võ tướng vị giải khóa,
27010,s==29|Trí hoán võ tướng bất tồn tại,
27011,s==53|Trí hoán võ tướng trạng thái bất vị thường trạng thái,
27012,s==44|Tướng đã bị khóa，không thể tham gia đổi chác,
27013,s==28|Trí hoán mẫu bản bất tồn tại,
27014,s==25|Trí hoán vật phẩm bất túc,
27015,s==34|Tụ hiền thương thành mẫu bản không,
27016,s==49|Tụ hiền thương thành mua sở cầu tích phân bất túc,
28000,s==29|Đương tiền trận doanh bất đối,
28001,s==45|Ải hiện tại chưa vượt qua，không thể quét sạch,
28002,s==57|Đương tiền Kinh Châu chi chiến khiêu chiến lần số bất túc,
28003,s==24|Khiêu chiến quan các lỗi,
28004,s==35|Hôm nay mua lượt thử thách không đủ,
28005,s==31|KNB mua lượt thử thách không đủ,
28006,s==44|Một lần thử thách cần đã vượt qua toàn bộ ải,
28007,s==53|Lượt thử thách còn lại cho một lần thử thách không đủ,
28008,s==37|Lỗi binh đoàn trong một lần thử thách,
29000,s==33|Lỗi sao tướng mở khóa bảo vật này,
29001,s==32|Đạo cụ nâng cấp bảo vật không đủ,
29002,s==33|Đạo cụ thăng cấp bảo vật không đủ,
29003,s==29|Bảo vật này chưa được mở khóa,
29004,s==31|Bảo vật này đã đạt cấp cao nhất,
29005,s==39|Lỗi binh đoàn tướng mở khóa bảo vật này,
29006,s==31|Bảo vật này đã đạt bậc cao nhất,
29007,s==35|Bảo vật này không thể thiết lập lại,
29008,s==26|Tướng này đã có trong trận,
30000,s==21|Tướng đã có phó tướng,
30001,s==34|Phó tướng đã bị tướng khác sử dụng,
30002,s==25|Tướng chưa chọn phó tướng,
30003,s==27|Phó tướng này không tồn tại,
30004,s==29|Phó tướng đã đạt cấp cao nhất,
30005,s==39|Nguyên liệu nâng cấp phó tướng không đủ,
32000,s==23|Mãn Di xâm nhập chưa mở,
32001,s==51|Ít nhất phải thử thách một lần mới có thể quét sạch,
33000,s==24|Hữu hảo không trực tuyến,
33001,s==33|Hữu hảo đã đạt số lần chọn tối đa,
33002,s==34|Thời gian hồi chọn hữu hảo chưa đủ,
33003,s==27|Hữu hảo chưa chọn trận hình,
33004,s==33|Lượt vận tải hiện tại đã dùng hết,
33005,s==28|Đang hải hành xin chờ trở về,
33006,s==26|Chất lượng đã đạt giới hạn,
33007,s==27|Thương thuyền không tồn tại,
33008,s==18|Lượt chặn không đủ,
33009,s==42|Đối phương đang được bảo hộ không thể chặn,
33010,s==43|Không thể chặn thương thuyền của chính mình,
33011,s==48|Không thể chặn thương thuyền do chính mình hộ vệ,
33012,s==58|Không thể chặn thương thuyền của thành viên quân đoàn mình,
33013,s==56|Thương thuyền vận tải này đang chiến đấu xin thử lại sau,
33014,s==66|Phần thưởng hộ vệ thương thuyền này đã là thấp nhất không thể chặn,
33015,s==26|Lượt tế lễ đã đạt giới hạn,
33016,s==11|Đã trục vớt,
33017,s==39|Trục vớt thất bại xác tàu không tồn tại,
33018,s==22|Đã chọn hỗ trợ hữu hảo,
33019,s==58|Thương thuyền chất lượng này không thể được chọn làm hộ vệ,
33020,s==60|Quân chủ hiện không có thương thuyền vận tải đang được hộ vệ,
33021,s==79|Chặn đường vẫn đang trong thời gian hồi chiêu， xin chủ công chờ lát nữa thử lại,
33022,s==62|Thuyền bảo Hoàng Cân đã rời đi， không thể tiến hành chặn đường,
33023,s==86|Chủ công ngài thật tài tình trong việc thu lợi， trước về dỡ hàng， ngày mai tiếp tục đi,
35001,s==17|Tinh lực không đủ,
36001,s==28|Xếp hạng trường tập không đủ,
36002,s==31|KNB mua lượt thử thách không đủ,
36003,s==18|Lượt khen không đủ,
36004,s==22|Đã khen người chơi này,
36005,s==23|Không có lượt thử thách,
36006,s==17|Hoạt động chưa mở,
36007,s==54|Xếp hạng của bằng hữu đã thay đổi， xin làm mới đối thủ,
36008,s==20|Xin bố trí trận hình,
37001,s==32|Ít nhất cần có một tướng ra trận,
37002,s==33|Mỗi lần tối đa có thể hạ 10 tướng,
37003,s==45|Tướng 4 sao trở lên không thể một lần hạ trận,
37004,s==18|Chưa đặt phù tướng,
37005,s==14|Chưa đặt tướng,
37006,s==15|Chưa chọn tướng,
38001,s==23|Cần một tướng nước Ngụy,
38002,s==23|Cần một tướng nước Thục,
38003,s==22|Cần một tướng nước Ngô,
38004,s==18|Cần một tướng Thần,
38005,s==16|Cần một tướng Ma,
38006,s==21|Cần một tướng {0} sao,
38007,s==44|Không có tướng nào thỏa mãn tất cả điều kiện,
38008,s==21|Tướng đã đạt giới hạn,
38009,s==20|Phái xuất thành công,
38010,s==26|Tình báo hiện tại không đủ,
39000,s==76|Nâng cấp thần binh cấp bậc， có thể nâng giới hạn sử dụng bảo thạch thần binh,
39001,s==33|Đúc hồn thần binh đã đạt giới hạn,
39002,s==31|Xin chọn số lượng sử dụng trước,
39003,s==27|Linh lực thần binh không đủ,
40001,s==36|Chiến hồn đã đạt cấp tối đa hiện tại,
40002,s==22|Cấp chiến hồn không đủ,
40003,s==37|Thăng cấp chiến hồn đã đạt cấp tối đa,
40004,s==32|Chiến hồn đã được tướng khác đeo,
40005,s==28|Trạng thái đeo chiến hồn lỗi,
40006,s==39|Xin hãy nâng cấp cấp độ Chiến Hồn trước,
40007,s==26|Chiến Hồn đã được trang bị,
40008,s==21|Sao Võ Tướng không đủ,
43001,s==35|Chương Viễn Chinh chưa được mở khóa,
43002,s==24|Chưa tấn công chương này,
43003,s==12|Vị trí ô sai,
43004,s==19|Không thể di chuyển,
43005,s==23|Sự kiện ô đã hoàn thành,
43006,s==18|Loại sự kiện ô sai,
43007,s==16|Ô không hiển thị,
43008,s==32|Quân doanh không có Võ Tướng này,
43009,s==22|Lộ trình kích hoạt sai,
43010,s==24|Đã chiêu mộ Võ Tướng này,
43011,s==21|Dữ liệu quân địch sai,
43012,s==25|Không có võ tướng tử trận,
43013,s==32|Không có Võ Tướng cần trị thương,
43014,s==27|Võ Tướng đã toàn bộ tử trận,
44001,s==20|Vị trí trống chờ đợi,
45001,s==27|Không có Võ Tướng tương ứng,
45002,s==21|Trang phục đã tồn tại,
45003,s==21|Trang phục đã hết hạn,
45004,s==47|Chỉ có trang phục vĩnh viễn mới có thể nâng cấp,
45005,s==20|Đã đạt cấp độ tối đa,
46001,s==38|Hiện tại không phải giai đoạn chuẩn bị,
46002,s==12|Chưa đăng ký,
46003,s==39|Hiện tại không phải giai đoạn chiến đấu,
46004,s==39|Hiện tại không phải giai đoạn hành quân,
46005,s==18|Chưa chọn phe phái,
46006,s==10|Thiếu chip,
46007,s==12|Chưa bố trận,
46008,s==37|Hiện tại không phải giai đoạn đăng ký,
46009,s==39|Hiện tại không có đội dự đoán chiến đấu,
47000,s==30|Đang trong quá trình giám định,
47001,s==44|Hiện tại không có mảnh chương đang giám định,
47002,s==37|Thiếu Tướng Phù để nâng cấp giám định,
47003,s==36|Tiêu hao để nâng cấp Kỳ Thư không đủ,
47004,s==37|Tiêu hao để thăng cấp Kỳ Thư không đủ,
47005,s==32|Tiêu hao để  sao Kỳ Mưu không đủ,
47006,s==29|Ô kỹ năng Kỳ Thư chưa mở khóa,
47007,s==37|Kỳ Mưu này không tồn tại trong Kỳ Thư,
47008,s==33|Tiêu hao mua mảnh Kỳ Mưu không đủ,
47009,s==28|Thời gian giám định chưa đến,
47010,s==23|Đã có kỹ năng cùng loại,
48001,s==40|Nguyên Bảo bất túc， bất khả mua chặn lần,
48002,s==43|Chặn lần đã đạt mua thượng hạn， bất khả mua,
48003,s==38|Chất lượng thuyền hàng đã được làm mới,
48004,s==51|Mua tế phẩm sở nhu đồng tiền bất túc， bất khả tế tự,
48005,s==52|Mua tế phẩm sở nhu nguyên bảo bất túc， bất khả tế tự,
48006,s==27|Ô đã có Võ Tướng tham chiến,
48007,s==24|Sai Võ Tướng hạ trận ở ô,
48008,s==39|Võ Tướng này đã gia nhập ô Hội Tụ Nghĩa,
48009,s==41|Võ Tướng này chưa gia nhập ô Hội Tụ Nghĩa,
48010,s==70|Tụ Nghĩa Đình đẳng cấp bất phù hợp yêu cầu， bất khả thủ động thăng cấp,
48011,s==55|Đã đạt giới hạn cấp độ tối đa của Hội Tụ Nghĩa hiện tại,
48012,s==49|Vượt quá giới hạn cấp độ tối đa giữa các phe phái,
48013,s==36|Vượt quá giới hạn cấp độ Lực Địa Sát,
48014,s==32|Xin hãy lần lượt thắp sáng các ô,
48015,s==15|Thắp sáng ô sai,
48016,s==38|Lực Thiên Cương đã đạt cấp độ cao nhất,
48017,s==26|Lỗi kết nghĩa Hội Tụ Nghĩa,
48018,s==36|Cần giải trừ quan hệ kết nghĩa trước,
48019,s==44|Võ Tướng cùng ID chỉ được trang bị một người,
48020,s==23|Không cần thiết lập lại,
48021,s==31|Số ngày mở Hội Tụ Nghĩa chưa đủ,
48022,s==34|Võ Tướng Hội Tụ không thể nâng cấp,
48023,s==42|Võ Tướng kết nghĩa không thể tháo trang bị,
48024,s==60|Võ Tướng kết nghĩa không thể trang bị hoặc thay thế trang bị,
48025,s==39|Võ Tướng Hội Tụ không thể thiết lập lại,
49001,s==57|Thần Binh nâng cấp đến cấp 4 sẽ mở khóa chức năng Đúc Hồn,
49002,s==23|Đạo cụ Đúc Hồn không đủ,
50001,s==57|Nguyên Bảo bất túc， bất khả tiến hành khóa định tẩy luyện,
50002,s==29|Xin chọn trang sức chuyển hóa,
50003,s==32|Đá tinh luyện trang sức không đủ,
51000,s==16|Xin điền tên đội,
51001,s==23|Tên đội đã được sử dụng,
51002,s==20|Ngươi đã ở trong đội,
51003,s==17|Chưa gia nhập đội,
51004,s==74|Khi đội trưởng trực tuyến chỉ đội trưởng mới có thể chọn thứ tự xuất chiến,
51005,s==15|Đội đã đủ người,
51006,s==31|Hệ thống mời người chơi chưa mở,
51007,s==21|Đội ngũ không tồn tại,
51008,s==37|Không đạt yêu cầu chiến lực tối thiểu,
51009,s==35|Không đạt yêu cầu cấp bậc tối thiểu,
51010,s==31|Người chơi đã gia nhập đội khác,
51011,s==41|Thời gian hiện tại không phải kỳ kết liên,
