id,name,sceneId,sectionId,nextId,battle,rounds,iconPath,mapPositionX,mapPositionY,attContribution,attCopper,killContribution,killUnionExp,rankLayer,rankCopper,rankContribution,
300270,s==4|神·袁绍,30003,27,300280,300127,5,,250,120,63,72720,202,100,1|2|3|10|15|20|999,68302|61471|54641|40981|36882|33193|29873,9240|8630|8010|6160|4930|3700|3080,
300280,s==3|孙尚香,30001,28,300290,300128,5,,250,120,65,74740,202,100,1|2|3|10|15|20|999,69095|62185|55276|41457|37311|33579|30221,9240|8630|8010|6160|4930|3700|3080,
300290,s==4|神·张角,30002,29,300300,300129,5,,250,120,67,76760,202,100,1|2|3|10|15|20|999,69898|62908|55918|41938|37744|33969|30572,9240|8630|8010|6160|4930|3700|3080,
300300,s==2|庞德,30003,30,300310,300130,5,,250,120,69,78780,202,100,1|2|3|10|15|20|999,70710|63639|56568|42426|38183|34364|30927,10150|9470|8800|6770|5410|4060|3380,
300310,s==4|神·陆逊,30001,31,300320,300131,5,,250,120,71,80800,202,100,1|2|3|10|15|20|999,71532|64378|57225|42919|38627|34764|31287,10150|9470|8800|6770|5410|4060|3380,
300320,s==4|神·关羽,30002,32,300330,300132,5,,250,120,73,82820,202,100,1|2|3|10|15|20|999,72363|65126|57890|43417|39075|35167|31650,10150|9470|8800|6770|5410|4060|3380,
300330,s==4|魔·陈宫,30003,33,300340,300133,5,,250,120,75,84840,202,100,1|2|3|10|15|20|999,73204|65883|58563|43922|39529|35576|32018,10150|9470|8800|6770|5410|4060|3380,
300340,s==4|魔·华雄,30001,34,300350,300134,5,,250,120,77,86860,202,100,1|2|3|10|15|20|999,74054|66648|59243|44432|39988|35989|32390,10150|9470|8800|6770|5410|4060|3380,
300350,s==4|魔·吕布,30002,35,300360,300135,5,,250,120,79,88880,202,100,1|2|3|10|15|20|999,74915|67423|59932|44949|40454|36408|32767,10150|9470|8800|6770|5410|4060|3380,
300360,s==4|魔·祝融,30003,36,300370,300136,5,,250,120,81,90900,202,100,1|2|3|10|15|20|999,75785|68206|60628|45471|40923|36830|33147,10150|9470|8800|6770|5410|4060|3380,
300370,s==5|魔·张春华,30001,37,300380,300137,5,,250,120,83,92920,202,100,1|2|3|10|15|20|999,76666|68999|61332|45999|41399|37259|33533,10150|9470|8800|6770|5410|4060|3380,
300380,s==4|魔·曹操,30002,38,300390,300138,5,,250,120,85,94940,202,100,1|2|3|10|15|20|999,77557|69801|62045|46534|41880|37692|33922,10150|9470|8800|6770|5410|4060|3380,
300390,s==2|典韦,30003,39,300400,300139,5,,250,120,87,96960,202,100,1|2|3|10|15|20|999,78458|70612|62766|47074|42366|38129|34316,10150|9470|8800|6770|5410|4060|3380,
300400,s==2|张郃,30001,40,300410,300140,5,,250,120,89,98980,202,100,1|2|3|10|15|20|999,79370|71433|63496|47622|42859|38573|34715,11060|10320|9580|7370|5900|4420|3690,
300410,s==2|王异,30002,41,300420,300141,5,,250,120,91,101000,202,100,1|2|3|10|15|20|999,80292|72262|64233|48175|43357|39021|35118,11060|10320|9580|7370|5900|4420|3690,
300420,s==2|典韦,30003,42,300430,300142,5,,250,120,93,103020,202,100,1|2|3|10|15|20|999,81225|73102|64980|48735|43861|39474|35526,11060|10320|9580|7370|5900|4420|3690,
300430,s==2|张辽,30001,43,300440,300143,5,,250,120,95,105040,202,100,1|2|3|10|15|20|999,82169|73952|65735|49301|44370|39933|35939,11060|10320|9580|7370|5900|4420|3690,
300440,s==4|魔·华雄,30002,44,300450,300144,5,,250,120,97,107060,202,100,1|2|3|10|15|20|999,83123|74810|66498|49873|44885|40396|36356,11060|10320|9580|7370|5900|4420|3690,
300450,s==4|魔·祝融,30003,45,300460,300145,5,,250,120,99,109080,202,100,1|2|3|10|15|20|999,84089|75680|67271|50453|45407|40866|36779,11060|10320|9580|7370|5900|4420|3690,
300460,s==2|关羽,30001,46,300470,300146,5,,250,120,101,111100,202,100,1|2|3|10|15|20|999,85066|76559|68052|51039|45935|41341|37206,11060|10320|9580|7370|5900|4420|3690,
300470,s==2|魏延,30002,47,300480,300147,5,,250,120,103,113120,202,100,1|2|3|10|15|20|999,86055|77449|68844|51633|46469|41822|37639,11060|10320|9580|7370|5900|4420|3690,
300480,s==2|赵云,30003,48,300490,300148,5,,250,120,105,115140,202,100,1|2|3|10|15|20|999,87055|78349|69644|52233|47009|42308|38077,11060|10320|9580|7370|5900|4420|3690,
300490,s==4|神·关羽,30001,49,300500,300149,5,,250,120,107,117160,202,100,1|2|3|10|15|20|999,88066|79259|70452|52839|47555|42799|38519,11060|10320|9580|7370|5900|4420|3690,
300500,s==2|徐庶,30002,50,300510,300150,5,,250,120,109,119180,202,100,1|2|3|10|15|20|999,89089|80180|71271|53453|48107|43296|38966,11060|10320|9580|7370|5900|4420|3690,
300510,s==2|庞统,30003,51,300520,300151,5,,250,120,111,121200,202,100,1|2|3|10|15|20|999,90125|81112|72100|54075|48667|43800|39420,11060|10320|9580|7370|5900|4420|3690,
300520,s==2|庞德,30001,52,300530,300152,5,,250,120,113,123220,202,100,1|2|3|10|15|20|999,91172|82054|72937|54703|49232|44308|39877,11060|10320|9580|7370|5900|4420|3690,
300530,s==2|张郃,30002,53,300540,300153,5,,250,120,115,125240,202,100,1|2|3|10|15|20|999,92231|83007|73784|55338|49804|44823|40340,11060|10320|9580|7370|5900|4420|3690,
300540,s==2|王异,30003,54,300550,300154,5,,250,120,117,127260,202,100,1|2|3|10|15|20|999,93303|83972|74642|55981|50382|45343|40808,11060|10320|9580|7370|5900|4420|3690,
300550,s==2|张辽,30001,55,300560,300155,5,,250,120,119,129280,202,100,1|2|3|10|15|20|999,94387|84948|75509|56632|50968|45871|41283,11060|10320|9580|7370|5900|4420|3690,
300560,s==2|典韦,30002,56,300570,300156,5,,250,120,121,131300,202,100,1|2|3|10|15|20|999,95484|85935|76387|57290|51561|46404|41763,11060|10320|9580|7370|5900|4420|3690,
300570,s==3|孙尚香,30003,57,300580,300157,5,,250,120,123,133320,202,100,1|2|3|10|15|20|999,96593|86933|77274|57955|52159|46943|42248,11060|10320|9580|7370|5900|4420|3690,
300580,s==2|甘宁,30001,58,300590,300158,5,,250,120,125,135340,202,100,1|2|3|10|15|20|999,97715|87943|78172|58629|52766|47489|42740,11060|10320|9580|7370|5900|4420|3690,
300590,s==2|周瑜,30002,59,300600,300159,5,,250,120,127,137360,202,100,1|2|3|10|15|20|999,98851|88965|79080|59310|53379|48041|43236,11060|10320|9580|7370|5900|4420|3690,
300600,s==2|黄盖,30003,60,300610,300160,5,,250,120,129,139380,202,100,1|2|3|10|15|20|999,100000|90000|80000|60000|54000|48600|43740,11060|10320|9580|7370|5900|4420|3690,
300610,s==4|神·袁绍,30001,61,300620,300161,5,,250,120,131,141400,202,100,1|2|3|10|15|20|999,101161|91044|80928|60696|54626|49163|44246,11060|10320|9580|7370|5900|4420|3690,
300620,s==3|孙尚香,30002,62,300630,300162,5,,250,120,133,143420,202,100,1|2|3|10|15|20|999,102337|92103|81869|61402|55261|49734|44760,11060|10320|9580|7370|5900|4420|3690,
300630,s==4|神·张角,30003,63,300640,300163,5,,250,120,135,145440,202,100,1|2|3|10|15|20|999,103526|93173|82820|62115|55903|50312|45280,11060|10320|9580|7370|5900|4420|3690,
300640,s==2|赵云,30001,64,300650,300164,5,,250,120,137,147460,202,100,1|2|3|10|15|20|999,104729|94256|83783|62837|56553|50897|45807,11060|10320|9580|7370|5900|4420|3690,
300650,s==4|神·陆逊,30002,65,300660,300165,5,,250,120,139,149480,202,100,1|2|3|10|15|20|999,105946|95351|84756|63567|57210|51489|46340,11060|10320|9580|7370|5900|4420|3690,
300660,s==4|神·关羽,30003,66,300670,300166,5,,250,120,141,151500,202,100,1|2|3|10|15|20|999,107177|96459|85741|64306|57875|52087|46878,11060|10320|9580|7370|5900|4420|3690,
300670,s==4|魔·陈宫,30001,67,300680,300167,5,,250,120,143,153520,202,100,1|2|3|10|15|20|999,108422|97579|86737|65053|58547|52692|47422,11060|10320|9580|7370|5900|4420|3690,
300680,s==4|魔·华雄,30002,68,300690,300168,5,,250,120,145,155540,202,100,1|2|3|10|15|20|999,109682|98713|87745|65809|59228|53305|47974,11060|10320|9580|7370|5900|4420|3690,
300690,s==4|魔·吕布,30003,69,300700,300169,5,,250,120,147,157560,202,100,1|2|3|10|15|20|999,110956|99860|88764|66573|59915|53923|48530,11060|10320|9580|7370|5900|4420|3690,
300700,s==4|魔·祝融,30001,70,300710,300170,5,,250,120,149,159580,202,100,1|2|3|10|15|20|999,112246|101021|89796|67347|60612|54550|49095,11060|10320|9580|7370|5900|4420|3690,
300710,s==5|魔·张春华,30002,71,300720,300171,5,,250,120,151,161600,202,100,1|2|3|10|15|20|999,113550|102195|90840|68130|61317|55185|49666,11060|10320|9580|7370|5900|4420|3690,
300720,s==4|魔·曹操,30003,72,300730,300172,5,,250,120,153,163620,202,100,1|2|3|10|15|20|999,114869|103382|91895|68921|62028|55825|50242,11060|10320|9580|7370|5900|4420|3690,
300730,s==4|神·关羽,30001,73,300740,300173,5,,250,120,155,165640,202,100,1|2|3|10|15|20|999,116204|104583|92963|69722|62749|56474|50826,11060|10320|9580|7370|5900|4420|3690,
300740,s==2|张郃,30002,74,300750,300174,5,,250,120,157,167660,202,100,1|2|3|10|15|20|999,117554|105798|94043|70532|63478|57130|51417,11060|10320|9580|7370|5900|4420|3690,
300750,s==2|王异,30003,75,300760,300175,5,,250,120,159,169680,202,100,1|2|3|10|15|20|999,118920|107028|95136|71352|64216|57794|52014,11060|10320|9580|7370|5900|4420|3690,
300760,s==2|典韦,30001,76,300770,300176,5,,250,120,161,171700,202,100,1|2|3|10|15|20|999,120302|108271|96241|72181|64962|58465|52618,11060|10320|9580|7370|5900|4420|3690,
300770,s==2|张辽,30002,77,300780,300177,5,,250,120,163,173720,202,100,1|2|3|10|15|20|999,121700|109530|97360|73020|65718|59146|53231,11060|10320|9580|7370|5900|4420|3690,
300780,s==4|魔·华雄,30003,78,300790,300178,5,,250,120,165,175740,202,100,1|2|3|10|15|20|999,123114|110802|98491|73868|66481|59832|53848,11060|10320|9580|7370|5900|4420|3690,
300790,s==4|魔·祝融,30001,79,300800,300179,5,,250,120,167,177760,202,100,1|2|3|10|15|20|999,124544|112089|99635|74726|67253|60527|54474,11060|10320|9580|7370|5900|4420|3690,
300800,s==2|关羽,30002,80,300810,300180,5,,250,120,169,179780,202,100,1|2|3|10|15|20|999,125992|113392|100793|75595|68035|61231|55107,11060|10320|9580|7370|5900|4420|3690,
300810,s==2|魏延,30003,81,300820,300181,5,,250,120,171,181800,202,100,1|2|3|10|15|20|999,127456|114710|101964|76473|68825|61942|55747,11060|10320|9580|7370|5900|4420|3690,
300820,s==2|赵云,30001,82,300830,300182,5,,250,120,173,183820,202,100,1|2|3|10|15|20|999,128937|116043|103149|77362|69625|62662|56395,11060|10320|9580|7370|5900|4420|3690,
300830,s==4|神·关羽,30002,83,300840,300183,5,,250,120,175,185840,202,100,1|2|3|10|15|20|999,130435|117391|104348|78261|70434|63390|57051,11060|10320|9580|7370|5900|4420|3690,
300840,s==2|徐庶,30003,84,300850,300184,5,,250,120,177,187860,202,100,1|2|3|10|15|20|999,131950|118755|105560|79170|71253|64127|57714,11060|10320|9580|7370|5900|4420|3690,
300850,s==2|庞统,30001,85,300860,300185,5,,250,120,179,189880,202,100,1|2|3|10|15|20|999,133483|120134|106786|80089|72080|64872|58384,11060|10320|9580|7370|5900|4420|3690,
300860,s==2|庞德,30002,86,300870,300186,5,,250,120,181,191900,202,100,1|2|3|10|15|20|999,135034|121530|108027|81020|72918|65626|59063,11060|10320|9580|7370|5900|4420|3690,
300870,s==2|张郃,30003,87,300880,300187,5,,250,120,183,193920,202,100,1|2|3|10|15|20|999,136604|122943|109283|81962|73765|66388|59749,11060|10320|9580|7370|5900|4420|3690,
300880,s==2|王异,30001,88,300890,300188,5,,250,120,185,195940,202,100,1|2|3|10|15|20|999,138191|124371|110552|82914|74622|67159|60443,11060|10320|9580|7370|5900|4420|3690,
300890,s==2|张辽,30002,89,300900,300189,5,,250,120,187,197960,202,100,1|2|3|10|15|20|999,139796|125816|111836|83877|75489|67940|61146,11060|10320|9580|7370|5900|4420|3690,
300900,s==2|典韦,30003,90,300910,300190,5,,250,120,189,199980,202,100,1|2|3|10|15|20|999,141421|127278|113136|84852|76366|68729|61856,11060|10320|9580|7370|5900|4420|3690,
300910,s==3|孙尚香,30001,91,300920,300191,5,,250,120,191,202000,202,100,1|2|3|10|15|20|999,143064|128757|114451|85838|77254|69528|62575,11060|10320|9580|7370|5900|4420|3690,
300920,s==2|甘宁,30002,92,300930,300192,5,,250,120,193,204020,202,100,1|2|3|10|15|20|999,144726|130253|115780|86835|78151|70335|63301,11060|10320|9580|7370|5900|4420|3690,
300930,s==2|周瑜,30003,93,300940,300193,5,,250,120,195,206040,202,100,1|2|3|10|15|20|999,146408|131767|117126|87844|79059|71153|64037,11060|10320|9580|7370|5900|4420|3690,
300940,s==2|黄盖,30001,94,300950,300194,5,,250,120,197,208060,202,100,1|2|3|10|15|20|999,148109|133298|118487|88865|79978|71980|64782,11060|10320|9580|7370|5900|4420|3690,
300950,s==4|神·袁绍,30002,95,300960,300195,5,,250,120,199,210080,202,100,1|2|3|10|15|20|999,149830|134847|119864|89898|80908|72817|65535,11060|10320|9580|7370|5900|4420|3690,
300960,s==3|孙尚香,30003,96,300970,300196,5,,250,120,201,212100,202,100,1|2|3|10|15|20|999,151571|136413|121256|90942|81847|73662|66295,11060|10320|9580|7370|5900|4420|3690,
300970,s==4|神·张角,30001,97,300980,300197,5,,250,120,203,214120,202,100,1|2|3|10|15|20|999,153332|137998|122665|91999|82799|74519|67067,11060|10320|9580|7370|5900|4420|3690,
300980,s==2|庞统,30002,98,300990,300198,5,,250,120,205,216140,202,100,1|2|3|10|15|20|999,155114|139602|124091|93068|83761|75384|67845,11060|10320|9580|7370|5900|4420|3690,
300990,s==4|神·陆逊,30003,99,301000,300199,5,,250,120,207,218160,202,100,1|2|3|10|15|20|999,156916|141224|125532|94149|84734|76260|68634,11060|10320|9580|7370|5900|4420|3690,
301000,s==4|神·关羽,30001,100,301010,300200,5,,250,120,209,220180,202,100,1|2|3|10|15|20|999,158740|142866|126992|95244|85719|77147|69432,11060|10320|9580|7370|5900|4420|3690,
301010,s==4|魔·陈宫,30002,101,301020,300201,5,,250,120,211,222200,202,100,1|2|3|10|15|20|999,160584|144525|128467|96350|86715|78043|70238,11060|10320|9580|7370|5900|4420|3690,
301020,s==4|魔·华雄,30003,102,301030,300202,5,,250,120,213,224220,202,100,1|2|3|10|15|20|999,162450|146205|129960|97470|87723|78950|71055,11060|10320|9580|7370|5900|4420|3690,
301030,s==4|魔·吕布,30001,103,301040,300203,5,,250,120,215,226240,202,100,1|2|3|10|15|20|999,164338|147904|131470|98602|88741|79866|71879,11060|10320|9580|7370|5900|4420|3690,
301040,s==4|魔·祝融,30002,104,301050,300204,5,,250,120,217,228260,202,100,1|2|3|10|15|20|999,166247|149622|132997|99748|89773|80795|72715,11060|10320|9580|7370|5900|4420|3690,
301050,s==5|魔·张春华,30003,105,301060,300205,5,,250,120,219,230280,202,100,1|2|3|10|15|20|999,168179|151361|134543|100907|90816|81734|73560,11060|10320|9580|7370|5900|4420|3690,
301060,s==4|魔·曹操,30001,106,301070,300206,5,,250,120,221,232300,202,100,1|2|3|10|15|20|999,170133|153119|136106|102079|91871|82683|74414,11060|10320|9580|7370|5900|4420|3690,
301070,s==4|神·关羽,30002,107,301080,300207,5,,250,120,223,234320,202,100,1|2|3|10|15|20|999,172110|154899|137688|103266|92939|83645|75280,11060|10320|9580|7370|5900|4420|3690,
301080,s==2|黄盖,30003,108,301090,300208,5,,250,120,225,236340,202,100,1|2|3|10|15|20|999,174110|156699|139288|104466|94019|84617|76155,11060|10320|9580|7370|5900|4420|3690,
301090,s==2|徐庶,30001,109,301100,300209,5,,250,120,227,238360,202,100,1|2|3|10|15|20|999,176133|158519|140906|105679|95111|85599|77039,11060|10320|9580|7370|5900|4420|3690,
301100,s==2|庞统,30002,110,301110,300210,5,,250,120,229,240380,202,100,1|2|3|10|15|20|999,178179|160361|142543|106907|96216|86594|77934,11060|10320|9580|7370|5900|4420|3690,
301110,s==2|魏延,30003,111,301120,300211,5,,250,120,231,242400,202,100,1|2|3|10|15|20|999,180250|162225|144200|108150|97335|87601|78840,11060|10320|9580|7370|5900|4420|3690,
301120,s==2|赵云,30001,112,301130,300212,5,,250,120,233,244420,202,100,1|2|3|10|15|20|999,182344|164109|145875|109406|98465|88618|79756,11060|10320|9580|7370|5900|4420|3690,
301130,s==2|周瑜,30002,113,301140,300213,5,,250,120,235,246440,202,100,1|2|3|10|15|20|999,184463|166016|147570|110677|99609|89648|80683,11060|10320|9580|7370|5900|4420|3690,
301140,s==2|黄盖,30003,114,301150,300214,5,,250,120,237,248460,202,100,1|2|3|10|15|20|999,186606|167945|149284|111963|100766|90689|81620,11060|10320|9580|7370|5900|4420|3690,
301150,s==4|神·袁绍,30001,115,301160,300215,5,,250,120,239,250480,202,100,1|2|3|10|15|20|999,188774|169896|151019|113264|101937|91743|82568,11060|10320|9580|7370|5900|4420|3690,
301160,s==3|孙尚香,30002,116,301170,300216,5,,250,120,241,252500,202,100,1|2|3|10|15|20|999,190968|171871|152774|114580|103122|92809|83528,11060|10320|9580|7370|5900|4420|3690,
301170,s==2|周瑜,30003,117,301180,300217,5,,250,120,243,254520,202,100,1|2|3|10|15|20|999,193187|173868|154549|115912|104320|93888|84499,11060|10320|9580|7370|5900|4420|3690,
301180,s==4|魔·陈宫,30001,118,301190,300218,5,,250,120,245,256540,202,100,1|2|3|10|15|20|999,195431|175887|156344|117258|105532|94978|85480,11060|10320|9580|7370|5900|4420|3690,
301190,s==4|魔·华雄,30002,119,301200,300219,5,,250,120,247,258560,202,100,1|2|3|10|15|20|999,197702|177931|158161|118621|106758|96082|86473,11060|10320|9580|7370|5900|4420|3690,
301200,s==4|魔·吕布,30003,120,301210,300220,5,,250,120,249,260580,202,100,1|2|3|10|15|20|999,200000|180000|160000|120000|108000|97200|87480,11060|10320|9580|7370|5900|4420|3690,
301210,s==4|魔·曹操,30001,121,,300221,5,,250,120,249,260580,202,100,1|2|3|10|15|20|999,200000|180000|160000|120000|108000|97200|87480,11060|10320|9580|7370|5900|4420|3690,
