id,skillGroup,skillID,nextLvSkillID,preLvSkillID,skillLv,descLV,warPowerPoint,cost-type-1,cost-id-1,cost-value-1,cost-back-1,cost-type-2,cost-id-2,cost-value-2,cost-back-2,cost-type-3,cost-id-3,cost-value-3,cost-back-3,reSet-type-1,reSet-id-1,reSet-value-1,
1,1,20201110,20201120,,1,s==2|初级,1000,2,50101,1,1,,,,,,,,,1,9,20,
44,5,20201540,20201550,20201530,4,s==2|超级,8000,2,50105,3,8,,,,,,,,,1,9,80,
45,5,20201550,,20201540,5,s==2|究极,15000,2,50105,5,13,,,,,,,,,1,9,100,
51,6,20201610,20201620,,1,s==2|初级,1000,2,50106,1,1,,,,,,,,,1,9,20,
52,6,20201620,20201630,20201610,2,s==2|中级,3000,2,50106,2,3,,,,,,,,,1,9,40,
53,6,20201630,20201640,20201620,3,s==2|高级,5000,2,50106,2,5,,,,,,,,,1,9,60,
54,6,20201640,20201650,20201630,4,s==2|超级,8000,2,50106,3,8,,,,,,,,,1,9,80,
55,6,20201650,,20201640,5,s==2|究极,15000,2,50106,5,13,,,,,,,,,1,9,100,
61,7,20201710,20201720,,1,s==2|初级,1000,2,50107,1,1,,,,,,,,,1,9,20,
62,7,20201720,20201730,20201710,2,s==2|中级,3000,2,50107,2,3,,,,,,,,,1,9,40,
63,7,20201730,20201740,20201720,3,s==2|高级,5000,2,50107,2,5,,,,,,,,,1,9,60,
64,7,20201740,20201750,20201730,4,s==2|超级,8000,2,50107,3,8,,,,,,,,,1,9,80,
65,7,20201750,,20201740,5,s==2|究极,15000,2,50107,5,13,,,,,,,,,1,9,100,
71,8,20201810,20201820,,1,s==2|初级,1000,2,50108,1,1,,,,,,,,,1,9,20,
72,8,20201820,20201830,20201810,2,s==2|中级,3000,2,50108,2,3,,,,,,,,,1,9,40,
73,8,20201830,20201840,20201820,3,s==2|高级,5000,2,50108,2,5,,,,,,,,,1,9,60,
74,8,20201840,20201850,20201830,4,s==2|超级,8000,2,50108,3,8,,,,,,,,,1,9,80,
75,8,20201850,,20201840,5,s==2|究极,15000,2,50108,5,13,,,,,,,,,1,9,100,
81,9,20201910,20201920,,1,s==2|初级,1000,2,50109,1,1,,,,,,,,,1,9,20,
82,9,20201920,20201930,20201910,2,s==2|中级,3000,2,50109,2,3,,,,,,,,,1,9,40,
83,9,20201930,20201940,20201920,3,s==2|高级,5000,2,50109,2,5,,,,,,,,,1,9,60,
84,9,20201940,20201950,20201930,4,s==2|超级,8000,2,50109,3,8,,,,,,,,,1,9,80,
85,9,20201950,,20201940,5,s==2|究极,15000,2,50109,5,13,,,,,,,,,1,9,100,
91,10,20202010,20202020,,1,s==2|初级,1000,2,50110,1,1,,,,,,,,,1,9,20,
92,10,20202020,20202030,20202010,2,s==2|中级,3000,2,50110,2,3,,,,,,,,,1,9,40,
93,10,20202030,20202040,20202020,3,s==2|高级,5000,2,50110,2,5,,,,,,,,,1,9,60,
94,10,20202040,20202050,20202030,4,s==2|超级,8000,2,50110,3,8,,,,,,,,,1,9,80,
95,10,20202050,,20202040,5,s==2|究极,15000,2,50110,5,13,,,,,,,,,1,9,100,
101,11,20202110,20202120,,1,s==2|初级,1000,2,50111,1,1,,,,,,,,,1,9,20,
102,11,20202120,20202130,20202110,2,s==2|中级,3000,2,50111,2,3,,,,,,,,,1,9,40,
103,11,20202130,20202140,20202120,3,s==2|高级,5000,2,50111,2,5,,,,,,,,,1,9,60,
104,11,20202140,20202150,20202130,4,s==2|超级,8000,2,50111,3,8,,,,,,,,,1,9,80,
105,11,20202150,,20202140,5,s==2|究极,15000,2,50111,5,13,,,,,,,,,1,9,100,
111,12,20202210,20202220,,1,s==2|初级,1000,2,50112,1,1,,,,,,,,,1,9,20,
112,12,20202220,20202230,20202210,2,s==2|中级,3000,2,50112,2,3,,,,,,,,,1,9,40,
113,12,20202230,20202240,20202220,3,s==2|高级,5000,2,50112,2,5,,,,,,,,,1,9,60,
114,12,20202240,20202250,20202230,4,s==2|超级,8000,2,50112,3,8,,,,,,,,,1,9,80,
115,12,20202250,,20202240,5,s==2|究极,15000,2,50112,5,13,,,,,,,,,1,9,100,
