id,name,type,level,lastHard,hardLevel,fightPower,battleId,boutCount,buyCountCost,firstRewards-type-1,firstRewards-id-1,firstRewards-value-1,firstRewards-type-2,firstRewards-id-2,firstRewards-value-2,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
306,s==3|大将1,3,18,305,4|1,1650000,13006,22,1|9|50,,,,,,,2,3002,25,2,3001,31,,,,
307,s==3|大将2,3,18,306,4|2,2425000,13007,22,1|9|50,,,,,,,2,3002,30,2,3001,31,,,,
308,s==3|枭雄1,3,18,307,5|1,3685000,13008,22,1|9|50,,,,,,,2,3008,1,2,3002,31,,,,
309,s==3|枭雄2,3,18,308,5|2,4610000,13009,22,1|9|50,,,,,,,2,3008,2,2,3002,31,,,,
401,s==2|卫士,4,20,,1|1,0,14001,22,1|9|50,,,,,,,2,1027,5,,,,,,,
402,s==2|校尉,4,20,401,2|1,282500,14002,22,1|9|50,,,,,,,2,1027,7,,,,,,,
403,s==2|中郎,4,20,402,2|2,435000,14003,22,1|9|50,,,,,,,2,1027,9,,,,,,,
404,s==3|领军1,4,20,403,3|1,750000,14004,22,1|9|50,,,,,,,2,1027,11,,,,,,,
405,s==3|领军2,4,20,404,3|2,900000,14005,22,1|9|50,,,,,,,2,1027,13,,,,,,,
406,s==3|大将1,4,20,405,4|1,1530000,14006,22,1|9|50,,,,,,,2,1027,15,,,,,,,
407,s==3|大将2,4,20,406,4|2,2255000,14007,22,1|9|50,,,,,,,2,1027,17,,,,,,,
408,s==3|枭雄1,4,20,407,5|1,3490000,14008,22,1|9|50,,,,,,,2,1027,19,,,,,,,
409,s==3|枭雄2,4,20,408,5|2,4270000,14009,22,1|9|50,,,,,,,2,1027,21,,,,,,,
501,s==2|卫士,5,70,,1|1,1450000,15001,22,1|9|100,,,,,,,2,1006,65,,,,,,,
502,s==2|校尉,5,70,501,2|1,1650000,15002,22,1|9|100,,,,,,,2,1006,95,,,,,,,
503,s==2|中郎,5,70,502,2|2,2185000,15003,22,1|9|100,,,,,,,2,1006,125,,,,,,,
504,s==3|领军1,5,70,503,3|1,3685000,15004,22,1|9|100,,,,,,,2,1006,155,,,,,,,
505,s==3|领军2,5,70,504,3|2,4025000,15005,22,1|9|100,,,,,,,2,1006,185,,,,,,,
506,s==3|大将1,5,70,505,4|1,4610000,15006,22,1|9|100,,,,,,,2,1006,215,,,,,,,
507,s==3|大将2,5,70,506,4|2,5410000,15007,22,1|9|100,,,,,,,2,1006,245,,,,,,,
508,s==3|枭雄1,5,70,507,5|1,6325000,15008,22,1|9|100,,,,,,,2,1006,275,,,,,,,
509,s==3|枭雄2,5,70,508,5|2,6820000,15009,22,1|9|100,,,,,,,2,1006,305,,,,,,,
601,s==2|卫士,6,126,,1|1,4025000,16001,22,1|9|150,,,,,,,2,1471,5,,,,,,,
602,s==2|校尉,6,126,601,2|1,4610000,16002,22,1|9|150,,,,,,,2,1471,7,,,,,,,
603,s==2|中郎,6,126,602,2|2,5410000,16003,22,1|9|150,,,,,,,2,1471,9,,,,,,,
604,s==3|领军1,6,126,603,3|1,6325000,16004,22,1|9|150,,,,,,,2,1471,11,,,,,,,
605,s==3|领军2,6,126,604,3|2,6820000,16005,22,1|9|150,,,,,,,2,1471,13,2,1472,1,,,,
606,s==3|大将1,6,126,605,4|1,7250000,16006,22,1|9|150,,,,,,,2,1471,15,2,1472,2,,,,
607,s==3|大将2,6,126,606,4|2,9100000,16007,22,1|9|150,,,,,,,2,1471,15,2,1472,3,,,,
608,s==3|枭雄1,6,126,607,5|1,12500000,16008,22,1|9|150,,,,,,,2,1472,4,2,1473,1,,,,
609,s==3|枭雄2,6,126,608,5|2,14500000,16009,22,1|9|150,,,,,,,2,1472,5,2,1473,2,,,,
701,s==2|卫士,7,160,,1|1,6820000,16015,22,1|9|350,,,,,,,2,1230,1,,,,,,,
702,s==2|校尉,7,160,701,2|1,7250000,16016,22,1|9|350,,,,,,,2,1230,2,,,,,,,
703,s==2|中郎,7,160,702,2|2,9100000,16017,22,1|9|350,,,,,,,2,1230,3,,,,,,,
704,s==3|领军1,7,160,703,3|1,12500000,16018,22,1|9|350,,,,,,,2,1230,4,,,,,,,
705,s==3|领军2,7,160,704,3|2,14500000,16019,22,1|9|350,,,,,,,2,1230,5,,,,,,,
706,s==3|大将1,7,160,705,4|1,16500000,16020,22,1|9|350,,,,,,,2,1230,6,,,,,,,
707,s==3|大将2,7,160,706,4|2,18500000,16021,22,1|9|350,,,,,,,2,1230,7,,,,,,,
708,s==3|枭雄1,7,160,707,5|1,20500000,16022,22,1|9|350,,,,,,,2,1230,8,,,,,,,
709,s==3|枭雄2,7,160,708,5|2,22500000,16023,22,1|9|350,,,,,,,2,1230,9,,,,,,,
