id,type,starType,connectPoint,starIcon,zeroIcon,backGround,pattern1,pattern2,Dinate1,Dinate2,starDinate,icon1,icon2,connect1,connect2,bright,connectDinate,starName,name,jindutiao,desc,
11,2,2,3,,s==8|dxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,4|-218,s==14|w_dxd_inactive,s==12|w_dxd_active,s==20|w_dun_line_inactive6,s==18|w_dun_line_active6,3,70|-188,s==9|Kháng Túc,s==6|Cự Môn,s==9|w_prg_wei,s==37|Đỉnh thiên lập địa， bất phá bất khuất,
12,2,1,4,s==4|xxd3,s==8|xxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,122|-94,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_dun_line_inactive5,s==18|w_dun_line_active5,4,136|-62,s==6|Cự Môn,s==6|Đê Túc,s==9|w_prg_wei,s==36|Cơ thạch lôi lôi， thiên cổ hoang tộc,
13,2,1,5,s==4|xxd4,s==8|xxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,141|-16,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_dun_line_inactive3,s==18|w_dun_line_active3,3,4|-168,s==6|Đê Túc,s==10|Trương Túc,s==9|w_prg_wei,s==35|Hậu tích bạc phát， khí vận càn khôn,
14,2,2,6,,s==8|dxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,4|-118,s==14|w_dxd_inactive,s==12|w_dxd_active,s==20|w_dun_line_inactive2,s==18|w_dun_line_active2,6,4|-64,s==6|Cự Môn,s==10|Liêm Trinh,s==9|w_prg_wei,s==35|Trung liêm hậu đức， thiết chí vô di,
15,2,2,7,,s==8|dxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,4|-10,s==14|w_dxd_inactive,s==12|w_dxd_active,s==20|w_dun_line_inactive1,s==18|w_dun_line_active1,7,4|40,s==10|Liêm Trinh,s==9|Thiên Phủ,s==9|w_prg_wei,s==36|Thần phủ thiên khóa， chư tà mạc khai,
16,2,2,8,,s==8|dxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,4|100,s==14|w_dxd_inactive,s==12|w_dxd_active,,,,,s==9|Thiên Phủ,s==10|Thái Dương,s==9|w_prg_wei,s==37|Thiên quang trù địa， hộ dụ phàm thảng,
17,3,2,1,,s==10|dxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,-3|-214,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_zf_line_inactive6,s==17|w_zf_line_active6,1,34|-160,,s==8|Tham Túc,s==8|w_xd_prg,s==36|Xã tịch tham ngộ， sách định càn khôn,
18,3,1,2,s==4|xxd1,s==10|xxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,109|-163,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_zf_line_inactive5,s==17|w_zf_line_active5,2,108|-107,s==8|Tham Túc,s==5|Tử Vi,s==8|w_xd_prg,s==35|Tử khí đông lai， đạo thừa thiên thụ,
19,3,2,3,,s==10|dxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,163|-51,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_zf_line_inactive4,s==17|w_zf_line_active4,3,103|8,s==5|Tử Vi,s==6|Tỵ Túc,s==8|w_xd_prg,s==41|Thao lược hùng biện， thiệt chiến quần nho,
20,3,1,4,s==4|xxd2,s==10|xxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,111|67,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_zf_line_inactive3,s==17|w_zf_line_active3,4,67|35,s==6|Tỵ Túc,s==11|Thiên Tương,s==8|w_xd_prg,s==41|Thiên vận pháp tương， trường hằng hữu trụ,
21,3,2,5,,s==10|dxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,-3|112,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_zf_line_inactive2,s==17|w_zf_line_active2,5,-22|51,s==11|Thiên Tương,s==7|Tất Túc,s==8|w_xd_prg,s==34|Kế định chung cục， toán vô di sách,
22,3,1,6,s==4|xxd3,s==10|xxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,-116|67,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_zf_line_inactive1,s==17|w_zf_line_active1,6,-107|9,s==7|Tất Túc,s==8|Thiên Cơ,s==8|w_xd_prg,s==42|Chấp chưởng thiên cơ， quyền khuynh lục hợp,
23,3,2,7,,s==10|dxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,-162|-51,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_zf_line_inactive8,s==17|w_zf_line_active8,7,-107|-107,s==8|Thiên Cơ,s==8|Trấn Túc,s==8|w_xd_prg,s==40|Mệnh luân lưu chuyển， tảo chung tiên tri,
24,3,1,8,s==4|xxd4,s==10|xxd_purple,s==11|w_bg_xingtu,s==17|w_zf_dec_inactive,s==15|w_zf_dec_active,-1|-58,0|-68,-112|-163,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_zf_line_inactive7,s==17|w_zf_line_active7,8,-55|-158,s==8|Trấn Túc,s==7|Thái Âm,s==8|w_xd_prg,s==33|Linh hư hóa thánh， sở văn biến kế,
25,4,2,1,,s==9|dxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,-8|-243,s==14|w_dxd_inactive,s==12|w_dxd_active,s==20|w_shu_line_inactive7,s==18|w_shu_line_active7,1,-7|-180,,s==8|Quải Túc,s==9|w_prg_shu,s==39|Bách thảo nghiên dược， huyền hồ cứu thế,
26,4,2,2,,s==9|dxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,-8|-128,s==14|w_dxd_inactive,s==12|w_dxd_active,s==20|w_shu_line_inactive5,s==18|w_shu_line_active5,2,-86|-115,s==8|Quải Túc,s==7|Dực Túc,s==9|w_prg_shu,s==36|Thần hạc triển thí， dực hộ phàm trần,
27,4,1,3,s==4|xxd1,s==9|xxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,-138|-98,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_shu_line_inactive6,s==18|w_shu_line_active6,2,74|-114,s==7|Dực Túc,s==10|Thiên Đồng,s==9|w_prg_shu,s==37|Đồng đức đồng tâm， tụ nghĩa tập chúng,
28,4,1,4,s==4|xxd2,s==9|xxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,128|-98,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_shu_line_inactive4,s==18|w_shu_line_active4,2,-7|-69,s==7|Dực Túc,s==7|Tâm Túc,s==9|w_prg_shu,s==35|Trạch tâm tải vật， ân bị bách xuyên,
29,4,2,5,,s==9|dxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,-8|-4,s==14|w_dxd_inactive,s==12|w_dxd_active,s==20|w_shu_line_inactive2,s==18|w_shu_line_active2,2,-58|-44,s==7|Dực Túc,s==8|Liễu Túc,s==9|w_prg_shu,s==40|Thanh phong thu liễu， huyền ca khinh tấu,
30,4,1,6,s==4|xxd3,s==9|xxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,-102|26,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_shu_line_inactive3,s==18|w_shu_line_active3,2,44|-44,s==7|Dực Túc,s==11|Thiên Lương,s==9|w_prg_shu,s==38|Quân chi đống lương， trung lưu trụ trụ,
31,4,1,7,s==4|xxd4,s==9|xxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,92|26,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_shu_line_inactive1,s==18|w_shu_line_active1,5,-7|58,s==7|Dực Túc,s==7|Lộc Tồn,s==9|w_prg_shu,s==39|Cam thiên tồn lộc， lạc hưởng thiên phúc,
32,4,2,8,,s==9|dxd_green,s==11|w_bg_xingtu,s==16|w_shu_dec_active,s==18|w_shu_dec_active 2,-10|-90,-8|-70,-8|120,s==14|w_dxd_inactive,s==12|w_dxd_active,,,,,s==8|Liễu Túc,s==9|Thiên Đức,s==9|w_prg_shu,s==35|Duy hiền duy đắc， năng phục vu nhân,
