id,rank,records,ashe,defeatRecords,awards-type-1,awards-id-1,awards-value-1,awards-type-2,awards-id-2,awards-value-2,awards-type-3,awards-id-3,awards-value-3,failAward-type-1,failAward-id-1,failAward-value-1,
26,26,46|63|80,6,1,1,17,130,1,8,50500,,,,1,8,10150,
27,27,45|61|78,6,1,1,17,130,1,8,50500,,,,1,8,10150,
28,28,43|59|75,6,1,1,17,130,1,8,50500,,,,1,8,10150,
29,29,42|57|73,6,1,1,17,130,1,8,50500,,,,1,8,10150,
30,30,40|55|70,6,1,1,17,130,1,8,50500,,,,1,8,10150,
31,31,39|53|67,6,1,1,17,130,1,8,50500,,,,1,8,10150,
32,32,38|51|65,6,1,1,17,130,1,8,50500,,,,1,8,10150,
33,33,36|49|62,6,1,1,17,130,1,8,50500,,,,1,8,10150,
34,34,35|47|60,6,1,1,17,130,1,8,50500,,,,1,8,10150,
35,35,33|45|57,6,1,1,17,130,1,8,50500,,,,1,8,10150,
36,36,32|43|54,6,1,1,17,130,1,8,50500,,,,1,8,10150,
37,37,31|41|52,6,1,1,17,130,1,8,50500,,,,1,8,10150,
38,38,29|39|49,6,1,1,17,130,1,8,50500,,,,1,8,10150,
39,39,28|37|47,6,1,1,17,130,1,8,50500,,,,1,8,10150,
40,40,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
41,41,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
42,42,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
43,43,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
44,44,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
45,45,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
46,46,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
47,47,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
48,48,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
49,49,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
50,50,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
51,51,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
52,52,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
53,53,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
54,54,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
55,55,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
56,56,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
57,57,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
58,58,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
59,59,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
60,60,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
61,61,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
62,62,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
63,63,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
64,64,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
65,65,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
66,66,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
67,67,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
68,68,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
69,69,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
70,70,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
71,71,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
72,72,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
73,73,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
74,74,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
75,75,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
76,76,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
77,77,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
78,78,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
79,79,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
80,80,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
81,81,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
82,82,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
83,83,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
84,84,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
85,85,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
86,86,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
87,87,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
88,88,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
89,89,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
90,90,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
91,91,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
92,92,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
93,93,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
94,94,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
95,95,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
96,96,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
97,97,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
98,98,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
99,99,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
100,100,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
101,101,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
102,102,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
103,103,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
104,104,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
105,105,27|35|44,6,1,1,17,130,1,8,50500,,,,1,8,10150,
