 activityId,activityType,sameTypeActivity,tips,isClose,needLevel,systemid,backGroundId,BonusDesc,earlyTime,evenTime,sort,sameOpenTime,extendParams,integralType,integralId,expeditionId,limitTime,areanLimit,
3010,21,,s==4|神兵活动,0,15,3028,,,,,1,,s==3|401,,,,,,
3011,22,,s==4|青梅煮酒,0,15,3038,,,,,1,,,,,,,,
3012,23,,s==6|五一开服冲榜,0,15,3001,,,,,1,,,,,,,,
3013,24,6,s==4|封魔活动,0,15,3082,,,,,1,,,,,,,,
3014,18,,s==6|神·关羽活动,1,15,3004,,,,,1,,,2,1170,9,,,
3015,26,,s==4|绝版商城,0,15,3088,,,,,1,,,,,,,,
3016,27,,s==4|端午活动,0,15,3090,,,,,1,,,,,,,,
3017,28,,s==4|射箭活动,0,15,3104,,,,,1,,,,,,,,
3018,18,,s==6|吴·孙权活动,1,15,3004,,,,,3,,,2,1160,11,,,
3019,29,,s==4|美人余香,1,15,3109,,,,,1,,,,,,,,
3020,30,,s==7|真龙转盘第1期,1,15,3110,,,,,1,,,,,,,,
3021,30,,s==7|真龙转盘第2期,1,15,3110,,,,,2,,,,,,,,
3022,30,,s==7|真龙转盘第3期,1,15,3110,,,,,3,,,,,,,,
3023,30,,s==7|真龙转盘第4期,1,15,3110,,,,,4,,,,,,,,
3024,31,,s==4|花露梦宵,1,15,3112,,,,,1,,,,,,,,
3025,32,,s==4|花好月圆,0,15,3150,,,,,1,,,,,,,,
3026,33,,s==4|武道大会,0,15,3190,,,,,1,,,,,,,,
3027,34,,s==4|华章庆典,0,15,3170,,,,,1,,,,,,,,
3220,35,,s==4|活动灯笼,0,15,3220,,,,,1,,,,,,,,
3029,36,,s==4|神兵再临,1,15,3200,,,,,1,,,,,,,,
3030,37,,s==4|元宝计划,0,15,3210,,,,,1,,,,,,,,
3040,38,,s==4|赛马活动,1,15,3240,,,,,1,,,,,,,,
3050,39,,s==4|红颜探宝,0,15,3250,,,,,1,,,,,,,,
3051,54,,s==6|红颜探宝复刻,0,15,3254,,,,,1,,,,,,,,
3060,40,7,s==4|踏浪东征,0,15,3260,,,,,1,,,,,,,,
3070,41,,s==4|重九辞青,0,15,3267,,,,,1,,,,,,,,
3080,43,5,s==7|绿意盎然（新）,0,15,3268,,,,,2,,,,,,,,
3090,21,,s==5|神兵活动2,0,15,3028,,,,,2,,s==3|401,,,,,,
3100,44,6,s==7|封魔活动（新）,0,15,3280,,,,,3,,,,,,,,
3110,45,4,s==7|至尊礼盒（新）,0,15,3300,,,,,4,,,,,,,,
3120,42,7,s==7|踏浪东征（新）,0,15,3350,,,,,1,,,,,,,,
3130,46,1,s==8|征战日志（轮换）,0,15,1825,,,,,1,,,,,,,,
3140,47,2,s==8|献帝密诏（轮换）,0,15,1826,,,,,1,,,,,,,,
3150,48,3,s==8|七日演武（轮换）,0,15,1824,,,,,1,,,,,,,,
3160,49,,s==4|铜钱周卡,0,15,3400,,,,,1,,,,,,,,
3170,51,,s==4|星盘抽奖,0,15,3500,,,,,1,,,,,,,,
3180,52,,s==4|游园惊梦,0,15,3550,,,,,1,,,,,,,,
3190,53,,s==4|千灯集市,0,15,3570,,,,,1,,,,,,,,
3200,55,,s==4|芜绿桑田,0,15,3600,,,,,1,,,,,,,,
3210,56,,s==4|花火千树,0,15,3650,,,,,,,,,,,,,
3230,57,,s==4|锦绣新都,0,15,3660,,,,,,,,,,,,,
3240,58,,s==4|金刚轰临,0,15,3700,,,,,,,,2,1206,14,,,
3250,59,,s==4|超值周卡,0,15,3752,,,,,1,,,,,,,,
3260,60,,s==4|元旦红包,0,15,3753,,,,,1,,,,,,,,
3270,61,,s==4|乾坤探宝,0,15,3800,,,36,42,1,,,,,,,,
3272,61,,s==4|乾坤探宝,0,15,3800,,,50,56,2,,,,,,,,
3274,61,,s==4|乾坤探宝,0,15,3800,,,64,70,3,,,,,,,,
3276,61,,s==4|乾坤探宝,0,15,3800,,,78,84,4,,,,,,,,
3290,63,,s==4|诡诳妖策,0,15,3850,,,,,,,,2,1215,15,,,
3300,64,,s==4|限购商城,0,15,3910,,,,,,,,,,,,,
3310,65,,s==4|喜迎新春,0,15,3920,,,,,,,,,,,,,
3320,66,,s==4|上元明宵,0,15,3930,,,,,,,,,,,,,
3330,67,,s==4|真龙现世,0,15,4010,,,,,1,,,2,1232,16,,,
3340,8001,,s==4|合服狂欢,0,15,4200,,,,,,,,,,,,,
3350,8002,,s==4|龙虎庆典,0,15,4250,,,,,,,,,,,,,
3360,68,,s==4|合服预告,0,15,4255,,,,,,,,,,,,,
4000,70,,s==7|新神兵活动1号,0,15,4400,,,,,1,,s==3|601,,,,,,
4010,70,,s==7|新神兵活动2号,0,15,4410,,,,,2,,s==3|701,,,,,,
4100,61,,s==4|乾坤探宝,0,15,3800,,,92,98,5,,,,,,,,
4101,61,,s==4|乾坤探宝,0,15,3800,,,106,112,6,,,,,,,,
4102,61,,s==4|乾坤探宝,0,15,3800,,,120,126,7,,,,,,,,
4103,61,,s==4|乾坤探宝,0,15,3800,,,134,140,8,,,,,,,,
4104,61,,s==4|乾坤探宝,0,15,3800,,,148,154,9,,,,,,,,
4105,61,,s==4|乾坤探宝,0,15,3800,,,162,168,10,,,,,,,,
4106,61,,s==4|乾坤探宝,0,15,3800,,,176,182,11,,,,,,,,
4107,61,,s==4|乾坤探宝,0,15,3800,,,190,196,12,,,,,,,,
4108,61,,s==4|乾坤探宝,0,15,3800,,,204,210,13,,,,,,,,
4109,61,,s==4|乾坤探宝,0,15,3800,,,218,224,14,,,,,,,,
4110,61,,s==4|乾坤探宝,0,15,3800,,,232,238,15,,,,,,,,
4111,61,,s==4|乾坤探宝,0,15,3800,,,246,252,16,,,,,,,,
4112,61,,s==4|乾坤探宝,0,15,3800,,,260,266,17,,,,,,,,
4113,61,,s==4|乾坤探宝,0,15,3800,,,274,280,18,,,,,,,,
4114,61,,s==4|乾坤探宝,0,15,3800,,,288,294,19,,,,,,,,
4115,61,,s==4|乾坤探宝,0,15,3800,,,302,308,20,,,,,,,,
4116,61,,s==4|乾坤探宝,0,15,3800,,,316,322,21,,,,,,,,
4117,61,,s==4|乾坤探宝,0,15,3800,,,330,336,22,,,,,,,,
4118,61,,s==4|乾坤探宝,0,15,3800,,,344,350,23,,,,,,,,
4300,71,,s==4|周末活动,0,15,4500,,,,,,,,,,,,,
3370,72,,s==4|节日红包,0,15,4600,,,,,,,,,,,,,
4130,73,,s==4|神魔临现,0,15,4610,,,,,,,,,,,,,
4120,74,,s==5|新乾坤探宝,0,15,3801,,,,,,,,,,,,,
3380,75,,s==4|砥兵砺伍,0,15,4300,,,,,,,,,,,,,
2004,76,,s==5|新铜雀游园,0,15,4440,,,,,,,,,,,,,
3390,77,,s==4|神威煌雷,0,15,4800,,,,,,,,2,6741,17,,,
3400,78,,s==4|双城之战,0,15,4900,,,,,,,,,,,,,
3410,79,,s==4|粽情九州,0,15,5100,,,,,,,,,,,,,
3420,80,,s==4|节日累充,0,15,5200,,,,,,,,,,,,,
3440,81,,s==4|神兵轮循,0,45,5210,,,,,,,,,,,,,
5220,82,,s==7|主题武将（新）,0,15,5300,,,,,,,,,,,,,
3430,83,,s==4|声梦鹊桥,0,15,5600,,,,,,,,,,,,,
5400,90,,s==4|将军回归,0,1,5400,,,,,,,,,,,,,
5500,84,,s==4|决战之巅,0,15,5950,,,,,,,,,,,,,
5600,91,,s==5|周年庆活动,0,15,6100,,,,,,,,,,,,,
5610,92,,s==4|元旦活动,0,15,6200,,,,,,,,,,,,,
5620,93,,s==4|烟花活动,0,15,6210,,,,,,,,,,,,,
5630,94,,s==4|春节活动,0,15,6300,,,,,,,,,,,,,
5640,95,,s==4|全民竞猜,0,15,6320,,,,,,,,,,,,,
5650,96,,s==4|绝版皮肤,0,15,6220,,,,,,,,,,,,,
5660,97,,s==4|腾龙秘宝,0,15,6420,,,,,,,,,,,,,
5670,98,,s==4|鸿运福录,0,15,6360,,,,,,,,,,,,,
5680,99,,s==4|武将钜惠,0,15,6370,,,,,,,,,,,,,
5690,101,,s==8|【日】黄金周活动,0,15,6430,,,,,,,,,,,,,
5700,100,,s==4|开服转盘,0,9,6436,,,,,,,,,,,,s==14|kr|jp|cn|tw|en,
5710,102,,s==9|开服签到（送机甲）,0,1,6450,,,,,,,,,,,,s==8|tw|cn|en,
5720,103,,s==7|【韩】武将钜惠,0,15,6460,,,,,,,,,,,,s==5|kr|jp,
5730,104,,s==7|【日】美人花嫁,0,15,6465,,,,,,,,,,,,s==2|jp,
5740,105,,s==4|花嫁誓约,0,15,6510,,,,,,,,,,,,,
5750,107,,s==4|童梦乐园,0,15,6520,,,,,,,,,,,,,
5760,108,,s==4|万灵献瑞,0,15,6530,,,,,,,,,,,,,
5770,113,,s==4|缤纷夏日,0,15,6710,,,,,,,,,,,,,
5780,114,,s==4|策划祭天,0,15,6741,,,,,,,,,,,,,
5800,109,,s==9|【韩】开服武将活动,0,15,6700,,,,,,,,,,,,s==2|kr,
5810,110,,s==8|【机甲】机甲预告,0,15,6650,,,,,,,,,,,,s==2|ml,
5820,111,,s==4|名将周卡,0,15,6670,,,,,,,,,,,,s==8|ml|jp|tw,
5830,112,,s==4|累充献礼,0,15,6680,,,,,,,,,,,,s==11|ml|en|id|th,
5840,115,,s==4|冬日暖阳,0,15,6910,,,,,,,,,,,,,
5850,116,,s==4|玲珑宝典,0,15,6920,,,,,,,,,,,,,
5860,117,,s==4|珍瑜宝铺,0,15,6930,,,,,,,,,,,,,
