id,event-type-1,event-id-1,event-type-2,event-id-2,event-type-3,event-id-3,event-type-4,event-id-4,event-type-5,event-id-5,
20031,7,20713,1,10101,,,,,,,
20032,7,20726,1,10101,,,,,,,
20033,7,20727,1,10101,,,,,,,
20034,7,20728,1,10101,10,21003,,,,,
20035,7,20704,1,10101,9,20901,,,,,
20036,7,20701,1,10101,,,,,,,
20037,7,20702,1,10101,,,,,,,
20038,7,20703,1,10101,,,,,,,
20039,7,20712,1,10101,9,20905,,,,,
20040,7,20732,1,10101,13,21303,10,21001,,,
20041,14,21401,9,20903,10,21006,12,11205,,,
20042,14,21401,13,21302,10,21005,12,11205,,,
20043,11,21101,,,,,,,,,
20044,11,21102,13,21301,,,,,,,
20045,11,21103,5,20511,,,,,,,
20046,5,20509,,,,,,,,,
20047,5,20503,,,,,,,,,
20048,7,20734,1,10101,,,,,,,
20049,10,21004,,,,,,,,,
20050,11,21150,,,,,,,,,
20051,11,21151,,,,,,,,,
30001,7,30701,1,10101,,,,,,,
30002,7,30702,1,10101,,,,,,,
30003,7,30703,1,10101,,,,,,,
30004,7,30704,1,10101,,,,,,,
30005,7,30705,1,10101,,,,,,,
30006,7,30706,1,10101,,,,,,,
30007,7,30707,1,10101,,,,,,,
30008,7,30708,1,10101,,,,,,,
30009,7,30709,1,10101,,,,,,,
30010,7,30710,1,10101,,,,,,,
30011,7,30711,1,10101,,,,,,,
30012,7,30712,1,10101,,,,,,,
30013,7,30713,1,10101,,,,,,,
30014,7,30714,1,10101,,,,,,,
30015,7,30715,1,10101,,,,,,,
30016,7,30716,1,10101,,,,,,,
30017,7,30717,1,10101,,,,,,,
30018,7,30718,1,10101,13,31303,,,,,
30019,7,30719,1,10101,,,,,,,
30020,7,30720,1,10101,10,31005,13,31301,,,
30021,7,30721,1,10101,,,,,,,
30022,7,30722,1,10101,,,,,,,
30023,7,30723,1,10101,,,,,,,
30024,7,30724,1,10101,,,,,,,
30025,7,30725,1,10101,,,,,,,
30026,7,30726,1,10101,,,,,,,
30027,7,30727,1,10101,,,,,,,
30028,7,30728,1,10101,,,,,,,
30029,7,30729,1,10101,,,,,,,
30030,7,30730,1,10101,,,,,,,
30031,7,30736,1,10101,,,,,,,
30032,7,30732,1,10101,10,31001,13,31302,,,
30033,7,30733,1,10101,,,,,,,
30034,7,30734,1,10101,10,31002,,,,,
30035,7,30735,1,10101,,,,,,,
30036,5,30501,9,30903,,,,,,,
30037,5,30502,,,,,,,,,
30038,5,30503,,,,,,,,,
30039,5,30504,,,,,,,,,
30040,5,30505,,,,,,,,,
30041,5,30506,,,,,,,,,
30042,5,30507,,,,,,,,,
30043,5,30508,,,,,,,,,
30044,5,30509,,,,,,,,,
30045,11,31101,,,,,,,,,
30046,11,31102,,,,,,,,,
30047,11,31103,9,30904,13,31306,,,,,
30048,11,31104,,,,,,,,,
30049,11,31105,9,30902,13,31304,,,,,
30050,11,31106,7,30731,1,10101,10,31006,,,
30051,4,30401,,,,,,,,,
30052,4,30402,,,,,,,,,
30053,4,30403,,,,,,,,,
30054,4,30404,,,,,,,,,
30055,4,30405,,,,,,,,,
30056,4,30406,,,,,,,,,
30057,11,31107,,,,,,,,,
30058,11,31108,13,31305,9,30901,,,,,
30059,10,31003,,,,,,,,,
30060,4,30407,,,,,,,,,
30061,11,31109,,,,,,,,,
30062,11,31110,,,,,,,,,
30063,11,31111,,,,,,,,,
30064,11,31112,,,,,,,,,
40001,7,40701,1,10101,9,40901,,,,,
40002,7,40702,1,10101,10,41006,13,41301,,,
40003,7,40703,1,10101,10,41005,,,,,
40004,7,40704,1,10101,,,,,,,
40005,7,40705,1,10101,,,,,,,
40006,1,10101,10,41007,7,40706,1,10101,10,41008,
40007,7,40707,1,10101,,,,,,,
40008,7,40708,1,10101,,,,,,,
40009,7,40709,1,10101,,,,,,,
40010,7,40710,1,10101,,,,,,,
40011,7,40711,1,10101,10,41009,,,,,
40012,7,40712,1,10101,,,,,,,
40013,7,40713,1,10101,,,,,,,
40014,7,40714,1,10101,,,,,,,
40015,7,40715,1,10101,,,,,,,
40016,11,41117,7,40716,1,10101,,,,,
40017,7,40717,1,10101,,,,,,,
40018,7,40718,1,10101,10,41012,,,,,
40019,7,40719,1,10101,,,,,,,
40020,7,40720,1,10101,,,,,,,
40021,7,40721,1,10101,10,41011,,,,,
40022,7,40722,1,10101,,,,,,,
40023,7,40723,1,10101,,,,,,,
40024,7,40724,1,10101,,,,,,,
40025,7,40725,1,10101,,,,,,,
40026,11,41107,7,40726,1,10101,10,41013,,,
40027,7,40727,1,10101,,,,,,,
40028,7,40728,1,10101,,,,,,,
40029,7,40729,1,10101,,,,,,,
40030,7,40730,1,10101,,,,,,,
40031,7,40731,1,10101,,,,,,,
40032,7,40732,1,10101,,,,,,,
40033,7,40733,1,10101,,,,,,,
40034,7,40734,1,10101,,,,,,,
40035,11,41108,7,40735,1,10101,10,41016,13,41304,
40036,7,40736,1,10101,,,,,,,
40037,5,40501,,,,,,,,,
40038,5,40502,9,40903,,,,,,,
40039,5,40503,,,,,,,,,
40040,5,40504,9,40904,,,,,,,
40041,5,40505,,,,,,,,,
40042,5,40506,,,,,,,,,
40043,5,40507,,,,,,,,,
40044,5,40508,9,40902,,,,,,,
40045,7,40734,1,10101,,,,,,,
40046,11,41101,,,,,,,,,
40047,11,41102,13,41302,,,,,,,
40048,10,41001,,,,,,,,,
40049,11,41110,7,40735,5,40509,10,41014,,,
40050,11,41104,13,41302,,,,,,,
40051,11,41106,4,40401,,,,,,,
40052,11,41105,13,41303,,,,,,,
50001,7,50701,1,10101,13,51301,,,,,
50002,7,50702,1,10101,,,,,,,
50003,7,50703,1,10101,,,,,,,
50004,7,50704,1,10101,,,,,,,
50005,7,50705,1,10101,,,,,,,
50006,7,50706,1,10101,,,,,,,
50007,7,50707,1,10101,,,,,,,
50008,7,50708,1,10101,,,,,,,
50009,7,50709,1,10101,,,,,,,
50010,7,50710,1,10101,,,,,,,
50011,11,51111,7,50711,1,10101,10,51003,9,50902,
50012,7,50712,1,10101,,,,,,,
50013,7,50713,1,10101,,,,,,,
50014,7,50714,1,10101,,,,,,,
50015,7,50715,1,10101,9,50903,,,,,
50016,7,50716,1,10101,10,51002,13,51302,7,50716,
50017,11,51104,7,50717,1,10101,,,,,
50018,11,51106,7,50718,1,10101,,,,,
50019,7,50719,1,10101,,,,,,,
50020,7,50720,1,10101,,,,,,,
50021,7,50721,1,10101,,,,,,,
50022,7,50722,1,10101,,,,,,,
50023,7,50723,1,10101,,,,,,,
50024,7,50724,1,10101,,,,,,,
50025,7,50725,1,10101,,,,,,,
50026,7,50726,1,10101,,,,,,,
50027,7,50727,1,10101,,,,,,,
50028,7,50728,1,10101,,,,,,,
50029,7,50729,1,10101,,,,,,,
50030,7,50730,1,10101,,,,,,,
50031,7,50731,1,10101,,,,,,,
50032,7,50732,1,10101,,,,,,,
50033,7,50733,1,10101,,,,,,,
50034,7,50734,1,10101,,,,,,,
50035,7,50735,1,10101,,,,,,,
50036,7,50736,1,10101,,,,,,,
50037,7,50737,1,10101,,,,,,,
50038,7,50738,1,10101,,,,,,,
50039,7,50739,1,10101,,,,,,,
50040,7,50740,1,10101,,,,,,,
50041,7,50741,,,,,,,,,
50042,7,50742,,,,,,,,,
50043,7,50743,,,,,,,,,
50044,7,50744,,,,,,,,,
50045,7,50745,,,,,,,,,
50046,7,50746,1,10101,9,50903,,,,,
50047,7,50747,,,,,,,,,
50048,7,50748,,,,,,,,,
50049,7,50749,,,,,,,,,
50050,7,50750,,,,,,,,,
50051,7,50751,,,,,,,,,
50052,11,51112,7,50752,1,10101,10,51008,,,
50053,7,50753,1,10101,,,,,,,
50054,7,50754,1,10101,,,,,,,
50055,11,51103,7,50755,1,10101,10,51005,,,
50056,5,50501,,,,,,,,,
50057,5,50502,,,,,,,,,
50058,5,50503,,,,,,,,,
50059,5,50504,,,,,,,,,
50060,5,50505,,,,,,,,,
50061,5,50506,,,,,,,,,
50062,5,50507,,,,,,,,,
50063,4,50401,,,,,,,,,
50064,10,51001,,,,,,,,,
50065,10,51003,,,,,,,,,
50066,10,51004,,,,,,,,,
50067,10,51005,,,,,,,,,
50068,10,51006,,,,,,,,,
50069,10,51007,,,,,,,,,
50070,11,51101,9,50901,13,51301,,,,,
50071,11,51102,,,,,,,,,
50072,11,51105,,,,,,,,,
50073,11,51107,13,51303,,,,,,,
50074,11,51108,13,51303,,,,,,,
50075,11,51109,7,50756,1,10101,10,51004,13,51303,
50076,7,50757,1,10101,,,,,,,
60001,7,60701,1,10101,,,,,,,
60002,7,60702,1,10101,,,,,,,
60003,7,60703,1,10101,10,61002,13,61301,,,
60004,7,60704,1,10101,,,,,,,
60005,7,60705,1,10101,,,,,,,
60006,7,60706,1,10101,,,,,,,
60007,7,60707,1,10101,,,,,,,
60008,7,60708,1,10101,,,,,,,
60009,7,60709,1,10101,,,,,,,
60010,7,60710,1,10101,,,,,,,
60011,7,60711,1,10101,,,,,,,
60012,7,60712,1,10101,,,,,,,
60013,7,60713,1,10101,,,,,,,
60014,7,60714,1,10101,,,,,,,
60015,7,60715,1,10101,,,,,,,
60016,7,60716,1,10101,,,,,,,
60017,7,60717,1,10101,,,,,,,
60018,7,60718,1,10101,,,,,,,
60019,7,60719,1,10101,,,,,,,
60020,7,60720,1,10101,,,,,,,
60021,7,60721,1,10101,,,,,,,
60022,7,60722,1,10101,,,,,,,
60023,7,60723,1,10101,,,,,,,
60024,7,60724,1,10101,,,,,,,
60025,7,60725,1,10101,,,,,,,
60026,7,60726,1,10101,,,,,,,
60027,7,60727,1,10101,,,,,,,
60028,7,60728,1,10101,,,,,,,
60029,7,60729,1,10101,,,,,,,
60030,7,60730,1,10101,,,,,,,
60031,7,60731,1,10101,,,,,,,
60032,7,60732,1,10101,,,,,,,
60033,7,60733,1,10101,,,,,,,
60034,7,60734,1,10101,,,,,,,
60035,7,60735,1,10101,,,,,,,
60036,7,60736,1,10101,,,,,,,
60037,7,60737,1,10101,,,,,,,
60038,7,60738,1,10101,,,,,,,
60039,7,60739,1,10101,,,,,,,
60040,7,60740,1,10101,10,61003,13,61303,,,
60041,7,60741,1,10101,,,,,,,
60042,7,60742,1,10101,,,,,,,
60043,7,60743,1,10101,,,,,,,
60044,7,60744,1,10101,,,,,,,
60045,7,60745,1,10101,,,,,,,
60046,7,60746,1,10101,,,,,,,
60047,7,60747,1,10101,,,,,,,
60048,7,60748,1,10101,,,,,,,
60049,7,60749,1,10101,,,,,,,
60050,7,60750,1,10101,,,,,,,
60051,7,60751,1,10101,,,,,,,
60052,11,61111,7,60752,1,10101,10,61006,,,
60053,5,60501,,,,,,,,,
60054,5,60502,,,,,,,,,
60055,5,60503,,,,,,,,,
60056,5,60504,,,,,,,,,
60057,5,60505,,,,,,,,,
60058,5,60506,,,,,,,,,
60059,5,60507,,,,,,,,,
60060,5,60508,,,,,,,,,
60061,11,61101,,,,,,,,,
60062,11,61102,9,60903,,,,,,,
60063,11,61103,9,60902,13,61304,,,,,
60064,11,61104,9,60904,,,,,,,
60065,11,61105,9,60901,13,61302,,,,,
60066,4,60401,,,,,,,,,
60067,4,60402,,,,,,,,,
60068,10,61001,,,,,,,,,
70001,11,71111,7,70701,1,10101,10,71011,,,
70002,11,71112,7,70702,1,10101,9,70902,10,71012,
70005,7,70705,1,10101,9,70901,,,,,
70006,11,71114,7,70706,1,10101,10,71014,,,
70007,11,71113,7,70707,1,10101,10,71013,,,
70008,7,70708,1,10101,,,,,,,
70009,7,70709,1,10101,,,,,,,
70010,7,70710,1,10101,,,,,,,
70011,7,70711,1,10101,,,,,,,
70012,7,70712,1,10101,,,,,,,
70013,7,70713,1,10101,,,,,,,
70014,7,70714,1,10101,,,,,,,
70015,7,70715,1,10101,,,,,,,
70016,7,70716,1,10101,13,71302,9,70905,,,
70017,7,70717,1,10101,,,,,,,
70018,7,70718,1,10101,,,,,,,
70019,7,70719,1,10101,,,,,,,
70020,7,70720,1,10101,,,,,,,
70021,7,70721,1,10101,,,,,,,
70022,7,70722,1,10101,13,71303,9,70906,,,
70023,7,70723,1,10101,,,,,,,
70024,7,70724,1,10101,,,,,,,
70025,7,70725,1,10101,,,,,,,
70026,7,70726,1,10101,,,,,,,
70027,7,70727,1,10101,,,,,,,
70029,7,70729,1,10101,,,,,,,
70030,7,70730,1,10101,,,,,,,
70031,7,70731,1,10101,9,70904,13,71304,,,
70032,7,70732,1,10101,,,,,,,
70033,7,70733,1,10101,,,,,,,
70034,7,70734,1,10101,,,,,,,
70035,11,71110,7,70735,1,10101,10,71010,,,
70036,15,71501,,,,,,,,,
70037,15,71502,,,,,,,,,
70038,15,71503,,,,,,,,,
70039,15,71504,,,,,,,,,
70040,15,71505,,,,,,,,,
70041,15,71506,,,,,,,,,
70042,5,70501,,,,,,,,,
70043,5,70502,,,,,,,,,
70044,5,70503,,,,,,,,,
70045,5,70504,,,,,,,,,
70046,5,70505,,,,,,,,,
70047,5,70506,,,,,,,,,
70048,5,70507,13,71309,10,71005,,,,,
70049,5,70508,13,71310,,,10,71006,,,
70050,5,70509,13,71311,10,71007,,,,,
70051,5,70510,13,71312,10,71008,,,,,
70052,5,70511,,,,,,,,,
70053,5,70512,13,71313,10,71009,,,,,
70054,5,70513,,,,,,,,,
70055,4,70401,,,,,,,,,
70056,4,70402,,,,,,,,,
70057,4,70403,,,,,,,,,
70058,8,70801,9,70902,10,71002,,,,,
70059,17,71701,,,,,,,,,
70060,7,70704,,,,,,,,,
70061,11,71102,,,,,,,,,
70062,11,71103,,,,,,,,,
70063,11,71104,,,,,,,,,
70064,11,71105,,,,,,,,,
70065,11,71106,7,70703,1,10101,10,71003,,,
70066,11,71107,7,70704,1,10101,10,71004,,,
70067,11,71108,9,70903,13,71301,4,70401,,,
70068,11,71109,7,70728,1,10101,13,71314,,,
70082,13,71307,,,,,,,,,
70090,10,71001,,,,,,,,,
80001,7,80701,1,10101,,,,,,,
80002,7,80702,1,10101,,,,,,,
80003,7,80703,1,10101,,,,,,,
80004,7,80704,1,10101,,,,,,,
80005,7,80705,1,10101,,,,,,,
80006,7,80706,1,10101,,,,,,,
80007,7,80707,1,10101,,,,,,,
80008,7,80708,1,10101,,,,,,,
80009,7,80709,1,10101,10,81002,,,,,
80010,7,80710,1,10101,,,,,,,
80011,11,81101,7,80711,1,10101,,,,,
80012,7,80712,1,10101,10,81003,,,,,
80013,7,80713,1,10101,,,,,,,
80014,7,80714,1,10101,,,,,,,
80015,7,80716,1,10101,,,,,,,
80016,11,81102,7,80715,1,10101,,,,,
80017,7,80717,1,10101,,,,,,,
80018,7,80718,1,10101,,,,,,,
80019,7,80719,1,10101,,,,,,,
80020,7,80720,1,10101,,,,,,,
80021,7,80721,1,10101,,,,,,,
80022,7,80722,1,10101,,,,,,,
80023,7,80723,1,10101,,,,,,,
80024,7,80724,1,10101,,,,,,,
80025,7,80725,1,10101,,,,,,,
80026,7,80726,1,10101,,,,,,,
80027,7,80727,1,10101,,,,,,,
80028,11,81105,7,80728,1,10101,,,,,
80029,7,80729,1,10101,,,,,,,
80030,11,81106,7,80730,1,10101,,,,,
80031,11,81104,7,80731,1,10101,,,,,
80032,7,80732,1,10101,10,81005,,,,,
80033,7,80733,1,10101,,,,,,,
80034,7,80734,1,10101,,,,,,,
80035,7,80735,1,10101,,,,,,,
80036,7,80736,1,10101,,,,,,,
80037,7,80737,1,10101,,,,,,,
80038,7,80738,1,10101,10,81006,,,,,
80039,17,81701,,,,,,,,,
80040,17,81702,,,,,,,,,
80041,17,81703,,,,,,,,,
80042,17,81704,,,,,,,,,
80043,17,81705,,,,,,,,,
80044,17,81706,,,,,,,,,
80045,17,81707,,,,,,,,,
80046,17,81708,,,,,,,,,
80047,17,81709,,,,,,,,,
80048,17,81710,,,,,,,,,
80049,5,80501,,,,,,,,,
80050,5,80502,,,,,,,,,
80051,5,80503,,,,,,,,,
80052,5,80504,,,,,,,,,
80053,5,80505,,,,,,,,,
80054,5,80506,,,,,,,,,
80055,5,80507,,,,,,,,,
80056,11,81103,4,80401,,,,,,,
80057,4,80402,,,,,,,,,
80058,4,80403,,,,,,,,,
80059,15,81501,,,,,,,,,
80060,15,81502,,,,,,,,,
80061,15,81503,,,,,,,,,
80062,15,81504,,,,,,,,,
80063,15,81505,,,,,,,,,
80064,15,81506,,,,,,,,,
80065,15,81507,,,,,,,,,
80066,15,81508,,,,,,,,,
80067,15,81509,,,,,,,,,
80068,15,81510,,,,,,,,,
80069,10,81001,,,,,,,,,
80070,15,81511,,,,,,,,,
80071,15,81512,,,,,,,,,
80072,15,81513,,,,,,,,,
80073,15,81514,,,,,,,,,
90001,7,90701,1,10101,,,,,,,
90002,7,90702,1,10101,,,,,,,
90003,7,90703,1,10101,,,,,,,
90004,7,90704,1,10101,10,91007,,,,,
90005,7,90705,1,10101,,,,,,,
90006,11,91101,7,90706,1,90102,10,91008,,,
90007,7,90707,1,10101,,,,,,,
90008,7,90708,1,10101,,,,,,,
90009,7,90709,1,10101,,,,,,,
90010,7,90710,1,10101,,,,,,,
90011,7,90711,1,10101,,,,,,,
90012,7,90712,1,10101,,,,,,,
90013,7,90713,1,10101,,,,,,,
90014,7,90714,1,10101,,,,,,,
90015,7,90715,1,10101,,,,,,,
90016,11,91104,7,90716,1,90103,10,91011,,,
90017,7,90717,1,10101,,,,,,,
90018,7,90718,1,10101,,,,,,,
90019,7,90719,1,10101,,,,,,,
90020,11,91102,7,90720,1,90104,10,91009,,,
90021,7,90721,1,10101,,,,,,,
90022,7,90722,1,10101,,,,,,,
90023,7,90723,1,10101,,,,,,,
90024,7,90724,1,10101,,,,,,,
90025,7,90725,1,10101,,,,,,,
90026,7,90726,1,10101,,,,,,,
90027,7,90727,1,10101,,,,,,,
90028,7,90728,1,10101,,,,,,,
90029,11,91103,7,90729,1,90101,13,91301,10,91010,
90030,11,91105,7,90730,1,10101,10,91012,,,
90031,7,90731,1,10101,,,,,,,
90036,4,90401,,,,,,,,,
90037,5,90501,,,,,,,,,
90038,5,90502,,,,,,,,,
90039,5,90503,,,,,,,,,
90040,5,90504,,,,,,,,,
90041,5,90505,,,,,,,,,
90042,5,90506,,,,,,,,,
90043,5,90507,,,,,,,,,
90044,5,90508,,,,,,,,,
90045,11,91106,18,91801,,,,,,,
90046,10,91001,,,,,,,,,
90047,10,91002,,,,,,,,,
90048,10,91003,,,,,,,,,
90049,10,91004,,,,,,,,,
90050,10,91005,,,,,,,,,
90051,10,91006,,,,,,,,,
90052,11,91101,,,,,,,,,
90053,11,91102,,,,,,,,,
90054,11,91103,,,,,,,,,
90055,11,91104,,,,,,,,,
90056,11,91105,,,,,,,,,
90057,11,91106,,,,,,,,,
90058,11,91107,,,,,,,,,
90059,15,91501,,,,,,,,,
90060,15,91502,,,,,,,,,
90061,15,91503,,,,,,,,,
90062,15,91504,,,,,,,,,
90063,17,91701,,,,,,,,,
90064,17,91702,,,,,,,,,
90065,17,91703,,,,,,,,,
90066,17,91704,,,,,,,,,
90067,17,91705,,,,,,,,,
90068,17,91706,,,,,,,,,
90069,17,91707,,,,,,,,,
90070,17,91708,,,,,,,,,
90071,17,91709,,,,,,,,,
90072,17,91710,,,,,,,,,
90073,17,91711,,,,,,,,,
90074,17,91712,,,,,,,,,
90075,7,90732,1,10101,,,,,,,
100001,4,100401,,,,,,,,,
100002,7,100707,1,10101,13,101306,10,101003,,,
100003,7,100708,1,10101,,,,,,,
100004,7,100709,1,10101,10,101005,,,,,
100005,7,100710,1,10101,,,,,,,
100006,7,100711,1,10101,,,,,,,
100007,7,100712,1,10101,,,,,,,
100008,7,100713,1,10101,,,,,,,
100009,7,100714,1,10101,,,,,,,
100010,7,100715,1,10101,,,,,,,
100011,7,100716,1,10101,,,,,,,
100012,7,100717,1,10101,,,,,,,
100013,7,100718,1,10101,,,,,,,
100014,7,100719,1,10101,,,,,,,
100015,7,100720,1,10101,,,,,,,
100016,7,100721,1,10101,,,,,,,
100017,7,100722,1,10101,9,100903,,,,,
100018,7,100723,1,10101,,,,,,,
100019,7,100724,1,10101,,,,,,,
100020,7,100725,1,10101,,,,,,,
100021,7,100726,1,10101,,,,,,,
100022,7,100727,1,10101,,,,,,,
100023,7,100728,1,10101,,,,,,,
100024,7,100729,1,10101,,,,,,,
100025,7,100730,1,10101,,,,,,,
100026,7,100731,1,10101,,,,,,,
100027,7,100732,1,10101,,,,,,,
100028,7,100733,1,10101,,,,,,,
100029,7,100734,1,10101,,,,,,,
100030,7,100735,1,10101,,,,,,,
100031,7,100736,1,10101,,,,,,,
100032,7,100737,1,10101,,,,,,,
100033,7,100738,1,10101,,,,,,,
100034,7,100739,1,10101,,,,,,,
100035,7,100740,1,10101,,,,,,,
100036,7,100741,1,10101,,,,,,,
100037,7,100742,1,10101,,,,,,,
100038,7,100743,1,10101,,,,,,,
100039,7,100744,1,10101,,,,,,,
100040,7,100745,1,10101,,,,,,,
100041,7,100746,1,10101,,,,,,,
100042,7,100747,1,10101,,,,,,,
100043,7,100748,1,10101,,,,,,,
100044,7,100749,1,10101,,,,,,,
100045,7,100750,1,10101,,,,,,,
100046,7,100751,1,10101,,,,,,,
100047,7,100752,1,10101,,,,,,,
100048,7,100753,1,10101,,,,,,,
100049,7,100754,1,10101,,,,,,,
100050,7,100755,1,10101,,,,,,,
100051,7,100756,1,10101,,,,,,,
100052,7,100757,1,10101,,,,,,,
100053,7,100758,1,10101,,,,,,,
100054,7,100759,1,10101,,,,,,,
100055,7,100760,1,10101,,,,,,,
100056,7,100761,1,10101,,,,,,,
100057,7,100762,1,10101,,,,,,,
100058,7,100763,1,10101,,,,,,,
100059,7,100764,1,10101,,,,,,,
100060,7,100765,1,10101,,,,,,,
100061,7,100766,1,10101,,,,,,,
100062,7,100767,1,10101,,,,,,,
100063,7,100768,1,10101,,,,,,,
100064,7,100769,1,10101,,,,,,,
100065,7,100770,1,10101,,,,,,,
100066,7,100771,1,10101,,,,,,,
100067,7,100772,1,10101,,,,,,,
100068,7,100773,1,10101,,,,,,,
100069,7,100774,1,10101,,,,,,,
100070,7,100775,1,10101,,,,,,,
100071,7,100702,1,10101,10,101004,,,,,
100072,7,100703,1,10101,,,,,,,
100073,11,101104,9,100902,,,,,,,
100074,11,101105,9,100905,,,,,,,
100075,11,101106,7,100704,1,10101,,,,,
100076,11,101107,13,101302,10,101007,9,100906,,,
100077,11,101108,13,101303,7,100761,,,,,
100078,11,101109,,,,,,,,,
100079,11,101110,13,101304,9,100907,,,,,
100081,2,10201,,,,,,,,,
100082,2,10201,,,,,,,,,
100083,2,10201,,,,,,,,,
100084,2,10201,,,,,,,,,
100085,2,10201,,,,,,,,,
100090,5,100501,,,,,,,,,
100091,5,100502,10,101006,,,,,,,
100092,5,100503,,,,,,,,,
100093,5,100504,,,,,,,,,
100094,5,100505,,,,,,,,,
100095,5,100506,,,,,,,,,
100096,5,100507,,,,,,,,,
100097,5,100508,,,,,,,,,
100098,5,100509,,,,,,,,,
100099,5,100510,,,,,,,,,
100100,11,101111,,,,,,,,,
100101,11,101112,9,100904,,,,,,,
100102,11,101113,,,,,,,,,
100103,11,101114,,,,,,,,,
100104,10,101002,,,,,,,,,
100105,7,100705,,,,,,,,,
100106,7,100701,1,10101,13,101305,10,101001,,,
110001,5,110501,,,,,,,,,
110002,5,110502,,,,,,,,,
110003,5,110503,,,,,,,,,
110004,5,110504,,,,,,,,,
110005,5,110505,,,,,,,,,
