id,type,towerId,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
113,1,1130,2,2612,1,2,2611,1,,,,
114,1,1140,2,1056,30,2,1004,2,,,,
115,1,1150,2,2614,1,2,2613,1,,,,
116,1,1160,2,2612,1,2,2611,1,,,,
117,1,1170,2,1056,30,2,1004,2,,,,
118,1,1180,2,2614,1,2,2613,1,,,,
119,1,1190,2,2612,1,2,2611,1,,,,
120,1,1200,2,1056,30,2,1004,2,,,,
121,1,1210,2,2614,1,2,2613,1,,,,
122,1,1220,2,2612,1,2,2611,1,,,,
123,1,1230,2,1056,30,2,1004,2,,,,
124,1,1240,2,2614,1,2,2613,1,,,,
125,1,1250,2,2612,1,2,2611,1,,,,
126,1,1260,2,1056,30,2,1004,2,,,,
127,1,1270,2,2614,1,2,2613,1,,,,
128,1,1280,2,2612,1,2,2611,1,,,,
129,1,1290,2,1056,30,2,1004,2,,,,
130,1,1300,2,2614,1,2,2613,1,,,,
131,1,1310,2,2612,1,2,2611,1,,,,
132,1,1320,2,1056,30,2,1004,2,,,,
133,1,1330,2,2614,1,2,2613,1,,,,
134,1,1340,2,2612,1,2,2611,1,,,,
135,1,1350,2,1056,30,2,1004,2,,,,
136,1,1360,2,2614,1,2,2613,1,,,,
137,1,1370,2,2612,1,2,2611,1,,,,
138,1,1380,2,1056,30,2,1004,2,,,,
139,1,1390,2,2614,1,2,2613,1,,,,
140,1,1400,2,2612,1,2,2611,1,,,,
141,1,1410,2,1056,30,2,1004,2,,,,
142,1,1420,2,2614,1,2,2613,1,,,,
143,1,1430,2,2612,1,2,2611,1,,,,
144,1,1440,2,1056,30,2,1004,2,,,,
145,1,1450,2,2614,1,2,2613,1,,,,
146,1,1460,2,2612,1,2,2611,1,,,,
147,1,1470,2,1056,30,2,1004,2,,,,
148,1,1480,2,2614,1,2,2613,1,,,,
149,1,1490,2,2612,1,2,2611,1,,,,
150,1,1500,2,1056,30,2,1004,2,,,,
151,1,1510,2,2614,1,2,2613,1,,,,
152,1,1520,2,2612,1,2,2611,1,,,,
153,1,1530,2,1056,30,2,1004,2,,,,
154,1,1540,2,2614,1,2,2613,1,,,,
155,1,1550,2,2612,1,2,2611,1,,,,
156,1,1560,2,1056,30,2,1004,2,,,,
157,1,1570,2,2614,1,2,2613,1,,,,
158,1,1580,2,2612,1,2,2611,1,,,,
159,1,1590,2,1056,30,2,1004,2,,,,
160,1,1600,2,2614,1,2,2613,1,,,,
161,1,1610,2,2612,1,2,2611,1,,,,
162,1,1620,2,1056,30,2,1004,2,,,,
163,1,1630,2,2614,1,2,2613,1,,,,
164,1,1640,2,2612,1,2,2611,1,,,,
165,1,1650,2,1056,30,2,1004,2,,,,
166,1,1660,2,2614,1,2,2613,1,,,,
167,1,1670,2,2612,1,2,2611,1,,,,
168,1,1680,2,1056,30,2,1004,2,,,,
169,1,1690,2,2614,1,2,2613,1,,,,
170,1,1700,2,2612,1,2,2611,1,,,,
171,1,1710,2,1056,30,2,1004,2,,,,
172,1,1720,2,2614,1,2,2613,1,,,,
173,1,1730,2,2612,1,2,2611,1,,,,
174,1,1740,2,1056,30,2,1004,2,,,,
175,1,1750,2,2614,1,2,2613,1,,,,
176,1,1760,2,2612,1,2,2611,1,,,,
177,1,1770,2,1056,30,2,1004,2,,,,
178,1,1780,2,2614,1,2,2613,1,,,,
179,1,1790,2,2612,1,2,2611,1,,,,
180,1,1800,2,1056,30,2,1004,2,,,,
181,1,1810,2,2614,1,2,2613,1,,,,
182,1,1820,2,2612,1,2,2611,1,,,,
183,1,1830,2,1056,30,2,1004,2,,,,
184,1,1840,2,2614,1,2,2613,1,,,,
185,1,1850,2,2612,1,2,2611,1,,,,
186,1,1860,2,1056,30,2,1004,2,,,,
187,1,1870,2,2614,1,2,2613,1,,,,
188,1,1880,2,2612,1,2,2611,1,,,,
189,1,1890,2,1056,30,2,1004,2,,,,
190,1,1900,2,2614,1,2,2613,1,,,,
191,1,1910,2,2612,1,2,2611,1,,,,
192,1,1920,2,1056,30,2,1004,2,,,,
193,1,1930,2,2614,1,2,2613,1,,,,
194,1,1940,2,2612,1,2,2611,1,,,,
195,1,1950,2,1056,30,2,1004,2,,,,
196,1,1960,2,2614,1,2,2613,1,,,,
197,1,1970,2,2612,1,2,2611,1,,,,
198,1,1980,2,1056,30,2,1004,2,,,,
199,1,1990,2,2614,1,2,2613,1,,,,
200,1,2000,2,2612,1,2,2611,1,,,,
201,2,400,2,1527,1,2,1006,100,2,1003,5,
202,2,420,2,1516,1,2,1006,100,,,,
203,2,440,2,1516,1,2,1006,100,,,,
204,2,460,2,1516,1,2,1006,100,,,,
205,2,480,2,1516,1,2,1006,100,,,,
206,2,500,2,1527,1,2,1006,100,2,1003,5,
207,2,520,2,1516,1,2,1006,100,,,,
208,2,540,2,1516,1,2,1006,100,,,,
209,2,560,2,1516,1,2,1006,100,,,,
210,2,580,2,1516,1,2,1006,100,,,,
211,2,600,2,1527,1,2,1006,100,2,1003,5,
212,2,620,2,1516,1,2,1006,100,,,,
213,2,640,2,1516,1,2,1006,100,,,,
214,2,660,2,1516,1,2,1006,100,,,,
215,2,680,2,1516,1,2,1006,100,,,,
216,2,700,2,1527,1,2,1006,100,2,1003,5,
217,2,720,2,1516,1,2,1006,100,,,,
218,2,740,2,1516,1,2,1006,100,,,,
219,2,760,2,1516,1,2,1006,100,,,,
220,2,780,2,1516,1,2,1006,100,,,,
221,2,800,2,1527,1,2,1006,100,2,1003,5,
222,2,820,2,1516,1,2,1006,100,,,,
223,2,840,2,1516,1,2,1006,100,,,,
224,2,860,2,1516,1,2,1006,100,,,,
225,2,880,2,1516,1,2,1006,100,,,,
226,2,900,2,1527,1,2,1006,100,2,1003,5,
227,2,920,2,1516,1,2,1006,100,,,,
228,2,940,2,1516,1,2,1006,100,,,,
229,2,960,2,1516,1,2,1006,100,,,,
230,2,980,2,1516,1,2,1006,100,,,,
231,2,1000,2,1527,1,2,1006,100,2,1003,5,
232,2,1020,2,1516,1,2,1006,100,,,,
233,2,1040,2,1516,1,2,1006,100,,,,
234,2,1060,2,1516,1,2,1006,100,,,,
235,2,1080,2,1516,1,2,1006,100,,,,
236,2,1100,2,1527,1,2,1006,100,2,1003,5,
237,2,1120,2,1516,1,2,1006,100,,,,
238,2,1140,2,1516,1,2,1006,100,,,,
239,2,1160,2,1516,1,2,1006,100,,,,
240,2,1180,2,1516,1,2,1006,100,,,,
241,2,1200,2,1527,1,2,1006,100,2,1003,5,
242,2,1220,2,1516,1,2,1006,100,,,,
243,2,1240,2,1516,1,2,1006,100,,,,
244,2,1260,2,1516,1,2,1006,100,,,,
245,2,1280,2,1516,1,2,1006,100,,,,
246,2,1300,2,1527,1,2,1006,100,2,1003,5,
247,3,1300,2,1527,1,2,1006,100,2,1003,5,
248,3,1320,2,1516,1,2,1006,100,,,,
249,3,1340,2,1516,1,2,1006,100,,,,
250,3,1360,2,1516,1,2,1006,100,,,,
251,3,1380,2,1516,1,2,1006,100,,,,
252,3,1400,2,1527,1,2,1006,100,2,1003,5,
253,3,1420,2,1516,1,2,1006,100,,,,
254,3,1440,2,1516,1,2,1006,100,,,,
255,3,1460,2,1516,1,2,1006,100,,,,
256,3,1480,2,1516,1,2,1006,100,,,,
257,3,1500,2,1527,1,2,1006,100,2,1003,5,
258,3,1520,2,1516,1,2,1006,100,,,,
259,3,1540,2,1516,1,2,1006,100,,,,
260,3,1560,2,1516,1,2,1006,100,,,,
261,3,1580,2,1516,1,2,1006,100,,,,
262,3,1600,2,1527,1,2,1006,100,2,1003,5,
263,3,1620,2,1516,1,2,1006,100,,,,
264,3,1640,2,1516,1,2,1006,100,,,,
265,3,1660,2,1516,1,2,1006,100,,,,
266,3,1680,2,1516,1,2,1006,100,,,,
267,3,1700,2,1527,1,2,1006,100,2,1003,5,
268,3,1720,2,1516,1,2,1006,100,,,,
269,3,1740,2,1516,1,2,1006,100,,,,
270,3,1760,2,1516,1,2,1006,100,,,,
271,3,1780,2,1516,1,2,1006,100,,,,
272,3,1800,2,1527,1,2,1006,100,2,1003,5,
273,3,1810,2,1516,1,2,1006,100,,,,
274,3,1820,2,1516,1,2,1006,100,,,,
275,3,1830,2,1516,1,2,1006,100,,,,
276,3,1840,2,1516,1,2,1006,100,,,,
277,3,1850,2,1527,1,2,1006,100,2,1003,5,
278,3,1860,2,1516,1,2,1006,100,,,,
279,3,1870,2,1516,1,2,1006,100,,,,
280,3,1880,2,1516,1,2,1006,100,,,,
281,3,1890,2,1516,1,2,1006,100,,,,
282,3,1900,2,1527,1,2,1006,100,2,1003,5,
283,3,1910,2,1516,1,2,1006,100,,,,
284,3,1920,2,1516,1,2,1006,100,,,,
285,3,1930,2,1516,1,2,1006,100,,,,
286,3,1940,2,1516,1,2,1006,100,,,,
287,3,1950,2,1527,1,2,1006,100,2,1003,5,
288,3,1960,2,1516,1,2,1006,100,,,,
289,3,1970,2,1516,1,2,1006,100,,,,
290,3,1980,2,1516,1,2,1006,100,,,,
291,3,1990,2,1516,1,2,1006,100,,,,
292,3,2000,2,1527,1,2,1006,100,2,1003,5,
