id,buffType,buffQuality,name,iconId,skillId,buffs-type-1,buffs-way-1,buffs-value-1,buffs-type-2,buffs-way-2,buffs-value-2,heroTakeEffect,weight,desc,
1,1,1,s==19|Công Kích Châm Ngôn,s==1|1,,2,1,1000,,,,,50,s==23|Toàn thể công kích +10%,
41,1,2,s==25|Kế Sách Tọa Hoài Bất Loạn,s==2|41,50205110,18,1,800,19,1,800,,50,s==168|Toàn thể trị liệu、 nhận trị liệu tăng 8%； sau khi chủ động tấn công gây thương tổn， 50% xác suất khiến mục tiêu giảm miễn thương 20%， duy trì 1 lượt， không thể giải trừ,
42,1,2,s==27|Kế Sách Binh Giao Nhiễu Rối,s==2|42,50205210,18,1,800,19,1,800,,50,s==191|Toàn thể trị liệu、 nhận trị liệu tăng 8%； sau khi chủ động tấn công gây thương tổn， 20% xác suất (bất chấp khống chế/kháng chế) khiến mục tiêu bị【Hỗn Loạn】， duy trì 1 lượt， không thể giải trừ,
43,1,2,s==25|Kế Sách Giải Cần Nhi Khởi,s==2|43,50205310,12,1,1000,,,,,50,s==123|Toàn thể vật thương +10%； khi chủ động tấn công gây thương tổn， nếu sinh mệnh mục tiêu ≥ 80%， thì đòn này phá giáp tăng 15%,
44,1,2,s==28|Kế Sách Phấn Dũng Đương Tiên,s==2|44,50205410,13,1,1000,,,,,50,s==139|Toàn thể pháp thương +10%； sau khi chủ động tấn công gây thương tổn， khiến mục tiêu giảm sát thương 20%， duy trì 1 lượt， không thể giải trừ,
45,1,2,s==19|Thừa thắng xông lên,s==2|45,50205510,12,1,1000,,,,,50,s==172|Toàn thể vật thương +10%； khi chủ động tấn công gây thương tổn， nếu sinh mệnh mục tiêu ≥ 80%， thì thêm một lần gây sát thương thực bằng 100% công kích bản thân lên mục tiêu,
46,1,2,s==26|Kế Sách Nghiêm Trận Dĩ Đãi,s==2|46,50205610,3,1,1000,,,,,50,s==77|Toàn thể phòng ngự +10%； khi sinh mệnh đạt 100%， giảm thương tổn nhận vào 40%,
47,1,2,s==23|Kế Sách Kế Giác Chi Thế,s==2|47,50205710,2,1,1000,,,,,50,s==140|Toàn thể tấn công +10%； sau khi chủ động tấn công gây thương tổn， gây thêm một lần sát thương thực bằng 200% công kích bản thân lên mục tiêu,
48,1,2,s==22|Kế Sách Dĩ Lực Phá Xảo,s==2|48,50205810,13,1,1000,,,,,50,s==117|Toàn thể pháp thương +10%； sau khi chủ động tấn công gây thương tổn， 100% giải trừ 1 trạng thái tăng lợi của mục tiêu,
49,1,2,s==27|Kế Sách Đoạn Kim Chiết Kích,s==2|49,50205910,12,1,1000,,,,,50,s==151|Toàn thể vật thương +10%； sau khi chủ động tấn công gây thương tổn， 50% xác suất khiến mục tiêu giảm sát thương 20%， duy trì 1 lượt， không thể giải trừ,
50,1,2,s==17|Phá Xâm Tiết Kích,s==2|50,50206010,13,1,1000,,,,,50,s==167|Toàn thể pháp thương +10%； khi chủ động tấn công gây thương tổn， 50% xác suất khiến mục tiêu giảm sát thương 20%、 bạo kích giảm 20%， duy trì 1 lượt， không thể giải trừ,
51,1,2,s==25|Kế Sách Binh Quý Thần Tốc,s==2|51,50206110,,,,,,,1,50,s==136|Mỗi lượt bắt đầu， ngẫu nhiên tăng tốc độ 20% cho 1 danh tướng bên ta， đồng thời miễn nhiễm【Trầm Mặc】， duy trì 1 lượt， không thể giải trừ,
52,1,2,s==27|Kế Sách Kim Thành Thang Trì,s==2|52,50206210,,,,,,,1,50,s==137|Mỗi lượt bắt đầu， ngẫu nhiên tăng phòng ngự 20% cho 1 danh tướng bên ta， đồng thời miễn nhiễm【Hôn Mi】， duy trì 1 lượt， không thể giải trừ,
53,1,2,s==25|Kế Sách Liệu Địch Tiên Cơ,s==2|53,50206310,,,,,,,1,50,s==149|Mỗi lượt bắt đầu， ngẫu nhiên hồi phục 10% sinh mệnh tối đa cho 1 danh tướng bên ta， đồng thời miễn nhiễm【Cấm Trị】， duy trì 1 lượt， không thể giải trừ,
54,1,2,s==25|Kế Sách Hiêu Dũng Vô Song,s==2|54,50206410,,,,,,,1,50,s==159|Mỗi lượt bắt đầu， ngẫu nhiên tăng tấn công 20% cho 1 danh tướng bên ta、 bạo kích tăng 10%， đồng thời có【Tấn Công Chính Xác】， duy trì 1 lượt， không thể giải trừ,
55,2,,s==25|Kế Sách Khiêm Lừa Kỹ Quần,s==2|55,50206510,,,,,,,,50,s==77|Sát thương do Mưu Thần gây ra giảm 50%， duy trì toàn trận， không thể giải trừ,
56,2,,s==24|Kế Sách Nhược Bạc Vô Lực,s==2|56,50206610,,,,,,,,50,s==79|Sát thương do Mãnh Tướng gây ra giảm 50%， duy trì toàn trận， không thể giải trừ,
57,2,,s==27|Kế Sách Bệnh Nhập Cao Hoang,s==2|57,50206710,,,,,,,,50,s==76|Trị liệu nhận vào của phe ta giảm 40%， duy trì toàn trận， không thể giải trừ,
58,2,,s==26|Kế Sách Cung Chiết Đao Tận,s==2|58,50206810,,,,,,,,50,s==83|Sát thương của toàn bộ tướng bên ta giảm 30%， duy trì toàn trận， không thể giải trừ,
59,2,,s==24|Kế Sách Nê Túc Thâm Trận,s==2|59,50206910,,,,,,,,50,s==79|Tốc độ của toàn bộ tướng bên ta giảm 30%， duy trì toàn trận， không thể giải trừ,
60,2,,s==26|Kế Sách Trận Giác Đại Loạn,s==2|60,50207010,,,,,,,,50,s==82|Phòng ngự của toàn bộ tướng bên ta giảm 50%， duy trì toàn trận， không thể giải trừ,
61,2,,s==25|Kế Sách Nội Ưu Ngoại Hoạn,s==2|61,50207110,,,,,,,,50,s==84|Miễn thương của toàn bộ tướng bên ta giảm 25%， duy trì toàn trận， không thể giải trừ,
62,2,,s==23|Kế Sách Cổ Suy Lực Kiệt,s==2|62,50207210,,,,,,,,50,s==109|Trước khi hành động bản thân， nếu sinh mệnh dưới 75%， sát thương giảm 30%， duy trì 1 lượt， không thể giải trừ,
63,2,,s==16|Băng phát đột tử,s==2|63,50207310,,,,,,,,50,s==65|Mỗi lượt kết thúc， tướng có sinh mệnh dưới 25% sẽ lập tức tử vong,
64,2,,s==18|Phong thanh hạc lệ,s==2|64,50207410,,,,,,,,50,s==80|Mỗi lượt kết thúc， toàn bộ tướng bên ta mất đi 10% sinh mệnh tối đa của bản thân,
