id,rankId,type,warriors-id-1,warriors-skills-1,warriors-properties-1,warriors-percentproperties-1,warriors-id-2,warriors-skills-2,warriors-properties-2,warriors-percentproperties-2,
25,s==1|7,1,4050,s==9|4409|4308,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4402|4333,s==7|3|0|430,s==7|1|1|500,
26,s==1|7,2,4050,s==9|4423|4332,s==9|1|0|47840,s==7|2|1|500,4050,s==9|4424|4328,s==7|3|0|430,s==7|1|1|500,
27,s==1|7,3,4050,s==9|4403|4334,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4413|4333,s==7|3|0|430,s==7|1|1|500,
28,s==1|7,4,4050,s==9|4431|4323,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4439|4326,s==9|1|0|47840,s==7|1|1|500,
29,s==1|8,1,4050,s==9|4409|4308,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4402|4333,s==7|3|0|430,s==7|1|1|500,
30,s==1|8,2,4050,s==9|4423|4332,s==9|1|0|47840,s==7|2|1|500,4050,s==9|4424|4328,s==7|3|0|430,s==7|1|1|500,
31,s==1|8,3,4050,s==9|4403|4334,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4413|4333,s==7|3|0|430,s==7|1|1|500,
32,s==1|8,4,4050,s==9|4431|4323,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4439|4326,s==9|1|0|47840,s==7|1|1|500,
33,s==1|9,1,4050,s==9|4409|4308,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4402|4333,s==7|3|0|430,s==7|1|1|500,
34,s==1|9,2,4050,s==9|4423|4332,s==9|1|0|47840,s==7|2|1|500,4050,s==9|4424|4328,s==7|3|0|430,s==7|1|1|500,
35,s==1|9,3,4050,s==9|4403|4334,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4413|4333,s==7|3|0|430,s==7|1|1|500,
36,s==1|9,4,4050,s==9|4431|4323,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4439|4326,s==9|1|0|47840,s==7|1|1|500,
37,s==2|10,1,4050,s==9|4409|4308,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4402|4333,s==7|3|0|430,s==7|1|1|500,
38,s==2|10,2,4050,s==9|4423|4332,s==9|1|0|47840,s==7|2|1|500,4050,s==9|4424|4328,s==7|3|0|430,s==7|1|1|500,
39,s==2|10,3,4050,s==9|4403|4334,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4413|4333,s==7|3|0|430,s==7|1|1|500,
40,s==2|10,4,4050,s==9|4431|4323,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4439|4326,s==9|1|0|47840,s==7|1|1|500,
