id,dateStart,dateEnd,stageStart,stageEnd,stage,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
36,15,30,7,9,3,200,2,1004,3,2,1003,6,2,1006,2000,
37,15,30,7,9,3,500,2,1516,1,2,1029,40,2,1006,5000,
38,15,30,7,9,3,1000,2,1105,10,2,1003,15,2,1006,8000,
39,15,30,7,9,3,2000,2,1176,2,2,3014,50,2,1006,20000,
40,15,30,7,9,3,5000,2,6677,1,2,3014,50,2,1463,5,
41,15,30,7,9,3,10000,2,6674,1,2,3014,100,2,1463,10,
42,15,30,7,9,3,20000,2,6675,1,2,3014,100,2,1527,2,
43,31,44,1,3,1,200,2,1004,3,2,1003,6,2,1006,2000,
44,31,44,1,3,1,500,2,1516,1,2,1029,40,2,1006,5000,
45,31,44,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
46,31,44,1,3,1,2000,2,1761,2,2,1076,4,2,1006,20000,
47,31,44,1,3,1,5000,2,6677,1,2,1076,8,2,1073,4,
48,31,44,1,3,1,10000,2,6674,1,2,1076,10,2,1073,8,
49,31,44,1,3,1,20000,2,6675,1,2,1076,10,2,1073,12,
50,31,44,4,6,2,200,2,1004,3,2,1003,6,2,2074,3,
51,31,44,4,6,2,500,2,1516,1,2,1029,40,2,2074,8,
52,31,44,4,6,2,1000,2,1468,1,2,1003,15,2,2074,16,
53,31,44,4,6,2,2000,2,1468,2,2,14701,1,2,2074,24,
54,31,44,4,6,2,5000,2,6677,1,2,14701,1,2,2074,36,
55,31,44,4,6,2,10000,2,6674,1,2,14701,2,2,2074,50,
56,31,44,4,6,2,20000,2,6675,1,2,14701,4,2,2074,80,
57,31,44,7,9,3,200,2,1004,3,2,1003,6,2,1006,2000,
58,31,44,7,9,3,500,2,1516,1,2,1029,40,2,1006,5000,
59,31,44,7,9,3,1000,2,1105,10,2,1003,15,2,1006,8000,
60,31,44,7,9,3,2000,2,1176,2,2,2097,1,2,1006,20000,
61,31,44,7,9,3,5000,2,6677,1,2,2097,2,2,1463,5,
62,31,44,7,9,3,10000,2,6674,1,2,2097,4,2,1463,10,
63,31,44,7,9,3,20000,2,6675,1,2,2097,8,2,1527,2,
64,45,-1,1,3,1,200,2,1004,3,2,1003,6,2,1006,2000,
65,45,-1,1,3,1,500,2,1516,1,2,1029,40,2,1006,5000,
66,45,-1,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
67,45,-1,1,3,1,2000,2,1761,2,2,1509,1,2,1006,20000,
68,45,-1,1,3,1,5000,2,6677,1,2,1509,2,2,1020,40,
69,45,-1,1,3,1,10000,2,6674,1,2,1509,4,2,1020,60,
70,45,-1,1,3,1,20000,2,6675,1,2,1509,8,2,1021,30,
71,45,-1,4,6,2,200,2,1004,3,2,1003,6,2,2074,3,
72,45,-1,4,6,2,500,2,1516,1,2,1029,40,2,2074,8,
73,45,-1,4,6,2,1000,2,1468,1,2,1003,15,2,2074,16,
74,45,-1,4,6,2,2000,2,1468,2,2,3014,50,2,2074,24,
75,45,-1,4,6,2,5000,2,6677,1,2,3014,50,2,2074,36,
76,45,-1,4,6,2,10000,2,6674,1,2,3014,100,2,2074,50,
77,45,-1,4,6,2,20000,2,6675,1,2,3014,100,2,2074,80,
78,45,-1,7,9,3,200,2,1004,3,2,1003,6,2,2074,3,
79,45,-1,7,9,3,500,2,1516,1,2,1029,40,2,2074,8,
80,45,-1,7,9,3,1000,2,1105,10,2,1003,15,2,2074,16,
81,45,-1,7,9,3,2000,2,1176,2,2,2097,1,2,2074,24,
82,45,-1,7,9,3,5000,2,6677,1,2,2097,2,2,1463,5,
83,45,-1,7,9,3,10000,2,6674,1,2,2097,4,2,1463,10,
84,45,-1,7,9,3,20000,2,6675,1,2,2097,8,2,1527,2,
