id,name,avatarId,have,unlockType,unlockCondition1,monsterShow,convert,trendsId,headPath,trendsCondition1,
23511,s==9|Tôn Quyền,23511,0,1,s==9|3|23511|1,1,,1023511,s==40|SpineDynamic/playerhead/sunquan/touxiang,s==11|2|1023511|1,
80001,s==8|Bỉ Mi Hô,80001,0,3,s==9|2|80001|1,1,2|46110|1,,,,
46001,s==8|Binh Xác,46001,0,3,s==9|2|46001|1,1,2|46101|1,,,,
46002,s==9|Minh Chúc,46002,0,3,s==9|2|46002|1,1,2|46102|1,,,,
46003,s==18|Thạch Tượng Thủ Vệ,46003,0,3,s==9|2|46003|1,1,2|46103|1,,,,
46004,s==5|U Quỷ,46004,0,3,s==9|2|46004|1,1,2|46104|1,,,,
22508001,s==19|Ngân Long Phi Tướng,22508001,0,2,s==9|2|13002|1,1,,,,,
24504001,s==21|Thiên Công Tướng Quân,24504001,0,2,s==9|2|13003|1,1,,,,,
49003,s==18|Du Phương Thuật Sĩ,24514,0,3,s==9|2|46005|1,1,2|46105|1,,,,
49002,s==16|Bồng Lai Linh Nữ,48001,0,3,s==9|2|46006|1,1,2|46106|1,,,,
49004,s==16|Phương Tốn Sĩ Nữ,24515,0,3,s==9|2|46007|1,1,2|46107|1,,,,
45001,s==11|Sa Mạc Khắc,45001,0,3,s==9|2|46008|1,1,2|46108|1,,,,
45002,s==16|Bắc Cung Bá Ngọc,45002,0,3,s==9|2|46009|1,1,2|46109|1,,,,
24516,s==15|Thần·Trương Phi,24516,0,1,s==9|3|24516|1,1,,1024516,s==45|SpineDynamic/playerhead/shenzhangfei/touxiang,s==11|2|1024516|1,
24517,s==12|Thần·Mã Siêu,24517,0,1,s==9|3|24517|1,1,,1024517,s==43|SpineDynamic/playerhead/shenmachao/touxiang,s==11|2|1024517|1,
22504001,s==16|Ôn Tửu Trảm Địch,22504001,0,2,s==9|2|13710|1,1,,,,,
25516,s==10|Ma·Tư Mã Ý,25516,0,1,s==9|2|25516|1,1,,1025516,s==39|SpineDynamic/playerhead/simayi/touxiang,s==11|2|1025516|1,
21503001,s==16|Lạc Thủy Tiên Tử,21503001,0,2,s==9|2|13711|1,1,,,,,
23510001,s==20|Hồng Liên Nghiệp Hỏa,23510001,0,2,s==9|2|13712|1,1,,,,,
24508001,s==18|Kỳ Tinh Hoán Phong,24508001,0,2,s==9|2|13713|1,1,,,,,
23508001,s==14|Hạ Bội Ân Hồng,23508001,0,2,s==9|2|13714|1,1,,,,,
25509001,s==17|Tình Cầu Nhập Tủy,25509001,0,2,s==9|2|13715|1,1,,,,,
22512,s==16|Thục Quân·Lưu Bị,22512,0,1,s==9|3|22512|1,1,,1022512,s==39|SpineDynamic/playerhead/liubei/touxiang,s==11|2|1022512|1,
25504002,s==17|Diệt Thế Quỷ Thần,25504002,0,2,s==9|2|13716|1,1,,,,,
24510001,s==18|Bắc Vọng Quy Hương,24510001,0,2,s==9|2|13717|1,1,,,,,
21510001,s==12|Hổ Hầu Vũ Si,21510001,0,2,s==9|2|13718|1,1,,,,,
22502001,s==15|Dục Huyết Đồ Sư,22502001,0,2,s==9|2|13719|1,1,,,,,
23506001,s==14|Thú Vệ Bắc Hải,23506001,0,2,s==9|2|13720|1,1,,,,,
25507001,s==21|Mặc Nhiễm Nguyệt Nhan,25507001,0,2,s==9|2|13721|1,1,,,,,
21508001,s==16|Uy Chấn Tiêu Dao,21508002,0,2,s==9|2|13726|1,0,,,,,
24505001,s==13|Sư Tâm Vũ Cực,24505001,0,2,s==9|2|13727|1,0,,,,,
22507001,s==16|Lăng Nha Cầm Vận,22507001,0,2,s==9|2|13728|1,0,,,,,
23503001,s==22|Nguyệt Thố Phiên Thiên,23503001,0,2,s==9|2|13730|1,0,,,,,
23510002,s==17|Kiếp Tận Tàn Minh,23510002,0,2,s==9|2|13729|1,0,,,,,
30073,s==18|Huyền Viên Long Uy,260001101,0,2,s==9|2|13724|1,0,,,,,
30074,s==22|Huyền Viên Phượng Nghi,260001201,0,2,s==9|2|13725|1,0,,,,,
21512001,s==21|Thiên Nhãn Nghị Trọng,21512001,0,2,s==9|2|13732|1,0,,,,,
22507002,s==18|Ngọa Long Xuất Thế,22507002,0,2,s==9|2|13731|1,0,,,,,
21515,s==16|Ngụy Đế·Tào Tháo,21515,0,1,s==9|3|21515|1,0,,1021515,s==42|SpineDynamic/playerhead/weicaocao/touxiang,s==11|2|1021515|1,
22501,s==11|Hoàng Trung,22501,0,1,s==9|3|22501|1,0,,,,,
75002,s==16|Anh Hùng Quy Lai,75002,0,3,s==9|2|75002|1,0,,,,,
24506001,s==18|Ngự Kiếm Phược Hồn,24506001,0,2,s==9|2|13733|1,0,,,,,
25515001,s==20|Ngạo Thế Thương Long,25515001,0,2,s==9|2|13734|1,0,,,,,
22501001,s==17|Hoang Sâm Cô Lang,22501001,0,2,s==9|2|13735|1,0,,,,,
25510001,s==18|Bắc Minh Yêm Vương,25510001,0,2,s==9|2|13736|1,0,,,,,
21507001,s==15|Thiêu Tâm Di Kế,21507001,0,2,s==9|2|13737|1,0,,,,,
24503001,s==17|Thiên Thủy Kỳ Lân,24503001,0,2,s==9|2|13738|1,0,,,,,
21508002,s==17|Vạn Nhậm Thâm Hàn,21508001,0,2,s==9|2|13739|1,0,,,,,
23508002,s==15|Tuyết Ủng U Lan,23508003,0,2,s==9|2|13740|1,0,,,,,
23507001,s==11|Dạ Sát Ám Ô,23507001,0,2,s==9|2|13741|1,0,,,,,
23511001,s==18|Luyện Ngục Đế Quân,23511001,0,2,s==9|2|13742|1,0,,,,,
22511001,s==18|Tụy Quan Phong Hỏa,22511001,0,2,s==9|2|13743|1,0,,,,,
22504002,s==16|Vạn Phu Mạc Địch,22504002,0,2,s==9|2|13744|1,0,,,,,
22512001,s==15|Đào Uyên Du Lân,22512001,0,2,s==9|2|13745|1,0,,,,,
23502001,s==17|Quỷ Môn Chiến Quỷ,23502001,0,2,s==9|2|13746|1,0,,,,,
21504001,s==19|Liệt Dực Thần Phong,21504001,0,2,s==9|2|13747|1,0,,,,,
21512002,s==18|Lẫm Liệt Tật Phong,21512002,0,2,s==9|2|13748|1,0,,,,,
21515001,s==21|Kiệt Thạch Thương Hải,21515001,0,2,s==9|2|13750|1,0,,,,,
24517001,s==16|Nhậm Pháp Tru Tà,24517001,0,2,s==9|2|13749|1,0,,,,,
30075,s==17|Tĩnh Thế Thần Lâm,260001301,0,2,s==9|2|13751|1,0,,,,,
30076,s==18|Tĩnh Thế Kinh Hồng,260001401,0,2,s==9|2|13752|1,0,,,,,
23506002,s==19|Thần Đình Đấu Chiến,23506002,0,2,s==9|2|13753|1,0,,,,,
25514001,s==14|Độc Thủ Tà Tâm,25514001,0,2,s==9|2|13754|1,0,,,,,
46011,s==20|Hồng Loan Tiếu (Nam),46011,0,3,s==9|2|46011|1,1,2|46111|1,,,,
46012,s==19|Hồng Loan Tiếu (Nữ),46012,0,3,s==9|2|46012|1,1,2|46112|1,,,,
46013,s==16|Hí Tử Tình (Nam),46013,0,3,s==9|2|46013|1,1,2|46113|1,,,,
46014,s==15|Hí Tử Tình (Nữ),46014,0,3,s==9|2|46014|1,1,2|46114|1,,,,
46015,s==13|Bạch Phú Miêu,46015,0,3,s==9|2|46015|1,1,2|46115|1,,,,
46016,s==12|Cao Phú Uông,46016,0,3,s==9|2|46016|1,1,2|46116|1,,,,
24516001,s==18|Hồng Hoang Cự Thần,24516001,0,2,s==9|2|13755|1,0,,,,,
25516001,s==16|Âm Dương Nghị Sĩ,25516001,0,2,s==9|2|13756|1,0,,,,,
24501001,s==16|Thiên Địa Kỳ Cục,24501001,0,2,s==9|2|13757|1,0,,,,,
22515,s==16|Hoàng Nguyệt Anh,22515,0,1,s==9|3|22515|1,1,,1022515,s==58|SpineDynamic/playerhead/huangyueying/touxiang_huangyueying,s==11|2|1022515|1,
24504002,s==21|Thiên Chỉ Ngụy Truyền,24504002,0,2,s==9|2|13758|1,0,,,,,
22502002,s==18|Vạn Nhân Địch · Hổ,22502002,0,2,s==9|2|13759|1,0,,,,,
25517001,s==16|Bỉ Ngạn Đăng Ảnh,25517001,0,2,s==9|2|13760|1,0,,,,,
24518001,s==16|Đế Thích Hoàn Vũ,24518001,0,2,s==9|2|13761|1,0,,,,,
21510002,s==17|Bạo Liệt Man Chuý,21510002,0,2,s==9|2|13763|1,0,,,,,
24517002,s==11|Cẩm Mã Siêu,24517002,0,2,s==9|2|13767|1,0,,,,,
25504005,s==19|Xích Diễm Phong Bão,25504005,0,2,s==9|2|13764|1,0,,,,,
25515005,s==18|Mạt Nhật Cấp Phong,25515005,0,2,s==9|2|13765|1,0,,,,,
24505005,s==18|Bích Ngọc Võ Thánh,24505005,0,2,s==9|2|13766|1,0,,,,,
22504003,s==18|Bích Ngọc Võ Thánh,22504003,0,2,s==9|2|13769|1,0,,,,,
22515001,s==22|Xung Nguyệt Thiên Khuy,22515001,0,2,s==9|2|13770|1,0,,,,,
26501,s==11|Hồn · Tả Từ,26501,0,1,s==9|3|26501|1,0,,1026501,s==41|SpineDynamic/playerhead/hunzuoci/zuoci-tx,s==11|2|1026501|1,
24510002,s==14|Hạ Nhật Lệ Ảnh,24510002,0,2,s==9|2|13774|1,0,,,,,
25509002,s==17|Trung Hạ Chi Mộng,25509002,0,2,s==9|2|13775|1,0,,,,,
30077,s==17|Uyên Long Ma Quân,260001501,0,2,s==9|2|13771|1,0,,,,,
30078,s==15|Uyên Long Nữ Đế,260001601,0,2,s==9|2|13772|1,0,,,,,
21516,s==18|Ngụy · Thái Văn Cơ,21516,0,1,s==9|3|21516|1,0,,1021516,s==49|SpineDynamic/playerhead/weicaiwenji/head_caiwenji,s==11|2|1021516|1,
24518002,s==17|Đạo Pháp Vô Giang,24518002,0,2,s==9|2|13776|1,0,,,,,
26501001,s==19|Vạn Tượng Thần Khải,26501001,0,2,s==9|2|13777|1,0,,,,,
26501002,s==16|Huyền Vũ Tiên Tể,26501002,0,2,s==9|2|13793|1,0,,,,,
25510002,s==19|Vương Xương Ma Quân,25510002,0,2,s==9|2|13778|1,0,,,,,
26502,s==15|Hồn · Triệu Vân,26502,0,1,s==9|3|26502|1,1,,1026502,s==46|SpineDynamic/playerhead/hunzhaoyun/wei_zhaoyun,s==11|2|1026502|1,
25519,s==18|Kình Thiên · Lữ Bố,25519,0,1,s==9|3|25519|1,1,,,,,
24519,s==25|Hoàng Phong · Trương Giác,24519,0,1,s==9|3|24519|1,1,,,,,
21515002,s==21|Thiệu Thành Tiềm Giảo,21515002,0,2,s==9|2|13779|1,0,,,,,
23511002,s==17|Hắc Bang Giáo Chủ,23511002,0,2,s==9|2|13780|1,0,,,,,
26503,s==15|Hồn · Tiểu Kiều,26503,0,1,s==9|3|26503|1,0,,1026503,s==56|SpineDynamic/playerhead/hunxiaoqiao/hunxiaoqiao_touxiang,s==11|2|1026503|1,
23503002,s==18|Sáng Tạo Tổng Giám,23503003,0,2,s==9|2|13781|1,0,,,,,
23510003,s==17|Điện Toán Cao Thủ,23510003,0,2,s==9|2|13782|1,0,,,,,
25515002,s==17|Hội Nghị Đạo Nhân,25515002,0,2,s==9|2|13783|1,0,,,,,
21516001,s==19|Phi Thiên Nhi Trang,21516002,0,2,s==9|2|13784|1,0,,,,,
22512002,s==19|Kinh Hồng Nhất Kiếm,22512005,0,2,s==9|2|13785|1,0,,,,,
26504,s==17|Hồn · Trương Liêu,26504,0,1,s==9|3|26504|1,0,,1026504,s==58|SpineDynamic/playerhead/hunzhangliao/weizhangliao_touxiang,s==11|2|1026504|1,
26502001,s==22|Thời Không Chiến Tướng,26502001,0,2,s==9|2|13786|1,0,,,,,
26503001,s==22|Bách Điểu Triều Phượng,26503001,0,2,s==9|2|13787|1,0,,,,,
26505,s==12|Hồn · Chu Du,26505,0,1,s==9|3|26505|1,0,,1026505,s==48|SpineDynamic/playerhead/hunzhouyu/zhouyutouxiang,s==11|2|1026505|1,
26504001,s==14|Nộ Hải Thần Uy,26504001,0,2,s==9|2|13788|1,0,,,,,
26504002,s==15|Đồ Long Dũng Sĩ,26504002,0,2,s==9|2|13802|1,0,,,,,
23503003,s==13|Sư Vũ Hạ Xuân,23503004,0,2,s==9|2|13789|1,0,,,,,
25507002,s==18|Ngọc Đường Mai Ảnh,25507002,0,2,s==9|2|13790|1,0,,,,,
26508,s==13|Hồn · Quan Vũ,26508,0,1,s==9|3|26508|1,0,,1026508,s==58|SpineDynamic/playerhead/hunzhangliao/weizhangliao_touxiang,s==11|2|1026508|1,
25518,s==14|Ma Tôn·Hạng Vũ,25518,0,1,s==9|3|25518|1,0,,1025518,s==48|SpineDynamic/playerhead/xiangyu/touxiang_xiangyu,s==11|2|1025518|1,
25518001,s==16|Bá Vương Biệt Cơ,25518001,0,2,s==9|2|13762|1,0,,,,,
25518002,s==15|Hoang Cổ Bá Tôn,25518002,0,2,s==9|2|13768|1,0,,,,,
25518003,s==17|Phù Yêu Chi Vương,25518003,0,2,s==9|2|13791|1,0,,,,,
26505001,s==18|Hỏa Thần Chúc Dung,26505001,0,2,s==9|2|13792|1,0,,,,,
26506,s==17|Hồn · Điêu Thuyền,26506,0,1,s==9|3|26506|1,0,,1026506,s==48|SpineDynamic/playerhead/hunzhouyu/zhouyutouxiang,s==11|2|1026506|1,
26506001,s==18|Cẩm Kiều Vũ Thưởng,26506001,0,2,s==9|2|13794|1,0,,,,,
26503002,s==17|Hải Dương Chi Tâm,26503002,0,2,s==9|2|13795|1,0,,,,,
26502002,s==15|Đông Hải Chi Tử,26502002,0,2,s==9|2|13796|1,0,,,,,
11102002,s==19|Thanh Long Võ Trang,11102002,0,2,s==9|2|13797|1,0,,,,,
11102003,s==13|Ám Dạ Ma Giáp,11102003,0,2,s==9|2|13798|1,0,,,,,
25510003,s==19|Thiên Cơ Thần Giáng,25510003,0,2,s==9|2|13799|1,0,,,,,
25515004,s==19|Bạo Phong Sích Diễm,25515004,0,2,s==9|2|13800|1,0,,,,,
26507,s==14|Hồn · Đại Kiều,26507,0,1,s==9|3|26507|1,0,,1026507,s==48|SpineDynamic/playerhead/hunzhouyu/zhouyutouxiang,s==11|2|1026507|1,
26507001,s==20|Thái Vân Truy Nguyệt,26507001,0,2,s==9|2|13801|1,0,,,,,
26508001,s==18|Thanh Long Võ Tiên,26508001,0,2,s==9|2|13803|1,0,,,,,
26505002,s==18|Bích Ba Nông Triều,26505002,0,2,s==9|2|13804|1,0,,,,,
26509,s==13|Hồn · Gia Cát,26509,0,1,s==9|3|26509|1,0,,1026509,s==58|SpineDynamic/playerhead/hunzhangliao/weizhangliao_touxiang,s==11|2|1026509|1,
26509001,s==16|Mưu Thế Chi Thần,26509001,0,2,s==9|2|13805|1,0,,,,,
26506002,s==15|Ai Cập Diễm Hậu,26506002,0,2,s==9|2|13806|1,0,,,,,
26510,s==16|Hồn · Tôn Thượng,26510,0,1,s==9|3|26510|1,0,,1026510,s==58|SpineDynamic/playerhead/hunzhangliao/weizhangliao_touxiang,s==11|2|1026510|1,
26510001,s==17|Hựu Thắng Thần Nữ,26510001,0,2,s==9|2|13807|1,0,,,,,
26507002,s==17|Tụ Diễm Ánh Tuyết,26507002,0,2,s==9|2|13808|1,0,,,,,
