id,level,seat,quality,levelUpNeedEX,proEX,getEX,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,pro-type-5,pro-way-5,pro-value-5,pro-type-6,pro-way-6,pro-value-6,
109,8,3,3,1300,6800,6800,2,0,2400,,,,,,,,,,,,,,,,
110,9,3,3,1400,8100,8100,2,0,2700,,,,,,,,,,,,,,,,
111,10,3,3,1600,9500,9500,2,0,3000,2,1,100,,,,,,,,,,,,,
112,11,3,3,1800,11100,11100,2,0,3300,2,1,100,,,,,,,,,,,,,
113,12,3,3,2000,12900,12900,2,0,3600,2,1,100,,,,,,,,,,,,,
114,13,3,3,2200,14900,14900,2,0,3900,2,1,100,,,,,,,,,,,,,
115,14,3,3,2400,17100,17100,2,0,4200,2,1,100,,,,,,,,,,,,,
116,15,3,3,,19500,19500,2,0,4500,2,1,100,,,,,,,,,,,,,
117,0,4,3,500,,0,,,,,,,,,,,,,,,,,,,
118,1,4,3,600,500,500,1,0,3000,,,,,,,,,,,,,,,,
119,2,4,3,700,1100,1100,1,0,6000,,,,,,,,,,,,,,,,
120,3,4,3,800,1800,1800,1,0,9000,,,,,,,,,,,,,,,,
121,4,4,3,900,2600,2600,1,0,12000,,,,,,,,,,,,,,,,
122,5,4,3,1000,3500,3500,1,0,15000,,,,,,,,,,,,,,,,
123,6,4,3,1100,4500,4500,1,0,18000,,,,,,,,,,,,,,,,
124,7,4,3,1200,5600,5600,1,0,21000,,,,,,,,,,,,,,,,
125,8,4,3,1300,6800,6800,1,0,24000,,,,,,,,,,,,,,,,
126,9,4,3,1400,8100,8100,1,0,27000,,,,,,,,,,,,,,,,
127,10,4,3,1600,9500,9500,1,0,30000,1,1,100,,,,,,,,,,,,,
128,11,4,3,1800,11100,11100,1,0,33000,1,1,100,,,,,,,,,,,,,
129,12,4,3,2000,12900,12900,1,0,36000,1,1,100,,,,,,,,,,,,,
130,13,4,3,2200,14900,14900,1,0,39000,1,1,100,,,,,,,,,,,,,
131,14,4,3,2400,17100,17100,1,0,42000,1,1,100,,,,,,,,,,,,,
132,15,4,3,,19500,19500,1,0,45000,1,1,100,,,,,,,,,,,,,
133,0,1,4,500,,0,,,,,,,,,,,,,,,,,,,
134,1,1,4,600,500,500,2,0,450,,,,,,,,,,,,,,,,
135,2,1,4,700,1100,1100,2,0,900,,,,,,,,,,,,,,,,
136,3,1,4,800,1800,1800,2,0,1350,,,,,,,,,,,,,,,,
137,4,1,4,900,2600,2600,2,0,1800,,,,,,,,,,,,,,,,
138,5,1,4,1000,3500,3500,2,0,2250,,,,,,,,,,,,,,,,
139,6,1,4,1100,4500,4500,2,0,2700,,,,,,,,,,,,,,,,
140,7,1,4,1200,5600,5600,2,0,3150,,,,,,,,,,,,,,,,
141,8,1,4,1300,6800,6800,2,0,3600,,,,,,,,,,,,,,,,
142,9,1,4,1400,8100,8100,2,0,4050,,,,,,,,,,,,,,,,
143,10,1,4,1600,9500,9500,2,0,4500,2,1,100,,,,,,,,,,,,,
144,11,1,4,1800,11100,11100,2,0,4950,2,1,100,,,,,,,,,,,,,
145,12,1,4,2000,12900,12900,2,0,5400,2,1,100,,,,,,,,,,,,,
146,13,1,4,2200,14900,14900,2,0,5850,2,1,100,,,,,,,,,,,,,
147,14,1,4,2400,17100,17100,2,0,6300,2,1,100,,,,,,,,,,,,,
148,15,1,4,2600,19500,19500,2,0,6750,2,1,100,,,,,,,,,,,,,
149,16,1,4,2800,22100,22100,2,0,7200,2,1,100,,,,,,,,,,,,,
150,17,1,4,3000,24900,24900,2,0,7650,2,1,100,,,,,,,,,,,,,
151,18,1,4,3200,27900,27900,2,0,8100,2,1,100,,,,,,,,,,,,,
152,19,1,4,3400,31100,31100,2,0,8550,2,1,100,,,,,,,,,,,,,
153,20,1,4,,34500,34500,2,0,9000,2,1,100,8,1,100,,,,,,,,,,
154,0,2,4,500,,0,,,,,,,,,,,,,,,,,,,
155,1,2,4,600,500,500,1,0,4500,,,,,,,,,,,,,,,,
156,2,2,4,700,1100,1100,1,0,9000,,,,,,,,,,,,,,,,
157,3,2,4,800,1800,1800,1,0,13500,,,,,,,,,,,,,,,,
158,4,2,4,900,2600,2600,1,0,18000,,,,,,,,,,,,,,,,
159,5,2,4,1000,3500,3500,1,0,22500,,,,,,,,,,,,,,,,
160,6,2,4,1100,4500,4500,1,0,27000,,,,,,,,,,,,,,,,
161,7,2,4,1200,5600,5600,1,0,31500,,,,,,,,,,,,,,,,
162,8,2,4,1300,6800,6800,1,0,36000,,,,,,,,,,,,,,,,
163,9,2,4,1400,8100,8100,1,0,40500,,,,,,,,,,,,,,,,
164,10,2,4,1600,9500,9500,1,0,45000,1,1,100,,,,,,,,,,,,,
165,11,2,4,1800,11100,11100,1,0,49500,1,1,100,,,,,,,,,,,,,
166,12,2,4,2000,12900,12900,1,0,54000,1,1,100,,,,,,,,,,,,,
167,13,2,4,2200,14900,14900,1,0,58500,1,1,100,,,,,,,,,,,,,
168,14,2,4,2400,17100,17100,1,0,63000,1,1,100,,,,,,,,,,,,,
169,15,2,4,2600,19500,19500,1,0,67500,1,1,100,,,,,,,,,,,,,
170,16,2,4,2800,22100,22100,1,0,72000,1,1,100,,,,,,,,,,,,,
171,17,2,4,3000,24900,24900,1,0,76500,1,1,100,,,,,,,,,,,,,
172,18,2,4,3200,27900,27900,1,0,81000,1,1,100,,,,,,,,,,,,,
173,19,2,4,3400,31100,31100,1,0,85500,1,1,100,,,,,,,,,,,,,
174,20,2,4,,34500,34500,1,0,90000,1,1,100,9,1,100,,,,,,,,,,
175,0,3,4,500,,0,,,,,,,,,,,,,,,,,,,
176,1,3,4,600,500,500,2,0,450,,,,,,,,,,,,,,,,
177,2,3,4,700,1100,1100,2,0,900,,,,,,,,,,,,,,,,
178,3,3,4,800,1800,1800,2,0,1350,,,,,,,,,,,,,,,,
179,4,3,4,900,2600,2600,2,0,1800,,,,,,,,,,,,,,,,
180,5,3,4,1000,3500,3500,2,0,2250,,,,,,,,,,,,,,,,
181,6,3,4,1100,4500,4500,2,0,2700,,,,,,,,,,,,,,,,
182,7,3,4,1200,5600,5600,2,0,3150,,,,,,,,,,,,,,,,
183,8,3,4,1300,6800,6800,2,0,3600,,,,,,,,,,,,,,,,
184,9,3,4,1400,8100,8100,2,0,4050,,,,,,,,,,,,,,,,
185,10,3,4,1600,9500,9500,2,0,4500,2,1,100,,,,,,,,,,,,,
186,11,3,4,1800,11100,11100,2,0,4950,2,1,100,,,,,,,,,,,,,
187,12,3,4,2000,12900,12900,2,0,5400,2,1,100,,,,,,,,,,,,,
188,13,3,4,2200,14900,14900,2,0,5850,2,1,100,,,,,,,,,,,,,
189,14,3,4,2400,17100,17100,2,0,6300,2,1,100,,,,,,,,,,,,,
190,15,3,4,2600,19500,19500,2,0,6750,2,1,100,,,,,,,,,,,,,
191,16,3,4,2800,22100,22100,2,0,7200,2,1,100,,,,,,,,,,,,,
192,17,3,4,3000,24900,24900,2,0,7650,2,1,100,,,,,,,,,,,,,
193,18,3,4,3200,27900,27900,2,0,8100,2,1,100,,,,,,,,,,,,,
194,19,3,4,3400,31100,31100,2,0,8550,2,1,100,,,,,,,,,,,,,
195,20,3,4,,34500,34500,2,0,9000,2,1,100,5,1,100,,,,,,,,,,
196,0,4,4,500,,0,,,,,,,,,,,,,,,,,,,
197,1,4,4,600,500,500,1,0,4500,,,,,,,,,,,,,,,,
198,2,4,4,700,1100,1100,1,0,9000,,,,,,,,,,,,,,,,
199,3,4,4,800,1800,1800,1,0,13500,,,,,,,,,,,,,,,,
200,4,4,4,900,2600,2600,1,0,18000,,,,,,,,,,,,,,,,
201,5,4,4,1000,3500,3500,1,0,22500,,,,,,,,,,,,,,,,
202,6,4,4,1100,4500,4500,1,0,27000,,,,,,,,,,,,,,,,
203,7,4,4,1200,5600,5600,1,0,31500,,,,,,,,,,,,,,,,
204,8,4,4,1300,6800,6800,1,0,36000,,,,,,,,,,,,,,,,
205,9,4,4,1400,8100,8100,1,0,40500,,,,,,,,,,,,,,,,
206,10,4,4,1600,9500,9500,1,0,45000,1,1,100,,,,,,,,,,,,,
207,11,4,4,1800,11100,11100,1,0,49500,1,1,100,,,,,,,,,,,,,
208,12,4,4,2000,12900,12900,1,0,54000,1,1,100,,,,,,,,,,,,,
209,13,4,4,2200,14900,14900,1,0,58500,1,1,100,,,,,,,,,,,,,
210,14,4,4,2400,17100,17100,1,0,63000,1,1,100,,,,,,,,,,,,,
211,15,4,4,2600,19500,19500,1,0,67500,1,1,100,,,,,,,,,,,,,
212,16,4,4,2800,22100,22100,1,0,72000,1,1,100,,,,,,,,,,,,,
213,17,4,4,3000,24900,24900,1,0,76500,1,1,100,,,,,,,,,,,,,
214,18,4,4,3200,27900,27900,1,0,81000,1,1,100,,,,,,,,,,,,,
215,19,4,4,3400,31100,31100,1,0,85500,1,1,100,,,,,,,,,,,,,
216,20,4,4,,34500,34500,1,0,90000,1,1,100,7,1,100,,,,,,,,,,
217,0,1,5,500,,0,,,,,,,,,,,,,,,,,,,
218,1,1,5,600,500,500,2,0,750,,,,,,,,,,,,,,,,
219,2,1,5,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
220,3,1,5,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
221,4,1,5,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
222,5,1,5,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
223,6,1,5,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
224,7,1,5,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
225,8,1,5,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
226,9,1,5,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
227,10,1,5,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
228,11,1,5,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
229,12,1,5,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
230,13,1,5,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
231,14,1,5,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
232,15,1,5,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
233,16,1,5,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
234,17,1,5,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
235,18,1,5,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
236,19,1,5,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
237,20,1,5,3800,34500,34500,2,0,15000,2,1,100,8,1,100,,,,,,,,,,
238,21,1,5,4200,38300,38300,2,0,15750,2,1,100,8,1,100,,,,,,,,,,
239,22,1,5,4600,42500,42500,2,0,16500,2,1,100,8,1,100,,,,,,,,,,
240,23,1,5,5000,47100,47100,2,0,17250,2,1,100,8,1,100,,,,,,,,,,
241,24,1,5,5400,52100,52100,2,0,18000,2,1,100,8,1,100,,,,,,,,,,
242,25,1,5,,57500,57500,2,0,18750,2,1,100,8,1,100,,,,,,,,,,
243,0,2,5,500,,0,,,,,,,,,,,,,,,,,,,
244,1,2,5,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
245,2,2,5,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
246,3,2,5,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
247,4,2,5,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
248,5,2,5,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
249,6,2,5,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
250,7,2,5,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
251,8,2,5,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
252,9,2,5,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
253,10,2,5,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
254,11,2,5,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
255,12,2,5,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
256,13,2,5,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
257,14,2,5,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
258,15,2,5,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
259,16,2,5,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
260,17,2,5,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
261,18,2,5,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
262,19,2,5,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
263,20,2,5,3800,34500,34500,1,0,150000,1,1,100,9,1,100,,,,,,,,,,
264,21,2,5,4200,38300,38300,1,0,157500,1,1,100,9,1,100,,,,,,,,,,
265,22,2,5,4600,42500,42500,1,0,165000,1,1,100,9,1,100,,,,,,,,,,
266,23,2,5,5000,47100,47100,1,0,172500,1,1,100,9,1,100,,,,,,,,,,
267,24,2,5,5400,52100,52100,1,0,180000,1,1,100,9,1,100,,,,,,,,,,
268,25,2,5,,57500,57500,1,0,187500,1,1,100,9,1,100,,,,,,,,,,
269,0,3,5,500,,0,,,,,,,,,,,,,,,,,,,
270,1,3,5,600,500,500,2,0,750,,,,,,,,,,,,,,,,
271,2,3,5,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
272,3,3,5,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
273,4,3,5,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
274,5,3,5,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
275,6,3,5,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
276,7,3,5,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
277,8,3,5,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
278,9,3,5,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
279,10,3,5,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
280,11,3,5,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
281,12,3,5,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
282,13,3,5,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
283,14,3,5,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
284,15,3,5,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
285,16,3,5,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
286,17,3,5,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
287,18,3,5,3200,27900,27900,2,0,13500,2,1,100,,,,,,,,,,,,,
288,19,3,5,3400,31100,31100,2,0,14250,2,1,100,,,,,,,,,,,,,
289,20,3,5,3800,34500,34500,2,0,15000,2,1,100,5,1,100,,,,,,,,,,
290,21,3,5,4200,38300,38300,2,0,15750,2,1,100,5,1,100,,,,,,,,,,
291,22,3,5,4600,42500,42500,2,0,16500,2,1,100,5,1,100,,,,,,,,,,
292,23,3,5,5000,47100,47100,2,0,17250,2,1,100,5,1,100,,,,,,,,,,
293,24,3,5,5400,52100,52100,2,0,18000,2,1,100,5,1,100,,,,,,,,,,
294,25,3,5,,57500,57500,2,0,18750,2,1,100,5,1,100,,,,,,,,,,
295,0,4,5,500,,0,,,,,,,,,,,,,,,,,,,
296,1,4,5,600,500,500,1,0,7500,,,,,,,,,,,,,,,,
297,2,4,5,700,1100,1100,1,0,15000,,,,,,,,,,,,,,,,
298,3,4,5,800,1800,1800,1,0,22500,,,,,,,,,,,,,,,,
299,4,4,5,900,2600,2600,1,0,30000,,,,,,,,,,,,,,,,
300,5,4,5,1000,3500,3500,1,0,37500,,,,,,,,,,,,,,,,
301,6,4,5,1100,4500,4500,1,0,45000,,,,,,,,,,,,,,,,
302,7,4,5,1200,5600,5600,1,0,52500,,,,,,,,,,,,,,,,
303,8,4,5,1300,6800,6800,1,0,60000,,,,,,,,,,,,,,,,
304,9,4,5,1400,8100,8100,1,0,67500,,,,,,,,,,,,,,,,
305,10,4,5,1600,9500,9500,1,0,75000,1,1,100,,,,,,,,,,,,,
306,11,4,5,1800,11100,11100,1,0,82500,1,1,100,,,,,,,,,,,,,
307,12,4,5,2000,12900,12900,1,0,90000,1,1,100,,,,,,,,,,,,,
308,13,4,5,2200,14900,14900,1,0,97500,1,1,100,,,,,,,,,,,,,
309,14,4,5,2400,17100,17100,1,0,105000,1,1,100,,,,,,,,,,,,,
310,15,4,5,2600,19500,19500,1,0,112500,1,1,100,,,,,,,,,,,,,
311,16,4,5,2800,22100,22100,1,0,120000,1,1,100,,,,,,,,,,,,,
312,17,4,5,3000,24900,24900,1,0,127500,1,1,100,,,,,,,,,,,,,
313,18,4,5,3200,27900,27900,1,0,135000,1,1,100,,,,,,,,,,,,,
314,19,4,5,3400,31100,31100,1,0,142500,1,1,100,,,,,,,,,,,,,
315,20,4,5,3800,34500,34500,1,0,150000,1,1,100,7,1,100,,,,,,,,,,
316,21,4,5,4200,38300,38300,1,0,157500,1,1,100,7,1,100,,,,,,,,,,
317,22,4,5,4600,42500,42500,1,0,165000,1,1,100,7,1,100,,,,,,,,,,
318,23,4,5,5000,47100,47100,1,0,172500,1,1,100,7,1,100,,,,,,,,,,
319,24,4,5,5400,52100,52100,1,0,180000,1,1,100,7,1,100,,,,,,,,,,
320,25,4,5,,57500,57500,1,0,187500,1,1,100,7,1,100,,,,,,,,,,
321,0,1,6,500,,0,,,,,,,,,,,,,,,,,,,
322,1,1,6,600,500,500,2,0,750,,,,,,,,,,,,,,,,
323,2,1,6,700,1100,1100,2,0,1500,,,,,,,,,,,,,,,,
324,3,1,6,800,1800,1800,2,0,2250,,,,,,,,,,,,,,,,
325,4,1,6,900,2600,2600,2,0,3000,,,,,,,,,,,,,,,,
326,5,1,6,1000,3500,3500,2,0,3750,,,,,,,,,,,,,,,,
327,6,1,6,1100,4500,4500,2,0,4500,,,,,,,,,,,,,,,,
328,7,1,6,1200,5600,5600,2,0,5250,,,,,,,,,,,,,,,,
329,8,1,6,1300,6800,6800,2,0,6000,,,,,,,,,,,,,,,,
330,9,1,6,1400,8100,8100,2,0,6750,,,,,,,,,,,,,,,,
331,10,1,6,1600,9500,9500,2,0,7500,2,1,100,,,,,,,,,,,,,
332,11,1,6,1800,11100,11100,2,0,8250,2,1,100,,,,,,,,,,,,,
333,12,1,6,2000,12900,12900,2,0,9000,2,1,100,,,,,,,,,,,,,
334,13,1,6,2200,14900,14900,2,0,9750,2,1,100,,,,,,,,,,,,,
335,14,1,6,2400,17100,17100,2,0,10500,2,1,100,,,,,,,,,,,,,
336,15,1,6,2600,19500,19500,2,0,11250,2,1,100,,,,,,,,,,,,,
337,16,1,6,2800,22100,22100,2,0,12000,2,1,100,,,,,,,,,,,,,
338,17,1,6,3000,24900,24900,2,0,12750,2,1,100,,,,,,,,,,,,,
