id,icon,name,type,quality,lv,property-type-1,property-way-1,property-value-1,weight,power,
1001,2900101,s==4|高级攻击,1,6,1,2,1,10000,900,2640,
1034,2900107,s==4|高级物免,7,6,4,14,1,475,2880,910,
1035,2900107,s==4|高级物免,7,6,5,14,1,500,1440,1000,
1036,2900108,s==4|高级法免,8,6,1,15,1,400,7200,700,
1037,2900108,s==4|高级法免,8,6,2,15,1,425,5760,760,
1038,2900108,s==4|高级法免,8,6,3,15,1,450,4320,830,
1039,2900108,s==4|高级法免,8,6,4,15,1,475,2880,910,
1040,2900108,s==4|高级法免,8,6,5,15,1,500,1440,1000,
1041,2900109,s==4|高级控制,9,6,1,16,0,400,7200,700,
1042,2900109,s==4|高级控制,9,6,2,16,0,425,5760,760,
1043,2900109,s==4|高级控制,9,6,3,16,0,450,4320,830,
1044,2900109,s==4|高级控制,9,6,4,16,0,475,2880,910,
1045,2900109,s==4|高级控制,9,6,5,16,0,500,1440,1000,
1046,2900110,s==4|高级抗控,10,6,1,17,0,400,7200,700,
1047,2900110,s==4|高级抗控,10,6,2,17,0,425,5760,760,
1048,2900110,s==4|高级抗控,10,6,3,17,0,450,4320,830,
1049,2900110,s==4|高级抗控,10,6,4,17,0,475,2880,910,
1050,2900110,s==4|高级抗控,10,6,5,17,0,500,1440,1000,
1051,2900111,s==4|高级物伤,11,6,1,12,0,400,4500,700,
1052,2900111,s==4|高级物伤,11,6,2,12,0,425,3600,760,
1053,2900111,s==4|高级物伤,11,6,3,12,0,450,2700,830,
1054,2900111,s==4|高级物伤,11,6,4,12,0,475,1800,910,
1055,2900111,s==4|高级物伤,11,6,5,12,0,500,900,1000,
1056,2900112,s==4|高级法伤,12,6,1,13,0,400,4500,700,
1057,2900112,s==4|高级法伤,12,6,2,13,0,425,3600,760,
1058,2900112,s==4|高级法伤,12,6,3,13,0,450,2700,830,
1059,2900112,s==4|高级法伤,12,6,4,13,0,475,1800,910,
1060,2900112,s==4|高级法伤,12,6,5,13,0,500,7200,1000,
1061,2900113,s==4|高级伤害,13,6,1,10,0,400,5760,700,
1062,2900113,s==4|高级伤害,13,6,2,10,0,425,4320,760,
1063,2900113,s==4|高级伤害,13,6,3,10,0,450,2880,830,
1064,2900113,s==4|高级伤害,13,6,4,10,0,475,1440,910,
1065,2900113,s==4|高级伤害,13,6,5,10,0,500,7200,1000,
1066,2900114,s==4|高级治疗,14,6,1,18,0,400,5760,700,
1067,2900114,s==4|高级治疗,14,6,2,18,0,425,4320,760,
1068,2900114,s==4|高级治疗,14,6,3,18,0,450,2880,830,
1069,2900114,s==4|高级治疗,14,6,4,18,0,475,1440,910,
1070,2900114,s==4|高级治疗,14,6,5,18,0,500,7200,1000,
1071,2900115,s==4|高级受疗,15,6,1,19,0,400,5760,700,
1072,2900115,s==4|高级受疗,15,6,2,19,0,425,4320,760,
1073,2900115,s==4|高级受疗,15,6,3,19,0,450,2880,830,
1074,2900115,s==4|高级受疗,15,6,4,19,0,475,1440,910,
1075,2900115,s==4|高级受疗,15,6,5,19,0,500,900,1000,
1076,2900116,s==4|高级暴击,16,6,1,5,0,400,7200,700,
1077,2900116,s==4|高级暴击,16,6,2,5,0,425,5760,760,
1078,2900116,s==4|高级暴击,16,6,3,5,0,450,4320,830,
1079,2900116,s==4|高级暴击,16,6,4,5,0,475,2880,910,
1080,2900116,s==4|高级暴击,16,6,5,5,0,500,1440,1000,
1081,2900117,s==4|高级暴伤,17,6,1,6,0,800,7200,700,
1082,2900117,s==4|高级暴伤,17,6,2,6,0,850,5760,760,
1083,2900117,s==4|高级暴伤,17,6,3,6,0,900,4320,830,
1084,2900117,s==4|高级暴伤,17,6,4,6,0,950,2880,910,
1085,2900117,s==4|高级暴伤,17,6,5,6,0,1000,1440,1000,
1086,2900118,s==4|高级抗暴,18,6,1,7,0,400,7200,700,
1087,2900118,s==4|高级抗暴,18,6,2,7,0,425,5760,760,
1088,2900118,s==4|高级抗暴,18,6,3,7,0,450,4320,830,
1089,2900118,s==4|高级抗暴,18,6,4,7,0,475,2880,910,
1090,2900118,s==4|高级抗暴,18,6,5,7,0,500,1440,1000,
1091,2900201,s==4|中级攻击,1,5,1,2,1,6000,2250,1040,
1092,2900201,s==4|中级攻击,1,5,2,2,1,7000,1800,1150,
1093,2900201,s==4|中级攻击,1,5,3,2,1,8000,1650,1280,
1094,2900201,s==4|中级攻击,1,5,4,2,1,9000,1350,1400,
1095,2900201,s==4|中级攻击,1,5,5,2,1,10000,1050,1456,
1096,2900202,s==4|中级生命,2,5,1,1,1,6000,2250,1040,
1097,2900202,s==4|中级生命,2,5,2,1,1,7000,1800,1150,
1098,2900202,s==4|中级生命,2,5,3,1,1,8000,1650,1280,
1099,2900202,s==4|中级生命,2,5,4,1,1,9000,1350,1400,
1100,2900202,s==4|中级生命,2,5,5,1,1,10000,1050,1456,
1101,2900203,s==4|中级防御,3,5,1,3,0,240,4500,1040,
1102,2900203,s==4|中级防御,3,5,2,3,0,260,3600,1150,
1103,2900203,s==4|中级防御,3,5,3,3,0,280,3300,1280,
1104,2900203,s==4|中级防御,3,5,4,3,0,300,2700,1400,
1105,2900203,s==4|中级防御,3,5,5,3,0,320,2100,1456,
1106,2900204,s==4|中级速度,4,5,1,4,0,100,2250,1040,
1107,2900204,s==4|中级速度,4,5,2,4,0,107,1800,1150,
1108,2900204,s==4|中级速度,4,5,3,4,0,115,1650,1280,
1109,2900204,s==4|中级速度,4,5,4,4,0,123,1350,1400,
1110,2900204,s==4|中级速度,4,5,5,4,0,130,1050,1456,
1111,2900205,s==4|中级韧性,5,5,1,20,0,600,20400,500,
1112,2900205,s==4|中级韧性,5,5,2,20,0,650,16200,550,
1113,2900205,s==4|中级韧性,5,5,3,20,0,700,15000,600,
1114,2900205,s==4|中级韧性,5,5,4,20,0,750,13800,650,
1115,2900205,s==4|中级韧性,5,5,5,20,0,800,12600,700,
1116,2900206,s==4|中级免伤,6,5,1,11,1,300,4500,500,
1117,2900206,s==4|中级免伤,6,5,2,11,1,325,3600,550,
1118,2900206,s==4|中级免伤,6,5,3,11,1,350,3300,600,
1119,2900206,s==4|中级免伤,6,5,4,11,1,375,2700,650,
1120,2900206,s==4|中级免伤,6,5,5,11,1,400,2100,700,
1121,2900207,s==4|中级物免,7,5,1,14,1,300,20400,500,
1122,2900207,s==4|中级物免,7,5,2,14,1,325,16200,550,
1123,2900207,s==4|中级物免,7,5,3,14,1,350,15000,600,
1124,2900207,s==4|中级物免,7,5,4,14,1,375,13800,650,
1125,2900207,s==4|中级物免,7,5,5,14,1,400,12600,700,
1126,2900208,s==4|中级法免,8,5,1,15,1,300,20400,500,
1127,2900208,s==4|中级法免,8,5,2,15,1,325,16200,550,
1128,2900208,s==4|中级法免,8,5,3,15,1,350,15000,600,
1129,2900208,s==4|中级法免,8,5,4,15,1,375,13800,650,
1130,2900208,s==4|中级法免,8,5,5,15,1,400,12600,700,
1131,2900209,s==4|中级控制,9,5,1,16,0,300,20400,500,
1132,2900209,s==4|中级控制,9,5,2,16,0,325,16200,550,
1133,2900209,s==4|中级控制,9,5,3,16,0,350,15000,600,
1134,2900209,s==4|中级控制,9,5,4,16,0,375,13800,650,
1135,2900209,s==4|中级控制,9,5,5,16,0,400,12600,700,
1136,2900210,s==4|中级抗控,10,5,1,17,0,300,20400,500,
1137,2900210,s==4|中级抗控,10,5,2,17,0,325,16200,550,
1138,2900210,s==4|中级抗控,10,5,3,17,0,350,15000,600,
1139,2900210,s==4|中级抗控,10,5,4,17,0,375,13800,650,
1140,2900210,s==4|中级抗控,10,5,5,17,0,400,12600,700,
1141,2900211,s==4|中级物伤,11,5,1,12,0,300,4500,500,
1142,2900211,s==4|中级物伤,11,5,2,12,0,325,3600,550,
1143,2900211,s==4|中级物伤,11,5,3,12,0,350,3300,600,
1144,2900211,s==4|中级物伤,11,5,4,12,0,375,2700,650,
1145,2900211,s==4|中级物伤,11,5,5,12,0,400,2100,700,
1146,2900212,s==4|中级法伤,12,5,1,13,0,300,4500,500,
1147,2900212,s==4|中级法伤,12,5,2,13,0,325,3600,550,
1148,2900212,s==4|中级法伤,12,5,3,13,0,350,3300,600,
1149,2900212,s==4|中级法伤,12,5,4,13,0,375,2700,650,
1150,2900212,s==4|中级法伤,12,5,5,13,0,400,2100,700,
1151,2900213,s==4|中级伤害,13,5,1,10,0,300,4500,500,
1152,2900213,s==4|中级伤害,13,5,2,10,0,325,3600,550,
1153,2900213,s==4|中级伤害,13,5,3,10,0,350,3300,600,
1154,2900213,s==4|中级伤害,13,5,4,10,0,375,2700,650,
1155,2900213,s==4|中级伤害,13,5,5,10,0,400,2100,700,
1156,2900214,s==4|中级治疗,14,5,1,18,0,300,20400,500,
1157,2900214,s==4|中级治疗,14,5,2,18,0,325,16200,550,
1158,2900214,s==4|中级治疗,14,5,3,18,0,350,15000,600,
1159,2900214,s==4|中级治疗,14,5,4,18,0,375,13800,650,
1160,2900214,s==4|中级治疗,14,5,5,18,0,400,12600,700,
1161,2900215,s==4|中级受疗,15,5,1,19,0,300,20400,500,
1162,2900215,s==4|中级受疗,15,5,2,19,0,325,16200,550,
1163,2900215,s==4|中级受疗,15,5,3,19,0,350,15000,600,
1164,2900215,s==4|中级受疗,15,5,4,19,0,375,13800,650,
1165,2900215,s==4|中级受疗,15,5,5,19,0,400,12600,700,
1166,2900216,s==4|中级暴击,16,5,1,5,0,300,4500,500,
1167,2900216,s==4|中级暴击,16,5,2,5,0,325,3600,550,
1168,2900216,s==4|中级暴击,16,5,3,5,0,350,3300,600,
1169,2900216,s==4|中级暴击,16,5,4,5,0,375,2700,650,
1170,2900216,s==4|中级暴击,16,5,5,5,0,400,2100,700,
1171,2900217,s==4|中级暴伤,17,5,1,6,0,600,4500,500,
1172,2900217,s==4|中级暴伤,17,5,2,6,0,650,3600,550,
1173,2900217,s==4|中级暴伤,17,5,3,6,0,700,3300,600,
1174,2900217,s==4|中级暴伤,17,5,4,6,0,750,2700,650,
1175,2900217,s==4|中级暴伤,17,5,5,6,0,800,2100,700,
1176,2900218,s==4|中级抗暴,18,5,1,7,0,300,20400,500,
1177,2900218,s==4|中级抗暴,18,5,2,7,0,325,16200,550,
1178,2900218,s==4|中级抗暴,18,5,3,7,0,350,15000,600,
1179,2900218,s==4|中级抗暴,18,5,4,7,0,375,13800,650,
1180,2900218,s==4|中级抗暴,18,5,5,7,0,400,8400,700,
1181,2900301,s==4|初级攻击,1,4,1,2,1,2000,6000,660,
1182,2900301,s==4|初级攻击,1,4,2,2,1,3000,4500,680,
1183,2900301,s==4|初级攻击,1,4,3,2,1,4000,3000,700,
1184,2900301,s==4|初级攻击,1,4,4,2,1,5000,2250,995,
1185,2900301,s==4|初级攻击,1,4,5,2,1,6000,1650,1040,
1186,2900302,s==4|初级生命,2,4,1,1,1,2000,6000,660,
1187,2900302,s==4|初级生命,2,4,2,1,1,3000,4500,680,
1188,2900302,s==4|初级生命,2,4,3,1,1,4000,3000,700,
1189,2900302,s==4|初级生命,2,4,4,1,1,5000,2250,995,
1190,2900302,s==4|初级生命,2,4,5,1,1,6000,1650,1040,
1191,2900303,s==4|初级防御,3,4,1,3,0,80,12000,660,
1192,2900303,s==4|初级防御,3,4,2,3,0,120,9000,680,
1193,2900303,s==4|初级防御,3,4,3,3,0,160,6000,700,
1194,2900303,s==4|初级防御,3,4,4,3,0,200,4500,995,
1195,2900303,s==4|初级防御,3,4,5,3,0,240,3300,1040,
1196,2900304,s==4|初级速度,4,4,1,4,0,40,6000,660,
1197,2900304,s==4|初级速度,4,4,2,4,0,55,4500,680,
1198,2900304,s==4|初级速度,4,4,3,4,0,70,3000,700,
1199,2900304,s==4|初级速度,4,4,4,4,0,85,2250,995,
1200,2900304,s==4|初级速度,4,4,5,4,0,100,1650,1040,
1201,2900305,s==4|初级韧性,5,4,1,20,0,200,48000,300,
1202,2900305,s==4|初级韧性,5,4,2,20,0,300,36000,350,
1203,2900305,s==4|初级韧性,5,4,3,20,0,400,24000,400,
1204,2900305,s==4|初级韧性,5,4,4,20,0,500,18000,450,
1205,2900305,s==4|初级韧性,5,4,5,20,0,600,12000,500,
1206,2900306,s==4|初级免伤,6,4,1,11,1,100,48000,300,
1207,2900306,s==4|初级免伤,6,4,2,11,1,150,36000,350,
1208,2900306,s==4|初级免伤,6,4,3,11,1,200,24000,400,
1209,2900306,s==4|初级免伤,6,4,4,11,1,250,18000,450,
1210,2900306,s==4|初级免伤,6,4,5,11,1,300,12000,500,
1211,2900307,s==4|初级物免,7,4,1,14,1,100,48000,300,
1212,2900307,s==4|初级物免,7,4,2,14,1,150,36000,350,
1213,2900307,s==4|初级物免,7,4,3,14,1,200,24000,400,
1214,2900307,s==4|初级物免,7,4,4,14,1,250,18000,450,
1215,2900307,s==4|初级物免,7,4,5,14,1,300,12000,500,
1216,2900308,s==4|初级法免,8,4,1,15,1,100,48000,300,
1217,2900308,s==4|初级法免,8,4,2,15,1,150,36000,350,
1218,2900308,s==4|初级法免,8,4,3,15,1,200,24000,400,
1219,2900308,s==4|初级法免,8,4,4,15,1,250,18000,450,
1220,2900308,s==4|初级法免,8,4,5,15,1,300,12000,500,
1221,2900309,s==4|初级控制,9,4,1,16,0,100,48000,300,
1222,2900309,s==4|初级控制,9,4,2,16,0,150,36000,350,
1223,2900309,s==4|初级控制,9,4,3,16,0,200,24000,400,
1224,2900309,s==4|初级控制,9,4,4,16,0,250,18000,450,
1225,2900309,s==4|初级控制,9,4,5,16,0,300,12000,500,
1226,2900310,s==4|初级抗控,10,4,1,17,0,100,48000,300,
1227,2900310,s==4|初级抗控,10,4,2,17,0,150,36000,350,
1228,2900310,s==4|初级抗控,10,4,3,17,0,200,24000,400,
1229,2900310,s==4|初级抗控,10,4,4,17,0,250,18000,450,
1230,2900310,s==4|初级抗控,10,4,5,17,0,300,12000,500,
1231,2900311,s==4|初级物伤,11,4,1,12,0,100,48000,300,
1232,2900311,s==4|初级物伤,11,4,2,12,0,150,36000,350,
1233,2900311,s==4|初级物伤,11,4,3,12,0,200,24000,400,
1234,2900311,s==4|初级物伤,11,4,4,12,0,250,18000,450,
1235,2900311,s==4|初级物伤,11,4,5,12,0,300,12000,500,
1236,2900312,s==4|初级法伤,12,4,1,13,0,100,48000,300,
1237,2900312,s==4|初级法伤,12,4,2,13,0,150,36000,350,
1238,2900312,s==4|初级法伤,12,4,3,13,0,200,24000,400,
1239,2900312,s==4|初级法伤,12,4,4,13,0,250,18000,450,
1240,2900312,s==4|初级法伤,12,4,5,13,0,300,12000,500,
1241,2900313,s==4|初级伤害,13,4,1,10,0,100,48000,300,
1242,2900313,s==4|初级伤害,13,4,2,10,0,150,36000,350,
1243,2900313,s==4|初级伤害,13,4,3,10,0,200,24000,400,
1244,2900313,s==4|初级伤害,13,4,4,10,0,250,18000,450,
1245,2900313,s==4|初级伤害,13,4,5,10,0,300,12000,500,
1246,2900314,s==4|初级治疗,14,4,1,18,0,100,48000,300,
1247,2900314,s==4|初级治疗,14,4,2,18,0,150,36000,350,
1248,2900314,s==4|初级治疗,14,4,3,18,0,200,24000,400,
1249,2900314,s==4|初级治疗,14,4,4,18,0,250,18000,450,
1250,2900314,s==4|初级治疗,14,4,5,18,0,300,12000,500,
1251,2900315,s==4|初级受疗,15,4,1,19,0,100,48000,300,
1252,2900315,s==4|初级受疗,15,4,2,19,0,150,36000,350,
1253,2900315,s==4|初级受疗,15,4,3,19,0,200,24000,400,
1254,2900315,s==4|初级受疗,15,4,4,19,0,250,18000,450,
1255,2900315,s==4|初级受疗,15,4,5,19,0,300,12000,500,
1256,2900316,s==4|初级暴击,16,4,1,5,0,100,48000,300,
1257,2900316,s==4|初级暴击,16,4,2,5,0,150,36000,350,
1258,2900316,s==4|初级暴击,16,4,3,5,0,200,24000,400,
1259,2900316,s==4|初级暴击,16,4,4,5,0,250,18000,450,
1260,2900316,s==4|初级暴击,16,4,5,5,0,300,12000,500,
1261,2900317,s==4|初级暴伤,17,4,1,6,0,200,48000,300,
1262,2900317,s==4|初级暴伤,17,4,2,6,0,300,36000,350,
1263,2900317,s==4|初级暴伤,17,4,3,6,0,400,24000,400,
1264,2900317,s==4|初级暴伤,17,4,4,6,0,500,18000,450,
1265,2900317,s==4|初级暴伤,17,4,5,6,0,600,12000,500,
1266,2900318,s==4|初级抗暴,18,4,1,7,0,100,48000,300,
1267,2900318,s==4|初级抗暴,18,4,2,7,0,150,36000,350,
1268,2900318,s==4|初级抗暴,18,4,3,7,0,200,24000,400,
1269,2900318,s==4|初级抗暴,18,4,4,7,0,250,6000,450,
1270,2900318,s==4|初级抗暴,18,4,5,7,0,300,4000,500,
