level,exp,randoms-probability-1,randoms-val-1,randoms-probability-2,randoms-val-2,randoms-probability-3,randoms-val-3,expAtk,expHp,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,rewardAtk,rewardHp,artifactSoulNum,
23,1609,5000,8,3000,10,2000,12,1.2,10.6,2,1027,82,1,8,510000,399,2705,500,
24,1678,5000,8,3000,10,2000,12,1.2,10.6,2,1027,84,1,8,540000,428,2823,525,
25,1747,5000,8,3000,10,2000,12,1.2,7.2,2,1027,86,1,8,680000,457,2941,550,
26,1816,5000,8,3000,10,2000,12,1.2,7.2,2,1027,90,1,8,735000,486,3059,575,
27,1885,5000,8,3000,10,2000,12,1.2,7.2,2,1027,94,1,8,790000,515,3177,600,
28,1954,5000,8,3000,10,2000,12,1.2,7.2,2,1027,98,1,8,845000,544,3295,625,
29,2023,5000,8,3000,10,2000,12,1.2,7.2,2,1027,102,1,8,900000,573,3413,650,
30,2092,5000,8,3000,10,2000,12,1.2,7.2,2,1027,106,1,8,955000,602,3531,675,
31,2161,5000,8,3000,10,2000,12,1.2,7.2,2,1027,110,1,8,1010000,631,3649,700,
32,2230,5000,8,3000,10,2000,12,1.2,7.2,2,1027,114,1,8,1065000,660,3767,725,
33,2299,5000,8,3000,10,2000,12,1.2,7.2,2,1027,118,1,8,1120000,689,3885,750,
34,2368,5000,8,3000,10,2000,12,1.2,7.2,2,1027,122,1,8,1175000,718,4003,775,
35,2437,5000,8,3000,10,2000,12,1.2,7.2,2,1027,126,1,8,1230000,747,4121,800,
36,2506,5000,8,3000,10,2000,12,1.2,7.2,2,1027,130,1,8,1285000,776,4239,825,
37,2575,5000,8,3000,10,2000,12,1.2,7.2,2,1027,134,1,8,1340000,805,4357,850,
38,2644,5000,8,3000,10,2000,12,1.2,7.2,2,1027,138,1,8,1395000,834,4475,875,
39,2713,5000,8,3000,10,2000,12,1.2,7.2,2,1027,142,1,8,1450000,863,4593,900,
40,2782,5000,8,3000,10,2000,12,1.2,7.2,2,1027,146,1,8,1505000,892,4711,925,
41,2851,5000,8,3000,10,2000,12,1.2,7.2,2,1027,150,1,8,1560000,921,4829,950,
42,2920,5000,8,3000,10,2000,12,1.2,7.2,2,1027,154,1,8,1615000,950,4947,975,
43,2989,5000,8,3000,10,2000,12,1.2,7.2,2,1027,158,1,8,1670000,979,5065,1000,
44,3058,5000,8,3000,10,2000,12,1.2,7.2,2,1027,162,1,8,1725000,1008,5183,1025,
45,3127,5000,8,3000,10,2000,12,1.2,7.2,2,1027,166,1,8,1780000,1037,5301,1050,
46,3196,5000,8,3000,10,2000,12,1.2,7.2,2,1027,170,1,8,1835000,1066,5419,1075,
47,3265,5000,8,3000,10,2000,12,1.2,7.2,2,1027,174,1,8,1890000,1095,5537,1100,
48,3334,5000,8,3000,10,2000,12,1.2,7.2,2,1027,178,1,8,1945000,1124,5655,1125,
49,3403,5000,8,3000,10,2000,12,1.2,7.2,2,1027,182,1,8,2000000,1153,5773,1150,
50,3472,5000,8,3000,10,2000,12,1.2,7.2,2,1027,186,1,8,2055000,1182,5891,1175,
51,3541,5000,8,3000,10,2000,12,1.2,7.2,2,1027,190,1,8,2110000,1211,6009,1200,
52,3610,5000,8,3000,10,2000,12,1.2,7.2,2,1027,194,1,8,2165000,1240,6127,1225,
53,3679,5000,8,3000,10,2000,12,1.2,7.2,2,1027,198,1,8,2220000,1269,6245,1250,
54,3748,5000,8,3000,10,2000,12,1.2,7.2,2,1027,202,1,8,2275000,1298,6363,1275,
55,3817,5000,8,3000,10,2000,12,1.2,7.2,2,1027,206,1,8,2330000,1327,6481,1300,
56,3886,5000,8,3000,10,2000,12,1.2,7.2,2,1027,210,1,8,2385000,1356,6599,1325,
57,3955,5000,8,3000,10,2000,12,1.2,7.2,2,1027,214,1,8,2440000,1385,6717,1350,
58,4024,5000,8,3000,10,2000,12,1.2,7.2,2,1027,218,1,8,2495000,1414,6835,1375,
59,4093,5000,8,3000,10,2000,12,1.2,7.2,2,1027,222,1,8,2550000,1443,6953,1400,
60,4162,5000,8,3000,10,2000,12,1.2,7.2,2,1027,226,1,8,2605000,1472,7071,1425,
61,4231,5000,8,3000,10,2000,12,1.2,7.2,2,1027,230,1,8,2660000,1501,7189,1450,
62,4300,5000,8,3000,10,2000,12,1.2,7.2,2,1027,234,1,8,2715000,1530,7307,1475,
63,4369,5000,8,3000,10,2000,12,1.2,7.2,2,1027,238,1,8,2770000,1559,7425,1500,
64,4438,5000,8,3000,10,2000,12,1.2,7.2,2,1027,242,1,8,2825000,1588,7543,1525,
65,4507,5000,8,3000,10,2000,12,1.2,7.2,2,1027,246,1,8,2880000,1617,7661,1550,
66,4576,5000,8,3000,10,2000,12,1.2,7.2,2,1027,250,1,8,2935000,1646,7779,1575,
67,4645,5000,8,3000,10,2000,12,1.2,7.2,2,1027,254,1,8,2990000,1675,7897,1600,
68,4714,5000,8,3000,10,2000,12,1.2,7.2,2,1027,258,1,8,3045000,1704,8015,1625,
69,4783,5000,8,3000,10,2000,12,1.2,7.2,2,1027,262,1,8,3100000,1733,8133,1650,
70,4852,5000,8,3000,10,2000,12,1.2,7.2,2,1027,266,1,8,3155000,1762,8251,1675,
