chapterId,freeClick,lowClick,highClick,vipFree%1,vipFree%2,vipFree%3,vipFree%4,vipFree%5,vipFree%6,vipFree%7,vipFree%8,vipFree%9,vipFree%10,vipFree%11,vipFree%12,vipFree%13,vipFree%14,vipFree%15,vipFree%16,vipFree%17,vipFree%18,vipFree%19,vipFree%20,vipLow%1,vipLow%2,vipLow%3,vipLow%4,vipLow%5,vipLow%6,vipLow%7,vipLow%8,vipLow%9,vipLow%10,vipLow%11,vipLow%12,vipLow%13,vipLow%14,vipLow%15,vipLow%16,vipLow%17,vipLow%18,vipLow%19,vipLow%20,vipHigh%1,vipHigh%2,vipHigh%3,vipHigh%4,vipHigh%5,vipHigh%6,vipHigh%7,vipHigh%8,vipHigh%9,vipHigh%10,vipHigh%11,vipHigh%12,vipHigh%13,vipHigh%14,vipHigh%15,vipHigh%16,vipHigh%17,vipHigh%18,vipHigh%19,vipHigh%20,
33,18400,36800,92000,22080,23920,25760,29440,33120,36800,40480,44160,47840,51520,55200,58880,62560,66240,69920,73600,77280,80960,84640,88320,44160,47840,51520,58880,66240,73600,80960,88320,95680,103040,110400,117760,125120,132480,139840,147200,154560,161920,169280,176640,110400,119600,128800,147200,165600,184000,202400,220800,239200,257600,276000,294400,312800,331200,349600,368000,386400,404800,423200,441600,
34,18600,37200,93000,22320,24180,26040,29760,33480,37200,40920,44640,48360,52080,55800,59520,63240,66960,70680,74400,78120,81840,85560,89280,44640,48360,52080,59520,66960,74400,81840,89280,96720,104160,111600,119040,126480,133920,141360,148800,156240,163680,171120,178560,111600,120900,130200,148800,167400,186000,204600,223200,241800,260400,279000,297600,316200,334800,353400,372000,390600,409200,427800,446400,
35,18800,37600,94000,22560,24440,26320,30080,33840,37600,41360,45120,48880,52640,56400,60160,63920,67680,71440,75200,78960,82720,86480,90240,45120,48880,52640,60160,67680,75200,82720,90240,97760,105280,112800,120320,127840,135360,142880,150400,157920,165440,172960,180480,112800,122200,131600,150400,169200,188000,206800,225600,244400,263200,282000,300800,319600,338400,357200,376000,394800,413600,432400,451200,
36,19000,38000,95000,22800,24700,26600,30400,34200,38000,41800,45600,49400,53200,57000,60800,64600,68400,72200,76000,79800,83600,87400,91200,45600,49400,53200,60800,68400,76000,83600,91200,98800,106400,114000,121600,129200,136800,144400,152000,159600,167200,174800,182400,114000,123500,133000,152000,171000,190000,209000,228000,247000,266000,285000,304000,323000,342000,361000,380000,399000,418000,437000,456000,
37,19200,38400,96000,23040,24960,26880,30720,34560,38400,42240,46080,49920,53760,57600,61440,65280,69120,72960,76800,80640,84480,88320,92160,46080,49920,53760,61440,69120,76800,84480,92160,99840,107520,115200,122880,130560,138240,145920,153600,161280,168960,176640,184320,115200,124800,134400,153600,172800,192000,211200,230400,249600,268800,288000,307200,326400,345600,364800,384000,403200,422400,441600,460800,
38,19400,38800,97000,23280,25220,27160,31040,34920,38800,42680,46560,50440,54320,58200,62080,65960,69840,73720,77600,81480,85360,89240,93120,46560,50440,54320,62080,69840,77600,85360,93120,100880,108640,116400,124160,131920,139680,147440,155200,162960,170720,178480,186240,116400,126100,135800,155200,174600,194000,213400,232800,252200,271600,291000,310400,329800,349200,368600,388000,407400,426800,446200,465600,
39,19600,39200,98000,23520,25480,27440,31360,35280,39200,43120,47040,50960,54880,58800,62720,66640,70560,74480,78400,82320,86240,90160,94080,47040,50960,54880,62720,70560,78400,86240,94080,101920,109760,117600,125440,133280,141120,148960,156800,164640,172480,180320,188160,117600,127400,137200,156800,176400,196000,215600,235200,254800,274400,294000,313600,333200,352800,372400,392000,411600,431200,450800,470400,
40,19800,39600,99000,23760,25740,27720,31680,35640,39600,43560,47520,51480,55440,59400,63360,67320,71280,75240,79200,83160,87120,91080,95040,47520,51480,55440,63360,71280,79200,87120,95040,102960,110880,118800,126720,134640,142560,150480,158400,166320,174240,182160,190080,118800,128700,138600,158400,178200,198000,217800,237600,257400,277200,297000,316800,336600,356400,376200,396000,415800,435600,455400,475200,
41,20000,40000,100000,24000,26000,28000,32000,36000,40000,44000,48000,52000,56000,60000,64000,68000,72000,76000,80000,84000,88000,92000,96000,48000,52000,56000,64000,72000,80000,88000,96000,104000,112000,120000,128000,136000,144000,152000,160000,168000,176000,184000,192000,120000,130000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,
42,20200,40400,101000,24240,26260,28280,32320,36360,40400,44440,48480,52520,56560,60600,64640,68680,72720,76760,80800,84840,88880,92920,96960,48480,52520,56560,64640,72720,80800,88880,96960,105040,113120,121200,129280,137360,145440,153520,161600,169680,177760,185840,193920,121200,131300,141400,161600,181800,202000,222200,242400,262600,282800,303000,323200,343400,363600,383800,404000,424200,444400,464600,484800,
43,20400,40800,102000,24480,26520,28560,32640,36720,40800,44880,48960,53040,57120,61200,65280,69360,73440,77520,81600,85680,89760,93840,97920,48960,53040,57120,65280,73440,81600,89760,97920,106080,114240,122400,130560,138720,146880,155040,163200,171360,179520,187680,195840,122400,132600,142800,163200,183600,204000,224400,244800,265200,285600,306000,326400,346800,367200,387600,408000,428400,448800,469200,489600,
44,20600,41200,103000,24720,26780,28840,32960,37080,41200,45320,49440,53560,57680,61800,65920,70040,74160,78280,82400,86520,90640,94760,98880,49440,53560,57680,65920,74160,82400,90640,98880,107120,115360,123600,131840,140080,148320,156560,164800,173040,181280,189520,197760,123600,133900,144200,164800,185400,206000,226600,247200,267800,288400,309000,329600,350200,370800,391400,412000,432600,453200,473800,494400,
45,20800,41600,104000,24960,27040,29120,33280,37440,41600,45760,49920,54080,58240,62400,66560,70720,74880,79040,83200,87360,91520,95680,99840,49920,54080,58240,66560,74880,83200,91520,99840,108160,116480,124800,133120,141440,149760,158080,166400,174720,183040,191360,199680,124800,135200,145600,166400,187200,208000,228800,249600,270400,291200,312000,332800,353600,374400,395200,416000,436800,457600,478400,499200,
46,21000,42000,105000,25200,27300,29400,33600,37800,42000,46200,50400,54600,58800,63000,67200,71400,75600,79800,84000,88200,92400,96600,100800,50400,54600,58800,67200,75600,84000,92400,100800,109200,117600,126000,134400,142800,151200,159600,168000,176400,184800,193200,201600,126000,136500,147000,168000,189000,210000,231000,252000,273000,294000,315000,336000,357000,378000,399000,420000,441000,462000,483000,504000,
47,21200,42400,106000,25440,27560,29680,33920,38160,42400,46640,50880,55120,59360,63600,67840,72080,76320,80560,84800,89040,93280,97520,101760,50880,55120,59360,67840,76320,84800,93280,101760,110240,118720,127200,135680,144160,152640,161120,169600,178080,186560,195040,203520,127200,137800,148400,169600,190800,212000,233200,254400,275600,296800,318000,339200,360400,381600,402800,424000,445200,466400,487600,508800,
48,21400,42800,107000,25680,27820,29960,34240,38520,42800,47080,51360,55640,59920,64200,68480,72760,77040,81320,85600,89880,94160,98440,102720,51360,55640,59920,68480,77040,85600,94160,102720,111280,119840,128400,136960,145520,154080,162640,171200,179760,188320,196880,205440,128400,139100,149800,171200,192600,214000,235400,256800,278200,299600,321000,342400,363800,385200,406600,428000,449400,470800,492200,513600,
49,21600,43200,108000,25920,28080,30240,34560,38880,43200,47520,51840,56160,60480,64800,69120,73440,77760,82080,86400,90720,95040,99360,103680,51840,56160,60480,69120,77760,86400,95040,103680,112320,120960,129600,138240,146880,155520,164160,172800,181440,190080,198720,207360,129600,140400,151200,172800,194400,216000,237600,259200,280800,302400,324000,345600,367200,388800,410400,432000,453600,475200,496800,518400,
50,21800,43600,109000,26160,28340,30520,34880,39240,43600,47960,52320,56680,61040,65400,69760,74120,78480,82840,87200,91560,95920,100280,104640,52320,56680,61040,69760,78480,87200,95920,104640,113360,122080,130800,139520,148240,156960,165680,174400,183120,191840,200560,209280,130800,141700,152600,174400,196200,218000,239800,261600,283400,305200,327000,348800,370600,392400,414200,436000,457800,479600,501400,523200,
51,22000,44000,110000,26400,28600,30800,35200,39600,44000,48400,52800,57200,61600,66000,70400,74800,79200,83600,88000,92400,96800,101200,105600,52800,57200,61600,70400,79200,88000,96800,105600,114400,123200,132000,140800,149600,158400,167200,176000,184800,193600,202400,211200,132000,143000,154000,176000,198000,220000,242000,264000,286000,308000,330000,352000,374000,396000,418000,440000,462000,484000,506000,528000,
52,22200,44400,111000,26640,28860,31080,35520,39960,44400,48840,53280,57720,62160,66600,71040,75480,79920,84360,88800,93240,97680,102120,106560,53280,57720,62160,71040,79920,88800,97680,106560,115440,124320,133200,142080,150960,159840,168720,177600,186480,195360,204240,213120,133200,144300,155400,177600,199800,222000,244200,266400,288600,310800,333000,355200,377400,399600,421800,444000,466200,488400,510600,532800,
53,22400,44800,112000,26880,29120,31360,35840,40320,44800,49280,53760,58240,62720,67200,71680,76160,80640,85120,89600,94080,98560,103040,107520,53760,58240,62720,71680,80640,89600,98560,107520,116480,125440,134400,143360,152320,161280,170240,179200,188160,197120,206080,215040,134400,145600,156800,179200,201600,224000,246400,268800,291200,313600,336000,358400,380800,403200,425600,448000,470400,492800,515200,537600,
54,22600,45200,113000,27120,29380,31640,36160,40680,45200,49720,54240,58760,63280,67800,72320,76840,81360,85880,90400,94920,99440,103960,108480,54240,58760,63280,72320,81360,90400,99440,108480,117520,126560,135600,144640,153680,162720,171760,180800,189840,198880,207920,216960,135600,146900,158200,180800,203400,226000,248600,271200,293800,316400,339000,361600,384200,406800,429400,452000,474600,497200,519800,542400,
55,22800,45600,114000,27360,29640,31920,36480,41040,45600,50160,54720,59280,63840,68400,72960,77520,82080,86640,91200,95760,100320,104880,109440,54720,59280,63840,72960,82080,91200,100320,109440,118560,127680,136800,145920,155040,164160,173280,182400,191520,200640,209760,218880,136800,148200,159600,182400,205200,228000,250800,273600,296400,319200,342000,364800,387600,410400,433200,456000,478800,501600,524400,547200,
56,23000,46000,115000,27600,29900,32200,36800,41400,46000,50600,55200,59800,64400,69000,73600,78200,82800,87400,92000,96600,101200,105800,110400,55200,59800,64400,73600,82800,92000,101200,110400,119600,128800,138000,147200,156400,165600,174800,184000,193200,202400,211600,220800,138000,149500,161000,184000,207000,230000,253000,276000,299000,322000,345000,368000,391000,414000,437000,460000,483000,506000,529000,552000,
57,23200,46400,116000,27840,30160,32480,37120,41760,46400,51040,55680,60320,64960,69600,74240,78880,83520,88160,92800,97440,102080,106720,111360,55680,60320,64960,74240,83520,92800,102080,111360,120640,129920,139200,148480,157760,167040,176320,185600,194880,204160,213440,222720,139200,150800,162400,185600,208800,232000,255200,278400,301600,324800,348000,371200,394400,417600,440800,464000,487200,510400,533600,556800,
58,23400,46800,117000,28080,30420,32760,37440,42120,46800,51480,56160,60840,65520,70200,74880,79560,84240,88920,93600,98280,102960,107640,112320,56160,60840,65520,74880,84240,93600,102960,112320,121680,131040,140400,149760,159120,168480,177840,187200,196560,205920,215280,224640,140400,152100,163800,187200,210600,234000,257400,280800,304200,327600,351000,374400,397800,421200,444600,468000,491400,514800,538200,561600,
59,23600,47200,118000,28320,30680,33040,37760,42480,47200,51920,56640,61360,66080,70800,75520,80240,84960,89680,94400,99120,103840,108560,113280,56640,61360,66080,75520,84960,94400,103840,113280,122720,132160,141600,151040,160480,169920,179360,188800,198240,207680,217120,226560,141600,153400,165200,188800,212400,236000,259600,283200,306800,330400,354000,377600,401200,424800,448400,472000,495600,519200,542800,566400,
60,23800,47600,119000,28560,30940,33320,38080,42840,47600,52360,57120,61880,66640,71400,76160,80920,85680,90440,95200,99960,104720,109480,114240,57120,61880,66640,76160,85680,95200,104720,114240,123760,133280,142800,152320,161840,171360,180880,190400,199920,209440,218960,228480,142800,154700,166600,190400,214200,238000,261800,285600,309400,333200,357000,380800,404600,428400,452200,476000,499800,523600,547400,571200,
61,24000,48000,120000,28800,31200,33600,38400,43200,48000,52800,57600,62400,67200,72000,76800,81600,86400,91200,96000,100800,105600,110400,115200,57600,62400,67200,76800,86400,96000,105600,115200,124800,134400,144000,153600,163200,172800,182400,192000,201600,211200,220800,230400,144000,156000,168000,192000,216000,240000,264000,288000,312000,336000,360000,384000,408000,432000,456000,480000,504000,528000,552000,576000,
62,24200,48400,121000,29040,31460,33880,38720,43560,48400,53240,58080,62920,67760,72600,77440,82280,87120,91960,96800,101640,106480,111320,116160,58080,62920,67760,77440,87120,96800,106480,116160,125840,135520,145200,154880,164560,174240,183920,193600,203280,212960,222640,232320,145200,157300,169400,193600,217800,242000,266200,290400,314600,338800,363000,387200,411400,435600,459800,484000,508200,532400,556600,580800,
63,24400,48800,122000,29280,31720,34160,39040,43920,48800,53680,58560,63440,68320,73200,78080,82960,87840,92720,97600,102480,107360,112240,117120,58560,63440,68320,78080,87840,97600,107360,117120,126880,136640,146400,156160,165920,175680,185440,195200,204960,214720,224480,234240,146400,158600,170800,195200,219600,244000,268400,292800,317200,341600,366000,390400,414800,439200,463600,488000,512400,536800,561200,585600,
64,24600,49200,123000,29520,31980,34440,39360,44280,49200,54120,59040,63960,68880,73800,78720,83640,88560,93480,98400,103320,108240,113160,118080,59040,63960,68880,78720,88560,98400,108240,118080,127920,137760,147600,157440,167280,177120,186960,196800,206640,216480,226320,236160,147600,159900,172200,196800,221400,246000,270600,295200,319800,344400,369000,393600,418200,442800,467400,492000,516600,541200,565800,590400,
65,24800,49600,124000,29760,32240,34720,39680,44640,49600,54560,59520,64480,69440,74400,79360,84320,89280,94240,99200,104160,109120,114080,119040,59520,64480,69440,79360,89280,99200,109120,119040,128960,138880,148800,158720,168640,178560,188480,198400,208320,218240,228160,238080,148800,161200,173600,198400,223200,248000,272800,297600,322400,347200,372000,396800,421600,446400,471200,496000,520800,545600,570400,595200,
66,25000,50000,125000,30000,32500,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,60000,65000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,150000,162500,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,
67,25200,50400,126000,30240,32760,35280,40320,45360,50400,55440,60480,65520,70560,75600,80640,85680,90720,95760,100800,105840,110880,115920,120960,60480,65520,70560,80640,90720,100800,110880,120960,131040,141120,151200,161280,171360,181440,191520,201600,211680,221760,231840,241920,151200,163800,176400,201600,226800,252000,277200,302400,327600,352800,378000,403200,428400,453600,478800,504000,529200,554400,579600,604800,
68,25400,50800,127000,30480,33020,35560,40640,45720,50800,55880,60960,66040,71120,76200,81280,86360,91440,96520,101600,106680,111760,116840,121920,60960,66040,71120,81280,91440,101600,111760,121920,132080,142240,152400,162560,172720,182880,193040,203200,213360,223520,233680,243840,152400,165100,177800,203200,228600,254000,279400,304800,330200,355600,381000,406400,431800,457200,482600,508000,533400,558800,584200,609600,
