id,type,name,level,title,siteIcon,BigsiteIcon,ChapterName,profit,cd,showCd,AccountCd,lockDesc,targetValue,leveItem-type-1,leveItem-id-1,leveItem-value-1,rewardItem-type-1,rewardItem-id-1,rewardItem-value-1,rewardItem-type-2,rewardItem-id-2,rewardItem-value-2,rewardItem-type-3,rewardItem-id-3,rewardItem-value-3,strikeReward-type-1,strikeReward-id-1,strikeReward-value-1,pz,character,promoteDesc,lblReward,
12,3,s==4|迎春酒会,0,s==12|d_wenzi_ycjh,s==7|c_ycjh1,s==6|c_ycjh,,1,,,,,,,,,,,1,,,,,6994,,2,6994,10,s==30|有概率获得<color=#005ba1>蓝色</c>品质古董,0:9000:10000|3:1000:50,s==101|1.建筑每小时获得福运<color=#0d782b>+1</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+10</c>，有概率获得<color=#005ba1>蓝色</c>古董。,,
13,3,s==4|迎春酒会,1,s==12|d_wenzi_ycjh,s==7|c_ycjh1,s==6|c_ycjh,s==4|初来乍到,2,7000,1500,3000,s==8|获得二次划拳胜利,2,2,6997,1,2,8212,1,2,1003,1,2,6994,80,2,6994,15,s==52|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>品质古董,0:7000:10000|4:1000:80|3:2000:50,s==123|1.建筑每小时获得福运<color=#0d782b>+2</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+15</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>古董。,s==56|获得宝物<color=#7d2bab>【卯月玉兔】</c>，福运上涨<color=#48dc5c>{0}</c>,
14,3,s==4|迎春酒会,2,s==12|d_wenzi_ycjh,s==7|c_ycjh1,s==6|c_ycjh,s==4|小试牛刀,4,7000,2000,3000,s==8|获得二次划拳胜利,2,2,6997,1,2,8203,1,2,1003,1,2,6994,120,2,6994,20,s==74|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>品质古董,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==145|1.建筑每小时获得福运<color=#0d782b>+4</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+20</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>古董。,s==56|获得宝物<color=#d74200>【镇宝金蟾】</c>，福运上涨<color=#48dc5c>{0}</c>,
15,3,s==4|迎春酒会,3,s==12|d_wenzi_ycjh,s==7|c_ycjh1,s==6|c_ycjh,s==4|游刃有余,6,7000,2500,3000,s==8|获得三次划拳胜利,3,2,6997,1,2,8208,1,2,1003,1,2,6994,120,2,6994,25,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==169|1.建筑每小时获得福运<color=#0d782b>+6</c>\n2..每次移动到本建筑，获得福运<color=#0d782b>+25</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#d74200>【仙鹤羽扇】</c>，福运上涨<color=#48dc5c>{0}</c>,
16,3,s==4|迎春酒会,4,s==12|d_wenzi_ycjh,s==7|c_ycjh1,s==6|c_ycjh,s==4|炉火纯青,8,7000,3000,3000,s==8|获得三次划拳胜利,3,2,6997,1,2,8202,1,2,1004,1,2,6994,300,2,6994,30,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==168|1.建筑每小时获得福运<color=#0d782b>+8</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+30</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#c4011f>【摇钱宝树】</c>，福运上涨<color=#48dc5c>{0}</c>,
18,4,s==4|良朋小聚,0,s==12|d_wenzi_lpxj,s==7|c_lpxj1,s==6|c_lxxj,,1,,,,,,,,,,,1,,,,,6994,,2,6994,10,s==30|有概率获得<color=#005ba1>蓝色</c>品质古董,0:9000:10000|3:1000:50,s==101|1.建筑每小时获得福运<color=#0d782b>+1</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+10</c>，有概率获得<color=#005ba1>蓝色</c>古董。,,
19,4,s==4|良朋小聚,1,s==12|d_wenzi_lpxj,s==7|c_lpxj1,s==6|c_lxxj,s==4|初来乍到,2,7000,1500,2000,s==8|获得二次猜拳胜利,2,2,6997,1,2,8213,1,2,1027,40,2,6994,80,2,6994,15,s==52|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>品质古董,0:7000:10000|4:1000:80|3:2000:50,s==123|1.建筑每小时获得福运<color=#0d782b>+2</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+15</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>古董。,s==56|获得宝物<color=#7d2bab>【云墨玉簪】</c>，福运上涨<color=#48dc5c>{0}</c>,
20,4,s==4|良朋小聚,2,s==12|d_wenzi_lpxj,s==7|c_lpxj1,s==6|c_lxxj,s==4|小试牛刀,4,7000,2000,2000,s==8|获得二次猜拳胜利,2,2,6997,1,2,8205,1,2,1027,60,2,6994,120,2,6994,20,s==74|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>品质古董,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==145|1.建筑每小时获得福运<color=#0d782b>+4</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+20</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>古董。,s==56|获得宝物<color=#d74200>【纹枰对弈】</c>，福运上涨<color=#48dc5c>{0}</c>,
21,4,s==4|良朋小聚,3,s==12|d_wenzi_lpxj,s==7|c_lpxj1,s==6|c_lxxj,s==4|游刃有余,6,7000,2500,2000,s==8|获得三次猜拳胜利,3,2,6997,1,2,8209,1,2,1027,80,2,6994,120,2,6994,25,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==169|1.建筑每小时获得福运<color=#0d782b>+6</c>\n2..每次移动到本建筑，获得福运<color=#0d782b>+25</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#d74200>【金戟沉沙】</c>，福运上涨<color=#48dc5c>{0}</c>,
22,4,s==4|良朋小聚,4,s==12|d_wenzi_lpxj,s==7|c_lpxj1,s==6|c_lxxj,s==4|炉火纯青,8,7000,3000,2000,s==8|获得三次猜拳胜利,3,2,6997,1,2,8204,1,2,1004,1,2,6994,300,2,6994,30,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==168|1.建筑每小时获得福运<color=#0d782b>+8</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+30</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#c4011f>【焦尾古琴】</c>，福运上涨<color=#48dc5c>{0}</c>,
