id,icon,path,Uisound,tips,name,isShow,desc,appearLevel,openLevel,worldLevel,lvLimitEx,heroStarLevel,heroLvRequest,chapterId,needVipLv,openUI,subSheetUIId,areanShow,isShield,afterMergeVersionsOpen,openDay,activityId,
1130,512,,,s==4|主城功能,s==3|通天塔,,s==56|解锁通天塔，神塔入云，试炼重重。\n在通天塔中首通层数可获得珍稀装备、武将碎片奖励，扫荡可获得大量铜钱和突破石。,16,16,,,,,,,s==9|TowerView,1,,,,,,
1140,513,,,s==4|主城功能,s==3|聚贤阁,,s==47|解锁聚贤阁，选贤举能，雄霸天下。\n聚贤阁中可招揽指定阵营武将，更可累积积分直接兑换心仪神将。,20,20,,,,,,,s==19|HeroSummonMainLayer,1,,,,,,
1141,513,,,s==4|主城功能,s==8|聚贤阁-武将转换,,,20,20,,,,,,,s==19|HeroSummonMainLayer,2,,,,,,
1150,514,,,s==4|主城功能,s==4|转生神坛,,s==50|解锁转生神坛，光阴回溯，武将转生。\n在转生神坛可将高星武将退还，返还培养资源，一键换将，培养无损。,45,45,,,,,,,s==20|HeroRebirthMainLayer,,,,,,,
1160,515,,,s==4|主城功能,s==8|三国战场-主界面,,,55,55,,,,,,,s==12|SGBMainLayer,,,,,,,
1170,516,,,s==4|主城功能,s==8|诸侯争霸-主界面,,,40,40,,,,,,,s==18|GovernorsMainLayer,,,,,,,
1180,507,,,s==4|夺宝模块,s==4|幸运夺宝,,,20,20,,,,,,,s==17|PrayActivityLayer,,,,,,,
1190,507,,,s==4|夺宝模块,s==4|高级夺宝,,,30,30,,,,,,,s==17|PrayActivityLayer,,,,,,,
1191,571,,,s==4|主城功能,s==3|奇珍阁,,s==32|解锁配饰、星石、战马后可从此处前往探寻，可一键领取每日的免费奖励,104,104,,,,,,,,,,,,,,
1200,3300002,,,s==4|武将模块,s==4|武将背包,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1201,3300002,,,s==7|武将模块-入口,s==2|武将,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1210,3300002,,,s==4|武将模块,s==2|图鉴,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1211,3300002,,,s==4|神兵模块,s==2|幻化,,,20,20,,,,,,,s==12|DressPopView,,,,,,,
1220,3300002,,,s==4|武将模块,s==2|布阵,,,1,1,,,,,,,s==15|HeroArraryLayer,,,,,,,
1230,517,,,s==7|战役模块-入口,s==2|战役,,s==50|解锁战役系统，策马扬鞭，一骑当千。\n完成不同玩法战役，可获得大量武将培养资源，快速升阶，战力翻番。,15,15,,,,,,,s==16|DailyBattleLayer,,,,,,,
1240,517,,,s==4|战役模块,s==4|日常副本,,,15,15,,,,,,,s==16|dayBattelPopView,1,,,,,,
1241,517,,,s==4|战役模块,s==4|铜钱副本,,,15,15,,,,,,,s==16|dayBattelPopView,1,,,,,,
1242,517,,,s==4|战役模块,s==4|经验副本,,,17,17,,,,,,,s==16|dayBattelPopView,2,,,,,,
1243,517,,,s==4|战役模块,s==4|武将副本,,,18,18,,,,,,,s==16|dayBattelPopView,3,,,,,,
1244,517,,,s==4|战役模块,s==4|神兵副本,,,20,20,,,,,,,s==16|dayBattelPopView,4,,,,,,
1245,517,,,s==4|战役模块,s==4|将印副本,,,70,70,,,,,,,s==16|dayBattelPopView,5,,,,,,
1246,3300002,,,s==4|战役模块,s==4|副将副本,,,126,126,,,,,,,s==16|dayBattelPopView,6,,,,,,
1247,517,,,s==4|战役模块,s==4|精炼副本,,,160,160,,,,,,,s==16|dayBattelPopView,7,,,,120,,
1250,518,,,s==4|战役模块,s==4|血战长坂,,s==52|解锁血战长坂，白马银枪，七进七出。\n迎战不同波次的敌将阵容，坚持越久，奖励越好，首通还可领取珍稀道具。,25,25,,,,,,,s==18|heroTraningPopView,,,,,,,
1260,519,,,s==4|战役模块,s==4|千里单骑,,s==46|解锁千里单骑，过关斩将，义字当先。\n击败关卡守将，领取大量铜钱与积分，积分可兑换珍稀资源。,30,30,,,,,,,s==23|DifSelectHeroCutPopView,,,,,,,
1270,520,,,s==4|战役模块,s==3|武神殿,,s==43|解锁武神殿，神武降世，一战惊天。\n挑战神位，获得称号，称号附加百分比属性，战力飞升。,35,35,,,,,,,s==11|templeLayer,,,,,,,
1280,521,,,s==7|福利模块-入口,s==2|福利,,s==49|解锁福利，驰骋助力，纵横四海。\n多重好礼，尽收于此。快领取你的专属福利，秣马厉兵，开启称霸之路！,7,7,,,,,,,s==13|BenefitsLayer,,,,,,,
1285,4000013,,,s==4|福利模块,s==4|防骗漫画,,,7,7,,,,,,,s==13|BenefitsLayer,1285,,,,,,
1290,4000007,,,s==4|福利模块,s==3|激活码,,,7,7,,,,,,,s==13|BenefitsLayer,1290,,,,,,
1295,4000006,,,s==4|福利模块,s==3|推荐码,,,7,7,,,,,,,s==13|BenefitsLayer,1295,,,,,,
1301,4000005,,,s==4|福利模块,s==4|成长基金,,,7,7,,,,,,,s==14|actCenterLayer,1301,,,,,,
1302,4000123,,,s==4|轮换活动,s==4|等级礼包,,,,,,,,,,,s==14|actCenterLayer,1302,,,,,,
1305,4000004,,,s==4|福利模块,s==4|每月特惠,,s==1| ,7,7,,,,,,,s==14|actCenterLayer,1305,,,,,,
1310,4000003,,,s==4|福利模块,s==4|每周特惠,,,7,7,,,,,,,s==14|actCenterLayer,1310,,,,,,
1315,4000002,,,s==4|福利模块,s==4|王者月卡,,,7,7,,,,,,,s==13|BenefitsLayer,1315,,,,,,
1320,4000001,,,s==4|福利模块,s==4|贵族月卡,,,7,7,,,,,,,s==13|BenefitsLayer,1320,,,,,,
1325,4000000,,,s==4|福利模块,s==4|每日签到,,,7,7,,,,,,,s==13|BenefitsLayer,1325,,,,,,
1370,522,,,s==7|活动中心-入口,s==4|活动中心,,s==1| ,6,6,,,,,,,s==14|actCenterLayer,0,,,,,,
1377,3300001,,,s==4|轮换活动,s==4|私人礼包,,,6,6,,,,,,,s==14|actCenterLayer,1377,,,,,,
1380,3300005,,,s==4|轮换活动,s==4|沙场点兵,,,0,,,,,,,,s==13|BenefitsLayer,1380,,,,,,
1381,3300008,,,s==4|轮换活动,s==4|谈笑鸿儒,,,0,,,,,,,,s==13|BenefitsLayer,1381,,,,,,
1382,3300009,,,s==4|轮换活动,s==4|限时兑换,,,0,,,,,,,,s==13|BenefitsLayer,1382,,,,,,
1383,3300011,,,s==4|轮换活动,s==4|运筹帷幄,,,0,,,,,,,,s==13|BenefitsLayer,1383,,,,,,
1390,3300003,,,s==4|轮换活动,s==4|千里单骑,,,0,,,,,,,,s==13|BenefitsLayer,1390,,,,,,
1391,3300017,,,s==4|轮换活动,s==4|奇遇夺宝,,,0,,,,,,,,s==13|BenefitsLayer,1391,,,,,,
1392,3300007,,,s==4|轮换活动,s==4|速战精英,,,0,,,,,,,,s==13|BenefitsLayer,1392,,,,,,
1393,3300012,,,s==4|轮换活动,s==4|招财进宝,,,0,,,,,,,,s==13|BenefitsLayer,1393,,,,,,
1394,3300002,,,s==4|轮换活动,s==4|虎牢之战,,,0,,,,,,,,s==13|BenefitsLayer,1394,,,,,,
1400,3300019,,,s==4|活动中心,s==4|每日累充,,,6,6,,,,,,,s==14|actCenterLayer,1400,,,,,,
1401,3300020,,,s==4|活动中心,s==4|限时抢购,,,6,6,,,,,,,s==14|actCenterLayer,1401,,,,,,
1402,3300021,,,s==4|活动中心,s==4|累充好礼,,,6,6,,,,,,,s==14|actCenterLayer,1402,,,,,,
1410,523,,,s==7|军团模块-入口,s==2|军团,,s==47|解锁军团，合纵连横，共举大义。\n创建或加入军团，可参与各种军团玩法，获得额外奖励及战力提升。,18,18,,,,,,,s==15|LegionMainLayer,,,,,,,
1420,3300002,,,s==4|军团模块,s==4|军团成员,,,18,18,,,,,,,s==19|LegionMemberPopView,,,,,,,
1430,3300002,,,s==4|军团模块,s==4|军团活跃,,,18,18,,,,,,,s==19|LegionActivePopView,,,,,,,
1440,3300002,,,s==4|军团模块,s==4|军团红包,,,18,18, ,,,,,,s==17|LegionGiftPopView,,,,,,,
1450,534,,,s==4|军团模块,s==4|军团争霸,,,18,18,,,,,,,s==18|LegionWarMainLayer,,,,,,,
1460,3300002,,,s==4|军团模块,s==4|军团捐献,,,18,18,,,,,,,s==19|LegionDonatePopView,,,,,,,
1470,3300002,,,s==4|军团模块,s==4|军团敌将,,,18,18,,,,,,,s==17|LegionCopyPopView,,,,,,,
1471,,,,s==4|军团模块,s==13|军团敌将-攻击提升buff,,,18,18,,,,,,,,,,,,,,
1480,3300002,,,s==10|军团模块（军团商店）,s==4|军团商城,,,1,18,,,,,,,s==9|ShopLayer,5,,,,,,
1490,3300002,,,s==4|军团模块,s==4|军团科技,,,18,18,,,,,,,s==20|LegionSciencePopView,,,,,,,
1491,3300002,,,s==4|军团模块,s==4|军团仙门,,,18,18,,,,,,,s==17|LegionDGMainLayer,,,,,,,
1500,524,,,s==3|PVE,s==4|问鼎中原,,s==57|解锁问鼎中原，百战不殆，谁与争锋。\n校场前128名自动参与争霸，层层淘汰决出巅峰王者，更可观战竞猜获得大量声望。,10,10,,,,,,,s==9|wdzyLayer,,,,,,,
1510,525,,,s==7|养成模块-武将,s==2|宝物,,s==53|解锁阵营宝物，天机奇宝，阵营加成。\n升级阵营宝物，可对阵营全体武将属性进行额外加成，战力附加，攻无不克。,60,60,,,,,,,s==12|BagHeroLayer,2,,,,,,
1520,3300002,,,s==7|养成模块-武将,s==2|奇书,,s==54|解锁奇书系统，天书奇谋，移山填海。\n鉴析残章后可获得奇谋，在奇书系统中装备后可根据回合数自动释放战场技能。,115,115,,,,,,,s==12|BagHeroLayer,3,,,,,,
1530,3300002,,,s==7|养成模块-武将,s==4|武将培养,,,1,1,,,4,,,,s==12|BagHeroLayer,,,,,,,
1540,3300002,,,s==7|养成模块-武将,s==4|武将升星,,,1,1,,,6,,,,s==12|BagHeroLayer,,,,,,,
1550,3300002,,,s==7|养成模块-武将,s==4|武将战法,,,1,1,,,6,,,,s==12|BagHeroLayer,,,,,,,
1560,3300002,,,s==7|养成模块-武将,s==4|武将觉醒,,,150,168,160,168,13,,,,,,,,,,,
1570,526,,,s==7|养成模块-武将,s==4|武将天赋,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1580,3300002,,,s==7|养成模块-武将,s==4|武将皮肤,,,15,15,,,,,,,s==12|BagHeroLayer,,,,,,,
1590,527,,,s==7|养成模块-武将,s==4|武将铸魂,,s==52|解锁铸魂系统，界限突破，技能升阶。\n武将10星且穿戴红装后可对装备栏进行铸魂，进一步提升自身技能等级！,1,1,,,,,,,s==19| intensifyMainLayer,1,,,,,,
1600,3300002,,,s==7|养成模块-武将,s==4|武将评论,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1601,3300002,,,s==7|养成模块-武将,s==6|武将评论举报,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1610,3300002,,,s==7|养成模块-武将,s==4|武将重置,,,1,1,,,,,,,s==12|BagHeroLayer,,,,,,,
1618,3300002,,,s==4|包裹模块,s==4|包裹战魂,,,1,1,,,,,,,s==8|BagLayer,7,,,,,,
1619,3300002,,,s==4|包裹模块,s==4|包裹副将,,,126,126,,,,,,,s==8|BagLayer,9,,,,,,
1620,3300002,,,s==7|包裹模块-入口,s==5|包裹主界面,,,1,1,,,,,,,s==8|BagLayer,,,,,,,
1621,3300002,,,s==4|包裹模块,s==4|包裹装备,,,1,1,,,,,,,s==8|BagLayer,2,,,,,,
1622,3300002,,,s==4|包裹模块,s==4|包裹道具,,,1,1,,,,,,,s==8|BagLayer,1,,,,,,
1623,3300002,,,s==4|包裹模块,s==4|包裹将符,,,1,1,,,,,,,s==8|BagLayer,3,,,,,,
1624,3300002,,,s==4|包裹模块,s==4|包裹将印,,,1,1,,,,,,,s==8|BagLayer,4,,,,,,
1625,3300002,,,s==4|包裹模块,s==4|包裹配饰,,,1,1,,,,,,,s==8|BagLayer,5,,,,,,
1626,3300002,,,s==4|包裹模块,s==4|包裹战旗,,,0,1,,,,,,,s==8|BagLayer,6,,,,,,
1627,3300002,,,s==4|包裹模块,s==4|包裹奇谋,,,0,1,,,,,,,s==8|BagLayer,8,,,,,,
1628,3300002,,,s==4|包裹模块,s==4|包裹宝石,,,0,1,,,,,,,s==8|BagLayer,10,,,,,,
1629,3300002,,,s==4|包裹模块,s==4|星石分解,,,0,1,,,,,,,s==8|BagLayer,11,,,,,,
1630,3300002,,,s==7|基础模块-合成,s==4|进阶天坛,,,1,1,,,,,,,s==12|AdvanceLayer,,,,,,,
1631,3300002,,,s==4|包裹模块,s==2|战马,,,145,150,,,,,,,s==8|BagLayer,12,,,,,,
1640,3300002,,,s==7|基础模块-招将,s==2|寻访,,,1,1,,,,,,,s==12|XunfangLayer,,,,,,,
1650,3300002,,,s==4|基础玩法,s==2|出征,,,1,1,,,,,,,s==13|ChuZhengLayer,,,,,,,
1651,3300002,,,s==4|基础玩法,s==7|出征-升星奖励,,,1,15,,,,,,,s==16|upStarRewardView,,,,,,,
1659,528,,,s==4|商店模块,s==1| ,,,3,3,,,,,,,s==9|ShopLayer,1,,,,,,
1660,528,,,s==4|商店模块,s==4|道具商城,,,1,1,,,,,,,s==9|ShopLayer,1,,,,,,
1670,528,,,s==4|商店模块,s==4|武将商城,,,1,1,,,,,,,s==9|ShopLayer,2,,,,,,
1680,528,,,s==4|商店模块,s==4|勋章商城,,,1,1,,,,,,,s==9|ShopLayer,8,,,,,,
1690,528,,,s==4|商店模块,s==4|皮肤商城,,,1,1,,,,,,,s==9|ShopLayer,9,,,,,,
1700,528,,,s==4|商店模块,s==4|兵书商城,,,1,1,,,,,,,s==9|ShopLayer,10,,,,,,
1710,528,,,s==7|商店模块-积分,s==4|积分商城,,,1,8,,,,,,,s==9|ShopLayer,3,,,,,,
1720,528,,,s==7|商店模块-积分,s==4|校场商城,,,1,8,,,,,,,s==9|ShopLayer,4,,,,,,
1730,528,,,s==7|商店模块-积分,s==4|千里商城,,,1,30,,,,,,,s==9|ShopLayer,3,,,,,,
1740,528,,,s==7|商店模块-积分,s==4|夺宝商城,,,1,20,,,,,,,s==9|ShopLayer,6,,,,,,
1750,528,,,s==7|商店模块-积分,s==4|巅峰商城,,,1,105,,,,,,,s==9|ShopLayer,7,,,,,,
1759,528,,,s==7|商店模块-玩法,s==4|战法商城,,,1,55,,,,,,,s==9|ShopLayer,11,,,,,,
1760,528,,,s==7|商店模块-玩法,s==4|天梯商城,,,1,50,,,,,,,s==9|ShopLayer,11,,,,,,
1770,528,,,s==7|商店模块-玩法,s==4|联盟商城,,,1,78,,,,,,,s==9|ShopLayer,12,,,,,,
1780,528,,,s==7|商店模块-玩法,s==4|军功商城,,,1,100,,,,,,,s==9|ShopLayer,13,,,,,,
1790,528,,,s==7|商店模块-玩法,s==4|合纵商城,,,1,95,,,,,,,s==9|ShopLayer,14,,,,,,
1800,528,,,s==7|商店模块-玩法,s==4|蛮夷商城,,,1,75,,,,,,,s==9|ShopLayer,15,,,,,,
1801,528,,,s==7|矿场争夺-商城,s==4|宝石商城,,,1,82,,,,,,,s==13|MWShopPopView,16,,,,,,
1802,528,,,s==7|商店模块-玩法,s==4|比武商城,,,1,105,,,,,,,s==9|ShopLayer,34,,,,,,
1810,529,,,s==7|商店模块-玩法,s==4|神秘商店,,,1,1,,,,,2,,s==15|SecretShopLayer,,,,,,,
1820,530,,,s==2|活动,s==4|七日登录,,s==40|解锁七天登录活动，领取大量奖励。\n七天登陆，奖励进阶。祝您快速养成，号令群雄！,7,7,,,,,,,s==17|SevenDaysActLayer,,,,,,,
1821,531,,,s==2|活动,s==4|七日演武,,,13,13,,,,,,,s==17|SevenDayTaskLayer,,,,,,,
1822,532,,,s==2|活动,s==4|征战之路,,,13,13,,,,,,,s==19|zhengzhanrizhiLayer,,,,,,,
1823,533,,,s==2|活动,s==4|献帝密诏,,,13,13,,,,,,,s==17|squarehaolinLayer,,,,,,,
1824,531,,,s==2|活动,s==4|七日演武,,,13,13,,,,,,,s==19|ActSevenDayExercise,,,,,,,
1825,532,,,s==2|活动,s==4|征战之路,,,13,13,,,,,,,s==25|zhengzhanrizhiRotateLayer,,,,,,,
1826,533,,,s==2|活动,s==4|献帝密诏,,,13,13,,,,,,,s==23|squarehaolinRotateLayer,,,,,,,
1830,110100,,,s==2|充值,s==4|特惠首充,,,9,9,,,,,,,s==12|RechargeView,,,,,,,
1840,110101,,,s==4|基础功能,s==4|每日首充,,,11,11,,,,,,,s==21|RechargeInterfaceView,,,,,,,
1841,3300002,,,s==4|基础功能,s==4|首充礼包,,,0,,,,,,,,s==17|SevenDaysActLayer,,,,,,,
1850,534,,,s==5|PVP玩法,s==5|军团战图标,,,18,18,,,,,,,s==17|SevenDaysActLayer,,,,,,,
1860,535,,,s==2|活动,s==9|下 载 赢 好 礼,,,1,1,,,,,,,s==12|AgiftBagView,,,,,,,
1870,536,,,s==2|活动,s==4|实名认证,,,1,1,,,,,,,s==12|AgiftBagView,,,,,,,
1880,537,,,s==2|活动,s==4|限时礼包,,,10,10,,,,,,,s==16|FlashgifBagLayer,,,,,,,
1881,537,,,s==2|活动,s==4|绝版礼包,,,1,1,,,,,,,s==16|FlashgifBagLayer,,,,,,,
1882,3300002,,,s==8|限时礼包(神魔）,s==5|五星养成礼,,,,,,,,,,,s==16|FlashgifBagLayer,,,,,,,
1883,3300002,,,s==8|限时礼包（魏蜀）,s==5|五星养成礼,,,,,,,,,,,s==16|FlashgifBagLayer,,,,,,,
1890,538,,,s==7|养成模块-神兵,s==2|神兵,,s==51|解锁神兵，神兵天降，御敌万千。\n根据阵容搭配不同神兵技能，还可提高全体武将属性，运筹帷幄，决胜千里。,,,,,,,3,,s==10|QiShuLayer,,,,,,,
1900,539,,,s==7|特权模块-入口,s==2|特权,,,7,7,,,,,,,s==11|TequanLayer,,,,,,,
1910,540,,,s==4|特权模块,s==2|充值,,,1,1,,,,,,,s==11|TequanLayer,1,,,,,,
1920,541,,,s==4|特权模块,s==3|VIP,,,1,1,,,,,,,s==11|TequanLayer,2,,,,,,
1930,542,,,s==4|特权模块,s==4|双倍元宝,,,1,1,,,,,,,s==11|TequanLayer,3,,,,,,
1940,543,,,s==4|特权模块,s==4|特权商城,,,1,1,,,,,,,s==11|TequanLayer,4,,,,,,
1950,3300002,,,s==4|征战模块,s==4|疑难解答,,,1,1,,,,,,,s==11|AnswerLayer,,,,,,,
1960,544,,,s==4|PVE1,s==4|虎牢之战,,s==49|解锁虎牢之战，无双之志，无人可挡。\n进行武将单挑过关，解锁随机奇遇，更有多种玩法，获取丰富资源。,55,55,,,,,,,s==20|HuLaoBattleMainLayer,,,,,,,
1970,545,,,s==4|PVE2,s==4|荆州之战,,s==46|解锁荆州之战，用兵之道，变化万千。\n每日轮换敌将阵营，获取大量宝物强化资源，迅速提升战力。,60,60,,,,,,,s==13|WOJZMainLayer,,,,,,,
1980,3400005,,,s==4|PVE3,s==4|蛮夷入侵,,s==55|解锁蛮夷入侵，抗击外戚，扬我国威。\n全服共同挑战蛮夷首领兀突骨，根据伤害解锁奖励获取大量积分，兑换稀有道具。,75,75,,,,,,,s==9|mzrqLayer,,,,,,,
1990,547,,,s==4|PVE4,s==4|北伐中原,,s==55|解锁北伐中原，匡扶汉室，指日可待。\n通关北伐中原，可获取珍稀配饰，装备后可大幅度提升武将属性并获得额外技能。,,,99,104,,,,,s==13|WNChapterList,,,,,,,
1991,563,,,s==4|PVP1,s==4|漕运风云,,s==47|解锁漕运风云，护航抗敌，怒海争锋。\n进行漕运可获得赏赐道具，提升美人增幅属性，更有大量铜钱。,40,40,,,,,,,s==23|WaterTransportMainLayer,,,,,,,
1992,3300002,,,,s==4|圣坛祭祀,,s==54|解锁圣坛祭祀，献祭圣物，获得配饰。\n获得的圣物可用于圣坛祭祀，随机获得套装配饰，穿戴可为武将附加强力被动。,,,99,104,,,,,s==12|WNAltarLayer,,,,,,,
1993,3300002,,,,s==4|配饰商城,,,,,99,104,,,,,s==13|WNShopPopView,,,,,,,
1994,,,,,s==4|漕运祭祀,,s==18|向风神祭坛祭祀可增加漕运/拦截的增益,40,40,,,,,,,,,,,,,,
2000,548,,,s==4|PVP2,s==4|天梯排位,,s==50|解锁天梯排位，位次争夺，傲视群雄。\n在每周六、日的天梯排位赛中跨服争夺位次，可获得元宝及橙装奖励。,50,50,,,,,,,s==16|LadderMatchLayer,,,,,,,
2001,548,,,s==4|PVP4,s==4|矿场争夺,,s==40|解锁矿场争夺，占领矿脉，采集宝石，增幅属性！\n镶嵌宝石即可获取百分比属性加成！,82,82,,,,,,,s==16|MineWarMainLayer,,,,,,,
2010,549,,,s==4|PVP3,s==4|联盟对阵,,s==56|解锁联盟对阵，双服争雄，排兵布阵。\n周末开启，报名玩家将分别在三条路线上进行跨服车轮战，参与即可获得大量奖励。,78,78,,,,,,,s==18|redCliff_mainLayer,,,,,,,
2011,,,,,s==7|天梯争霸-点赞,,s==10|可对赛季传奇进行点赞,50,50,,,,,,,,,,,,,,
2020,550,,,s==4|PVP5,s==4|攻城掠地,,s==55|解锁攻城掠地，群雄割据，占地为王。\n全服结盟，通过占领城池获取积分，与其他服务器争夺排名，获得极品战旗奖励。,100,100,,,,,,,s==19|CountryWarMainLayer,,,,,,,
2021,550,,,s==4|PVP5,s==4|天魔来袭,,s==53|天魔来袭，众志成城，抵御外敌。\n通过占领城池获与抵御天魔进攻取积分，与其他服务器共同御敌，获得极品奖励。,100,100,,,,,,,s==21|DemonStrikesMainLayer,,,,,,,
