id,name,monsterGroupId,boutCount,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,s==11|Tầng 1 trận,40001,11,,,,,,,,,,
62,s==12|Tầng 62 trận,40062,11,,,,,,,,,,
63,s==12|Tầng 63 trận,40063,11,,,,,,,,,,
64,s==12|Tầng 64 trận,40064,11,,,,,,,,,,
65,s==12|Tầng 65 trận,40065,11,1,10,350000,,,,,,,
66,s==12|Tầng 66 trận,40066,11,,,,,,,,,,
67,s==12|Tầng 67 trận,40067,11,,,,,,,,,,
68,s==12|Tầng 68 trận,40068,11,,,,,,,,,,
69,s==12|Tầng 69 trận,40069,11,,,,,,,,,,
70,s==12|Tầng 70 trận,40070,11,1,10,450000,,,,,,,
71,s==12|Tầng 71 trận,40071,11,,,,,,,,,,
72,s==12|Tầng 72 trận,40072,11,,,,,,,,,,
73,s==12|Tầng 73 trận,40073,11,,,,,,,,,,
74,s==12|Tầng 74 trận,40074,11,,,,,,,,,,
75,s==12|Tầng 75 trận,40075,11,2,1003,1,,,,,,,
76,s==12|Tầng 76 trận,40076,11,,,,,,,,,,
77,s==12|Tầng 77 trận,40077,11,,,,,,,,,,
78,s==12|Tầng 78 trận,40078,11,,,,,,,,,,
79,s==12|Tầng 79 trận,40079,11,,,,,,,,,,
80,s==12|Tầng 80 trận,40080,11,1,10,550000,,,,,,,
81,s==12|Tầng 81 sóng,40081,11,,,,,,,,,,
82,s==12|Tầng 82 sóng,40082,11,,,,,,,,,,
83,s==12|Tầng 83 sóng,40083,11,,,,,,,,,,
84,s==12|Tầng 84 sóng,40084,11,,,,,,,,,,
85,s==12|Tầng 85 sóng,40085,11,1,10,650000,,,,,,,
86,s==12|Tầng 86 sóng,40086,11,,,,,,,,,,
87,s==12|Tầng 87 sóng,40087,11,,,,,,,,,,
88,s==12|Tầng 88 sóng,40088,11,,,,,,,,,,
89,s==12|Tầng 89 sóng,40089,11,,,,,,,,,,
90,s==12|Tầng 90 sóng,40090,11,2,1003,1,,,,,,,
91,s==12|Tầng 91 sóng,40091,11,,,,,,,,,,
92,s==12|Tầng 92 sóng,40092,11,,,,,,,,,,
93,s==12|Tầng 93 sóng,40093,11,,,,,,,,,,
94,s==12|Tầng 94 sóng,40094,11,,,,,,,,,,
95,s==12|Tầng 95 sóng,40095,11,1,10,750000,,,,,,,
96,s==12|Tầng 96 sóng,40096,11,,,,,,,,,,
97,s==12|Tầng 97 sóng,40097,11,,,,,,,,,,
98,s==12|Tầng 98 sóng,40098,11,,,,,,,,,,
99,s==12|Tầng 99 sóng,40099,11,,,,,,,,,,
100,s==13|Tầng 100 sóng,40100,11,1,10,800000,,,,,,,
101,s==13|Tầng 101 sóng,40101,11,,,,,,,,,,
102,s==13|Tầng 102 sóng,40102,11,,,,,,,,,,
103,s==13|Tầng 103 sóng,40103,11,,,,,,,,,,
104,s==13|Tầng 104 sóng,40104,11,,,,,,,,,,
105,s==13|Tầng 105 sóng,40105,11,2,1003,1,,,,,,,
106,s==13|Tầng 106 sóng,40106,11,,,,,,,,,,
107,s==13|Tầng 107 sóng,40107,11,,,,,,,,,,
108,s==13|Tầng 108 sóng,40108,11,,,,,,,,,,
109,s==13|Tầng 109 sóng,40109,11,,,,,,,,,,
110,s==13|Tầng 110 sóng,40110,11,1,10,761250,,,,,,,
111,s==13|Tầng 111 sóng,40111,11,,,,,,,,,,
112,s==13|Tầng 112 sóng,40112,11,,,,,,,,,,
113,s==13|Tầng 113 sóng,40113,11,,,,,,,,,,
114,s==13|Tầng 114 sóng,40114,11,,,,,,,,,,
115,s==13|Tầng 115 sóng,40115,11,1,10,812000,,,,,,,
116,s==13|Tầng 116 sóng,40116,11,,,,,,,,,,
117,s==13|Tầng 117 sóng,40117,11,,,,,,,,,,
118,s==13|Tầng 118 sóng,40118,11,,,,,,,,,,
119,s==13|Tầng 119 sóng,40119,11,,,,,,,,,,
120,s==13|Tầng 120 sóng,40120,11,2,1003,1,,,,,,,
121,s==13|Tầng 121 sóng,40121,11,,,,,,,,,,
122,s==13|Tầng 122 sóng,40122,11,,,,,,,,,,
123,s==13|Tầng 123 sóng,40123,11,,,,,,,,,,
124,s==13|Tầng 124 sóng,40124,11,,,,,,,,,,
125,s==13|Tầng 125 sóng,40125,11,1,10,772669,,,,,,,
126,s==13|Tầng 126 sóng,40126,11,,,,,,,,,,
127,s==13|Tầng 127 sóng,40127,11,,,,,,,,,,
128,s==13|Tầng 128 sóng,40128,11,,,,,,,,,,
129,s==13|Tầng 129 sóng,40129,11,,,,,,,,,,
130,s==13|Tầng 130 sóng,40130,11,1,10,824180,,,,,,,
131,s==13|Tầng 131 sóng,40131,11,,,,,,,,,,
132,s==13|Tầng 132 sóng,40132,11,,,,,,,,,,
133,s==13|Tầng 133 sóng,40133,11,,,,,,,,,,
134,s==13|Tầng 134 sóng,40134,11,,,,,,,,,,
135,s==13|Tầng 135 sóng,40135,11,2,1003,1,,,,,,,
136,s==13|Tầng 136 sóng,40136,11,,,,,,,,,,
137,s==13|Tầng 137 sóng,40137,11,,,,,,,,,,
138,s==13|Tầng 138 sóng,40138,11,,,,,,,,,,
139,s==13|Tầng 139 sóng,40139,11,,,,,,,,,,
140,s==13|Tầng 140 sóng,40140,11,1,10,784259,,,,,,,
141,s==13|Tầng 141 sóng,40141,11,,,,,,,,,,
142,s==13|Tầng 142 sóng,40142,11,,,,,,,,,,
143,s==13|Tầng 143 sóng,40143,11,,,,,,,,,,
144,s==13|Tầng 144 sóng,40144,11,,,,,,,,,,
145,s==13|Tầng 145 sóng,40145,11,1,10,836543,,,,,,,
146,s==13|Tầng 146 sóng,40146,11,,,,,,,,,,
147,s==13|Tầng 147 sóng,40147,11,,,,,,,,,,
148,s==13|Tầng 148 sóng,40148,11,,,,,,,,,,
149,s==13|Tầng 149 sóng,40149,11,,,,,,,,,,
150,s==13|Tầng 150 sóng,40150,11,2,1003,1,,,,,,,
151,s==13|Tầng 151 sóng,40151,11,,,,,,,,,,
152,s==13|Tầng 152 sóng,40152,11,,,,,,,,,,
153,s==13|Tầng 153 sóng,40153,11,,,,,,,,,,
154,s==13|Tầng 154 sóng,40154,11,,,,,,,,,,
155,s==13|Tầng 155 sóng,40155,11,1,10,796023,,,,,,,
156,s==13|Tầng 156 sóng,40156,11,,,,,,,,,,
157,s==13|Tầng 157 sóng,40157,11,,,,,,,,,,
158,s==13|Tầng 158 sóng,40158,11,,,,,,,,,,
159,s==13|Tầng 159 sóng,40159,11,,,,,,,,,,
160,s==13|Tầng 160 sóng,40160,11,1,10,849091,,,,,,,
161,s==13|Tầng 161 sóng,40161,11,,,,,,,,,,
162,s==13|Tầng 162 sóng,40162,11,,,,,,,,,,
163,s==13|Tầng 163 sóng,40163,11,,,,,,,,,,
164,s==13|Tầng 164 sóng,40164,11,,,,,,,,,,
165,s==13|Tầng 165 sóng,40165,11,2,1003,1,,,,,,,
166,s==13|Tầng 166 sóng,40166,11,,,,,,,,,,
167,s==13|Tầng 167 sóng,40167,11,,,,,,,,,,
168,s==13|Tầng 168 sóng,40168,11,,,,,,,,,,
169,s==13|Tầng 169 sóng,40169,11,,,,,,,,,,
170,s==13|Tầng 170 sóng,40170,11,1,10,807964,,,,,,,
171,s==13|Tầng 171 sóng,40171,11,,,,,,,,,,
172,s==13|Tầng 172 sóng,40172,11,,,,,,,,,,
173,s==13|Tầng 173 sóng,40173,11,,,,,,,,,,
174,s==13|Tầng 174 sóng,40174,11,,,,,,,,,,
175,s==13|Tầng 175 sóng,40175,11,1,10,861828,,,,,,,
176,s==13|Tầng 176 sóng,40176,11,,,,,,,,,,
177,s==13|Tầng 177 sóng,40177,11,,,,,,,,,,
178,s==13|Tầng 178 sóng,40178,11,,,,,,,,,,
179,s==13|Tầng 179 sóng,40179,11,,,,,,,,,,
180,s==13|Tầng 180 sóng,40180,11,2,1003,1,,,,,,,
181,s==13|Tầng 181 sóng,40181,11,,,,,,,,,,
182,s==13|Tầng 182 sóng,40182,11,,,,,,,,,,
183,s==13|Tầng 183 sóng,40183,11,,,,,,,,,,
184,s==13|Tầng 184 sóng,40184,11,,,,,,,,,,
185,s==13|Tầng 185 sóng,40185,11,1,10,820083,,,,,,,
186,s==13|Tầng 186 sóng,40186,11,,,,,,,,,,
187,s==13|Tầng 187 sóng,40187,11,,,,,,,,,,
188,s==13|Tầng 188 sóng,40188,11,,,,,,,,,,
189,s==13|Tầng 189 sóng,40189,11,,,,,,,,,,
190,s==13|Tầng 190 sóng,40190,11,1,10,874755,,,,,,,
191,s==13|Tầng 191 sóng,40191,11,,,,,,,,,,
192,s==13|Tầng 192 sóng,40192,11,,,,,,,,,,
193,s==13|Tầng 193 sóng,40193,11,,,,,,,,,,
194,s==13|Tầng 194 sóng,40194,11,,,,,,,,,,
195,s==13|Tầng 195 sóng,40195,11,2,1003,1,,,,,,,
196,s==13|Tầng 196 sóng,40196,11,,,,,,,,,,
197,s==13|Tầng 197 sóng,40197,11,,,,,,,,,,
198,s==13|Tầng 198 sóng,40198,11,,,,,,,,,,
199,s==13|Tầng 199 sóng,40199,11,,,,,,,,,,
200,s==13|Tầng 200 sóng,40200,11,1,10,832384,,,,,,,
201,s==13|Tầng 201 sóng,40201,11,,,,,,,,,,
202,s==13|Tầng 202 sóng,40202,11,,,,,,,,,,
203,s==13|Tầng 203 sóng,40203,11,,,,,,,,,,
204,s==13|Tầng 204 sóng,40204,11,,,,,,,,,,
205,s==13|Tầng 205 sóng,40205,11,1,10,887876,,,,,,,
206,s==13|Tầng 206 sóng,40206,11,,,,,,,,,,
207,s==13|Tầng 207 sóng,40207,11,,,,,,,,,,
208,s==13|Tầng 208 sóng,40208,11,,,,,,,,,,
209,s==13|Tầng 209 sóng,40209,11,,,,,,,,,,
210,s==13|Tầng 210 sóng,40210,11,2,1003,1,,,,,,,
211,s==13|Tầng 211 sóng,40211,11,,,,,,,,,,
212,s==13|Tầng 212 sóng,40212,11,,,,,,,,,,
213,s==13|Tầng 213 sóng,40213,11,,,,,,,,,,
214,s==13|Tầng 214 sóng,40214,11,,,,,,,,,,
215,s==13|Tầng 215 sóng,40215,11,1,10,844870,,,,,,,
216,s==13|Tầng 216 sóng,40216,11,,,,,,,,,,
217,s==13|Tầng 217 sóng,40217,11,,,,,,,,,,
218,s==13|Tầng 218 sóng,40218,11,,,,,,,,,,
219,s==13|Tầng 219 sóng,40219,11,,,,,,,,,,
220,s==13|Tầng 220 sóng,40220,11,1,10,901195,,,,,,,
221,s==13|Tầng 221 sóng,40221,11,,,,,,,,,,
222,s==13|Tầng 222 sóng,40222,11,,,,,,,,,,
223,s==13|Tầng 223 sóng,40223,11,,,,,,,,,,
224,s==13|Tầng 224 sóng,40224,11,,,,,,,,,,
225,s==13|Tầng 225 sóng,40225,11,2,1003,1,,,,,,,
226,s==13|Tầng 226 sóng,40226,11,,,,,,,,,,
227,s==13|Tầng 227 sóng,40227,11,,,,,,,,,,
228,s==13|Tầng 228 sóng,40228,11,,,,,,,,,,
229,s==13|Tầng 229 sóng,40229,11,,,,,,,,,,
230,s==13|Tầng 230 sóng,40230,11,1,10,857543,,,,,,,
231,s==13|Tầng 231 sóng,40231,11,,,,,,,,,,
232,s==13|Tầng 232 sóng,40232,11,,,,,,,,,,
233,s==13|Tầng 233 sóng,40233,11,,,,,,,,,,
234,s==13|Tầng 234 sóng,40234,11,,,,,,,,,,
235,s==13|Tầng 235 sóng,40235,11,1,10,914712,,,,,,,
236,s==13|Tầng 236 sóng,40236,11,,,,,,,,,,
237,s==13|Tầng 237 sóng,40237,11,,,,,,,,,,
238,s==13|Tầng 238 sóng,40238,11,,,,,,,,,,
239,s==13|Tầng 239 sóng,40239,11,,,,,,,,,,
240,s==13|Tầng 240 sóng,40240,11,2,1003,1,,,,,,,
241,s==13|Tầng 241 trận,40241,11,,,,,,,,,,
242,s==13|Tầng 242 trận,40242,11,,,,,,,,,,
243,s==13|Tầng 243 trận,40243,11,,,,,,,,,,
244,s==13|Tầng 244 trận,40244,11,,,,,,,,,,
245,s==13|Tầng 245 trận,40245,11,1,10,870406,,,,,,,
246,s==13|Tầng 246 trận,40246,11,,,,,,,,,,
247,s==13|Tầng 247 trận,40247,11,,,,,,,,,,
248,s==13|Tầng 248 trận,40248,11,,,,,,,,,,
249,s==13|Tầng 249 trận,40249,11,,,,,,,,,,
250,s==13|Tầng 250 trận,40250,11,1,10,928433,,,,,,,
251,s==13|Tầng 251 trận,40251,11,,,,,,,,,,
252,s==13|Tầng 252 trận,40252,11,,,,,,,,,,
253,s==13|Tầng 253 trận,40253,11,,,,,,,,,,
254,s==13|Tầng 254 trận,40254,11,,,,,,,,,,
255,s==13|Tầng 255 trận,40255,11,2,1003,1,,,,,,,
256,s==13|Tầng 256 trận,40256,11,,,,,,,,,,
257,s==13|Tầng 257 trận,40257,11,,,,,,,,,,
258,s==13|Tầng 258 trận,40258,11,,,,,,,,,,
259,s==13|Tầng 259 trận,40259,11,,,,,,,,,,
260,s==13|Tầng 260 trận,40260,11,1,10,883462,,,,,,,
261,s==13|Tầng 261 trận,40261,11,,,,,,,,,,
262,s==13|Tầng 262 trận,40262,11,,,,,,,,,,
263,s==13|Tầng 263 trận,40263,11,,,,,,,,,,
264,s==13|Tầng 264 trận,40264,11,,,,,,,,,,
265,s==13|Tầng 265 trận,40265,11,1,10,942360,,,,,,,
266,s==13|Tầng 266 trận,40266,11,,,,,,,,,,
267,s==13|Tầng 267 trận,40267,11,,,,,,,,,,
268,s==13|Tầng 268 trận,40268,11,,,,,,,,,,
269,s==13|Tầng 269 trận,40269,11,,,,,,,,,,
270,s==13|Tầng 270 trận,40270,11,2,1003,1,,,,,,,
271,s==13|Tầng 271 trận,40271,11,,,,,,,,,,
272,s==13|Tầng 272 trận,40272,11,,,,,,,,,,
273,s==13|Tầng 273 trận,40273,11,,,,,,,,,,
274,s==13|Tầng 274 trận,40274,11,,,,,,,,,,
275,s==13|Tầng 275 trận,40275,11,1,10,896714,,,,,,,
276,s==13|Tầng 276 trận,40276,11,,,,,,,,,,
277,s==13|Tầng 277 trận,40277,11,,,,,,,,,,
278,s==13|Tầng 278 trận,40278,11,,,,,,,,,,
279,s==13|Tầng 279 trận,40279,11,,,,,,,,,,
280,s==13|Tầng 280 trận,40280,11,1,10,956495,,,,,,,
281,s==13|Tầng 281 trận,40281,11,,,,,,,,,,
282,s==13|Tầng 282 trận,40282,11,,,,,,,,,,
283,s==13|Tầng 283 trận,40283,11,,,,,,,,,,
284,s==13|Tầng 284 trận,40284,11,,,,,,,,,,
285,s==13|Tầng 285 trận,40285,11,2,1003,1,,,,,,,
286,s==13|Tầng 286 trận,40286,11,,,,,,,,,,
287,s==13|Tầng 287 trận,40287,11,,,,,,,,,,
288,s==13|Tầng 288 trận,40288,11,,,,,,,,,,
289,s==13|Tầng 289 trận,40289,11,,,,,,,,,,
290,s==13|Tầng 290 trận,40290,11,1,10,910165,,,,,,,
291,s==13|Tầng 291 trận,40291,11,,,,,,,,,,
292,s==13|Tầng 292 trận,40292,11,,,,,,,,,,
293,s==13|Tầng 293 trận,40293,11,,,,,,,,,,
294,s==13|Tầng 294 trận,40294,11,,,,,,,,,,
295,s==13|Tầng 295 trận,40295,11,1,10,970842,,,,,,,
296,s==13|Tầng 296 trận,40296,11,,,,,,,,,,
297,s==13|Tầng 297 trận,40297,11,,,,,,,,,,
298,s==13|Tầng 298 trận,40298,11,,,,,,,,,,
299,s==13|Tầng 299 trận,40299,11,,,,,,,,,,
300,s==13|Tầng 300 trận,40300,11,2,1003,1,,,,,,,
301,s==13|Tầng 301 trận,40301,11,,,,,,,,,,
302,s==13|Tầng 302 trận,40302,11,,,,,,,,,,
303,s==13|Tầng 303 trận,40303,11,,,,,,,,,,
304,s==13|Tầng 304 trận,40304,11,,,,,,,,,,
305,s==13|Tầng 305 trận,40305,11,1,10,923817,,,,,,,
306,s==13|Tầng 306 trận,40306,11,,,,,,,,,,
307,s==13|Tầng 307 trận,40307,11,,,,,,,,,,
308,s==13|Tầng 308 trận,40308,11,,,,,,,,,,
309,s==13|Tầng 309 trận,40309,11,,,,,,,,,,
310,s==13|Tầng 310 trận,40310,11,1,10,985405,,,,,,,
311,s==13|Tầng 311 trận,40311,11,,,,,,,,,,
312,s==13|Tầng 312 trận,40312,11,,,,,,,,,,
313,s==13|Tầng 313 trận,40313,11,,,,,,,,,,
314,s==13|Tầng 314 trận,40314,11,,,,,,,,,,
315,s==13|Tầng 315 trận,40315,11,2,1003,1,,,,,,,
316,s==13|Tầng 316 trận,40316,11,,,,,,,,,,
317,s==13|Tầng 317 trận,40317,11,,,,,,,,,,
318,s==13|Tầng 318 trận,40318,11,,,,,,,,,,
319,s==13|Tầng 319 trận,40319,11,,,,,,,,,,
320,s==13|Tầng 320 trận,40320,11,1,10,937675,,,,,,,
321,s==13|Tầng 321 trận,40321,11,,,,,,,,,,
322,s==13|Tầng 322 trận,40322,11,,,,,,,,,,
323,s==13|Tầng 323 trận,40323,11,,,,,,,,,,
324,s==13|Tầng 324 trận,40324,11,,,,,,,,,,
325,s==13|Tầng 325 trận,40325,11,1,10,1000186,,,,,,,
326,s==13|Tầng 326 trận,40326,11,,,,,,,,,,
327,s==13|Tầng 327 trận,40327,11,,,,,,,,,,
328,s==13|Tầng 328 trận,40328,11,,,,,,,,,,
329,s==13|Tầng 329 trận,40329,11,,,,,,,,,,
330,s==13|Tầng 330 trận,40330,11,2,1003,1,,,,,,,
331,s==13|Tầng 331 trận,40331,11,,,,,,,,,,
332,s==13|Tầng 332 trận,40332,11,,,,,,,,,,
333,s==13|Tầng 333 trận,40333,11,,,,,,,,,,
334,s==13|Tầng 334 trận,40334,11,,,,,,,,,,
335,s==13|Tầng 335 trận,40335,11,1,10,951740,,,,,,,
336,s==13|Tầng 336 trận,40336,11,,,,,,,,,,
337,s==13|Tầng 337 trận,40337,11,,,,,,,,,,
338,s==13|Tầng 338 trận,40338,11,,,,,,,,,,
339,s==13|Tầng 339 trận,40339,11,,,,,,,,,,
340,s==13|Tầng 340 trận,40340,11,1,10,1015189,,,,,,,
341,s==13|Tầng 341 trận,40341,11,,,,,,,,,,
342,s==13|Tầng 342 trận,40342,11,,,,,,,,,,
343,s==13|Tầng 343 trận,40343,11,,,,,,,,,,
344,s==13|Tầng 344 trận,40344,11,,,,,,,,,,
345,s==13|Tầng 345 trận,40345,11,2,1003,1,,,,,,,
346,s==13|Tầng 346 trận,40346,11,,,,,,,,,,
347,s==13|Tầng 347 trận,40347,11,,,,,,,,,,
348,s==13|Tầng 348 trận,40348,11,,,,,,,,,,
349,s==13|Tầng 349 trận,40349,11,,,,,,,,,,
350,s==13|Tầng 350 trận,40350,11,1,10,966016,,,,,,,
351,s==13|Tầng 351 trận,40351,11,,,,,,,,,,
352,s==13|Tầng 352 trận,40352,11,,,,,,,,,,
353,s==13|Tầng 353 trận,40353,11,,,,,,,,,,
354,s==13|Tầng 354 trận,40354,11,,,,,,,,,,
355,s==13|Tầng 355 trận,40355,11,1,10,1030417,,,,,,,
356,s==13|Tầng 356 trận,40356,11,,,,,,,,,,
357,s==13|Tầng 357 trận,40357,11,,,,,,,,,,
358,s==13|Tầng 358 trận,40358,11,,,,,,,,,,
359,s==13|Tầng 359 trận,40359,11,,,,,,,,,,
360,s==13|Tầng 360 trận,40360,11,2,1003,1,,,,,,,
361,s==13|Tầng 361 trận,40361,11,,,,,,,,,,
362,s==13|Tầng 362 trận,40362,11,,,,,,,,,,
363,s==13|Tầng 363 trận,40363,11,,,,,,,,,,
364,s==13|Tầng 364 trận,40364,11,,,,,,,,,,
365,s==13|Tầng 365 trận,40365,11,1,10,980506,,,,,,,
366,s==13|Tầng 366 trận,40366,11,,,,,,,,,,
367,s==13|Tầng 367 trận,40367,11,,,,,,,,,,
368,s==13|Tầng 368 trận,40368,11,,,,,,,,,,
369,s==13|Tầng 369 trận,40369,11,,,,,,,,,,
370,s==13|Tầng 370 trận,40370,11,1,10,1045873,,,,,,,
371,s==13|Tầng 371 trận,40371,11,,,,,,,,,,
372,s==13|Tầng 372 trận,40372,11,,,,,,,,,,
373,s==13|Tầng 373 trận,40373,11,,,,,,,,,,
374,s==13|Tầng 374 trận,40374,11,,,,,,,,,,
375,s==13|Tầng 375 trận,40375,11,2,1003,1,,,,,,,
376,s==13|Tầng 376 trận,40376,11,,,,,,,,,,
377,s==13|Tầng 377 trận,40377,11,,,,,,,,,,
378,s==13|Tầng 378 trận,40378,11,,,,,,,,,,
379,s==13|Tầng 379 trận,40379,11,,,,,,,,,,
380,s==13|Tầng 380 trận,40380,11,1,10,995214,,,,,,,
381,s==13|Tầng 381 trận,40381,11,,,,,,,,,,
382,s==13|Tầng 382 trận,40382,11,,,,,,,,,,
383,s==13|Tầng 383 trận,40383,11,,,,,,,,,,
384,s==13|Tầng 384 trận,40384,11,,,,,,,,,,
385,s==13|Tầng 385 trận,40385,11,1,10,1061561,,,,,,,
386,s==13|Tầng 386 trận,40386,11,,,,,,,,,,
387,s==13|Tầng 387 trận,40387,11,,,,,,,,,,
388,s==13|Tầng 388 trận,40388,11,,,,,,,,,,
389,s==13|Tầng 389 trận,40389,11,,,,,,,,,,
390,s==13|Tầng 390 trận,40390,11,2,1003,1,,,,,,,
391,s==13|Tầng 391 trận,40391,11,,,,,,,,,,
392,s==13|Tầng 392 trận,40392,11,,,,,,,,,,
393,s==13|Tầng 393 trận,40393,11,,,,,,,,,,
394,s==13|Tầng 394 trận,40394,11,,,,,,,,,,
395,s==13|Tầng 395 trận,40395,11,1,10,1010142,,,,,,,
396,s==13|Tầng 396 trận,40396,11,,,,,,,,,,
397,s==13|Tầng 397 trận,40397,11,,,,,,,,,,
398,s==13|Tầng 398 trận,40398,11,,,,,,,,,,
399,s==13|Tầng 399 trận,40399,11,,,,,,,,,,
400,s==13|Tầng 400 trận,40400,11,1,10,1077485,,,,,,,
401,s==13|Tầng 401 trận,40401,11,,,,,,,,,,
402,s==13|Tầng 402 trận,40402,11,,,,,,,,,,
403,s==13|Tầng 403 trận,40403,11,,,,,,,,,,
404,s==13|Tầng 404 trận,40404,11,,,,,,,,,,
405,s==13|Tầng 405 trận,40405,11,2,1003,1,,,,,,,
406,s==13|Tầng 406 trận,40406,11,,,,,,,,,,
407,s==13|Tầng 407 trận,40407,11,,,,,,,,,,
408,s==13|Tầng 408 trận,40408,11,,,,,,,,,,
409,s==13|Tầng 409 trận,40409,11,,,,,,,,,,
410,s==13|Tầng 410 trận,40410,11,1,10,1025294,,,,,,,
411,s==13|Tầng 411 trận,40411,11,,,,,,,,,,
412,s==13|Tầng 412 trận,40412,11,,,,,,,,,,
413,s==13|Tầng 413 trận,40413,11,,,,,,,,,,
414,s==13|Tầng 414 trận,40414,11,,,,,,,,,,
415,s==13|Tầng 415 trận,40415,11,1,10,1093647,,,,,,,
416,s==13|Tầng 416 trận,40416,11,,,,,,,,,,
417,s==13|Tầng 417 trận,40417,11,,,,,,,,,,
418,s==13|Tầng 418 trận,40418,11,,,,,,,,,,
419,s==13|Tầng 419 trận,40419,11,,,,,,,,,,
420,s==13|Tầng 420 trận,40420,11,2,1003,1,,,,,,,
421,s==13|Tầng 421 trận,40421,11,,,,,,,,,,
422,s==13|Tầng 422 trận,40422,11,,,,,,,,,,
423,s==13|Tầng 423 trận,40423,11,,,,,,,,,,
424,s==13|Tầng 424 trận,40424,11,,,,,,,,,,
425,s==13|Tầng 425 trận,40425,11,1,10,1040673,,,,,,,
426,s==13|Tầng 426 trận,40426,11,,,,,,,,,,
427,s==13|Tầng 427 trận,40427,11,,,,,,,,,,
428,s==13|Tầng 428 trận,40428,11,,,,,,,,,,
