id,item-type-1,item-id-1,item-value-1,item-type-2,item-id-2,item-value-2,item-type-3,item-id-3,item-value-3,item-type-4,item-id-4,item-value-4,item-type-5,item-id-5,item-value-5,item-type-6,item-id-6,item-value-6,
6506,2,1077,150,,,,,,,,,,,,,,,,
6507,2,1006,600,2,1001,700,,,,,,,,,,,,,
6508,1,9,900,2,7006,1,,,,,,,,,,,,,
7501,2,1003,2,,,,,,,,,,,,,,,,
7502,1,9,100,,,,,,,,,,,,,,,,
7503,2,1004,1,,,,,,,,,,,,,,,,
7504,2,1003,1,,,,,,,,,,,,,,,,
7505,2,1007,10,,,,,,,,,,,,,,,,
7506,2,1077,60,,,,,,,,,,,,,,,,
7507,2,1003,2,,,,,,,,,,,,,,,,
7508,2,1006,200,,,,,,,,,,,,,,,,
7509,2,1027,60,,,,,,,,,,,,,,,,
7510,2,1001,200,,,,,,,,,,,,,,,,
7511,2,1086,50,,,,,,,,,,,,,,,,
7512,2,1001,50,2,1077,60,,,,,,,,,,,,,
7513,1,9,300,2,1003,3,,,,,,,,,,,,,
8501,2,1027,100,,,,,,,,,,,,,,,,
8502,2,1075,2,,,,,,,,,,,,,,,,
8503,2,1001,500,,,,,,,,,,,,,,,,
8504,2,1003,5,2,1006,600,,,,,,,,,,,,,
8505,2,1077,150,,,,,,,,,,,,,,,,
8506,2,1006,600,2,1001,700,,,,,,,,,,,,,
8507,1,9,300,2,13700,1,,,,,,,,,,,,,
9501,2,1027,100,,,,,,,,,,,,,,,,
9502,2,1075,2,,,,,,,,,,,,,,,,
9503,2,1001,500,,,,,,,,,,,,,,,,
9504,2,1003,5,,,,,,,,,,,,,,,,
9505,2,1077,150,,,,,,,,,,,,,,,,
9506,2,1006,600,,,,,,,,,,,,,,,,
9507,1,9,300,2,1006,600,,,,,,,,,,,,,
9508,2,1001,700,2,24505,50,,,,,,,,,,,,,
10000,2,1003,1,2,1001,200,2,1006,200,2,1027,10,,,,,,,
10001,2,1004,2,2,1001,500,2,1030,5,2,1079,1,2,1082,5,,,,
10501,2,1003,7,,,,,,,,,,,,,,,,
10502,2,1075,2,,,,,,,,,,,,,,,,
10503,2,1006,800,,,,,,,,,,,,,,,,
10504,2,1004,1,,,,,,,,,,,,,,,,
10505,2,1001,900,,,,,,,,,,,,,,,,
10506,2,1027,120,,,,,,,,,,,,,,,,
10507,2,1004,1,,,,,,,,,,,,,,,,
10508,1,9,1200,2,7007,1,,,,,,,,,,,,,
10509,2,1077,200,,,,,,,,,,,,,,,,
10510,2,1006,800,,,,,,,,,,,,,,,,
11501,1,9,100,,,,,,,,,,,,,,,,
11502,2,1014,1,,,,,,,,,,,,,,,,
11503,2,1001,100,,,,,,,,,,,,,,,,
11504,2,1003,1,,,,,,,,,,,,,,,,
11505,2,1077,50,,,,,,,,,,,,,,,,
11506,2,1006,300,,,,,,,,,,,,,,,,
11507,1,9,200,,,,,,,,,,,,,,,,
11508,2,1006,500,,,,,,,,,,,,,,,,
11509,2,1001,200,,,,,,,,,,,,,,,,
11510,2,1077,80,,,,,,,,,,,,,,,,
11511,1,9,300,,,,,,,,,,,,,,,,
11512,2,1075,2,,,,,,,,,,,,,,,,
11513,2,1003,2,,,,,,,,,,,,,,,,
11514,2,23511,50,,,,,,,,,,,,,,,,
12501,2,1003,3,,,,,,,,,,,,,,,,
12502,2,1075,2,,,,,,,,,,,,,,,,
12503,2,1006,600,,,,,,,,,,,,,,,,
12504,2,1004,1,,,,,,,,,,,,,,,,
12505,2,1001,1200,,,,,,,,,,,,,,,,
12506,2,1027,120,,,,,,,,,,,,,,,,
12507,2,1004,1,,,,,,,,,,,,,,,,
12508,2,1003,5,,,,,,,,,,,,,,,,
12509,2,1006,800,,,,,,,,,,,,,,,,
12510,2,1027,140,,,,,,,,,,,,,,,,
12511,2,1076,1,,,,,,,,,,,,,,,,
12512,2,7008,1,,,,,,,,,,,,,,,,
13501,2,1001,100,,,,,,,,,,,,,,,,
13502,2,1003,1,,,,,,,,,,,,,,,,
13503,2,1006,300,,,,,,,,,,,,,,,,
13504,1,9,100,,,,,,,,,,,,,,,,
13505,2,1007,5,,,,,,,,,,,,,,,,
13506,2,1027,20,,,,,,,,,,,,,,,,
13507,2,1003,2,,,,,,,,,,,,,,,,
13508,2,1001,300,,,,,,,,,,,,,,,,
13509,1,9,200,,,,,,,,,,,,,,,,
13510,2,1004,1,,,,,,,,,,,,,,,,
13511,2,1027,50,,,,,,,,,,,,,,,,
13512,2,1014,1,,,,,,,,,,,,,,,,
13513,2,22508,50,,,,,,,,,,,,,,,,
14501,2,1027,100,,,,,,,,,,,,,,,,
14502,2,1014,1,,,,,,,,,,,,,,,,
14503,2,1001,500,,,,,,,,,,,,,,,,
14504,2,1003,5,,,,,,,,,,,,,,,,
14505,2,1077,150,,,,,,,,,,,,,,,,
14506,2,1006,600,,,,,,,,,,,,,,,,
14507,1,9,300,2,1006,600,,,,,,,,,,,,,
14508,2,1001,700,2,24516,50,,,,,,,,,,,,,
15501,2,1003,5,,,,,,,,,,,,,,,,
15502,2,1077,150,,,,,,,,,,,,,,,,
15503,2,1006,600,,,,,,,,,,,,,,,,
15504,1,9,300,2,1006,600,,,,,,,,,,,,,
15505,2,1001,700,2,25516,50,,,,,,,,,,,,,
16501,2,1014,1,,,,,,,,,,,,,,,,
16502,2,1001,500,,,,,,,,,,,,,,,,
16503,2,1003,5,,,,,,,,,,,,,,,,
16504,2,1077,150,,,,,,,,,,,,,,,,
16505,2,1006,600,,,,,,,,,,,,,,,,
16506,1,9,300,2,1006,600,,,,,,,,,,,,,
16507,2,1001,700,2,3014,50,,,,,,,,,,,,,
17501,2,1003,5,,,,,,,,,,,,,,,,
17502,2,1077,150,,,,,,,,,,,,,,,,
17503,2,1006,600,2,1014,1,,,,,,,,,,,,,
17504,2,1001,500,2,1006,600,,,,,,,,,,,,,
17505,2,1001,700,1,9,300,2,24517,50,,,,,,,,,,
18501,2,1001,500,,,,,,,,,,,,,,,,
18502,2,1003,5,,,,,,,,,,,,,,,,
18503,2,1077,150,,,,,,,,,,,,,,,,
18504,2,1006,600,,,,,,,,,,,,,,,,
18505,1,9,300,2,1006,600,,,,,,,,,,,,,
18506,2,1001,700,2,3014,50,,,,,,,,,,,,,
19501,2,1003,5,,,,,,,,,,,,,,,,
19502,2,1077,150,,,,,,,,,,,,,,,,
19503,2,1006,600,2,1014,1,,,,,,,,,,,,,
19504,2,1001,500,2,1006,600,,,,,,,,,,,,,
19505,2,1001,700,1,9,300,2,25517,50,,,,,,,,,,
20501,2,1003,5,,,,,,,,,,,,,,,,
20502,2,1077,150,,,,,,,,,,,,,,,,
20503,2,1006,600,2,1014,1,,,,,,,,,,,,,
20504,2,1001,500,2,1006,600,,,,,,,,,,,,,
20505,2,1001,700,1,9,300,2,3014,50,,,,,,,,,,
21501,2,1002,2,,,,,,,,,,,,,,,,
21502,2,1019,3,,,,,,,,,,,,,,,,
21503,2,1001,100,,,,,,,,,,,,,,,,
21504,2,1003,1,,,,,,,,,,,,,,,,
21505,1,9,150,,,,,,,,,,,,,,,,
22501,2,1077,100,,,,,,,,,,,,,,,,
22502,2,1001,200,,,,,,,,,,,,,,,,
22503,2,1003,1,,,,,,,,,,,,,,,,
22504,2,3008,10,,,,,,,,,,,,,,,,
22505,1,9,150,,,,,,,,,,,,,,,,
23501,2,1006,100,,,,,,,,,,,,,,,,
23502,2,1006,100,,,,,,,,,,,,,,,,
23503,2,3008,10,,,,,,,,,,,,,,,,
23504,2,1003,1,,,,,,,,,,,,,,,,
23505,2,1077,50,,,,,,,,,,,,,,,,
23506,2,1077,50,,,,,,,,,,,,,,,,
23507,1,9,100,,,,,,,,,,,,,,,,
23508,1,9,100,,,,,,,,,,,,,,,,
24501,2,1001,200,,,,,,,,,,,,,,,,
24502,2,6877,1,,,,,,,,,,,,,,,,
24503,2,6878,1,,,,,,,,,,,,,,,,
24504,2,3008,10,,,,,,,,,,,,,,,,
24505,1,9,100,,,,,,,,,,,,,,,,
24506,1,9,100,,,,,,,,,,,,,,,,
25501,2,1002,5,,,,,,,,,,,,,,,,
25502,2,1019,5,,,,,,,,,,,,,,,,
25503,2,1006,300,,,,,,,,,,,,,,,,
25504,2,3008,10,,,,,,,,,,,,,,,,
25505,1,9,50,,,,,,,,,,,,,,,,
25506,1,9,100,,,,,,,,,,,,,,,,
25507,1,9,100,,,,,,,,,,,,,,,,
26501,2,1077,50,,,,,,,,,,,,,,,,
26502,2,1077,100,,,,,,,,,,,,,,,,
26503,2,1006,300,,,,,,,,,,,,,,,,
26504,2,1014,1,,,,,,,,,,,,,,,,
26505,1,9,250,,,,,,,,,,,,,,,,
26506,2,6878,1,,,,,,,,,,,,,,,,
27501,2,6877,1,,,,,,,,,,,,,,,,
27502,1,9,100,,,,,,,,,,,,,,,,
27503,1,9,200,,,,,,,,,,,,,,,,
27504,2,3008,10,,,,,,,,,,,,,,,,
27505,2,1004,1,,,,,,,,,,,,,,,,
27506,2,6878,1,,,,,,,,,,,,,,,,
29501,2,1003,5,,,,,,,,,,,,,,,,
29502,2,1077,150,,,,,,,,,,,,,,,,
29503,2,1006,600,2,1014,1,,,,,,,,,,,,,
29504,2,1001,500,2,1006,600,,,,,,,,,,,,,
29505,2,1001,700,1,9,300,2,3014,50,,,,,,,,,,
30501,2,1001,100,,,,,,,,,,,,,,,,
30502,2,1003,1,,,,,,,,,,,,,,,,
30503,2,1006,300,,,,,,,,,,,,,,,,
30504,2,1006,300,,,,,,,,,,,,,,,,
30505,2,1007,5,,,,,,,,,,,,,,,,
30506,2,1027,20,,,,,,,,,,,,,,,,
30507,2,1003,2,,,,,,,,,,,,,,,,
30508,2,1001,300,,,,,,,,,,,,,,,,
30509,2,1003,2,,,,,,,,,,,,,,,,
30510,2,1001,700,1,9,300,2,22515,50,,,,,,,,,,
31501,2,1003,6,,,,,,,,,,,,,,,,
31502,2,1077,150,,,,,,,,,,,,,,,,
31503,2,1006,1200,,,,,,,,,,,,,,,,
31504,2,1001,1200,,,,,,,,,,,,,,,,
31505,2,1014,1,,,,,,,,,,,,,,,,
31506,1,9,300,,,,,,,,,,,,,,,,
31507,2,3014,50,,,,,,,,,,,,,,,,
32501,2,1003,6,,,,,,,,,,,,,,,,
32502,2,1077,150,,,,,,,,,,,,,,,,
32503,2,1006,1200,,,,,,,,,,,,,,,,
32504,2,1001,1200,,,,,,,,,,,,,,,,
32505,2,1014,1,,,,,,,,,,,,,,,,
32506,1,9,300,,,,,,,,,,,,,,,,
32507,2,3014,50,,,,,,,,,,,,,,,,
33501,2,1003,6,,,,,,,,,,,,,,,,
33502,2,1077,150,,,,,,,,,,,,,,,,
33503,2,1006,1200,,,,,,,,,,,,,,,,
33504,2,1001,1200,,,,,,,,,,,,,,,,
33505,2,1014,1,,,,,,,,,,,,,,,,
33506,1,9,300,,,,,,,,,,,,,,,,
33507,2,21516,50,,,,,,,,,,,,,,,,
34501,2,1003,6,,,,,,,,,,,,,,,,
34502,2,1077,150,,,,,,,,,,,,,,,,
34503,2,1006,1200,,,,,,,,,,,,,,,,
34504,2,1001,1200,,,,,,,,,,,,,,,,
34505,2,1014,1,,,,,,,,,,,,,,,,
34506,1,9,300,,,,,,,,,,,,,,,,
34507,2,3014,50,,,,,,,,,,,,,,,,
35501,2,1003,6,,,,,,,,,,,,,,,,
35502,2,1077,150,,,,,,,,,,,,,,,,
35503,2,1006,1200,,,,,,,,,,,,,,,,
35504,2,1001,1200,,,,,,,,,,,,,,,,
35505,2,1014,1,,,,,,,,,,,,,,,,
35506,1,9,300,,,,,,,,,,,,,,,,
35507,2,3014,50,,,,,,,,,,,,,,,,
36501,2,1003,6,,,,,,,,,,,,,,,,
36502,2,1077,150,,,,,,,,,,,,,,,,
36503,2,1006,1200,,,,,,,,,,,,,,,,
36504,2,1001,1200,,,,,,,,,,,,,,,,
36505,2,1014,1,,,,,,,,,,,,,,,,
36506,1,9,300,,,,,,,,,,,,,,,,
36507,2,3014,50,,,,,,,,,,,,,,,,
37501,2,1003,6,,,,,,,,,,,,,,,,
37502,2,1077,150,,,,,,,,,,,,,,,,
37503,2,1006,1200,,,,,,,,,,,,,,,,
37504,2,1001,1200,,,,,,,,,,,,,,,,
37505,2,1014,1,,,,,,,,,,,,,,,,
37506,1,9,300,,,,,,,,,,,,,,,,
37507,2,3014,50,,,,,,,,,,,,,,,,
