BuyNum,cost,lattice,petcost,petlattice,
211,550,5,550,5,
212,550,5,550,5,
213,550,5,550,5,
214,550,5,550,5,
215,550,5,550,5,
216,550,5,550,5,
217,550,5,550,5,
218,550,5,550,5,
219,550,5,550,5,
220,550,5,550,5,
221,600,5,600,5,
222,600,5,600,5,
223,600,5,600,5,
224,600,5,600,5,
225,600,5,600,5,
226,600,5,600,5,
227,600,5,600,5,
228,600,5,600,5,
229,600,5,600,5,
230,600,5,600,5,
231,600,5,600,5,
232,600,5,600,5,
233,600,5,600,5,
234,600,5,600,5,
235,600,5,600,5,
236,600,5,600,5,
237,600,5,600,5,
238,600,5,600,5,
239,600,5,600,5,
240,600,5,600,5,
241,650,5,650,5,
242,650,5,650,5,
243,650,5,650,5,
244,650,5,650,5,
245,650,5,650,5,
246,650,5,650,5,
247,650,5,650,5,
248,650,5,650,5,
249,650,5,650,5,
250,650,5,650,5,
251,650,5,650,5,
252,650,5,650,5,
253,650,5,650,5,
254,650,5,650,5,
255,650,5,650,5,
256,650,5,650,5,
257,650,5,650,5,
258,650,5,650,5,
259,650,5,650,5,
260,650,5,650,5,
261,700,5,700,5,
262,700,5,700,5,
263,700,5,700,5,
264,700,5,700,5,
265,700,5,700,5,
266,700,5,700,5,
267,700,5,700,5,
268,700,5,700,5,
269,700,5,700,5,
270,700,5,700,5,
271,700,5,700,5,
272,700,5,700,5,
273,700,5,700,5,
274,700,5,700,5,
275,700,5,700,5,
276,700,5,700,5,
277,700,5,700,5,
278,700,5,700,5,
279,700,5,700,5,
280,700,5,700,5,
281,750,5,750,5,
282,750,5,750,5,
283,750,5,750,5,
284,750,5,750,5,
285,750,5,750,5,
286,750,5,750,5,
287,750,5,750,5,
288,750,5,750,5,
289,750,5,750,5,
290,750,5,750,5,
291,750,5,750,5,
292,750,5,750,5,
293,750,5,750,5,
294,750,5,750,5,
295,750,5,750,5,
296,750,5,750,5,
297,750,5,750,5,
298,750,5,750,5,
299,750,5,750,5,
300,750,5,750,5,
301,800,5,800,5,
302,800,5,800,5,
303,800,5,800,5,
304,800,5,800,5,
305,800,5,800,5,
306,800,5,800,5,
307,800,5,800,5,
308,800,5,800,5,
309,800,5,800,5,
310,800,5,800,5,
311,800,5,800,5,
312,800,5,800,5,
313,800,5,800,5,
314,800,5,800,5,
315,800,5,800,5,
316,800,5,800,5,
317,800,5,800,5,
318,800,5,800,5,
319,800,5,800,5,
320,800,5,800,5,
321,850,5,850,5,
322,850,5,850,5,
323,850,5,850,5,
324,850,5,850,5,
325,850,5,850,5,
326,850,5,850,5,
327,850,5,850,5,
328,850,5,850,5,
329,850,5,850,5,
330,850,5,850,5,
331,850,5,850,5,
332,850,5,850,5,
333,850,5,850,5,
334,850,5,850,5,
335,850,5,850,5,
336,850,5,850,5,
337,850,5,850,5,
338,850,5,850,5,
339,850,5,850,5,
340,850,5,850,5,
341,900,5,900,5,
342,900,5,900,5,
343,900,5,900,5,
344,900,5,900,5,
345,900,5,900,5,
346,900,5,900,5,
347,900,5,900,5,
348,900,5,900,5,
349,900,5,900,5,
350,900,5,900,5,
351,900,5,900,5,
352,900,5,900,5,
353,900,5,900,5,
354,900,5,900,5,
355,900,5,900,5,
356,900,5,900,5,
357,900,5,900,5,
358,900,5,900,5,
359,900,5,900,5,
360,900,5,900,5,
361,950,5,950,5,
362,950,5,950,5,
363,950,5,950,5,
364,950,5,950,5,
365,950,5,950,5,
366,950,5,950,5,
367,950,5,950,5,
368,950,5,950,5,
369,950,5,950,5,
370,950,5,950,5,
371,950,5,950,5,
372,950,5,950,5,
373,950,5,950,5,
374,950,5,950,5,
375,950,5,950,5,
376,950,5,950,5,
377,950,5,950,5,
378,950,5,950,5,
379,950,5,950,5,
380,950,5,950,5,
381,1000,5,1000,5,
382,1000,5,1000,5,
383,1000,5,1000,5,
384,1000,5,1000,5,
385,1000,5,1000,5,
386,1000,5,1000,5,
387,1000,5,1000,5,
388,1000,5,1000,5,
389,1000,5,1000,5,
390,1000,5,1000,5,
391,1000,5,1000,5,
392,1000,5,1000,5,
393,1000,5,1000,5,
394,1000,5,1000,5,
395,1000,5,1000,5,
396,1000,5,1000,5,
397,1000,5,1000,5,
398,1000,5,1000,5,
399,1000,5,1000,5,
400,1000,5,1000,5,
401,1050,5,1050,5,
402,1050,5,1050,5,
403,1050,5,1050,5,
404,1050,5,1050,5,
405,1050,5,1050,5,
406,1050,5,1050,5,
407,1050,5,1050,5,
408,1050,5,1050,5,
409,1050,5,1050,5,
410,1050,5,1050,5,
411,1050,5,1050,5,
412,1050,5,1050,5,
413,1050,5,1050,5,
414,1050,5,1050,5,
415,1050,5,1050,5,
416,1050,5,1050,5,
417,1050,5,1050,5,
418,1050,5,1050,5,
419,1050,5,1050,5,
420,1050,5,1050,5,
421,1100,5,1100,5,
422,1100,5,1100,5,
423,1100,5,1100,5,
424,1100,5,1100,5,
425,1100,5,1100,5,
426,1100,5,1100,5,
427,1100,5,1100,5,
428,1100,5,1100,5,
429,1100,5,1100,5,
430,1100,5,1100,5,
431,1100,5,1100,5,
432,1100,5,1100,5,
433,1100,5,1100,5,
434,1100,5,1100,5,
435,1100,5,1100,5,
436,1100,5,1100,5,
437,1100,5,1100,5,
438,1100,5,1100,5,
439,1100,5,1100,5,
440,1100,5,1100,5,
441,1150,5,1150,5,
442,1150,5,1150,5,
443,1150,5,1150,5,
444,1150,5,1150,5,
445,1150,5,1150,5,
446,1150,5,1150,5,
447,1150,5,1150,5,
448,1150,5,1150,5,
449,1150,5,1150,5,
450,1150,5,1150,5,
451,1150,5,1150,5,
452,1150,5,1150,5,
453,1150,5,1150,5,
454,1150,5,1150,5,
455,1150,5,1150,5,
456,1150,5,1150,5,
457,1150,5,1150,5,
458,1150,5,1150,5,
459,1150,5,1150,5,
460,1150,5,1150,5,
461,1200,5,1200,5,
462,1200,5,1200,5,
463,1200,5,1200,5,
464,1200,5,1200,5,
465,1200,5,1200,5,
466,1200,5,1200,5,
467,1200,5,1200,5,
468,1200,5,1200,5,
469,1200,5,1200,5,
470,1200,5,1200,5,
471,1200,5,1200,5,
472,1200,5,1200,5,
473,1200,5,1200,5,
474,1200,5,1200,5,
475,1200,5,1200,5,
476,1200,5,1200,5,
477,1200,5,1200,5,
478,1200,5,1200,5,
479,1200,5,1200,5,
480,1200,5,1200,5,
481,1250,5,1250,5,
482,1250,5,1250,5,
483,1250,5,1250,5,
484,1250,5,1250,5,
485,1250,5,1250,5,
486,1250,5,1250,5,
487,1250,5,1250,5,
488,1250,5,1250,5,
489,1250,5,1250,5,
490,1250,5,1250,5,
491,1250,5,1250,5,
492,1250,5,1250,5,
493,1250,5,1250,5,
494,1250,5,1250,5,
495,1250,5,1250,5,
496,1250,5,1250,5,
497,1250,5,1250,5,
498,1250,5,1250,5,
499,1250,5,1250,5,
500,1250,5,1250,5,
