id,type,grade,lv,nextId,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,topProperties-type-1,topProperties-way-1,topProperties-value-1,topProperties-type-2,topProperties-way-2,topProperties-value-2,materials-type-1,materials-id-1,materials-value-1,materials-type-2,materials-id-2,materials-value-2,
61,1,5,5,62,2,0,13000,1,0,130000,8,1,500,7,1,250,2,7020,10,,,,
62,1,5,6,63,2,0,13200,1,0,132000,8,1,500,7,1,250,2,7020,10,,,,
63,1,5,7,64,2,0,13400,1,0,134000,8,1,500,7,1,250,2,7020,10,,,,
64,1,5,8,65,2,0,13600,1,0,136000,8,1,500,7,1,250,2,7020,10,,,,
65,1,5,9,66,2,0,13800,1,0,138000,8,1,500,7,1,250,2,7020,10,,,,
66,1,5,10,67,2,0,14000,1,0,140000,8,1,500,7,1,250,2,7020,24,2,7021,48,
67,1,6,0,68,2,0,14400,1,0,144000,8,1,600,7,1,300,2,7020,15,,,,
68,1,6,1,69,2,0,14600,1,0,146000,8,1,600,7,1,300,2,7020,15,,,,
69,1,6,2,70,2,0,14800,1,0,148000,8,1,600,7,1,300,2,7020,15,,,,
70,1,6,3,71,2,0,15000,1,0,150000,8,1,600,7,1,300,2,7020,15,,,,
71,1,6,4,72,2,0,15200,1,0,152000,8,1,600,7,1,300,2,7020,15,,,,
72,1,6,5,73,2,0,15400,1,0,154000,8,1,600,7,1,300,2,7020,15,,,,
73,1,6,6,74,2,0,15600,1,0,156000,8,1,600,7,1,300,2,7020,15,,,,
74,1,6,7,75,2,0,15800,1,0,158000,8,1,600,7,1,300,2,7020,15,,,,
75,1,6,8,76,2,0,16000,1,0,160000,8,1,600,7,1,300,2,7020,15,,,,
76,1,6,9,77,2,0,16200,1,0,162000,8,1,600,7,1,300,2,7020,15,,,,
77,1,6,10,78,2,0,16400,1,0,164000,8,1,600,7,1,300,2,7020,30,2,7021,60,
78,1,7,0,79,2,0,16800,1,0,168000,8,1,700,7,1,350,2,7020,20,,,,
79,1,7,1,80,2,0,17000,1,0,170000,8,1,700,7,1,350,2,7020,20,,,,
80,1,7,2,81,2,0,17200,1,0,172000,8,1,700,7,1,350,2,7020,20,,,,
81,1,7,3,82,2,0,17400,1,0,174000,8,1,700,7,1,350,2,7020,20,,,,
82,1,7,4,83,2,0,17600,1,0,176000,8,1,700,7,1,350,2,7020,20,,,,
83,1,7,5,84,2,0,17800,1,0,178000,8,1,700,7,1,350,2,7020,20,,,,
84,1,7,6,85,2,0,18000,1,0,180000,8,1,700,7,1,350,2,7020,20,,,,
85,1,7,7,86,2,0,18200,1,0,182000,8,1,700,7,1,350,2,7020,20,,,,
86,1,7,8,87,2,0,18400,1,0,184000,8,1,700,7,1,350,2,7020,20,,,,
87,1,7,9,88,2,0,18600,1,0,186000,8,1,700,7,1,350,2,7020,20,,,,
88,1,7,10,89,2,0,18800,1,0,188000,8,1,700,7,1,350,2,7020,40,2,7021,80,
89,1,8,0,90,2,0,19200,1,0,192000,8,1,800,7,1,400,2,7020,25,,,,
90,1,8,1,91,2,0,19400,1,0,194000,8,1,800,7,1,400,2,7020,25,,,,
91,1,8,2,92,2,0,19600,1,0,196000,8,1,800,7,1,400,2,7020,25,,,,
92,1,8,3,93,2,0,19800,1,0,198000,8,1,800,7,1,400,2,7020,25,,,,
93,1,8,4,94,2,0,20000,1,0,200000,8,1,800,7,1,400,2,7020,25,,,,
94,1,8,5,95,2,0,20200,1,0,202000,8,1,800,7,1,400,2,7020,25,,,,
95,1,8,6,96,2,0,20400,1,0,204000,8,1,800,7,1,400,2,7020,25,,,,
96,1,8,7,97,2,0,20600,1,0,206000,8,1,800,7,1,400,2,7020,25,,,,
97,1,8,8,98,2,0,20800,1,0,208000,8,1,800,7,1,400,2,7020,25,,,,
98,1,8,9,99,2,0,21000,1,0,210000,8,1,800,7,1,400,2,7020,25,,,,
99,1,8,10,100,2,0,21200,1,0,212000,8,1,800,7,1,400,2,7020,50,2,7021,100,
100,1,9,0,101,2,0,21600,1,0,216000,8,1,900,7,1,450,2,7020,30,,,,
101,1,9,1,102,2,0,21800,1,0,218000,8,1,900,7,1,450,2,7020,30,,,,
102,1,9,2,103,2,0,22000,1,0,220000,8,1,900,7,1,450,2,7020,30,,,,
103,1,9,3,104,2,0,22200,1,0,222000,8,1,900,7,1,450,2,7020,30,,,,
104,1,9,4,105,2,0,22400,1,0,224000,8,1,900,7,1,450,2,7020,30,,,,
105,1,9,5,106,2,0,22600,1,0,226000,8,1,900,7,1,450,2,7020,30,,,,
106,1,9,6,107,2,0,22800,1,0,228000,8,1,900,7,1,450,2,7020,30,,,,
107,1,9,7,108,2,0,23000,1,0,230000,8,1,900,7,1,450,2,7020,30,,,,
108,1,9,8,109,2,0,23200,1,0,232000,8,1,900,7,1,450,2,7020,30,,,,
109,1,9,9,110,2,0,23400,1,0,234000,8,1,900,7,1,450,2,7020,30,,,,
110,1,9,10,111,2,0,23600,1,0,236000,8,1,900,7,1,450,2,7020,60,2,7021,120,
111,1,10,0,,2,0,24000,1,0,240000,8,1,1000,7,1,500,,,,,,,
112,2,0,0,113,2,0,0,1,0,0,6,1,0,5,1,0,2,7020,2,,,,
113,2,0,1,114,2,0,200,1,0,2000,6,1,0,5,1,0,2,7020,2,,,,
114,2,0,2,115,2,0,400,1,0,4000,6,1,0,5,1,0,2,7020,2,,,,
115,2,0,3,116,2,0,600,1,0,6000,6,1,0,5,1,0,2,7020,2,,,,
116,2,0,4,117,2,0,800,1,0,8000,6,1,0,5,1,0,2,7020,2,,,,
117,2,0,5,118,2,0,1000,1,0,10000,6,1,0,5,1,0,2,7020,2,,,,
118,2,0,6,119,2,0,1200,1,0,12000,6,1,0,5,1,0,2,7020,2,,,,
119,2,0,7,120,2,0,1400,1,0,14000,6,1,0,5,1,0,2,7020,2,,,,
120,2,0,8,121,2,0,1600,1,0,16000,6,1,0,5,1,0,2,7020,2,,,,
121,2,0,9,122,2,0,1800,1,0,18000,6,1,0,5,1,0,2,7020,2,,,,
122,2,0,10,123,2,0,2000,1,0,20000,6,1,0,5,1,0,2,7020,4,2,7021,8,
123,2,1,0,124,2,0,2400,1,0,24000,6,1,100,5,1,50,2,7020,3,,,,
124,2,1,1,125,2,0,2600,1,0,26000,6,1,100,5,1,50,2,7020,3,,,,
125,2,1,2,126,2,0,2800,1,0,28000,6,1,100,5,1,50,2,7020,3,,,,
126,2,1,3,127,2,0,3000,1,0,30000,6,1,100,5,1,50,2,7020,3,,,,
127,2,1,4,128,2,0,3200,1,0,32000,6,1,100,5,1,50,2,7020,3,,,,
128,2,1,5,129,2,0,3400,1,0,34000,6,1,100,5,1,50,2,7020,3,,,,
129,2,1,6,130,2,0,3600,1,0,36000,6,1,100,5,1,50,2,7020,3,,,,
130,2,1,7,131,2,0,3800,1,0,38000,6,1,100,5,1,50,2,7020,3,,,,
131,2,1,8,132,2,0,4000,1,0,40000,6,1,100,5,1,50,2,7020,3,,,,
132,2,1,9,133,2,0,4200,1,0,42000,6,1,100,5,1,50,2,7020,3,,,,
133,2,1,10,134,2,0,4400,1,0,44000,6,1,100,5,1,50,2,7020,6,2,7021,12,
134,2,2,0,135,2,0,4800,1,0,48000,6,1,200,5,1,100,2,7020,4,,,,
135,2,2,1,136,2,0,5000,1,0,50000,6,1,200,5,1,100,2,7020,4,,,,
136,2,2,2,137,2,0,5200,1,0,52000,6,1,200,5,1,100,2,7020,4,,,,
137,2,2,3,138,2,0,5400,1,0,54000,6,1,200,5,1,100,2,7020,4,,,,
138,2,2,4,139,2,0,5600,1,0,56000,6,1,200,5,1,100,2,7020,4,,,,
139,2,2,5,140,2,0,5800,1,0,58000,6,1,200,5,1,100,2,7020,4,,,,
140,2,2,6,141,2,0,6000,1,0,60000,6,1,200,5,1,100,2,7020,4,,,,
141,2,2,7,142,2,0,6200,1,0,62000,6,1,200,5,1,100,2,7020,4,,,,
142,2,2,8,143,2,0,6400,1,0,64000,6,1,200,5,1,100,2,7020,4,,,,
143,2,2,9,144,2,0,6600,1,0,66000,6,1,200,5,1,100,2,7020,4,,,,
144,2,2,10,145,2,0,6800,1,0,68000,6,1,200,5,1,100,2,7020,8,2,7021,16,
145,2,3,0,146,2,0,7200,1,0,72000,6,1,300,5,1,150,2,7020,6,,,,
146,2,3,1,147,2,0,7400,1,0,74000,6,1,300,5,1,150,2,7020,6,,,,
147,2,3,2,148,2,0,7600,1,0,76000,6,1,300,5,1,150,2,7020,6,,,,
148,2,3,3,149,2,0,7800,1,0,78000,6,1,300,5,1,150,2,7020,6,,,,
149,2,3,4,150,2,0,8000,1,0,80000,6,1,300,5,1,150,2,7020,6,,,,
150,2,3,5,151,2,0,8200,1,0,82000,6,1,300,5,1,150,2,7020,6,,,,
151,2,3,6,152,2,0,8400,1,0,84000,6,1,300,5,1,150,2,7020,6,,,,
152,2,3,7,153,2,0,8600,1,0,86000,6,1,300,5,1,150,2,7020,6,,,,
153,2,3,8,154,2,0,8800,1,0,88000,6,1,300,5,1,150,2,7020,6,,,,
154,2,3,9,155,2,0,9000,1,0,90000,6,1,300,5,1,150,2,7020,6,,,,
155,2,3,10,156,2,0,9200,1,0,92000,6,1,300,5,1,150,2,7020,12,2,7021,24,
156,2,4,0,157,2,0,9600,1,0,96000,6,1,400,5,1,200,2,7020,8,,,,
157,2,4,1,158,2,0,9800,1,0,98000,6,1,400,5,1,200,2,7020,8,,,,
158,2,4,2,159,2,0,10000,1,0,100000,6,1,400,5,1,200,2,7020,8,,,,
159,2,4,3,160,2,0,10200,1,0,102000,6,1,400,5,1,200,2,7020,8,,,,
160,2,4,4,161,2,0,10400,1,0,104000,6,1,400,5,1,200,2,7020,8,,,,
161,2,4,5,162,2,0,10600,1,0,106000,6,1,400,5,1,200,2,7020,8,,,,
162,2,4,6,163,2,0,10800,1,0,108000,6,1,400,5,1,200,2,7020,8,,,,
163,2,4,7,164,2,0,11000,1,0,110000,6,1,400,5,1,200,2,7020,8,,,,
164,2,4,8,165,2,0,11200,1,0,112000,6,1,400,5,1,200,2,7020,8,,,,
165,2,4,9,166,2,0,11400,1,0,114000,6,1,400,5,1,200,2,7020,8,,,,
166,2,4,10,167,2,0,11600,1,0,116000,6,1,400,5,1,200,2,7020,18,2,7021,36,
167,2,5,0,168,2,0,12000,1,0,120000,6,1,500,5,1,250,2,7020,10,,,,
168,2,5,1,169,2,0,12200,1,0,122000,6,1,500,5,1,250,2,7020,10,,,,
169,2,5,2,170,2,0,12400,1,0,124000,6,1,500,5,1,250,2,7020,10,,,,
170,2,5,3,171,2,0,12600,1,0,126000,6,1,500,5,1,250,2,7020,10,,,,
171,2,5,4,172,2,0,12800,1,0,128000,6,1,500,5,1,250,2,7020,10,,,,
172,2,5,5,173,2,0,13000,1,0,130000,6,1,500,5,1,250,2,7020,10,,,,
173,2,5,6,174,2,0,13200,1,0,132000,6,1,500,5,1,250,2,7020,10,,,,
174,2,5,7,175,2,0,13400,1,0,134000,6,1,500,5,1,250,2,7020,10,,,,
175,2,5,8,176,2,0,13600,1,0,136000,6,1,500,5,1,250,2,7020,10,,,,
176,2,5,9,177,2,0,13800,1,0,138000,6,1,500,5,1,250,2,7020,10,,,,
177,2,5,10,178,2,0,14000,1,0,140000,6,1,500,5,1,250,2,7020,24,2,7021,48,
178,2,6,0,179,2,0,14400,1,0,144000,6,1,600,5,1,300,2,7020,15,,,,
179,2,6,1,180,2,0,14600,1,0,146000,6,1,600,5,1,300,2,7020,15,,,,
180,2,6,2,181,2,0,14800,1,0,148000,6,1,600,5,1,300,2,7020,15,,,,
181,2,6,3,182,2,0,15000,1,0,150000,6,1,600,5,1,300,2,7020,15,,,,
182,2,6,4,183,2,0,15200,1,0,152000,6,1,600,5,1,300,2,7020,15,,,,
183,2,6,5,184,2,0,15400,1,0,154000,6,1,600,5,1,300,2,7020,15,,,,
184,2,6,6,185,2,0,15600,1,0,156000,6,1,600,5,1,300,2,7020,15,,,,
185,2,6,7,186,2,0,15800,1,0,158000,6,1,600,5,1,300,2,7020,15,,,,
186,2,6,8,187,2,0,16000,1,0,160000,6,1,600,5,1,300,2,7020,15,,,,
187,2,6,9,188,2,0,16200,1,0,162000,6,1,600,5,1,300,2,7020,15,,,,
188,2,6,10,189,2,0,16400,1,0,164000,6,1,600,5,1,300,2,7020,30,2,7021,60,
189,2,7,0,190,2,0,16800,1,0,168000,6,1,700,5,1,350,2,7020,20,,,,
190,2,7,1,191,2,0,17000,1,0,170000,6,1,700,5,1,350,2,7020,20,,,,
191,2,7,2,192,2,0,17200,1,0,172000,6,1,700,5,1,350,2,7020,20,,,,
192,2,7,3,193,2,0,17400,1,0,174000,6,1,700,5,1,350,2,7020,20,,,,
193,2,7,4,194,2,0,17600,1,0,176000,6,1,700,5,1,350,2,7020,20,,,,
194,2,7,5,195,2,0,17800,1,0,178000,6,1,700,5,1,350,2,7020,20,,,,
195,2,7,6,196,2,0,18000,1,0,180000,6,1,700,5,1,350,2,7020,20,,,,
196,2,7,7,197,2,0,18200,1,0,182000,6,1,700,5,1,350,2,7020,20,,,,
197,2,7,8,198,2,0,18400,1,0,184000,6,1,700,5,1,350,2,7020,20,,,,
198,2,7,9,199,2,0,18600,1,0,186000,6,1,700,5,1,350,2,7020,20,,,,
199,2,7,10,200,2,0,18800,1,0,188000,6,1,700,5,1,350,2,7020,40,2,7021,80,
200,2,8,0,201,2,0,19200,1,0,192000,6,1,800,5,1,400,2,7020,25,,,,
201,2,8,1,202,2,0,19400,1,0,194000,6,1,800,5,1,400,2,7020,25,,,,
202,2,8,2,203,2,0,19600,1,0,196000,6,1,800,5,1,400,2,7020,25,,,,
203,2,8,3,204,2,0,19800,1,0,198000,6,1,800,5,1,400,2,7020,25,,,,
204,2,8,4,205,2,0,20000,1,0,200000,6,1,800,5,1,400,2,7020,25,,,,
205,2,8,5,206,2,0,20200,1,0,202000,6,1,800,5,1,400,2,7020,25,,,,
206,2,8,6,207,2,0,20400,1,0,204000,6,1,800,5,1,400,2,7020,25,,,,
207,2,8,7,208,2,0,20600,1,0,206000,6,1,800,5,1,400,2,7020,25,,,,
208,2,8,8,209,2,0,20800,1,0,208000,6,1,800,5,1,400,2,7020,25,,,,
209,2,8,9,210,2,0,21000,1,0,210000,6,1,800,5,1,400,2,7020,25,,,,
210,2,8,10,211,2,0,21200,1,0,212000,6,1,800,5,1,400,2,7020,50,2,7021,100,
211,2,9,0,212,2,0,21600,1,0,216000,6,1,900,5,1,450,2,7020,30,,,,
212,2,9,1,213,2,0,21800,1,0,218000,6,1,900,5,1,450,2,7020,30,,,,
213,2,9,2,214,2,0,22000,1,0,220000,6,1,900,5,1,450,2,7020,30,,,,
214,2,9,3,215,2,0,22200,1,0,222000,6,1,900,5,1,450,2,7020,30,,,,
215,2,9,4,216,2,0,22400,1,0,224000,6,1,900,5,1,450,2,7020,30,,,,
216,2,9,5,217,2,0,22600,1,0,226000,6,1,900,5,1,450,2,7020,30,,,,
217,2,9,6,218,2,0,22800,1,0,228000,6,1,900,5,1,450,2,7020,30,,,,
218,2,9,7,219,2,0,23000,1,0,230000,6,1,900,5,1,450,2,7020,30,,,,
219,2,9,8,220,2,0,23200,1,0,232000,6,1,900,5,1,450,2,7020,30,,,,
220,2,9,9,221,2,0,23400,1,0,234000,6,1,900,5,1,450,2,7020,30,,,,
221,2,9,10,222,2,0,23600,1,0,236000,6,1,900,5,1,450,2,7020,60,2,7021,120,
222,2,10,0,,2,0,24000,1,0,240000,6,1,1000,5,1,500,,,,,,,
223,3,0,0,224,2,0,0,1,0,0,14,1,0,5,1,0,2,7020,2,,,,
224,3,0,1,225,2,0,200,1,0,2000,14,1,0,5,1,0,2,7020,2,,,,
225,3,0,2,226,2,0,400,1,0,4000,14,1,0,5,1,0,2,7020,2,,,,
226,3,0,3,227,2,0,600,1,0,6000,14,1,0,5,1,0,2,7020,2,,,,
227,3,0,4,228,2,0,800,1,0,8000,14,1,0,5,1,0,2,7020,2,,,,
228,3,0,5,229,2,0,1000,1,0,10000,14,1,0,5,1,0,2,7020,2,,,,
229,3,0,6,230,2,0,1200,1,0,12000,14,1,0,5,1,0,2,7020,2,,,,
230,3,0,7,231,2,0,1400,1,0,14000,14,1,0,5,1,0,2,7020,2,,,,
231,3,0,8,232,2,0,1600,1,0,16000,14,1,0,5,1,0,2,7020,2,,,,
232,3,0,9,233,2,0,1800,1,0,18000,14,1,0,5,1,0,2,7020,2,,,,
233,3,0,10,234,2,0,2000,1,0,20000,14,1,0,5,1,0,2,7020,4,2,7021,8,
234,3,1,0,235,2,0,2400,1,0,24000,14,1,50,5,1,50,2,7020,3,,,,
235,3,1,1,236,2,0,2600,1,0,26000,14,1,50,5,1,50,2,7020,3,,,,
236,3,1,2,237,2,0,2800,1,0,28000,14,1,50,5,1,50,2,7020,3,,,,
237,3,1,3,238,2,0,3000,1,0,30000,14,1,50,5,1,50,2,7020,3,,,,
238,3,1,4,239,2,0,3200,1,0,32000,14,1,50,5,1,50,2,7020,3,,,,
239,3,1,5,240,2,0,3400,1,0,34000,14,1,50,5,1,50,2,7020,3,,,,
240,3,1,6,241,2,0,3600,1,0,36000,14,1,50,5,1,50,2,7020,3,,,,
241,3,1,7,242,2,0,3800,1,0,38000,14,1,50,5,1,50,2,7020,3,,,,
242,3,1,8,243,2,0,4000,1,0,40000,14,1,50,5,1,50,2,7020,3,,,,
243,3,1,9,244,2,0,4200,1,0,42000,14,1,50,5,1,50,2,7020,3,,,,
244,3,1,10,245,2,0,4400,1,0,44000,14,1,50,5,1,50,2,7020,6,2,7021,12,
245,3,2,0,246,2,0,4800,1,0,48000,14,1,100,5,1,100,2,7020,4,,,,
246,3,2,1,247,2,0,5000,1,0,50000,14,1,100,5,1,100,2,7020,4,,,,
247,3,2,2,248,2,0,5200,1,0,52000,14,1,100,5,1,100,2,7020,4,,,,
248,3,2,3,249,2,0,5400,1,0,54000,14,1,100,5,1,100,2,7020,4,,,,
249,3,2,4,250,2,0,5600,1,0,56000,14,1,100,5,1,100,2,7020,4,,,,
250,3,2,5,251,2,0,5800,1,0,58000,14,1,100,5,1,100,2,7020,4,,,,
251,3,2,6,252,2,0,6000,1,0,60000,14,1,100,5,1,100,2,7020,4,,,,
252,3,2,7,253,2,0,6200,1,0,62000,14,1,100,5,1,100,2,7020,4,,,,
253,3,2,8,254,2,0,6400,1,0,64000,14,1,100,5,1,100,2,7020,4,,,,
254,3,2,9,255,2,0,6600,1,0,66000,14,1,100,5,1,100,2,7020,4,,,,
255,3,2,10,256,2,0,6800,1,0,68000,14,1,100,5,1,100,2,7020,8,2,7021,16,
256,3,3,0,257,2,0,7200,1,0,72000,14,1,150,5,1,150,2,7020,6,,,,
257,3,3,1,258,2,0,7400,1,0,74000,14,1,150,5,1,150,2,7020,6,,,,
258,3,3,2,259,2,0,7600,1,0,76000,14,1,150,5,1,150,2,7020,6,,,,
259,3,3,3,260,2,0,7800,1,0,78000,14,1,150,5,1,150,2,7020,6,,,,
260,3,3,4,261,2,0,8000,1,0,80000,14,1,150,5,1,150,2,7020,6,,,,
261,3,3,5,262,2,0,8200,1,0,82000,14,1,150,5,1,150,2,7020,6,,,,
262,3,3,6,263,2,0,8400,1,0,84000,14,1,150,5,1,150,2,7020,6,,,,
263,3,3,7,264,2,0,8600,1,0,86000,14,1,150,5,1,150,2,7020,6,,,,
264,3,3,8,265,2,0,8800,1,0,88000,14,1,150,5,1,150,2,7020,6,,,,
265,3,3,9,266,2,0,9000,1,0,90000,14,1,150,5,1,150,2,7020,6,,,,
266,3,3,10,267,2,0,9200,1,0,92000,14,1,150,5,1,150,2,7020,12,2,7021,24,
267,3,4,0,268,2,0,9600,1,0,96000,14,1,200,5,1,200,2,7020,8,,,,
268,3,4,1,269,2,0,9800,1,0,98000,14,1,200,5,1,200,2,7020,8,,,,
269,3,4,2,270,2,0,10000,1,0,100000,14,1,200,5,1,200,2,7020,8,,,,
270,3,4,3,271,2,0,10200,1,0,102000,14,1,200,5,1,200,2,7020,8,,,,
271,3,4,4,272,2,0,10400,1,0,104000,14,1,200,5,1,200,2,7020,8,,,,
272,3,4,5,273,2,0,10600,1,0,106000,14,1,200,5,1,200,2,7020,8,,,,
273,3,4,6,274,2,0,10800,1,0,108000,14,1,200,5,1,200,2,7020,8,,,,
274,3,4,7,275,2,0,11000,1,0,110000,14,1,200,5,1,200,2,7020,8,,,,
275,3,4,8,276,2,0,11200,1,0,112000,14,1,200,5,1,200,2,7020,8,,,,
276,3,4,9,277,2,0,11400,1,0,114000,14,1,200,5,1,200,2,7020,8,,,,
277,3,4,10,278,2,0,11600,1,0,116000,14,1,200,5,1,200,2,7020,18,2,7021,36,
278,3,5,0,279,2,0,12000,1,0,120000,14,1,250,5,1,250,2,7020,10,,,,
279,3,5,1,280,2,0,12200,1,0,122000,14,1,250,5,1,250,2,7020,10,,,,
280,3,5,2,281,2,0,12400,1,0,124000,14,1,250,5,1,250,2,7020,10,,,,
281,3,5,3,282,2,0,12600,1,0,126000,14,1,250,5,1,250,2,7020,10,,,,
282,3,5,4,283,2,0,12800,1,0,128000,14,1,250,5,1,250,2,7020,10,,,,
283,3,5,5,284,2,0,13000,1,0,130000,14,1,250,5,1,250,2,7020,10,,,,
284,3,5,6,285,2,0,13200,1,0,132000,14,1,250,5,1,250,2,7020,10,,,,
285,3,5,7,286,2,0,13400,1,0,134000,14,1,250,5,1,250,2,7020,10,,,,
286,3,5,8,287,2,0,13600,1,0,136000,14,1,250,5,1,250,2,7020,10,,,,
287,3,5,9,288,2,0,13800,1,0,138000,14,1,250,5,1,250,2,7020,10,,,,
288,3,5,10,289,2,0,14000,1,0,140000,14,1,250,5,1,250,2,7020,24,2,7021,48,
289,3,6,0,290,2,0,14400,1,0,144000,14,1,300,5,1,300,2,7020,15,,,,
