id,rewardtype,rank,rankreward-type-1,rankreward-id-1,rankreward-num-1,rankreward-type-2,rankreward-id-2,rankreward-num-2,rankreward-type-3,rankreward-id-3,rankreward-num-3,rankreward-type-4,rankreward-id-4,rankreward-num-4,rankreward-type-5,rankreward-id-5,rankreward-num-5,title,desc,
16,3,3,1,28,7000,2,1049,230,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
17,3,4|5,1,28,5000,2,1049,190,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
18,3,6|10,1,28,4000,2,1049,150,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
19,3,11|20,1,28,3000,2,1049,120,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
20,3,21|50,1,28,2500,2,1049,90,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
21,3,51|100,1,28,2000,2,1049,70,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
22,3,101|99999,1,28,1700,2,1049,50,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
23,4,1,1,28,15000,2,1006,5500,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
24,4,2,1,28,10000,2,1006,4600,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
25,4,3,1,28,7000,2,1006,3900,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
26,4,4|5,1,28,5000,2,1006,3300,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
27,4,6|10,1,28,4000,2,1006,2700,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
28,4,11|20,1,28,3000,2,1006,2200,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
29,4,21|50,1,28,2500,2,1006,1700,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
30,4,51|100,1,28,2000,2,1006,1300,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
31,4,101|99999,1,28,1700,2,1006,1000,,,,,,,,,,s==48|Phần Thưởng Bảng Tổn Thương Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng sát thương quốc gia，cầu ngài tiếp tục cố gắng!,
