level,101-type-1,101-id-1,101-value-1,101-type-2,101-id-2,101-value-2,201-type-1,201-id-1,201-value-1,201-type-2,201-id-2,201-value-2,301-type-1,301-id-1,301-value-1,301-type-2,301-id-2,301-value-2,401-type-1,401-id-1,401-value-1,401-type-2,401-id-2,401-value-2,501-type-1,501-id-1,501-value-1,501-type-2,501-id-2,501-value-2,601-type-1,601-id-1,601-value-1,601-type-2,601-id-2,601-value-2,
69,2,1078,138,,,,1,8,461000,,,,2,1078,367,,,,1,8,2528400,,,,2,1078,599,,,,2,1078,645,1,8,3225000,
70,2,1078,140,,,,1,8,470000,,,,2,1078,372,,,,1,8,2548000,,,,2,1078,604,,,,2,1078,650,1,8,3250000,
71,2,1078,141,,,,1,8,479000,,,,2,1078,376,,,,1,8,2567600,,,,2,1078,608,,,,2,1078,655,1,8,3275000,
72,2,1078,143,,,,1,8,488000,,,,2,1078,381,,,,1,8,2587200,,,,2,1078,613,,,,2,1078,660,1,8,3300000,
73,2,1078,145,,,,1,8,497000,,,,2,1078,386,,,,1,8,2606800,,,,2,1078,618,,,,2,1078,665,1,8,3325000,
74,2,1078,147,,,,1,8,506000,,,,2,1078,390,,,,1,8,2626400,,,,2,1078,622,,,,2,1078,670,1,8,3350000,
75,2,1078,148,,,,1,8,515000,,,,2,1078,395,,,,1,8,2646000,,,,2,1078,627,,,,2,1078,675,1,8,3375000,
76,2,1078,150,,,,1,8,524000,,,,2,1078,400,,,,1,8,2665600,,,,2,1078,632,,,,2,1078,680,1,8,3400000,
77,2,1078,152,,,,1,8,533000,,,,2,1078,404,,,,1,8,2685200,,,,2,1078,636,,,,2,1078,685,1,8,3425000,
78,2,1078,154,,,,1,8,542000,,,,2,1078,409,,,,1,8,2704800,,,,2,1078,641,,,,2,1078,690,1,8,3450000,
79,2,1078,155,,,,1,8,551000,,,,2,1078,413,,,,1,8,2724400,,,,2,1078,645,,,,2,1078,695,1,8,3475000,
80,2,1078,157,,,,1,8,560000,,,,2,1078,418,,,,1,8,2744000,,,,2,1078,650,,,,2,1078,700,1,8,3500000,
81,2,1078,159,,,,1,8,569000,,,,2,1078,423,,,,1,8,2763600,,,,2,1078,655,,,,2,1078,705,1,8,3525000,
82,2,1078,161,,,,1,8,578000,,,,2,1078,427,,,,1,8,2783200,,,,2,1078,659,,,,2,1078,710,1,8,3550000,
83,2,1078,162,,,,1,8,587000,,,,2,1078,432,,,,1,8,2802800,,,,2,1078,664,,,,2,1078,715,1,8,3575000,
84,2,1078,164,,,,1,8,596000,,,,2,1078,437,,,,1,8,2822400,,,,2,1078,669,,,,2,1078,720,1,8,3600000,
85,2,1078,166,,,,1,8,605000,,,,2,1078,441,,,,1,8,2842000,,,,2,1078,673,,,,2,1078,725,1,8,3625000,
86,2,1078,168,,,,1,8,614000,,,,2,1078,446,,,,1,8,2861600,,,,2,1078,678,,,,2,1078,730,1,8,3650000,
87,2,1078,169,,,,1,8,623000,,,,2,1078,451,,,,1,8,2881200,,,,2,1078,683,,,,2,1078,735,1,8,3675000,
88,2,1078,171,,,,1,8,632000,,,,2,1078,455,,,,1,8,2900800,,,,2,1078,687,,,,2,1078,740,1,8,3700000,
89,2,1078,173,,,,1,8,641000,,,,2,1078,460,,,,1,8,2920400,,,,2,1078,692,,,,2,1078,745,1,8,3725000,
90,2,1078,174,,,,1,8,650000,,,,2,1078,464,,,,1,8,2940000,,,,2,1078,696,,,,2,1078,750,1,8,3750000,
91,2,1078,176,,,,1,8,659000,,,,2,1078,469,,,,1,8,2959600,,,,2,1078,701,,,,2,1078,755,1,8,3775000,
92,2,1078,178,,,,1,8,668000,,,,2,1078,474,,,,1,8,2979200,,,,2,1078,706,,,,2,1078,760,1,8,3800000,
93,2,1078,180,,,,1,8,677000,,,,2,1078,478,,,,1,8,2998800,,,,2,1078,710,,,,2,1078,765,1,8,3825000,
94,2,1078,181,,,,1,8,686000,,,,2,1078,483,,,,1,8,3018400,,,,2,1078,715,,,,2,1078,770,1,8,3850000,
95,2,1078,183,,,,1,8,695000,,,,2,1078,488,,,,1,8,3038000,,,,2,1078,720,,,,2,1078,775,1,8,3875000,
96,2,1078,183,,,,1,8,704000,,,,2,1078,488,,,,1,8,3057600,,,,2,1078,720,,,,2,1078,775,1,8,3900000,
97,2,1078,183,,,,1,8,713000,,,,2,1078,489,,,,1,8,3077200,,,,2,1078,721,,,,2,1078,775,1,8,3925000,
98,2,1078,183,,,,1,8,722000,,,,2,1078,490,,,,1,8,3096800,,,,2,1078,722,,,,2,1078,776,1,8,3950000,
99,2,1078,184,,,,1,8,731000,,,,2,1078,491,,,,1,8,3116400,,,,2,1078,723,,,,2,1078,776,1,8,3975000,
100,2,1078,184,,,,1,8,740000,,,,2,1078,492,,,,1,8,3136000,,,,2,1078,724,,,,2,1078,776,1,8,4000000,
101,2,1078,184,,,,1,8,749000,,,,2,1078,492,,,,1,8,3155600,,,,2,1078,724,,,,2,1078,777,1,8,4025000,
102,2,1078,185,,,,1,8,758000,,,,2,1078,493,,,,1,8,3175200,,,,2,1078,725,,,,2,1078,777,1,8,4050000,
103,2,1078,185,,,,1,8,767000,,,,2,1078,494,,,,1,8,3194800,,,,2,1078,726,,,,2,1078,777,1,8,4075000,
104,2,1078,185,,,,1,8,776000,,,,2,1078,495,,,,1,8,3214400,,,,2,1078,727,,,,2,1078,778,1,8,4100000,
105,2,1078,186,,,,1,8,785000,,,,2,1078,496,,,,1,8,3234000,,,,2,1078,728,,,,2,1078,778,1,8,4125000,
106,2,1078,186,,,,1,8,794000,,,,2,1078,496,,,,1,8,3253600,,,,2,1078,729,,,,2,1078,778,1,8,4150000,
107,2,1078,186,,,,1,8,803000,,,,2,1078,497,,,,1,8,3273200,,,,2,1078,729,,,,2,1078,779,1,8,4175000,
108,2,1078,187,,,,1,8,812000,,,,2,1078,498,,,,1,8,3292800,,,,2,1078,730,,,,2,1078,779,1,8,4200000,
109,2,1078,187,,,,1,8,821000,,,,2,1078,499,,,,1,8,3312400,,,,2,1078,731,,,,2,1078,779,1,8,4225000,
110,2,1078,187,,,,1,8,830000,,,,2,1078,500,,,,1,8,3332000,,,,2,1078,732,,,,2,1078,780,1,8,4250000,
111,2,1078,188,,,,1,8,839000,,,,2,1078,501,,,,1,8,3351600,,,,2,1078,733,,,,2,1078,780,1,8,4275000,
112,2,1078,188,,,,1,8,848000,,,,2,1078,501,,,,1,8,3371200,,,,2,1078,734,,,,2,1078,780,1,8,4300000,
113,2,1078,188,,,,1,8,857000,,,,2,1078,502,,,,1,8,3390800,,,,2,1078,735,,,,2,1078,781,1,8,4325000,
114,2,1078,189,,,,1,8,866000,,,,2,1078,503,,,,1,8,3410400,,,,2,1078,735,,,,2,1078,781,1,8,4350000,
115,2,1078,189,,,,1,8,875000,,,,2,1078,504,,,,1,8,3430000,,,,2,1078,736,,,,2,1078,782,1,8,4375000,
116,2,1078,189,,,,1,8,884000,,,,2,1078,505,,,,1,8,3449600,,,,2,1078,737,,,,2,1078,782,1,8,4400000,
117,2,1078,189,,,,1,8,893000,,,,2,1078,506,,,,1,8,3469200,,,,2,1078,738,,,,2,1078,782,1,8,4425000,
118,2,1078,190,,,,1,8,902000,,,,2,1078,506,,,,1,8,3488800,,,,2,1078,739,,,,2,1078,783,1,8,4450000,
119,2,1078,190,,,,1,8,911000,,,,2,1078,507,,,,1,8,3508400,,,,2,1078,740,,,,2,1078,783,1,8,4475000,
120,2,1078,190,,,,1,8,920000,,,,2,1078,508,,,,1,8,3528000,,,,2,1078,740,,,,2,1078,783,1,8,4500000,
121,2,1078,191,,,,1,8,929000,,,,2,1078,509,,,,1,8,3547600,,,,2,1078,741,,,,2,1078,784,1,8,4525000,
122,2,1078,191,,,,1,8,938000,,,,2,1078,510,,,,1,8,3567200,,,,2,1078,742,,,,2,1078,784,1,8,4550000,
123,2,1078,191,,,,1,8,947000,,,,2,1078,511,,,,1,8,3586800,,,,2,1078,743,,,,2,1078,784,1,8,4575000,
124,2,1078,192,,,,1,8,956000,,,,2,1078,511,,,,1,8,3606400,,,,2,1078,744,,,,2,1078,785,1,8,4600000,
125,2,1078,192,,,,1,8,965000,,,,2,1078,512,,,,1,8,3626000,,,,2,1078,745,,,,2,1078,785,1,8,4625000,
126,2,1078,192,,,,1,8,974000,,,,2,1078,513,,,,1,8,3645600,,,,2,1078,746,,,,2,1078,785,1,8,4650000,
127,2,1078,193,,,,1,8,983000,,,,2,1078,514,,,,1,8,3665200,,,,2,1078,746,,,,2,1078,786,1,8,4675000,
128,2,1078,193,,,,1,8,992000,,,,2,1078,515,,,,1,8,3684800,,,,2,1078,747,,,,2,1078,786,1,8,4700000,
129,2,1078,193,,,,1,8,1001000,,,,2,1078,516,,,,1,8,3704400,,,,2,1078,748,,,,2,1078,786,1,8,4725000,
130,2,1078,194,,,,1,8,1010000,,,,2,1078,516,,,,1,8,3724000,,,,2,1078,749,,,,2,1078,787,1,8,4750000,
131,2,1078,194,,,,1,8,1019000,,,,2,1078,517,,,,1,8,3743600,,,,2,1078,750,,,,2,1078,787,1,8,4775000,
132,2,1078,194,,,,1,8,1028000,,,,2,1078,518,,,,1,8,3763200,,,,2,1078,751,,,,2,1078,788,1,8,4800000,
133,2,1078,195,,,,1,8,1037000,,,,2,1078,519,,,,1,8,3782800,,,,2,1078,752,,,,2,1078,788,1,8,4825000,
134,2,1078,195,,,,1,8,1046000,,,,2,1078,520,,,,1,8,3802400,,,,2,1078,753,,,,2,1078,788,1,8,4850000,
135,2,1078,195,,,,1,8,1055000,,,,2,1078,521,,,,1,8,3822000,,,,2,1078,753,,,,2,1078,789,1,8,4875000,
136,2,1078,196,,,,1,8,1064000,,,,2,1078,522,,,,1,8,3841600,,,,2,1078,754,,,,2,1078,789,1,8,4900000,
137,2,1078,196,,,,1,8,1073000,,,,2,1078,522,,,,1,8,3861200,,,,2,1078,755,,,,2,1078,789,1,8,4925000,
138,2,1078,196,,,,1,8,1082000,,,,2,1078,523,,,,1,8,3880800,,,,2,1078,756,,,,2,1078,790,1,8,4950000,
139,2,1078,197,,,,1,8,1091000,,,,2,1078,524,,,,1,8,3900400,,,,2,1078,757,,,,2,1078,790,1,8,4975000,
140,2,1078,197,,,,1,8,1100000,,,,2,1078,525,,,,1,8,3920000,,,,2,1078,758,,,,2,1078,790,1,8,5000000,
141,2,1078,197,,,,1,8,1109000,,,,2,1078,526,,,,1,8,3939600,,,,2,1078,759,,,,2,1078,791,1,8,5025000,
142,2,1078,198,,,,1,8,1118000,,,,2,1078,527,,,,1,8,3959200,,,,2,1078,759,,,,2,1078,791,1,8,5050000,
143,2,1078,198,,,,1,8,1127000,,,,2,1078,528,,,,1,8,3978800,,,,2,1078,760,,,,2,1078,791,1,8,5075000,
144,2,1078,198,,,,1,8,1136000,,,,2,1078,529,,,,1,8,3998400,,,,2,1078,761,,,,2,1078,792,1,8,5100000,
145,2,1078,199,,,,1,8,1145000,,,,2,1078,529,,,,1,8,4018000,,,,2,1078,762,,,,2,1078,792,1,8,5125000,
146,2,1078,199,,,,1,8,1154000,,,,2,1078,530,,,,1,8,4037600,,,,2,1078,763,,,,2,1078,792,1,8,5150000,
147,2,1078,199,,,,1,8,1163000,,,,2,1078,531,,,,1,8,4057200,,,,2,1078,764,,,,2,1078,793,1,8,5175000,
148,2,1078,200,,,,1,8,1172000,,,,2,1078,532,,,,1,8,4076800,,,,2,1078,765,,,,2,1078,793,1,8,5200000,
149,2,1078,200,,,,1,8,1181000,,,,2,1078,533,,,,1,8,4096400,,,,2,1078,766,,,,2,1078,794,1,8,5225000,
150,2,1078,200,,,,1,8,1190000,,,,2,1078,534,,,,1,8,4116000,,,,2,1078,766,,,,2,1078,794,1,8,5250000,
151,2,1078,201,,,,1,8,1199000,,,,2,1078,535,,,,1,8,4135600,,,,2,1078,767,,,,2,1078,794,1,8,5275000,
152,2,1078,201,,,,1,8,1208000,,,,2,1078,536,,,,1,8,4155200,,,,2,1078,768,,,,2,1078,795,1,8,5300000,
153,2,1078,201,,,,1,8,1217000,,,,2,1078,536,,,,1,8,4174800,,,,2,1078,769,,,,2,1078,795,1,8,5325000,
154,2,1078,202,,,,1,8,1226000,,,,2,1078,537,,,,1,8,4194400,,,,2,1078,770,,,,2,1078,795,1,8,5350000,
155,2,1078,202,,,,1,8,1235000,,,,2,1078,538,,,,1,8,4214000,,,,2,1078,771,,,,2,1078,796,1,8,5375000,
156,2,1078,202,,,,1,8,1244000,,,,2,1078,539,,,,1,8,4233600,,,,2,1078,772,,,,2,1078,796,1,8,5400000,
157,2,1078,203,,,,1,8,1253000,,,,2,1078,540,,,,1,8,4253200,,,,2,1078,773,,,,2,1078,796,1,8,5425000,
158,2,1078,203,,,,1,8,1262000,,,,2,1078,541,,,,1,8,4272800,,,,2,1078,774,,,,2,1078,797,1,8,5450000,
159,2,1078,204,,,,1,8,1271000,,,,2,1078,542,,,,1,8,4292400,,,,2,1078,774,,,,2,1078,797,1,8,5475000,
160,2,1078,204,,,,1,8,1280000,,,,2,1078,543,,,,1,8,4312000,,,,2,1078,775,,,,2,1078,797,1,8,5500000,
161,2,1078,204,,,,1,8,1289000,,,,2,1078,544,,,,1,8,4331600,,,,2,1078,776,,,,2,1078,798,1,8,5525000,
162,2,1078,205,,,,1,8,1298000,,,,2,1078,544,,,,1,8,4351200,,,,2,1078,777,,,,2,1078,798,1,8,5550000,
163,2,1078,205,,,,1,8,1307000,,,,2,1078,545,,,,1,8,4370800,,,,2,1078,778,,,,2,1078,799,1,8,5575000,
164,2,1078,205,,,,1,8,1316000,,,,2,1078,546,,,,1,8,4390400,,,,2,1078,779,,,,2,1078,799,1,8,5600000,
165,2,1078,206,,,,1,8,1325000,,,,2,1078,547,,,,1,8,4410000,,,,2,1078,780,,,,2,1078,799,1,8,5625000,
166,2,1078,206,,,,1,8,1334000,,,,2,1078,548,,,,1,8,4429600,,,,2,1078,781,,,,2,1078,800,1,8,5650000,
167,2,1078,206,,,,1,8,1343000,,,,2,1078,549,,,,1,8,4449200,,,,2,1078,782,,,,2,1078,800,1,8,5675000,
168,2,1078,207,,,,1,8,1352000,,,,2,1078,550,,,,1,8,4468800,,,,2,1078,783,,,,2,1078,800,1,8,5700000,
169,2,1078,207,,,,1,8,1361000,,,,2,1078,551,,,,1,8,4488400,,,,2,1078,783,,,,2,1078,801,1,8,5725000,
170,2,1078,207,,,,1,8,1370000,,,,2,1078,552,,,,1,8,4508000,,,,2,1078,784,,,,2,1078,801,1,8,5750000,
171,2,1078,208,,,,1,8,1379000,,,,2,1078,553,,,,1,8,4527600,,,,2,1078,785,,,,2,1078,801,1,8,5775000,
172,2,1078,208,,,,1,8,1388000,,,,2,1078,554,,,,1,8,4547200,,,,2,1078,786,,,,2,1078,802,1,8,5800000,
173,2,1078,208,,,,1,8,1397000,,,,2,1078,554,,,,1,8,4566800,,,,2,1078,787,,,,2,1078,802,1,8,5825000,
174,2,1078,209,,,,1,8,1406000,,,,2,1078,555,,,,1,8,4586400,,,,2,1078,788,,,,2,1078,803,1,8,5850000,
175,2,1078,209,,,,1,8,1415000,,,,2,1078,556,,,,1,8,4606000,,,,2,1078,789,,,,2,1078,803,1,8,5875000,
176,2,1078,209,,,,1,8,1424000,,,,2,1078,557,,,,1,8,4625600,,,,2,1078,790,,,,2,1078,803,1,8,5900000,
177,2,1078,210,,,,1,8,1433000,,,,2,1078,558,,,,1,8,4645200,,,,2,1078,791,,,,2,1078,804,1,8,5925000,
178,2,1078,210,,,,1,8,1442000,,,,2,1078,559,,,,1,8,4664800,,,,2,1078,792,,,,2,1078,804,1,8,5950000,
179,2,1078,211,,,,1,8,1451000,,,,2,1078,560,,,,1,8,4684400,,,,2,1078,792,,,,2,1078,804,1,8,5975000,
180,2,1078,211,,,,1,8,1460000,,,,2,1078,561,,,,1,8,4704000,,,,2,1078,793,,,,2,1078,805,1,8,6000000,
181,2,1078,211,,,,1,8,1469000,,,,2,1078,562,,,,1,8,4723600,,,,2,1078,794,,,,2,1078,805,1,8,6025000,
182,2,1078,212,,,,1,8,1478000,,,,2,1078,563,,,,1,8,4743200,,,,2,1078,795,,,,2,1078,805,1,8,6050000,
183,2,1078,212,,,,1,8,1487000,,,,2,1078,564,,,,1,8,4762800,,,,2,1078,796,,,,2,1078,806,1,8,6075000,
184,2,1078,212,,,,1,8,1496000,,,,2,1078,565,,,,1,8,4782400,,,,2,1078,797,,,,2,1078,806,1,8,6100000,
185,2,1078,213,,,,1,8,1505000,,,,2,1078,566,,,,1,8,4802000,,,,2,1078,798,,,,2,1078,807,1,8,6125000,
186,2,1078,213,,,,1,8,1514000,,,,2,1078,566,,,,1,8,4821600,,,,2,1078,799,,,,2,1078,807,1,8,6150000,
187,2,1078,213,,,,1,8,1523000,,,,2,1078,567,,,,1,8,4841200,,,,2,1078,800,,,,2,1078,807,1,8,6175000,
188,2,1078,214,,,,1,8,1532000,,,,2,1078,568,,,,1,8,4860800,,,,2,1078,801,,,,2,1078,808,1,8,6200000,
189,2,1078,214,,,,1,8,1541000,,,,2,1078,569,,,,1,8,4880400,,,,2,1078,802,,,,2,1078,808,1,8,6225000,
190,2,1078,215,,,,1,8,1550000,,,,2,1078,570,,,,1,8,4900000,,,,2,1078,803,,,,2,1078,808,1,8,6250000,
191,2,1078,215,,,,1,8,1559000,,,,2,1078,571,,,,1,8,4919600,,,,2,1078,803,,,,2,1078,809,1,8,6275000,
192,2,1078,215,,,,1,8,1568000,,,,2,1078,572,,,,1,8,4939200,,,,2,1078,804,,,,2,1078,809,1,8,6300000,
193,2,1078,216,,,,1,8,1577000,,,,2,1078,573,,,,1,8,4958800,,,,2,1078,805,,,,2,1078,809,1,8,6325000,
194,2,1078,216,,,,1,8,1586000,,,,2,1078,574,,,,1,8,4978400,,,,2,1078,806,,,,2,1078,810,1,8,6350000,
195,2,1078,216,,,,1,8,1595000,,,,2,1078,575,,,,1,8,4998000,,,,2,1078,807,,,,2,1078,810,1,8,6375000,
196,2,1078,217,,,,1,8,1604000,,,,2,1078,576,,,,1,8,5017600,,,,2,1078,808,,,,2,1078,811,1,8,6400000,
197,2,1078,217,,,,1,8,1613000,,,,2,1078,577,,,,1,8,5037200,,,,2,1078,809,,,,2,1078,811,1,8,6425000,
198,2,1078,217,,,,1,8,1622000,,,,2,1078,578,,,,1,8,5056800,,,,2,1078,810,,,,2,1078,811,1,8,6450000,
199,2,1078,218,,,,1,8,1631000,,,,2,1078,579,,,,1,8,5076400,,,,2,1078,811,,,,2,1078,812,1,8,6475000,
200,2,1078,218,,,,1,8,1640000,,,,2,1078,580,,,,1,8,5096000,,,,2,1078,812,,,,2,1078,812,1,8,6500000,
