skillId,beautyId,lv,nextSkill,costs-type-1,costs-id-1,costs-value-1,costs-type-2,costs-id-2,costs-value-2,lvLimit,assistantSkill,
760009,6,9,760010,2,1080,60,1,8,2280000,96,761009,
760010,6,10,760011,2,1080,65,1,8,2780000,108,761010,
760011,6,11,,2,1080,70,1,8,3330000,,761011,
770001,7,1,770002,2,1080,20,1,8,80000,,771001,
770002,7,2,770003,2,1080,25,1,8,180000,12,771002,
770003,7,3,770004,2,1080,30,1,8,330000,24,771003,
770004,7,4,770005,2,1080,35,1,8,530000,36,771004,
770005,7,5,770006,2,1080,40,1,8,780000,48,771005,
770006,7,6,770007,2,1080,45,1,8,1080000,60,771006,
770007,7,7,770008,2,1080,50,1,8,1430000,72,771007,
770008,7,8,770009,2,1080,55,1,8,1830000,84,771008,
770009,7,9,770010,2,1080,60,1,8,2280000,96,771009,
770010,7,10,770011,2,1080,65,1,8,2780000,108,771010,
770011,7,11,,2,1080,70,1,8,3330000,,771011,
780001,8,1,780002,2,1080,20,1,8,80000,,781001,
780002,8,2,780003,2,1080,25,1,8,180000,12,781002,
780003,8,3,780004,2,1080,30,1,8,330000,24,781003,
780004,8,4,780005,2,1080,35,1,8,530000,36,781004,
780005,8,5,780006,2,1080,40,1,8,780000,48,781005,
780006,8,6,780007,2,1080,45,1,8,1080000,60,781006,
780007,8,7,780008,2,1080,50,1,8,1430000,72,781007,
780008,8,8,780009,2,1080,55,1,8,1830000,84,781008,
780009,8,9,780010,2,1080,60,1,8,2280000,96,781009,
780010,8,10,780011,2,1080,65,1,8,2780000,108,781010,
780011,8,11,,2,1080,70,1,8,3330000,,781011,
790001,9,1,790002,2,1080,20,1,8,80000,,791001,
790002,9,2,790003,2,1080,25,1,8,180000,12,791002,
790003,9,3,790004,2,1080,30,1,8,330000,24,791003,
790004,9,4,790005,2,1080,35,1,8,530000,36,791004,
790005,9,5,790006,2,1080,40,1,8,780000,48,791005,
790006,9,6,790007,2,1080,45,1,8,1080000,60,791006,
790007,9,7,790008,2,1080,50,1,8,1430000,72,791007,
790008,9,8,790009,2,1080,55,1,8,1830000,84,791008,
790009,9,9,790010,2,1080,60,1,8,2280000,96,791009,
790010,9,10,790011,2,1080,65,1,8,2780000,108,791010,
790011,9,11,,2,1080,70,1,8,3330000,,791011,
800001,10,1,800002,2,1080,20,1,8,80000,,811001,
800002,10,2,800003,2,1080,25,1,8,180000,,811002,
800003,10,3,800004,2,1080,30,1,8,330000,12,811003,
800004,10,4,800005,2,1080,35,1,8,530000,24,811004,
800005,10,5,800006,2,1080,40,1,8,780000,36,811005,
800006,10,6,800007,2,1080,45,1,8,1080000,48,811006,
800007,10,7,800008,2,1080,50,1,8,1430000,60,811007,
800008,10,8,800009,2,1080,55,1,8,1830000,72,811008,
800009,10,9,800010,2,1080,60,1,8,2280000,84,811009,
800010,10,10,800011,2,1080,65,1,8,2780000,96,811010,
800011,10,11,,2,1080,70,1,8,3330000,108,811011,
900001,11,1,900002,2,1080,20,1,8,80000,,910001,
900002,11,2,900003,2,1080,25,1,8,180000,12,910002,
900003,11,3,900004,2,1080,30,1,8,330000,24,910003,
900004,11,4,900005,2,1080,35,1,8,530000,36,910004,
900005,11,5,900006,2,1080,40,1,8,780000,48,910005,
900006,11,6,900007,2,1080,45,1,8,1080000,60,910006,
900007,11,7,900008,2,1080,50,1,8,1430000,72,910007,
900008,11,8,900009,2,1080,55,1,8,1830000,84,910008,
900009,11,9,900010,2,1080,60,1,8,2280000,96,910009,
900010,11,10,900011,2,1080,65,1,8,2780000,108,910010,
900011,11,11,,2,1080,70,1,8,3330000,,910011,
101001,12,1,101002,2,1080,20,1,8,80000,,111001,
101002,12,2,101003,2,1080,25,1,8,180000,12,111002,
101003,12,3,101004,2,1080,30,1,8,330000,24,111003,
101004,12,4,101005,2,1080,35,1,8,530000,36,111004,
101005,12,5,101006,2,1080,40,1,8,780000,48,111005,
101006,12,6,101007,2,1080,45,1,8,1080000,60,111006,
101007,12,7,101008,2,1080,50,1,8,1430000,72,111007,
101008,12,8,101009,2,1080,55,1,8,1830000,84,111008,
101009,12,9,101010,2,1080,60,1,8,2280000,96,111009,
101010,12,10,101011,2,1080,65,1,8,2780000,108,111010,
101011,12,11,,2,1080,70,1,8,3330000,,111011,
102001,13,1,102002,2,1080,20,1,8,80000,,1020111,
102002,13,2,102003,2,1080,25,1,8,180000,12,1020112,
102003,13,3,102004,2,1080,30,1,8,330000,24,1020113,
102004,13,4,102005,2,1080,35,1,8,530000,36,1020114,
102005,13,5,102006,2,1080,40,1,8,780000,48,1020115,
102006,13,6,102007,2,1080,45,1,8,1080000,60,1020116,
102007,13,7,102008,2,1080,50,1,8,1430000,72,1020117,
102008,13,8,102009,2,1080,55,1,8,1830000,84,1020118,
102009,13,9,102010,2,1080,60,1,8,2280000,96,1020119,
102010,13,10,102011,2,1080,65,1,8,2780000,108,1020120,
102011,13,11,,2,1080,70,1,8,3330000,,1020121,
103001,14,1,103002,2,1080,20,1,8,80000,,1030111,
103002,14,2,103003,2,1080,25,1,8,180000,12,1030112,
103003,14,3,103004,2,1080,30,1,8,330000,24,1030113,
103004,14,4,103005,2,1080,35,1,8,530000,36,1030114,
103005,14,5,103006,2,1080,40,1,8,780000,48,1030115,
103006,14,6,103007,2,1080,45,1,8,1080000,60,1030116,
103007,14,7,103008,2,1080,50,1,8,1430000,72,1030117,
103008,14,8,103009,2,1080,55,1,8,1830000,84,1030118,
103009,14,9,103010,2,1080,60,1,8,2280000,96,1030119,
103010,14,10,103011,2,1080,65,1,8,2780000,108,1030120,
103011,14,11,,2,1080,70,1,8,3330000,,1030121,
104001,15,1,104002,2,1080,20,1,8,80000,,1040111,
104002,15,2,104003,2,1080,25,1,8,180000,12,1040112,
104003,15,3,104004,2,1080,30,1,8,330000,24,1040113,
104004,15,4,104005,2,1080,35,1,8,530000,36,1040114,
104005,15,5,104006,2,1080,40,1,8,780000,48,1040115,
104006,15,6,104007,2,1080,45,1,8,1080000,60,1040116,
104007,15,7,104008,2,1080,50,1,8,1430000,72,1040117,
104008,15,8,104009,2,1080,55,1,8,1830000,84,1040118,
104009,15,9,104010,2,1080,60,1,8,2280000,96,1040119,
104010,15,10,104011,2,1080,65,1,8,2780000,108,1040120,
104011,15,11,,2,1080,70,1,8,3330000,,1040121,
