id,allPassAwards-type-1,allPassAwards-id-1,allPassAwards-value-1,allPassAwards-type-2,allPassAwards-id-2,allPassAwards-value-2,allPassAwards-type-3,allPassAwards-id-3,allPassAwards-value-3,allPassAwards-type-4,allPassAwards-id-4,allPassAwards-value-4,allPassAwards-type-5,allPassAwards-id-5,allPassAwards-value-5,
740,2,1012,36,,,,,,,,,,,,,
750,2,1012,36,,,,,,,,,,,,,
760,2,1012,36,2,1004,1,,,,,,,,,,
770,2,1012,36,,,,,,,,,,,,,
780,2,1012,36,,,,,,,,,,,,,
790,2,1012,36,,,,,,,,,,,,,
800,2,1012,36,2,1004,1,,,,,,,,,,
810,2,1012,36,,,,,,,,,,,,,
820,2,1012,36,,,,,,,,,,,,,
830,2,1012,36,,,,,,,,,,,,,
840,2,1012,36,2,1004,1,,,,,,,,,,
850,2,1012,36,,,,,,,,,,,,,
860,2,1012,36,,,,,,,,,,,,,
870,2,1012,36,,,,,,,,,,,,,
880,2,1012,36,2,1004,1,,,,,,,,,,
890,2,1012,36,,,,,,,,,,,,,
900,2,1012,36,,,,,,,,,,,,,
910,2,1012,36,,,,,,,,,,,,,
920,2,1012,36,2,1004,1,,,,,,,,,,
930,2,1012,36,,,,,,,,,,,,,
940,2,1012,36,,,,,,,,,,,,,
950,2,1012,36,,,,,,,,,,,,,
960,2,1012,36,2,1004,1,,,,,,,,,,
970,2,1012,36,,,,,,,,,,,,,
980,2,1012,36,,,,,,,,,,,,,
990,2,1012,36,,,,,,,,,,,,,
1000,2,1012,36,2,1004,1,,,,,,,,,,
1010,2,1012,36,,,,,,,,,,,,,
1020,2,1012,36,,,,,,,,,,,,,
1030,2,1012,36,,,,,,,,,,,,,
1040,2,1012,36,2,1004,1,,,,,,,,,,
1050,2,1012,36,,,,,,,,,,,,,
1060,2,1012,36,,,,,,,,,,,,,
1070,2,1012,36,,,,,,,,,,,,,
1080,2,1012,36,2,1004,1,,,,,,,,,,
1090,2,1012,36,,,,,,,,,,,,,
1100,2,1012,36,,,,,,,,,,,,,
1110,2,1012,36,,,,,,,,,,,,,
1120,2,1012,36,2,1004,1,,,,,,,,,,
1130,2,1012,36,,,,,,,,,,,,,
1140,2,1012,36,,,,,,,,,,,,,
1150,2,1012,36,,,,,,,,,,,,,
1160,2,1012,36,2,1004,1,,,,,,,,,,
1170,2,1012,36,,,,,,,,,,,,,
1180,2,1012,36,,,,,,,,,,,,,
1190,2,1012,36,,,,,,,,,,,,,
1200,2,1012,36,2,1004,1,,,,,,,,,,
1210,2,1012,36,,,,,,,,,,,,,
1220,2,1012,36,,,,,,,,,,,,,
1230,2,1012,36,,,,,,,,,,,,,
1240,2,1012,36,2,1004,1,,,,,,,,,,
1250,2,1012,36,,,,,,,,,,,,,
1260,2,1012,36,,,,,,,,,,,,,
1270,2,1012,36,,,,,,,,,,,,,
1280,2,1012,36,2,1004,1,,,,,,,,,,
1290,2,1012,36,,,,,,,,,,,,,
1300,2,1012,36,,,,,,,,,,,,,
1310,2,1012,36,,,,,,,,,,,,,
1320,2,1012,36,2,1004,1,,,,,,,,,,
1330,2,1012,36,,,,,,,,,,,,,
1340,2,1012,36,,,,,,,,,,,,,
1350,2,1012,36,,,,,,,,,,,,,
1360,2,1012,36,2,1004,1,,,,,,,,,,
1370,2,1012,36,,,,,,,,,,,,,
1380,2,1012,36,,,,,,,,,,,,,
1390,2,1012,36,,,,,,,,,,,,,
1400,2,1012,36,2,1004,1,,,,,,,,,,
1410,2,1012,36,,,,,,,,,,,,,
1420,2,1012,36,,,,,,,,,,,,,
1430,2,1012,36,,,,,,,,,,,,,
1440,2,1012,36,2,1004,1,,,,,,,,,,
1450,2,1012,36,,,,,,,,,,,,,
1460,2,1012,36,,,,,,,,,,,,,
1470,2,1012,36,,,,,,,,,,,,,
1480,2,1012,36,2,1004,1,,,,,,,,,,
1490,2,1012,36,,,,,,,,,,,,,
1500,2,1012,36,,,,,,,,,,,,,
1510,2,1012,36,,,,,,,,,,,,,
1520,2,1012,36,2,1004,1,,,,,,,,,,
1530,2,1012,36,,,,,,,,,,,,,
1540,2,1012,36,,,,,,,,,,,,,
1550,2,1012,36,,,,,,,,,,,,,
1560,2,1012,36,2,1004,1,,,,,,,,,,
1570,2,1012,36,,,,,,,,,,,,,
1580,2,1012,36,,,,,,,,,,,,,
1590,2,1012,36,,,,,,,,,,,,,
1600,2,1012,36,2,1004,1,,,,,,,,,,
1610,2,1012,36,,,,,,,,,,,,,
1620,2,1012,36,,,,,,,,,,,,,
1630,2,1012,36,,,,,,,,,,,,,
1640,2,1012,36,2,1004,1,,,,,,,,,,
1650,2,1012,36,,,,,,,,,,,,,
1660,2,1012,36,,,,,,,,,,,,,
1670,2,1012,36,,,,,,,,,,,,,
1680,2,1012,36,2,1004,1,,,,,,,,,,
1690,2,1012,36,,,,,,,,,,,,,
1700,2,1012,36,,,,,,,,,,,,,
1710,2,1012,36,,,,,,,,,,,,,
1720,2,1012,36,2,1004,1,,,,,,,,,,
1730,2,1012,36,,,,,,,,,,,,,
1740,2,1012,36,,,,,,,,,,,,,
1750,2,1012,36,,,,,,,,,,,,,
1760,2,1012,36,2,1004,1,,,,,,,,,,
1770,2,1012,36,,,,,,,,,,,,,
1780,2,1012,36,,,,,,,,,,,,,
1790,2,1012,36,,,,,,,,,,,,,
1800,2,1012,36,2,1004,1,,,,,,,,,,
1810,2,1012,36,,,,,,,,,,,,,
1820,2,1012,36,,,,,,,,,,,,,
1830,2,1012,36,,,,,,,,,,,,,
1840,2,1012,36,2,1004,1,,,,,,,,,,
1850,2,1012,36,,,,,,,,,,,,,
1860,2,1012,36,,,,,,,,,,,,,
1870,2,1012,36,,,,,,,,,,,,,
1880,2,1012,36,2,1004,1,,,,,,,,,,
1890,2,1012,36,,,,,,,,,,,,,
1900,2,1012,36,,,,,,,,,,,,,
1910,2,1012,36,,,,,,,,,,,,,
1920,2,1012,36,2,1004,1,,,,,,,,,,
1930,2,1012,36,,,,,,,,,,,,,
1940,2,1012,36,,,,,,,,,,,,,
1950,2,1012,36,,,,,,,,,,,,,
1960,2,1012,36,2,1004,1,,,,,,,,,,
1970,2,1012,36,,,,,,,,,,,,,
1980,2,1012,36,,,,,,,,,,,,,
1990,2,1012,36,,,,,,,,,,,,,
2000,2,1012,36,2,1004,1,,,,,,,,,,
