Id,FestivalName,ActivityOpenTime,ThemeType,describe1,describe2,describe3,ActivityGift1,ActivityGift2,
1,s==33|Nguyên Đán - Hạn Mua Thương Thành,s==10|2024-01-01,1,s==28|Kính chúc tân niên hạnh phúc,s==12|Vạn Sự Như Ý,s==20|Hạn Mua Thương Thành,s==17|Nguyên Đán Hảo Lễ,s==17|Nguyên Đán Hào Lễ,
12,s==36|Nhi Đồng Tiết - Hạn Mua Thương Thành,s==10|2023-06-01,5,s==21|Thiền Thanh Trận Trận,s==16|Lục Thụ Thành Âm,s==20|Hạn Mua Thương Thành,s==15|Lục Nhất Hảo Lễ,s==15|Lục Nhất Hào Lễ,
13,s==36|Phụ Thân Tiết - Hạn Mua Thương Thành,s==10|2023-06-18,5,s==23|Đường Đường Chính Chính,s==14|Phụ Ái Như Sơn,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
14,s==36|Đoan Ngọ Tiết - Hạn Mua Thương Thành,s==10|2023-06-22,5,s==17|Xuân Sắc Mãn Viên,s==14|Oanh Ca Yến Vũ,s==20|Hạn Mua Thương Thành,s==15|Đoan Ngọ Hảo Lễ,s==15|Đoan Ngọ Hào Lễ,
15,s==37|Kiến Đảng Tiết - Hạn Mua Thương Thành,s==10|2023-07-01,5,s==17|Kiêu Dương Tự Hỏa,s==19|Liệt Nhật Viêm Viêm,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
16,s==37|Kiến Quân Tiết - Hạn Mua Thương Thành,s==10|2023-08-01,5,s==21|Liệt Nhật Đương Không,s==16|Huyết Hãn Như Vũ,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
17,s==37|Thất Tịch Tiết - Hạn Mua Thương Thành,s==10|2023-08-22,2,s==16|Tình Bỉ Kim Kiên,s==15|Nồng Tình Mật Ý,s==20|Hạn Mua Thương Thành,s==16|Thất Tịch Hảo Lễ,s==16|Thất Tịch Hào Lễ,
18,s==37|Trung Thu Tiết - Hạn Mua Thương Thành,s==10|2023-09-28,6,s==19|Hoa Hảo Nguyệt Viên,s==20|Nguyệt Lạc Tinh Thần,s==20|Hạn Mua Thương Thành,s==16|Trung Thu Hảo Lễ,s==16|Trung Thu Hào Lễ,
19,s==38|Quốc Khánh Tiết - Hạn Mua Thương Thành,s==10|2023-10-01,6,s==16|Quốc Thái Dân An,s==20|Phồn Vinh Hưng Thịnh,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
20,s==37|Vạn Thánh Tiết - Hạn Mua Thương Thành,s==10|2023-11-01,7,s==19|Thiềm Mật Đường Quả,s==17|Cổ Linh Tinh Quái,s==20|Hạn Mua Thương Thành,s==15|Quỷ Quái Hảo Lễ,s==15|Quỷ Quái Hào Lễ,
21,s==37|Song Thất Nhất - Hạn Mua Thương Thành,s==10|2023-11-11,8,s==21|Hạn Thời Thương Thành,s==14|Kỳ trân dị bảo,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
22,s==31|Đông Chí - Hạn Mua Thương Thành,s==10|2023-12-22,8,s==20|Thường An Thường Lạc,s==19|Đoàn Đoàn Viên Viên,s==20|Hạn Mua Thương Thành,s==15|Đông Chí Hảo Lễ,s==15|Đông Chí Hào Lễ,
23,s==33|Bình An Dạ - Hạn Mua Thương Thành,s==10|2023-12-24,8,s==15|Bình Bình An An,s==17|Hồng Hồng Hỏa Hỏa,s==20|Hạn Mua Thương Thành,s==14|Bình An Hảo Lễ,s==14|Bình An Hào Lễ,
24,s==37|Thánh Đản Tiết - Hạn Mua Thương Thành,s==10|2023-12-25,8,s==19|Thánh Đản Khoái Lạc,s==19|Hạnh Phúc Liên Liên,s==20|Hạn Mua Thương Thành,s==16|Thánh Đản Hảo Lễ,s==16|Thánh Đản Hào Lễ,
