id,allPassAwards-type-1,allPassAwards-id-1,allPassAwards-value-1,allPassAwards-type-2,allPassAwards-id-2,allPassAwards-value-2,allPassAwards-type-3,allPassAwards-id-3,allPassAwards-value-3,allPassAwards-type-4,allPassAwards-id-4,allPassAwards-value-4,allPassAwards-type-5,allPassAwards-id-5,allPassAwards-value-5,
2665,2,1012,36,,,,,,,,,,,,,
2670,2,1012,36,2,1004,1,,,,,,,,,,
2675,2,1012,36,,,,,,,,,,,,,
2680,2,1012,36,,,,,,,,,,,,,
2685,2,1012,36,,,,,,,,,,,,,
2690,2,1012,36,2,1004,1,,,,,,,,,,
2695,2,1012,36,,,,,,,,,,,,,
2700,2,1012,36,,,,,,,,,,,,,
2705,2,1012,36,,,,,,,,,,,,,
2710,2,1012,36,2,1004,1,,,,,,,,,,
2715,2,1012,36,,,,,,,,,,,,,
2720,2,1012,36,,,,,,,,,,,,,
2725,2,1012,36,,,,,,,,,,,,,
2730,2,1012,36,2,1004,1,,,,,,,,,,
2735,2,1012,36,,,,,,,,,,,,,
2740,2,1012,36,,,,,,,,,,,,,
2745,2,1012,36,,,,,,,,,,,,,
2750,2,1012,36,2,1004,1,,,,,,,,,,
2755,2,1012,36,,,,,,,,,,,,,
2760,2,1012,36,,,,,,,,,,,,,
2765,2,1012,36,,,,,,,,,,,,,
2770,2,1012,36,2,1004,1,,,,,,,,,,
2775,2,1012,36,,,,,,,,,,,,,
2780,2,1012,36,,,,,,,,,,,,,
2785,2,1012,36,,,,,,,,,,,,,
2790,2,1012,36,2,1004,1,,,,,,,,,,
2795,2,1012,36,,,,,,,,,,,,,
2800,2,1012,36,,,,,,,,,,,,,
2805,2,1012,36,,,,,,,,,,,,,
2810,2,1012,36,2,1004,1,,,,,,,,,,
2815,2,1012,36,,,,,,,,,,,,,
2820,2,1012,36,,,,,,,,,,,,,
2825,2,1012,36,,,,,,,,,,,,,
2830,2,1012,36,2,1004,1,,,,,,,,,,
2835,2,1012,36,,,,,,,,,,,,,
2840,2,1012,36,,,,,,,,,,,,,
2845,2,1012,36,,,,,,,,,,,,,
2850,2,1012,36,2,1004,1,,,,,,,,,,
2855,2,1012,36,,,,,,,,,,,,,
2860,2,1012,36,,,,,,,,,,,,,
2865,2,1012,36,,,,,,,,,,,,,
2870,2,1012,36,2,1004,1,,,,,,,,,,
2875,2,1012,36,,,,,,,,,,,,,
2880,2,1012,36,,,,,,,,,,,,,
2885,2,1012,36,,,,,,,,,,,,,
2890,2,1012,36,2,1004,1,,,,,,,,,,
2895,2,1012,36,,,,,,,,,,,,,
2900,2,1012,36,,,,,,,,,,,,,
2905,2,1012,36,,,,,,,,,,,,,
2910,2,1012,36,2,1004,1,,,,,,,,,,
2915,2,1012,36,,,,,,,,,,,,,
2920,2,1012,36,,,,,,,,,,,,,
2925,2,1012,36,,,,,,,,,,,,,
2930,2,1012,36,2,1004,1,,,,,,,,,,
2935,2,1012,36,,,,,,,,,,,,,
2940,2,1012,36,,,,,,,,,,,,,
2945,2,1012,36,,,,,,,,,,,,,
2950,2,1012,36,2,1004,1,,,,,,,,,,
2955,2,1012,36,,,,,,,,,,,,,
2960,2,1012,36,,,,,,,,,,,,,
2965,2,1012,36,,,,,,,,,,,,,
2970,2,1012,36,2,1004,1,,,,,,,,,,
2975,2,1012,36,,,,,,,,,,,,,
2980,2,1012,36,,,,,,,,,,,,,
2985,2,1012,36,,,,,,,,,,,,,
2990,2,1012,36,2,1004,1,,,,,,,,,,
2995,2,1012,36,,,,,,,,,,,,,
3000,2,1012,36,2,1004,1,,,,,,,,,,
