id,level,nextLevel,needItemNum,
358,357,358,320200,
359,358,359,321100,
360,359,360,322000,
361,360,361,322900,
362,361,362,323800,
363,362,363,324700,
364,363,364,325600,
365,364,365,326500,
366,365,366,327400,
367,366,367,328300,
368,367,368,329200,
369,368,369,330100,
370,369,370,331000,
371,370,371,331900,
372,371,372,332800,
373,372,373,333700,
374,373,374,334600,
375,374,375,335500,
376,375,376,336400,
377,376,377,337300,
378,377,378,338200,
379,378,379,339100,
380,379,380,340000,
381,380,381,340900,
382,381,382,341800,
383,382,383,342700,
384,383,384,343600,
385,384,385,344500,
386,385,386,345400,
387,386,387,346300,
388,387,388,347200,
389,388,389,348100,
390,389,390,349000,
391,390,391,349900,
392,391,392,350800,
393,392,393,351700,
394,393,394,352600,
395,394,395,353500,
396,395,396,354400,
397,396,397,355300,
398,397,398,356200,
399,398,399,357100,
400,399,400,358000,
