id,group,name,resourceType,resourceId,min,max,weight,floors,floorType,
1,1562,s==4|黄金宝箱,1,17,800,800,3000,,,
106,2000,s==4|副将礼包,2,934001,1,1,200,,,
107,2000,s==4|副将礼包,2,934002,1,1,1125,,,
108,2000,s==4|副将礼包,2,933001,1,1,1125,,,
109,2000,s==4|副将礼包,2,933002,1,1,1125,,,
110,2000,s==4|副将礼包,2,945001,1,1,200,,,
111,2000,s==4|副将礼包,2,945002,1,1,200,,,
112,2000,s==4|副将礼包,2,944001,1,1,1125,,,
113,2000,s==4|副将礼包,2,944002,1,1,1125,,,
114,2000,s==4|副将礼包,2,943001,1,1,1125,,,
115,2000,s==4|副将礼包,2,943002,1,1,1125,,,
116,2000,s==4|副将礼包,2,955001,1,1,200,,,
117,2000,s==4|副将礼包,2,955002,1,1,200,,,
118,2000,s==4|副将礼包,2,954001,1,1,1125,,,
119,2000,s==4|副将礼包,2,954002,1,1,1125,,,
120,2000,s==4|副将礼包,2,953001,1,1,1125,,,
121,2000,s==4|副将礼包,2,953002,1,1,1125,,,
122,1700,s==6|秦宓五星礼包,2,22404,210,210,100,,,
123,1750,s==7|邢道荣五星礼包,2,24401,210,210,100,,,
124,1758,s==10|[普通]1星攻击玉佩,2,511101,1,1,90,,,
125,1758,s==10|[稀有]1星攻击玉佩,2,521101,1,1,9,,,
126,1758,s==10|[极品]1星攻击玉佩,2,531101,1,1,1,,,
127,1759,s==10|[普通]1星防御玉佩,2,511102,1,1,90,,,
128,1759,s==10|[稀有]1星防御玉佩,2,521102,1,1,9,,,
129,1759,s==10|[极品]1星防御玉佩,2,531102,1,1,1,,,
130,1760,s==10|[普通]1星回春玉佩,2,511103,1,1,90,,,
131,1760,s==10|[稀有]1星回春玉佩,2,521103,1,1,9,,,
132,1760,s==10|[极品]1星回春玉佩,2,531103,1,1,1,,,
133,1761,s==10|[普通]1星暴击玉佩,2,511104,1,1,90,,,
134,1761,s==10|[稀有]1星暴击玉佩,2,521104,1,1,9,,,
135,1761,s==10|[极品]1星暴击玉佩,2,531104,1,1,1,,,
136,1762,s==10|[普通]1星天愈玉佩,2,511105,1,1,90,,,
137,1762,s==10|[稀有]1星天愈玉佩,2,521105,1,1,9,,,
138,1762,s==10|[极品]1星天愈玉佩,2,531105,1,1,1,,,
139,1763,s==10|[普通]1星碎盾玉佩,2,511106,1,1,90,,,
140,1763,s==10|[稀有]1星碎盾玉佩,2,521106,1,1,9,,,
141,1763,s==10|[极品]1星碎盾玉佩,2,531106,1,1,1,,,
142,1764,s==10|[普通]1星离火玉佩,2,511107,1,1,90,,,
143,1764,s==10|[稀有]1星离火玉佩,2,521107,1,1,9,,,
144,1764,s==10|[极品]1星离火玉佩,2,531107,1,1,1,,,
145,1765,s==10|[普通]1星陷阵玉佩,2,511108,1,1,90,,,
146,1765,s==10|[稀有]1星陷阵玉佩,2,521108,1,1,9,,,
147,1765,s==10|[极品]1星陷阵玉佩,2,531108,1,1,1,,,
148,1766,s==10|[普通]1星庇佑玉佩,2,511109,1,1,90,,,
149,1766,s==10|[稀有]1星庇佑玉佩,2,521109,1,1,9,,,
150,1766,s==10|[极品]1星庇佑玉佩,2,531109,1,1,1,,,
151,1767,s==10|[普通]1星反伤玉佩,2,511110,1,1,90,,,
152,1767,s==10|[稀有]1星反伤玉佩,2,521110,1,1,9,,,
153,1767,s==10|[极品]1星反伤玉佩,2,531110,1,1,1,,,
154,1768,s==10|[普通]1星血战玉佩,2,511111,1,1,90,,,
155,1768,s==10|[稀有]1星血战玉佩,2,521111,1,1,9,,,
156,1768,s==10|[极品]1星血战玉佩,2,531111,1,1,1,,,
157,1769,s==10|[普通]1星强袭玉佩,2,511112,1,1,90,,,
158,1769,s==10|[稀有]1星强袭玉佩,2,521112,1,1,9,,,
159,1769,s==10|[极品]1星强袭玉佩,2,531112,1,1,1,,,
160,1770,s==10|[普通]1星攻击披风,2,511201,1,1,90,,,
161,1770,s==10|[稀有]1星攻击披风,2,521201,1,1,9,,,
162,1770,s==10|[极品]1星攻击披风,2,531201,1,1,1,,,
163,1771,s==10|[普通]1星防御披风,2,511202,1,1,90,,,
164,1771,s==10|[稀有]1星防御披风,2,521202,1,1,9,,,
165,1771,s==10|[极品]1星防御披风,2,531202,1,1,1,,,
166,1772,s==10|[普通]1星回春披风,2,511203,1,1,90,,,
167,1772,s==10|[稀有]1星回春披风,2,521203,1,1,9,,,
168,1772,s==10|[极品]1星回春披风,2,531203,1,1,1,,,
169,1773,s==10|[普通]1星暴击披风,2,511204,1,1,90,,,
170,1773,s==10|[稀有]1星暴击披风,2,521204,1,1,9,,,
171,1773,s==10|[极品]1星暴击披风,2,531204,1,1,1,,,
172,1774,s==10|[普通]1星天愈披风,2,511205,1,1,90,,,
173,1774,s==10|[稀有]1星天愈披风,2,521205,1,1,9,,,
174,1774,s==10|[极品]1星天愈披风,2,531205,1,1,1,,,
175,1775,s==10|[普通]1星碎盾披风,2,511206,1,1,90,,,
176,1775,s==10|[稀有]1星碎盾披风,2,521206,1,1,9,,,
177,1775,s==10|[极品]1星碎盾披风,2,531206,1,1,1,,,
178,1776,s==10|[普通]1星离火披风,2,511207,1,1,90,,,
179,1776,s==10|[稀有]1星离火披风,2,521207,1,1,9,,,
180,1776,s==10|[极品]1星离火披风,2,531207,1,1,1,,,
181,1777,s==10|[普通]1星陷阵披风,2,511208,1,1,90,,,
182,1777,s==10|[稀有]1星陷阵披风,2,521208,1,1,9,,,
183,1777,s==10|[极品]1星陷阵披风,2,531208,1,1,1,,,
184,1778,s==10|[普通]1星庇佑披风,2,511209,1,1,90,,,
185,1778,s==10|[稀有]1星庇佑披风,2,521209,1,1,9,,,
186,1778,s==10|[极品]1星庇佑披风,2,531209,1,1,1,,,
187,1779,s==10|[普通]1星反伤披风,2,511210,1,1,90,,,
188,1779,s==10|[稀有]1星反伤披风,2,521210,1,1,9,,,
189,1779,s==10|[极品]1星反伤披风,2,531210,1,1,1,,,
190,1780,s==10|[普通]1星血战披风,2,511211,1,1,90,,,
191,1780,s==10|[稀有]1星血战披风,2,521211,1,1,9,,,
192,1780,s==10|[极品]1星血战披风,2,531211,1,1,1,,,
193,1781,s==10|[普通]1星强袭披风,2,511212,1,1,90,,,
194,1781,s==10|[稀有]1星强袭披风,2,521212,1,1,9,,,
195,1781,s==10|[极品]1星强袭披风,2,531212,1,1,1,,,
196,1782,s==10|[普通]1星攻击短刃,2,511301,1,1,90,,,
197,1782,s==10|[稀有]1星攻击短刃,2,521301,1,1,9,,,
198,1782,s==10|[极品]1星攻击短刃,2,531301,1,1,1,,,
199,1783,s==10|[普通]1星防御短刃,2,511302,1,1,90,,,
200,1783,s==10|[稀有]1星防御短刃,2,521302,1,1,9,,,
201,1783,s==10|[极品]1星防御短刃,2,531302,1,1,1,,,
202,1784,s==10|[普通]1星回春短刃,2,511303,1,1,90,,,
203,1784,s==10|[稀有]1星回春短刃,2,521303,1,1,9,,,
204,1784,s==10|[极品]1星回春短刃,2,531303,1,1,1,,,
205,1785,s==10|[普通]1星暴击短刃,2,511304,1,1,90,,,
206,1785,s==10|[稀有]1星暴击短刃,2,521304,1,1,9,,,
207,1785,s==10|[极品]1星暴击短刃,2,531304,1,1,1,,,
208,1786,s==10|[普通]1星天愈短刃,2,511305,1,1,90,,,
209,1786,s==10|[稀有]1星天愈短刃,2,521305,1,1,9,,,
210,1786,s==10|[极品]1星天愈短刃,2,531305,1,1,1,,,
211,1787,s==10|[普通]1星碎盾短刃,2,511306,1,1,90,,,
212,1787,s==10|[稀有]1星碎盾短刃,2,521306,1,1,9,,,
213,1787,s==10|[极品]1星碎盾短刃,2,531306,1,1,1,,,
214,1788,s==10|[普通]1星离火短刃,2,511307,1,1,90,,,
215,1788,s==10|[稀有]1星离火短刃,2,521307,1,1,9,,,
216,1788,s==10|[极品]1星离火短刃,2,531307,1,1,1,,,
217,1789,s==10|[普通]1星陷阵短刃,2,511308,1,1,90,,,
218,1789,s==10|[稀有]1星陷阵短刃,2,521308,1,1,9,,,
219,1789,s==10|[极品]1星陷阵短刃,2,531308,1,1,1,,,
220,1790,s==10|[普通]1星庇佑短刃,2,511309,1,1,90,,,
221,1790,s==10|[稀有]1星庇佑短刃,2,521309,1,1,9,,,
222,1790,s==10|[极品]1星庇佑短刃,2,531309,1,1,1,,,
223,1791,s==10|[普通]1星反伤短刃,2,511310,1,1,90,,,
224,1791,s==10|[稀有]1星反伤短刃,2,521310,1,1,9,,,
225,1791,s==10|[极品]1星反伤短刃,2,531310,1,1,1,,,
226,1792,s==10|[普通]1星血战短刃,2,511311,1,1,90,,,
227,1792,s==10|[稀有]1星血战短刃,2,521311,1,1,9,,,
228,1792,s==10|[极品]1星血战短刃,2,531311,1,1,1,,,
229,1793,s==10|[普通]1星强袭短刃,2,511312,1,1,90,,,
230,1793,s==10|[稀有]1星强袭短刃,2,521312,1,1,9,,,
231,1793,s==10|[极品]1星强袭短刃,2,531312,1,1,1,,,
232,1794,s==10|[普通]1星攻击虎符,2,511401,1,1,90,,,
233,1794,s==10|[稀有]1星攻击虎符,2,521401,1,1,9,,,
234,1794,s==10|[极品]1星攻击虎符,2,531401,1,1,1,,,
235,1795,s==10|[普通]1星防御虎符,2,511402,1,1,90,,,
236,1795,s==10|[稀有]1星防御虎符,2,521402,1,1,9,,,
237,1795,s==10|[极品]1星防御虎符,2,531402,1,1,1,,,
238,1796,s==10|[普通]1星回春虎符,2,511403,1,1,90,,,
239,1796,s==10|[稀有]1星回春虎符,2,521403,1,1,9,,,
240,1796,s==10|[极品]1星回春虎符,2,531403,1,1,1,,,
241,1797,s==10|[普通]1星暴击虎符,2,511404,1,1,90,,,
242,1797,s==10|[稀有]1星暴击虎符,2,521404,1,1,9,,,
243,1797,s==10|[极品]1星暴击虎符,2,531404,1,1,1,,,
244,1798,s==10|[普通]1星天愈虎符,2,511405,1,1,90,,,
245,1798,s==10|[稀有]1星天愈虎符,2,521405,1,1,9,,,
246,1798,s==10|[极品]1星天愈虎符,2,531405,1,1,1,,,
247,1799,s==10|[普通]1星碎盾虎符,2,511406,1,1,90,,,
248,1799,s==10|[稀有]1星碎盾虎符,2,521406,1,1,9,,,
249,1799,s==10|[极品]1星碎盾虎符,2,531406,1,1,1,,,
250,1800,s==10|[普通]1星离火虎符,2,511407,1,1,90,,,
251,1800,s==10|[稀有]1星离火虎符,2,521407,1,1,9,,,
252,1800,s==10|[极品]1星离火虎符,2,531407,1,1,1,,,
253,1801,s==10|[普通]1星陷阵虎符,2,511408,1,1,90,,,
254,1801,s==10|[稀有]1星陷阵虎符,2,521408,1,1,9,,,
255,1801,s==10|[极品]1星陷阵虎符,2,531408,1,1,1,,,
256,1802,s==10|[普通]1星庇佑虎符,2,511409,1,1,90,,,
257,1802,s==10|[稀有]1星庇佑虎符,2,521409,1,1,9,,,
258,1802,s==10|[极品]1星庇佑虎符,2,531409,1,1,1,,,
259,1803,s==10|[普通]1星反伤虎符,2,511410,1,1,90,,,
260,1803,s==10|[稀有]1星反伤虎符,2,521410,1,1,9,,,
261,1803,s==10|[极品]1星反伤虎符,2,531410,1,1,1,,,
262,1804,s==10|[普通]1星血战虎符,2,511411,1,1,90,,,
263,1804,s==10|[稀有]1星血战虎符,2,521411,1,1,9,,,
264,1804,s==10|[极品]1星血战虎符,2,531411,1,1,1,,,
265,1805,s==10|[普通]1星强袭虎符,2,511412,1,1,90,,,
266,1805,s==10|[稀有]1星强袭虎符,2,521412,1,1,9,,,
267,1805,s==10|[极品]1星强袭虎符,2,531412,1,1,1,,,
268,1806,s==4|招贤锦囊,2,1003,2,2,500,,,
269,1806,s==4|招贤锦囊,2,1003,5,5,300,,,
270,1806,s==4|招贤锦囊,2,1004,1,1,200,,,
271,1901,s==6|幸运夺宝礼包,1,8,800000,800000,300,,,
272,1901,s==6|幸运夺宝礼包,1,8,1000000,1000000,200,,,
273,1901,s==6|幸运夺宝礼包,1,10,800000,800000,300,,,
274,1901,s==6|幸运夺宝礼包,1,10,1000000,1000000,200,,,
275,1902,s==6|高级夺宝礼包,2,25506,50,50,150,,,
276,1902,s==6|高级夺宝礼包,2,23513,50,50,150,,,
277,1902,s==6|高级夺宝礼包,2,25506,25,25,300,,,
278,1902,s==6|高级夺宝礼包,2,23513,25,25,300,,,
279,1950,s==6|幸运召唤福袋,2,1003,2,2,500,,,
280,1950,s==6|幸运召唤福袋,2,1003,3,3,300,,,
281,1950,s==6|幸运召唤福袋,2,1003,5,5,200,,,
282,2101,s==6|普通战旗宝箱,2,6001,1,1,1000,,,
283,2101,s==6|普通战旗宝箱,2,6002,1,1,300,,,
284,2101,s==6|普通战旗宝箱,2,6003,1,1,200,,,
285,2101,s==6|普通战旗宝箱,2,6004,1,1,100,,,
286,2101,s==6|普通战旗宝箱,2,6005,1,1,20,,,
287,2102,s==6|普通战旗宝箱,2,6001,1,1,1000,,,
288,2102,s==6|普通战旗宝箱,2,6002,1,1,300,,,
289,2102,s==6|普通战旗宝箱,2,6003,1,1,200,,,
290,2102,s==6|普通战旗宝箱,2,6004,1,1,100,,,
291,2102,s==6|普通战旗宝箱,2,6006,1,1,20,,,
292,2103,s==6|普通战旗宝箱,2,6001,1,1,1000,,,
293,2103,s==6|普通战旗宝箱,2,6002,1,1,300,,,
294,2103,s==6|普通战旗宝箱,2,6003,1,1,200,,,
295,2103,s==6|普通战旗宝箱,2,6004,1,1,100,,,
296,2103,s==6|普通战旗宝箱,2,6007,1,1,20,,,
297,2104,s==6|普通战旗宝箱,2,6001,1,1,1000,,,
298,2104,s==6|普通战旗宝箱,2,6002,1,1,300,,,
299,2104,s==6|普通战旗宝箱,2,6003,1,1,200,,,
300,2104,s==6|普通战旗宝箱,2,6004,1,1,100,,,
301,2104,s==6|普通战旗宝箱,2,6008,1,1,20,,,
302,2105,s==6|普通战旗宝箱,2,6001,1,1,1000,,,
303,2105,s==6|普通战旗宝箱,2,6002,1,1,300,,,
304,2105,s==6|普通战旗宝箱,2,6003,1,1,200,,,
305,2105,s==6|普通战旗宝箱,2,6004,1,1,100,,,
306,2105,s==6|普通战旗宝箱,2,6009,1,1,20,,,
307,2106,s==6|普通战旗宝箱,2,6001,1,1,1000,,,
308,2106,s==6|普通战旗宝箱,2,6002,1,1,300,,,
309,2106,s==6|普通战旗宝箱,2,6003,1,1,200,,,
310,2106,s==6|普通战旗宝箱,2,6004,1,1,100,,,
311,2106,s==6|普通战旗宝箱,2,6010,1,1,20,,,
312,2201,s==6|稀有战旗宝箱,2,6002,1,1,800,,,
313,2201,s==6|稀有战旗宝箱,2,6003,1,1,500,,,
314,2201,s==6|稀有战旗宝箱,2,6004,1,1,100,,,
315,2201,s==6|稀有战旗宝箱,2,6005,1,1,50,,,
316,2202,s==6|稀有战旗宝箱,2,6002,1,1,800,,,
317,2202,s==6|稀有战旗宝箱,2,6003,1,1,500,,,
318,2202,s==6|稀有战旗宝箱,2,6004,1,1,100,,,
319,2202,s==6|稀有战旗宝箱,2,6006,1,1,50,,,
320,2203,s==6|稀有战旗宝箱,2,6002,1,1,800,,,
321,2203,s==6|稀有战旗宝箱,2,6003,1,1,500,,,
322,2203,s==6|稀有战旗宝箱,2,6004,1,1,100,,,
323,2203,s==6|稀有战旗宝箱,2,6007,1,1,50,,,
324,2204,s==6|稀有战旗宝箱,2,6002,1,1,800,,,
325,2204,s==6|稀有战旗宝箱,2,6003,1,1,500,,,
326,2204,s==6|稀有战旗宝箱,2,6004,1,1,100,,,
327,2204,s==6|稀有战旗宝箱,2,6008,1,1,50,,,
328,2205,s==6|稀有战旗宝箱,2,6002,1,1,800,,,
329,2205,s==6|稀有战旗宝箱,2,6003,1,1,500,,,
330,2205,s==6|稀有战旗宝箱,2,6004,1,1,100,,,
331,2205,s==6|稀有战旗宝箱,2,6009,1,1,50,,,
332,2206,s==6|稀有战旗宝箱,2,6002,1,1,800,,,
333,2206,s==6|稀有战旗宝箱,2,6003,1,1,500,,,
334,2206,s==6|稀有战旗宝箱,2,6004,1,1,100,,,
335,2206,s==6|稀有战旗宝箱,2,6010,1,1,50,,,
336,2301,s==6|珍稀战旗宝箱,2,6003,1,1,1000,,,
337,2301,s==6|珍稀战旗宝箱,2,6004,1,1,200,,,
338,2301,s==6|珍稀战旗宝箱,2,6005,1,1,100,,,
339,2302,s==6|珍稀战旗宝箱,2,6003,1,1,1000,,,
340,2302,s==6|珍稀战旗宝箱,2,6004,1,1,200,,,
341,2302,s==6|珍稀战旗宝箱,2,6006,1,1,100,,,
342,2303,s==6|珍稀战旗宝箱,2,6003,1,1,1000,,,
343,2303,s==6|珍稀战旗宝箱,2,6004,1,1,200,,,
344,2303,s==6|珍稀战旗宝箱,2,6007,1,1,100,,,
345,2304,s==6|珍稀战旗宝箱,2,6003,1,1,1000,,,
346,2304,s==6|珍稀战旗宝箱,2,6004,1,1,200,,,
347,2304,s==6|珍稀战旗宝箱,2,6008,1,1,100,,,
348,2305,s==6|珍稀战旗宝箱,2,6003,1,1,1000,,,
349,2305,s==6|珍稀战旗宝箱,2,6004,1,1,200,,,
350,2305,s==6|珍稀战旗宝箱,2,6009,1,1,100,,,
351,2306,s==6|珍稀战旗宝箱,2,6003,1,1,1000,,,
352,2306,s==6|珍稀战旗宝箱,2,6004,1,1,200,,,
353,2306,s==6|珍稀战旗宝箱,2,6010,1,1,100,,,
354,2307,s==8|宝物精粹随机礼包,2,1038,1,1,1,,,
355,2307,s==8|宝物精粹随机礼包,2,1039,1,1,1,,,
356,2307,s==8|宝物精粹随机礼包,2,1040,1,1,1,,,
357,2307,s==8|宝物精粹随机礼包,2,1041,1,1,2,,,
358,2307,s==8|宝物精粹随机礼包,2,1042,1,1,2,,,
359,2312,s==8|1级随机宝石礼包,2,61001,1,1,666,,,
360,2312,s==8|1级随机宝石礼包,2,61002,1,1,667,,,
361,2312,s==8|1级随机宝石礼包,2,61003,1,1,666,,,
362,2312,s==8|1级随机宝石礼包,2,61004,1,1,666,,,
363,2312,s==8|1级随机宝石礼包,2,61005,1,1,666,,,
364,2312,s==8|1级随机宝石礼包,2,61006,1,1,666,,,
365,2312,s==8|1级随机宝石礼包,2,61007,1,1,666,,,
366,2312,s==8|1级随机宝石礼包,2,61008,1,1,666,,,
367,2312,s==8|1级随机宝石礼包,2,61009,1,1,666,,,
368,2312,s==8|1级随机宝石礼包,2,61010,1,1,666,,,
369,2312,s==8|1级随机宝石礼包,2,61011,1,1,666,,,
370,2312,s==8|1级随机宝石礼包,2,61012,1,1,666,,,
371,2312,s==8|1级随机宝石礼包,2,61013,1,1,666,,,
372,2312,s==8|1级随机宝石礼包,2,61014,1,1,666,,,
373,2312,s==8|1级随机宝石礼包,2,61015,1,1,666,,,
374,2308,s==5|宴席礼盒 ,2,1003,1,1,500,,,
375,2308,s==5|宴席礼盒 ,2,1006,50,50,2200,,,
376,2308,s==5|宴席礼盒 ,2,1001,50,50,2200,,,
377,2308,s==5|宴席礼盒 ,2,1077,10,10,1700,,,
378,2308,s==5|宴席礼盒 ,2,1007,1,1,1700,,,
379,2308,s==5|宴席礼盒 ,2,1005,1,1,1700,,,
380,2309,s==4|至尊礼盒,2,1004,1,1,500,10,,
381,2309,s==4|至尊礼盒,2,1003,1,1,1400,,,
382,2309,s==4|至尊礼盒,2,1006,400,400,1400,,,
383,2309,s==4|至尊礼盒,2,3008,5,5,1400,,,
384,2309,s==4|至尊礼盒,2,1027,20,20,1500,,,
385,2309,s==4|至尊礼盒,2,1029,1,1,800,,,
386,2309,s==4|至尊礼盒,2,1030,1,1,200,,,
387,2309,s==4|至尊礼盒,2,1036,1,1,800,,,
388,2309,s==4|至尊礼盒,2,1037,1,1,200,,,
389,2309,s==4|至尊礼盒,2,1043,1,1,800,,,
390,2309,s==4|至尊礼盒,2,1044,1,1,200,,,
392,1550,s==6|副将培养礼包,2,1017,1,1,80,,,
393,1550,s==6|副将培养礼包,2,1018,1,1,20,5,1,
394,2310,s==14|2星3星极品配饰随机自选宝箱,2,1474,1,1,90,,,
395,2310,s==14|2星3星极品配饰随机自选宝箱,2,1475,1,1,10,,,
396,2311,s==4|情人之念,2,1109,1,1,1,,,
397,2400,s==6|进度值1-2,1,8,80000,80000,2000,,,
398,2400,s==6|进度值1-2,2,3002,10,10,2000,,,
399,2400,s==6|进度值1-2,2,1077,20,20,2000,,,
400,2400,s==6|进度值1-2,2,1007,3,3,2000,,,
401,2400,s==6|进度值1-2,2,1005,2,2,2000,,,
402,2401,s==6|进度值3-4,2,1003,1,1,1000,,,
403,2401,s==6|进度值3-4,2,1006,300,300,2000,,,
404,2401,s==6|进度值3-4,2,3008,5,5,3000,,,
405,2401,s==6|进度值3-4,2,4010,1,1,2000,,,
406,2401,s==6|进度值3-4,2,3002,30,30,2000,,,
407,2402,s==4|进度值5,2,1138,1,1,10,3,1,
408,2402,s==4|进度值5,2,1014,1,1,5200,,,
409,2402,s==4|进度值5,2,1029,1,1,1700,,,
410,2402,s==4|进度值5,2,1043,1,1,1590,,,
411,2402,s==4|进度值5,2,1036,1,1,1500,,,
412,2403,s==4|饯春礼盒,2,1527,1,1,50,50,1,
413,2403,s==4|饯春礼盒,2,1516,1,1,100,20,1,
414,2403,s==4|饯春礼盒,2,1027,40,40,1802,,,
415,2403,s==4|饯春礼盒,2,3008,50,50,151,,,
416,2403,s==4|饯春礼盒,2,3008,30,30,400,,,
417,2403,s==4|饯春礼盒,2,3008,10,10,1200,,,
418,2403,s==4|饯春礼盒,2,1004,2,2,60,,,
419,2403,s==4|饯春礼盒,2,1004,1,1,151,10,1,
420,2403,s==4|饯春礼盒,2,1077,100,100,1511,,,
421,2403,s==4|饯春礼盒,2,1003,5,5,300,,,
422,2403,s==4|饯春礼盒,2,1003,3,3,500,,,
