id,groupAttack,quality,addProsType,addProsHeroType,addProsWay,addProsNum,waveDown,waveUp,weight,
142,2,12,14,0,1,125,75,125,20,
143,2,12,17,0,0,125,75,125,20,
144,2,12,3,0,1,125,75,125,20,
145,1,13,8,0,0,135,75,125,20,
146,1,13,5,0,0,135,75,125,20,
147,1,13,13,0,0,135,75,125,20,
148,1,13,12,0,0,135,75,125,20,
149,1,13,16,0,0,135,75,125,20,
150,1,13,23,0,1,135,75,125,20,
151,2,13,20,0,0,135,75,125,20,
152,2,13,7,0,0,135,75,125,20,
153,2,13,15,0,1,135,75,125,20,
154,2,13,14,0,1,135,75,125,20,
155,2,13,17,0,0,135,75,125,20,
156,2,13,3,0,1,135,75,125,20,
157,1,14,8,0,0,150,75,125,20,
158,1,14,5,0,0,150,75,125,20,
159,1,14,13,0,0,150,75,125,20,
160,1,14,12,0,0,150,75,125,20,
161,1,14,16,0,0,150,75,125,20,
162,1,14,23,0,1,150,75,125,20,
163,2,14,20,0,0,150,75,125,20,
164,2,14,7,0,0,150,75,125,20,
165,2,14,15,0,1,150,75,125,20,
166,2,14,14,0,1,150,75,125,20,
167,2,14,17,0,0,150,75,125,20,
168,2,14,3,0,1,150,75,125,20,
