id,groupId,star,propertyId,propertyType,propertyValueMin,propertyValueMax,propertyWay,weight,desc,clearType,clearNum,clearMaxTime,nextid,
37,201,2,8,1,20,250,0,100,s==2|命中,1,s==8|10|10|10,23,67,
38,201,2,18,1,20,370,0,100,s==2|治疗,1,s==8|10|10|10,35,68,
39,201,2,12,1,20,250,0,100,s==2|物伤,1,s==8|10|10|10,23,69,
40,201,2,13,1,20,250,0,100,s==2|法伤,1,s==8|10|10|10,23,70,
41,202,2,2,0,533,1976,0,100,s==2|攻击,0,s==8|22|22|22,66,71,
42,202,2,1,0,4127,17791,0,100,s==2|生命,0,s==11|210|210|210,66,72,
43,202,2,4,0,200,2000,0,100,s==2|速度,0,s==8|50|50|50,36,73,
44,202,2,3,1,20,300,1,100,s==2|防御,1,s==8|10|10|10,28,74,
45,202,2,1,1,20,300,1,100,s==2|生命,1,s==8|10|10|10,28,75,
46,202,2,17,1,20,250,0,100,s==2|抗控,1,s==8|10|10|10,23,76,
47,202,2,7,1,20,300,0,100,s==2|抗暴,1,s==8|12|12|12,24,77,
48,202,2,9,1,20,250,0,100,s==2|闪避,1,s==8|10|10|10,23,78,
49,202,2,14,1,20,250,0,100,s==2|物免,1,s==8|10|10|10,23,79,
50,202,2,15,1,20,250,0,100,s==2|法免,1,s==8|10|10|10,23,80,
51,203,2,2,0,533,1976,0,100,s==2|攻击,0,s==8|22|22|22,66,81,
52,203,2,1,0,4127,17791,0,100,s==2|生命,0,s==11|210|210|210,66,82,
53,203,2,4,0,200,2000,0,100,s==2|速度,0,s==8|50|50|50,36,83,
54,203,2,2,1,20,300,1,100,s==2|攻击,1,s==5|7|7|7,40,84,
55,203,2,5,1,20,300,0,100,s==2|暴击,1,s==8|10|10|10,28,85,
56,203,2,16,1,20,250,0,100,s==2|控制,1,s==8|10|10|10,23,86,
57,203,2,8,1,20,250,0,100,s==2|命中,1,s==8|10|10|10,23,87,
58,203,2,18,1,20,370,0,100,s==2|治疗,1,s==8|10|10|10,35,88,
59,203,2,12,1,20,250,0,100,s==2|物伤,1,s==8|10|10|10,23,89,
60,203,2,13,1,20,250,0,100,s==2|法伤,1,s==8|10|10|10,23,90,
61,301,3,2,0,788,2500,0,100,s==2|攻击,0,s==8|19|19|19,91,91,
62,301,3,1,0,7996,22403,0,100,s==2|生命,0,s==11|155|155|155,93,92,
63,301,3,4,0,300,3000,0,100,s==2|速度,0,s==8|60|60|60,45,93,
64,301,3,2,1,30,400,1,100,s==2|攻击,1,s==5|8|8|8,47,94,
65,301,3,6,1,40,700,0,100,s==2|暴伤,1,s==8|20|20|20,33,95,
66,301,3,16,1,30,300,0,100,s==2|控制,1,s==8|10|10|10,27,96,
67,301,3,8,1,30,300,0,100,s==2|命中,1,s==8|10|10|10,27,97,
68,301,3,18,1,40,440,0,100,s==2|治疗,1,s==8|10|10|10,40,98,
69,301,3,12,1,30,300,0,100,s==2|物伤,1,s==8|10|10|10,27,99,
70,301,3,13,1,30,300,0,100,s==2|法伤,1,s==8|10|10|10,27,100,
71,302,3,2,0,788,2500,0,100,s==2|攻击,0,s==8|19|19|19,91,101,
72,302,3,1,0,7996,22403,0,100,s==2|生命,0,s==11|155|155|155,93,102,
73,302,3,4,0,300,3000,0,100,s==2|速度,0,s==8|60|60|60,45,103,
74,302,3,3,1,30,400,1,100,s==2|防御,1,s==8|10|10|10,37,104,
75,302,3,1,1,30,400,1,100,s==2|生命,1,s==8|10|10|10,37,105,
76,302,3,17,1,30,300,0,100,s==2|抗控,1,s==8|10|10|10,27,106,
77,302,3,7,1,30,400,0,100,s==2|抗暴,1,s==8|10|10|10,37,107,
78,302,3,9,1,30,300,0,100,s==2|闪避,1,s==8|10|10|10,27,108,
79,302,3,14,1,30,300,0,100,s==2|物免,1,s==8|10|10|10,27,109,
80,302,3,15,1,30,300,0,100,s==2|法免,1,s==8|10|10|10,27,110,
81,303,3,2,0,788,2500,0,100,s==2|攻击,0,s==8|19|19|19,91,111,
82,303,3,1,0,7996,22403,0,100,s==2|生命,0,s==11|155|155|155,93,112,
83,303,3,4,0,300,3000,0,100,s==2|速度,0,s==8|60|60|60,45,113,
84,303,3,2,1,30,400,1,100,s==2|攻击,1,s==5|8|8|8,37,114,
85,303,3,5,1,30,400,0,100,s==2|暴击,1,s==8|10|10|10,37,115,
86,303,3,16,1,30,300,0,100,s==2|控制,1,s==8|10|10|10,27,116,
87,303,3,8,1,30,300,0,100,s==2|命中,1,s==8|10|10|10,27,117,
88,303,3,18,1,40,440,0,100,s==2|治疗,1,s==8|10|10|10,40,118,
89,303,3,12,1,30,300,0,100,s==2|物伤,1,s==8|10|10|10,27,119,
90,303,3,13,1,30,300,0,100,s==2|法伤,1,s==8|10|10|10,27,120,
91,401,4,2,0,1012,4111,0,100,s==2|攻击,0,s==8|26|26|26,120,121,
92,401,4,1,0,11833,36600,0,100,s==2|生命,0,s==11|208|208|208,120,122,
93,401,4,4,0,400,4000,0,100,s==2|速度,0,s==8|60|60|60,60,123,
94,401,4,2,1,40,500,1,100,s==2|攻击,1,s==5|9|9|9,52,124,
95,401,4,6,1,50,900,0,100,s==2|暴伤,1,s==8|20|20|20,43,125,
96,401,4,16,1,40,350,0,100,s==2|控制,1,s==8|10|10|10,31,126,
97,401,4,8,1,40,350,0,100,s==2|命中,1,s==8|10|10|10,31,127,
98,401,4,18,1,40,510,0,100,s==2|治疗,1,s==8|10|10|10,47,128,
99,401,4,12,1,40,350,0,100,s==2|物伤,1,s==8|10|10|10,31,129,
100,401,4,13,1,40,350,0,100,s==2|法伤,1,s==8|10|10|10,31,130,
101,402,4,2,0,1012,4111,0,100,s==2|攻击,0,s==8|26|26|26,120,131,
102,402,4,1,0,11833,36600,0,100,s==2|生命,0,s==11|208|208|208,120,132,
103,402,4,4,0,400,4000,0,100,s==2|速度,0,s==8|60|60|60,60,133,
104,402,4,3,1,40,500,1,100,s==2|防御,1,s==8|10|10|10,46,134,
105,402,4,1,1,40,500,1,100,s==2|生命,1,s==8|10|10|10,46,135,
106,402,4,17,1,50,450,0,100,s==2|抗控,1,s==8|10|10|10,40,136,
107,402,4,7,1,40,500,0,100,s==2|抗暴,1,s==8|10|10|10,46,137,
108,402,4,9,1,40,350,0,100,s==2|闪避,1,s==8|10|10|10,31,138,
109,402,4,14,1,40,350,0,100,s==2|物免,1,s==8|10|10|10,31,139,
110,402,4,15,1,40,350,0,100,s==2|法免,1,s==8|10|10|10,31,140,
111,403,4,2,0,1012,4111,0,100,s==2|攻击,0,s==8|26|26|26,120,141,
112,403,4,1,0,11833,36600,0,100,s==2|生命,0,s==11|208|208|208,120,142,
113,403,4,4,0,400,4000,0,100,s==2|速度,0,s==8|60|60|60,60,143,
114,403,4,2,1,40,500,1,100,s==2|攻击,1,s==5|9|9|9,52,144,
115,403,4,5,1,40,500,0,100,s==2|暴击,1,s==8|10|10|10,46,145,
116,403,4,16,1,40,350,0,100,s==2|控制,1,s==8|10|10|10,31,146,
117,403,4,8,1,40,350,0,100,s==2|命中,1,s==8|10|10|10,31,147,
118,403,4,18,1,40,510,0,100,s==2|治疗,1,s==8|10|10|10,47,148,
119,403,4,12,1,40,350,0,100,s==2|物伤,1,s==8|10|10|10,31,149,
120,403,4,13,1,40,350,0,100,s==2|法伤,1,s==8|10|10|10,31,150,
121,501,5,2,0,1402,6052,0,100,s==2|攻击,0,s==8|26|26|26,150,,
122,501,5,1,0,14754,53004,0,100,s==2|生命,0,s==11|255|255|255,150,,
123,501,5,4,0,500,5000,0,100,s==2|速度,0,s==8|70|70|70,65,,
124,501,5,2,1,50,650,1,100,s==2|攻击,1,s==8|10|10|10,60,,
125,501,5,6,1,70,1100,0,100,s==2|暴伤,1,s==8|20|20|20,52,,
126,501,5,16,1,50,450,0,100,s==2|控制,1,s==8|10|10|10,40,,
127,501,5,8,1,50,450,0,100,s==2|命中,1,s==8|10|10|10,40,,
128,501,5,18,1,60,600,0,100,s==2|治疗,1,s==8|10|10|10,54,,
129,501,5,12,1,50,450,0,100,s==2|物伤,1,s==8|10|10|10,40,,
130,501,5,13,1,50,450,0,100,s==2|法伤,1,s==8|10|10|10,40,,
131,502,5,2,0,1402,6052,0,100,s==2|攻击,0,s==8|31|31|31,150,,
132,502,5,1,0,14754,53004,0,100,s==2|生命,0,s==11|255|255|255,150,,
133,502,5,4,0,500,5000,0,100,s==2|速度,0,s==8|70|70|70,65,,
134,502,5,3,1,50,600,1,100,s==2|防御,1,s==8|10|10|10,55,,
135,502,5,1,1,50,650,1,100,s==2|生命,1,s==8|10|10|10,65,,
136,502,5,17,1,50,600,0,100,s==2|抗控,1,s==8|10|10|10,55,,
137,502,5,7,1,50,600,0,100,s==2|抗暴,1,s==8|10|10|10,55,,
138,502,5,9,1,50,450,0,100,s==2|闪避,1,s==8|10|10|10,40,,
139,502,5,14,1,50,450,0,100,s==2|物免,1,s==8|10|10|10,40,,
140,502,5,15,1,50,450,0,100,s==2|法免,1,s==8|10|10|10,40,,
141,503,5,2,0,1402,6052,0,100,s==2|攻击,0,s==8|31|31|31,150,,
142,503,5,1,0,14754,53004,0,100,s==2|生命,0,s==11|255|255|255,150,,
143,503,5,4,0,500,5000,0,100,s==2|速度,0,s==8|70|70|70,65,,
144,503,5,2,1,50,650,1,100,s==2|攻击,1,s==8|10|10|10,60,,
145,503,5,5,1,50,600,0,100,s==2|暴击,1,s==8|10|10|10,55,,
146,503,5,16,1,50,450,0,100,s==2|控制,1,s==8|10|10|10,40,,
147,503,5,8,1,50,450,0,100,s==2|命中,1,s==8|10|10|10,40,,
148,503,5,18,1,60,600,0,100,s==2|治疗,1,s==8|10|10|10,54,,
149,503,5,12,1,50,450,0,100,s==2|物伤,1,s==8|10|10|10,40,,
150,503,5,13,1,50,450,0,100,s==2|法伤,1,s==8|10|10|10,40,,
