id,dateStart,dateEnd,actId,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,1,133,5730,2,1148,1,2,6469,340,1,4,,,,,s==8|Tào Tiết,,,20,
56,303,358,5730,2,1082,1,2,6469,4,40,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
57,303,358,5730,2,1080,1,2,6469,20,20,4,,,,,s==11|Đào Hoa Tụy,,,16,
58,303,358,5730,2,1045,1,2,6469,8,10,4,,,,,s==19|Chiến Hồn Tinh Quái,,,15,
59,303,358,5730,2,1046,1,2,6469,4,40,4,,,,,s==18|Chiến Hồn Tinh Hoa,,,14,
60,303,358,5730,2,1230,1,2,6469,5,30,4,,,,,s==22|Bách Luyện Huyền Cương,,,13,
61,303,358,5730,2,1228,1,2,6469,8,5,4,,,,,s==10|Kỳ Vận Phù,,,12,
62,303,358,5730,2,1078,100,2,6469,1,50,4,,,,,s==11|Nữ Nhi Hồng,,,11,
63,303,358,5730,2,1001,100,2,6469,4,150,4,,,,,s==13|Đột Phá Thạch,,,10,
64,303,358,5730,1,10,50000,2,6469,2,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,9,
65,303,358,5730,1,8,50000,2,6469,2,300,4,,,,,s==9|Đồng Tiền,,,8,
66,359,999,5730,2,1154,1,2,6469,340,1,4,,,,,s==10|Tôn Lỗ Ban,,,20,
67,359,999,5730,2,6722,1,2,6469,55,7,4,,,,,s==31|Mỹ Nhân Tủy Phiến Tự Chọn Tương,,,19,
68,359,999,5730,2,1081,1,2,6469,8,10,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
69,359,999,5730,2,1082,1,2,6469,4,40,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
70,359,999,5730,2,1080,1,2,6469,20,20,4,,,,,s==11|Đào Hoa Tụy,,,16,
71,359,999,5730,2,1045,1,2,6469,8,10,4,,,,,s==19|Chiến Hồn Tinh Quái,,,15,
72,359,999,5730,2,1046,1,2,6469,4,40,4,,,,,s==18|Chiến Hồn Tinh Hoa,,,14,
73,359,999,5730,2,1230,1,2,6469,5,30,4,,,,,s==22|Bách Luyện Huyền Cương,,,13,
74,359,999,5730,2,1228,1,2,6469,8,5,4,,,,,s==10|Kỳ Vận Phù,,,12,
75,359,999,5730,2,1078,100,2,6469,1,50,4,,,,,s==11|Nữ Nhi Hồng,,,11,
76,359,999,5730,2,1001,100,2,6469,4,150,4,,,,,s==13|Đột Phá Thạch,,,10,
77,359,999,5730,1,10,50000,2,6469,2,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,9,
78,359,999,5730,1,8,50000,2,6469,2,300,4,,,,,s==9|Đồng Tiền,,,8,
