id,dressType,isShow,itemId,heroId,changedHeroId,name,addPros-type-1,addPros-way-1,addPros-value-1,addPros-type-2,addPros-way-2,addPros-value-2,addPros-type-3,addPros-way-3,addPros-value-3,addPros-type-4,addPros-way-4,addPros-value-4,recovery-type-1,recovery-id-1,recovery-value-1,desc,addHp,addAtk,force-type-1,force-id-1,force-value-1,exSkillId,isclose,feeType,feeId,feeVal,serviceDay,textImg,frontDressId,addAllPros-type-1,addAllPros-way-1,addAllPros-value-1,addAllPros-type-2,addAllPros-way-2,addAllPros-value-2,
13011,2,1,13717,24510,24510001,s==16|Thần·Thái Văn Cơ,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==194|Thần·Thái Văn Cơ giác tỉnh da， kỹ năng： phát động【Hoàng Minh】thời， đồng thời phục sinh ta phương đơn thể tướng；【Dư Âm Quảo Lương】ngoài ra cho mục tiêu hồi phục bằng 10% công kích của Thái Văn Cơ,19585,2125,2,1083,250,24510001,1,,,,,,,,,,,,,
13012,2,1,13718,21510,21510001,s==7|Hứa Chử,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==185|Hứa Chử giác tỉnh da， kỹ năng：【Chiến Dũng Đương Tiên】bị công kích thời， sử dụng【Lõa Y Nộ Tập】phản kích hậu， có 100% xác suất đối mục tiêu tái phát 1 lần 50% tổn thương của【Lõa Y Nộ Tập】,4910,515,2,1083,50,21510001,1,,,,,,,,,,,,,
13013,2,1,13719,22502,22502001,s==10|Trương Phi,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==222|Trương Phi giác tỉnh da， kỹ năng：【Đương Dương Nộ Hát】cho bản thân gán 2 lượt【Đột Trướng Mãnh Tiến】， bị công kích đối mục tiêu tiến hành 1 lần 50% tổn thương tam liên kích， đồng thời tăng bản thân miễn thương/kháng khống 5%,4910,515,2,1083,50,225020180,1,,,,,,,,,,,,,
13014,2,1,13720,23506,23506001,s==10|Thái Sử Từ,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==191|Thái Sử Từ giác tỉnh da，【Viêm Hỏa Chấn Kích】cho mục tiêu gán điểm nhiệt thời， thêm gây cho mục tiêu 1 lần bản thân sinh mệnh tối đa 3% tổn thương， cung cấp【Hộ Vũ】chia sẻ hiệu quả tăng đến 50%,4910,515,2,1083,50,235060170,1,,,,,,,,,,,,,
13015,2,1,13721,25507,25507001,s==14|Ma·Điêu Thuyền,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==305|Ma·Điêu Thuyền giác tỉnh da， kỹ năng： phát động【Nhất Vũ Khuynh Thành】hậu， ta phương hậu thủ 100% xác suất tối đa bị khuếch tán 2 cái tăng益 trạng thái， duy trì 2 lượt。 phát động【Song Mục Yểm Nguyệt】thời， thêm cho 1 mục tiêu hồi phục 50% tổn thương lần này， ưu tiên tác dụng lên phi nguyên thụ liệu mục tiêu,19585,2125,2,1083,250,255070170,1,,,,,,,,,,,,,
14001,3,1,13722,,30071,s==17|Quân Tâm Hào Kiệt,,,,,,,,,,,,,1,8,1,s==93|Khởi thủy đế vương da， giải khóa đế vương tướng thời đồng bộ thu hoạch， vô thêm phụ tính chất,,,,,,,1,1,9,3000,,,,,,,,,,
15001,3,1,13723,,30072,s==18|Quân Tâm Hồng Nhan,,,,,,,,,,,,,1,8,1,s==93|Khởi thủy đế vương da， giải khóa đế vương tướng thời đồng bộ thu hoạch， vô thêm phụ tính chất,,,,,,,1,1,9,3000,,,,,,,,,,
14002,3,1,13724,,30073,s==18|Huyền Viên Long Uy,1,1,200,2,1,200,,,,,,,1,8,100000,s==151|Trân hiếm đế vương da， kích phát tiềm ẩn trong đế vương thể nội đế tổ Hiên Viên chi lực， giải khóa hậu khả dĩ vĩnh viễn tăng toàn thể tướng thuộc tính。,,,,,,,1,,,,,s==10|j_jzczhd03,,,,,,,,
15002,3,1,13725,,30074,s==22|Huyền Viên Phượng Nghi,1,1,200,2,1,200,,,,,,,1,8,100000,s==151|Trân hiếm đế vương da， kích phát tiềm ẩn trong đế vương thể nội đế tổ Hiên Viên chi lực， giải khóa hậu khả dĩ vĩnh viễn tăng toàn thể tướng thuộc tính。,,,,,,,1,,,,,s==10|j_jzczhd03,,,,,,,,
13016,2,1,13726,21508,21508001,s==11|Trương Liêu,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==219|Trương Liêu giác tỉnh da， kỹ năng：【Chiến Trận Xung Quyết】công kích trước， 100% xác suất cho mục tiêu gán 1 tầng【Thương Hàn】，【Triệu Hổ Quân Uy】mỗi tầng【Quan Trận】ngoài ra cung cấp cho bản thân 3% chính xác、1% miễn thương,4910,515,2,1083,50,21508001,1,,,,,,,,,,,,,
13017,2,1,13727,24505,24505001,s==12|Thần·Quan Vũ,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==209|Thần·Quan Vũ giác tỉnh da， kỹ năng：【Thần Long Khuy Sát】hạ sát mục tiêu cấm phục sinh；【Võ Thánh Chi Thể】cường hóa thành【Chân·Võ Thánh Chi Xương】， chịu đơn lần tổn thương không quá bản thân sinh mệnh tối đa 30%。,19585,2125,2,1083,250,245050160,1,,,,,,,,,,,,,
13018,2,1,13728,22507,22507001,s==13|Gia Cát Lượng,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==225|Gia Cát Lượng giác tỉnh da， kỹ năng：【Thất Tinh Tục Mệnh】ngoài ra khuếch tán ta phương hậu thủ ngẫu nhiên 1 tướng tất cả tiêu cực trạng thái;【Khảm Quái Hồi Xuân】đối sinh mệnh dưới 50% mục tiêu， điều trị hiệu quả tăng thêm 30%。,4910,515,2,1083,50,22507001,1,,,,,,,,,,,,,
13019,1,,13729,23510,23510002,s==6|Chu Du,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==143|Chu Du chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Chu Du trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13021,1,,13731,22507,22507002,s==13|Gia Cát Lượng,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==157|Gia Cát Lượng chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Gia Cát Lượng trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13020,2,1,13730,23503,23503001,s==9|Tiểu Kiều,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==261|Tiểu Kiều giác tỉnh da， kỹ năng： phát động【Tỷ Dực Liên Chi】hậu， cho ta phương hậu thủ tướng gán【Phủ Nghịch Kháng】có thể kháng tất cả tiêu cực hiệu quả， duy trì 1 lượt。【Điệp Vũ Viêm Tức】cho ta phương tiền thủ tướng thêm hồi phục Tiểu Kiều 50% công kích sinh mệnh,4910,515,2,1083,50,235030160,1,,,,,,,,,,,,,
13022,2,1,13732,21512,21512001,s==6|Vu Cấm,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==154|Vu Cấm giác tỉnh da， kỹ năng： thường công kích có 20% xác suất cho mục tiêu gán 1 tầng【Thương Hàn】， Vu Cấm thường công kích tổn thương hệ số tăng thêm 15%,4910,515,2,1083,50,215120160,1,,,,,,,,,,,,,
13023,2,1,13733,24506,24506001,s==12|Thần·Lục Tốn,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==271|【Thức Hư Phá Vọng】nếu đối mục tiêu thành công gán【Phong】， liền thêm khiến mục tiêu không thể kích hoạt bạo kích， duy trì 2 lượt。【Thần Hỏa】tổn thương thêm do【Thủ Pháp Giả Công Kích Lực*10%】tăng lên【Thủ Pháp Giả Công Kích Lực*15%】， và thần hỏa hiệu quả không thể khuếch tán,19585,2125,2,1083,250,245060160,1,,,,,,,,,,,,,
13024,2,1,13734,25515,25515001,s==12|Ma·Triệu Vân,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==159|【Chiến Trận Hộ Vũ】ngoài ra cho ta phương công kích thứ cao tướng chia sẻ 30% tổn thương；【Ma Thương Thất Sát】công kích thấp nhất đoạn số từ 3 lần tăng lên 5 lần,19585,2125,2,1083,250,255150160,1,,,,,,,,,,,,,
13025,2,1,13735,22501,22501001,s==11|Hoàng Trung,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==274|Hoàng Trung giác tỉnh da， kỹ năng：【Tiễn Quang Liên Châu】kỹ năng mục tiêu từ ngẫu nhiên 2 người cải thành địch phương hậu thủ ngẫu nhiên 2 tướng，【Bách Phát Bách Trung】hạ sát mục tiêu thời thu hoạch mục tiêu 10% công kích gia trì， tối đa chồng 2 lần， duy trì đến chiến đấu tận,4910,515,2,1083,50,225010160,1,,,,,,,,,,,,,
13026,2,1,13736,25510,25510001,s==11|Ma·Tào Tháo,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==361|Ma·Tào Tháo sinh mệnh sơ lần dưới 50% thời nhập【Diêm Ma】 trạng thái， duy trì 1 lượt， sẽ chịu tổn thương 30% chuyển thành điều trị hiệu quả；【Diêm Ma】 kỳ chuyển hóa tổn thương， sẽ tại lượt kết thúc hoặc bản thân tử vong thời phân chia cho các tướng còn lại gánh chịu；【Hiệp Lệnh Chư Hầu】sơ lần bị khống chế thu hoạch【Bá Thể】hậu， kế tiếp công kích tất định bạo kích,19585,2125,2,1083,250,255100160,1,,,,,,,,,,,,,
13027,2,1,13737,21507,21507001,s==9|Quách Gia,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==245|Quách Gia giác tỉnh da， kỹ năng：【Kế Định Liêu Đông】đối gán【Thương Hàn】mục tiêu tất định chính xác， và bạo kích、 bạo thương thêm 20%。 ta phương tướng mỗi lần hành động hậu， có 35% xác suất cho địch phương ngẫu nhiên 1 tướng gán 1 tầng【Thương Hàn】,4910,515,2,1083,50,215070160,1,,,,,,,,,,,,,
13028,2,1,13738,24503,24503001,s==15|Thần·Khương Duy,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==266|【Thương Trận Phá Địch】cho ta phương tướng cung cấp【Hộ Thủ】sẽ thêm kèm 10% tổn thương phản đòn hiệu quả（hộ thủ biến mất hoặc bị khuếch tán， phản đòn hiệu quả cũng sẽ loại bỏ）；【Thù Tử Bắc Phạt】đồng thời trộm mục tiêu 10% phòng ngự， duy trì 2 lượt， không thể khuếch tán,19585,2125,2,1083,250,24503001,1,,,,,,,,,,,,,
13029,1,,13739,21508,21508002,s==11|Trương Liêu,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==153|Trương Liêu chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Trương Liêu trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13030,1,,13740,23508,23508002,s==8|Đại Kiều,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==147|Đại Kiều chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Đại Kiều trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13031,2,1,13741,23507,23507001,s==8|Cam Ninh,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==346|Cam Ninh giác tỉnh da， kỹ năng： phát động【Ám Hỏa Đoạn Không】thời， nếu mục tiêu phi trấn vệ， liền thêm gây mục tiêu sinh mệnh tối đa 3% tổn thương， không quá Cam Ninh công kích 3 lần； chủ động công kích thời， mục tiêu mỗi mang 1 tầng【Điểm Nhiệt】có thể cho lần công kích thêm 5% chính xác、5% bạo thương， tối đa tăng đến 30% chính xác、30% bạo thương,4910,515,2,1083,50,235070170,1,,,,,,,,,,,,,
13032,2,1,13742,23511,23511001,s==9|Tôn Quyền,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==330|Tôn Quyền giác tỉnh da， kỹ năng：【Tông Hỏa Liêu Nguyên】kích nổ tất cả【Điểm Nhiệt】、【Nghiệp Hỏa】， phân bình cho địch phương công kích cao nhất 3 tướng；【Quân Chủ Thống Dự】có thể thêm cho thống dự tướng tăng bản thân 5% công kích； công kích hậu có 100% xác suất cho mục tiêu thêm 1 tầng【Điểm Nhiệt】（duy trì 3 lượt， tối đa chồng 5 tầng),19585,2125,2,1083,250,235110160,1,,,,,,,,,,,,,
13033,2,1,13743,22511,22511001,s==10|Bàng Thống,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==341|Bàng Thống giác tỉnh da， kỹ năng： phát động【Thiết Tỏa Liên Hoàn】hậu， cho mục tiêu thêm【Trạc Mệnh】， mỗi lượt kết thúc hậu， trộm mục tiêu 10% tối đa sinh mệnh， trộm giá trị tối đa không quá Bàng Thống 10 lần công kích， duy trì 2 lượt， không thể khuếch tán； phát động【Cửu Thiên Chi Chí】thời， đối sinh mệnh cao hơn 50% mục tiêu tất định bạo kích,4910,515,2,1083,50,2251161,1,,,,,,,,,,,,,
13034,1,,13744,22504,22504002,s==7|Quan Vũ,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==145|Quan Vũ chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Quan Vũ trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13035,2,1,13745,22512,22512001,s==6|Lưu Bị,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==347|Lưu Bị giác tỉnh da， kỹ năng：【Thiên Nghĩa Hùng Tâm】phát động hậu có thể đối trừ mục tiêu ngoại công kích cao nhất 1 tướng gây lần này tổn thương 50% tán xạ tổn thương；【Quân Chủ Thống Dự】có thể thêm cho thống dự tướng tăng bản thân 5% công kích； công kích hậu khiến mục tiêu chính xác giảm 10%， duy trì 2 lượt， không thể chồng， không thể khuếch tán,19585,2125,2,1083,250,225120161,1,,,,,,,,,,,,,
13036,2,1,13746,23502,23502001,s==8|Chu Thái,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==485|Chu Thái giác tỉnh da， kỹ năng：【Bách Chiến Bất Thối】bị mang【Điểm Nhiệt】hoặc【Nghiệp Hỏa】trạng thái tướng công kích thời， 10% xác suất khiến mục tiêu trực tiếp chịu hiện tại mang【Điểm Nhiệt】hoặc【Nghiệp Hỏa】1 lần tổn thương；【Chiến Thủ Mãnh Công】sinh ra hộ thủ giá trị bị địch phương công kích tiêu hao thời， sẽ tích lũy bằng số lượng điều trị lượng， và tại hộ thủ biến mất hoặc bị phá vỡ thời， đối ta phương toàn thể tướng tiến hành phân bình điều trị。（bất bị điều trị、 bị liệu gia thành）,4910,515,2,1083,50,235020161,1,,,,,,,,,,,,,
13037,2,1,13747,21504,21504001,s==8|Vương Dị,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==328|Vương Dị giác tỉnh da， kỹ năng： mỗi lượt cho mục tiêu gán【Thương Hàn】có thể tăng bản thân 5% công kích、3% khống chế， mỗi lượt tối đa có thể chồng 2 tầng， tối đa chồng 5 tầng， duy trì toàn trường， không thể khuếch tán；【Tiễn Vũ Xuyên Vân】đối gán【Thương Hàn】mục tiêu công kích tất định chính xác， và thêm tăng 10% phá giáp hiệu quả,4910,515,2,1083,50,21504601,1,,,,,,,,,,,,,
13038,1,,13748,21512,21512002,s==6|Vu Cấm,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==143|Vu Cấm chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Vu Cấm trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13039,2,1,13749,24517,24517001,s==12|Thần·Mã Siêu,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==177|Thần Mã Siêu giác tỉnh da， kỹ năng：【Lôi Nộ Chấn Lệ】Thần Mã Siêu sớm đến tầng 3 lượt nhập【Lôi Nộ】trạng thái； Thần Mã Siêu công kích tại hộ vũ mục tiêu thời， thêm kèm 10% phá giáp,19585,2125,2,1083,250,245170170,1,,,,,,,,,,,,,
13040,2,1,13750,21515,21515001,s==8|Tào Tháo,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==328|Tào Tháo giác tỉnh da， kỹ năng：【Sinh Sát Dự Đoạt】cân bằng hậu thuộc tính tăng đến 5 lần phân bình cho ta phương tướng， không thể khuếch tán；【Hàn N虐 Phong Thiêu】thêm tăng một đoạn công kích， ưu tiên công kích địch phương sinh mệnh thấp nhất 3 mục tiêu；【Quân Chủ Thống Dự】có thể thêm cho thống dự tướng tăng bản thân 5% công kích；,19585,2125,2,1083,250,215150160,1,,,,,,,,,,,,,
14003,3,0,13751,,30075,s==17|Tĩnh Thế Thần Lâm,1,1,200,2,1,200,,,,,,,1,8,100000,s==150|Trân hiếm đế vương da， kích phát tiềm ẩn trong đế vương thể nội đế tổ Tĩnh Thế chi lực， giải khóa hậu khả dĩ vĩnh viễn tăng toàn thể tướng thuộc tính。,,,,,,,1,,,,90,s==10|j_jzczhd13,,,,,,,,
15003,3,0,13752,,30076,s==18|Tĩnh Thế Kinh Hồng,1,1,200,2,1,200,,,,,,,1,8,100000,s==150|Trân hiếm đế vương da， kích phát tiềm ẩn trong đế vương thể nội đế tổ Tĩnh Thế chi lực， giải khóa hậu khả dĩ vĩnh viễn tăng toàn thể tướng thuộc tính。,,,,,,,1,,,,90,s==10|j_jzczhd13,,,,,,,,
13041,1,,13753,23506,23506002,s==10|Thái Sử Từ,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==151|Thái Sử Từ chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Thái Sử Từ trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13042,2,1,13754,25514,25514001,s==9|Ma·Hoa Đà,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==304|Ma·Hoa Đà giác tỉnh da， kỹ năng：【Ám Hành Độc Kế】đối mục tiêu gây tổn thương hậu， 30% xác suất trộm mục tiêu 5% tối đa sinh mệnh， trộm sinh mệnh tối đa không quá Ma Hoa Đà công kích 3 lần；【Sân Thực Vụ Khí】kèm theo【Vô Lực】hiệu quả biến thành không thể khuếch tán， và mang【Vô Lực】mục tiêu phòng ngự giảm 10%,19585,2125,2,1083,250,255140160,1,,,,,,,,,,,,,
13043,2,1,13755,24516,24516001,s==15|Thần·Trương Phi,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==355|Thần·Trương Phi giác tỉnh da， kỹ năng： kích hoạt【Pháp Giới】hậu ngoài ra cho mục tiêu gán pháp thuật phản đòn hiệu quả， chịu pháp thuật tổn thương thời sẽ phản đòn 20% lần công kích gây tổn thương， duy trì 2 lượt， không thể khuếch tán； phát động【Thiên Nộ Chỉ Giới】thời tiêu hao sinh mệnh， tại lượt kế tiếp kết thúc hậu sẽ chuyển hóa thành điều trị hồi lại；,19585,2125,2,1083,250,245160160,1,,,,,,,,,,,,,
13044,2,1,13756,25516,25516001,s==10|Ma·Tư Mã Ý,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==355|Ma·Tư Mã Ý giác tỉnh da， kỹ năng： công kích thời chưa bạo kích thu hoạch 1 tầng【Ẩn Nhẫn】， tăng 10% bạo kích、 bạo thương， có thể chồng 3 tầng， không thể khuếch tán； 3 tầng【Ẩn Nhẫn】hậu， tiêu hao toàn bộ【Ẩn Nhẫn】khiến lần công kích kế tiếp tất định bạo kích， đồng thời tái tích lũy； phát động【Chủ Liên Tuyệt Diệt】， thêm tăng 1 mục tiêu chịu【Chủ Liên】hiệu quả,19585,2125,2,1083,250,255160160,1,,,,,,,,,,,,,
13045,2,1,13757,24501,24501001,s==15|Thần·Điền Phong,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==276|Thần·Điền Phong giác tỉnh da， kỹ năng：【Bính Trung Nhi Gián】cho mục tiêu gán hộ thủ có thể thêm thu hoạch gia trì， cho mục tiêu tăng 3% công kích， 3% phòng ngự；【Thiên Thư Bì Hộ】bản thân thu hoạch【Hộ Thủ】thời， cho trừ bản thân sinh mệnh thấp nhất mục tiêu gán bằng lượng【Hộ Thủ】,19585,2125,2,1083,250,245010160,1,,,,,,,,,,,,,
13046,1,,13758,24504,24504002,s==16|Thần·Trương Giác,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==163|Thần·Trương Giác chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Thần·Trương Giác trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,45,,,,,,,,,
13047,1,,13759,22502,22502002,s==10|Trương Phi,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,100,s==151|Trương Phi chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Trương Phi trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13048,2,1,13760,25517,25517001,s==17|Ma·Quan Ngân Binh,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==413|Ma·Quan Ngân Bình giác tỉnh da， kỹ năng： Quan Ngân Bình sơ lần tử vong thời liền phục sinh， đồng thời hồi phục 30% tối đa sinh mệnh（kỳ hiệu quả vẫn sẽ chịu mai táng ảnh hưởng）；【Dị Hồn Đồng Mệnh】hình thành liên kết thời， chuyển 5% tối đa sinh mệnh của địch phương liên kết tướng（giới hạn tối đa không quá Quan Ngân Bình 5 lần công kích）cho ta phương công kích cao nhất 2 tướng phó ban hộ thủ， hộ thủ duy trì 2 lượt,19585,2125,2,1083,250,255170160,1,,,,,,,,,,,,,
