weaponId,name,pictureName,heroInletPic,type,quality,qualityName,starLimit,heroId,upStarId,backWeight,isLock,basePower,baseAtt-type-1,baseAtt-way-1,baseAtt-value-1,baseAtt-type-2,baseAtt-way-2,baseAtt-value-2,baseAtt-type-3,baseAtt-way-3,baseAtt-value-3,baseAtt-type-4,baseAtt-way-4,baseAtt-value-4,perGradeAtt,armatureId,armatureName,armatureScale,armatureX,armatureY,armatureLibScale,armatureTipsScale,heroInletPicX,heroInletPicY,libraryY,libraryPage,
800011,s==2|巨阙,s==10|zshw_zi_jj,s==5|rk_jq,,5,s==4|橙色幻武,5,,80001101,1000,0,500,1,0,15000,2,0,1500,3,0,10,4,0,10,4000|400|0|0,8000011,,1.1,,,0.55,0.65,,26,,3,
800012,s==2|游龙,s==10|zshw_zi_yl,s==5|rk_yl,,5,s==4|橙色幻武,5,,80001201,1000,0,500,1,0,15000,2,0,1500,3,0,10,4,0,10,4000|400|0|0,8000012,,1.1,,,0.55,0.65,,26,-20,3,
800013,s==3|神火扇,s==11|zshw_zi_shs,s==6|rk_shs,,5,s==4|橙色幻武,5,,80001301,1000,0,500,1,0,15000,2,0,1500,3,0,10,4,0,10,4000|400|0|0,8000013,,1.1,,,0.55,0.65,,26,-30,3,
800014,s==3|鱼肠剑,s==11|zshw_zi_ycj,s==6|rk_ycj,,6,s==4|红色幻武,5,,80001401,1000,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000014,,1.1,,,0.55,0.65,,26,,4,
800015,s==3|天火弓,s==12|zshw_zi_thg1,s==7|rk_thg2,,6,s==4|红色幻武,5,,80001501,1000,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000015,,1.1,,,0.55,0.65,10,8,,4,
800016,s==3|昆吾刀,s==11|zshw_zi_kwd,s==6|rk_kwd,,6,s==4|红色幻武,5,,80001601,1000,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000016,,1.1,,,0.55,0.65,,26,,4,
800017,s==3|赤焰枪,s==11|zshw_zi_cyq,s==6|rk_cyq,,6,s==4|专属幻武,5,,80001701,1000,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000017,,1.1,,,0.55,0.65,,26,-16,4,
800018,s==3|冰翎扇,s==11|zshw_zi_bls,s==6|rk_bls,,6,s==4|专属幻武,5,,80001801,1000,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000018,,1.1,,,0.55,0.65,,26,-32,4,
800019,s==5|火灵曜日剑,s==13|zshw_zi_hlryj,s==8|rk_hlyrj,1,6,s==4|专属幻武,5,23510,80001901,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000019,,1.1,,,0.55,0.65,,26,,1,
800020,s==5|碧水明月枪,s==13|zshw_zi_bsmyq,s==8|rk_bsmyq,1,6,s==4|专属幻武,5,21508,80002001,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000020,,1.1,,,0.55,0.65,,26,,1,
800021,s==5|青龙偃月刀,s==13|zshw_zi_qllyd,s==8|rk_qlyyd,1,6,s==4|专属幻武,5,22504,80002101,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000021,,1.1,,,0.55,0.65,,26,18,1,
800022,s==5|圣祭黄天杖,s==13|zshw_zi_sjhtz,s==8|rk_sjhtz,1,6,s==4|专属幻武,5,24504,80002201,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000022,,1.1,,,0.55,0.65,,26,,1,
800023,s==5|鬼神方天戟,s==13|zshw_zi_gsftj,s==8|rk_gsftj,1,6,s==4|专属幻武,5,25504,80002301,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000023,,1.1,,,0.55,0.65,,26,,1,
800024,s==4|丈八蛇矛,s==12|zshw_zi_zbsm,s==7|rk_zbsm,1,6,s==4|专属幻武,5,22502,80002401,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000024,,1.1,,,0.55,0.65,,26,,2,
800025,s==4|巨熊长锤,s==12|zshw_zi_jxcc,s==7|rk_jxcc,1,6,s==4|专属幻武,5,21510,80002501,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000025,,1.1,,,0.55,0.65,,26,,2,
800026,s==5|金顶狼牙棒,s==13|zshw_zi_jdlyb,s==8|rk_jdlyb,1,6,s==4|专属幻武,5,23506,80002601,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000026,,1.1,,,0.55,0.65,,26,,2,
800027,s==5|麒麟绿沉枪,s==13|zshw_zi_qllcq,s==8|rk_qllcq,1,6,s==4|专属幻武,5,24503,80002701,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000027,,1.1,,,0.55,0.65,,26,,2,
800028,s==5|苍龙涯角枪,s==13|zshw_zi_clyaq,s==8|rk_clyjq,1,6,s==4|专属幻武,5,25515,80002801,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000028,,1.1,,,0.55,0.65,,26,,2,
800029,s==5|乾坤卧龙吟,s==13|zshw_zi_qkwll,s==8|rk_qkwll,1,6,s==4|专属幻武,5,22507,80002901,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000029,,1.1,,,0.55,0.65,,26,,3,
800030,s==5|玄冰洛神琴,s==13|zshw_zi_xblsq,s==8|rk_xblsq,1,6,s==4|专属幻武,5,21503,80003001,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000030,,1.1,,,0.55,0.65,,26,,3,
800031,s==5|炫日彩云伞,s==16|zshw_zi_cyqxrcys,s==8|rk_xrcys,1,6,s==4|专属幻武,5,23508,80003101,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000031,,1.1,,,0.5,0.65,,26,,3,
800032,s==5|北斗七星灯,s==13|zshw_zi_bdqxd,s==8|rk_bdqxd,1,6,s==4|专属幻武,5,24508,80003201,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000032,,1.1,,,0.55,0.65,,26,,3,
800033,s==5|追魂月牙刃,s==13|zshw_zi_zhyar,s==8|rk_zhyyr,1,6,s==4|专属幻武,5,25509,80003301,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000033,,1.1,,,0.55,0.65,,26,,3,
800034,s==5|八宝青狼弓,s==13|zshw_zi_bbqlg,s==8|rk_bbqlr,1,6,s==4|专属幻武,5,22501,80003401,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000034,,1.1,,,0.55,0.65,,26,,4,
800035,s==5|三尖两刃枪,s==13|zshw_zi_sjlmq,s==8|rk_sjlrq,1,6,s==4|专属幻武,5,21512,80003501,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000035,,1.1,,,0.55,0.65,,26,,4,
800036,s==5|百辟龙鳞刃,s==14|zshw_zi_zbpllr,s==8|rk_bpllr,1,6,s==4|专属幻武,5,23507,80003601,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000036,,1.1,,,0.55,0.65,,26,,4,
800037,s==5|神龙偃月刀,s==13|zshw_zi_slyyd,s==8|rk_slyyd,1,6,s==4|专属幻武,5,24505,80003701,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000037,,1.1,,,0.55,0.65,,26,,4,
800038,s==5|青虹倚天剑,s==13|zshw_zi_qhytj,s==8|rk_qhytj,1,6,s==4|专属幻武,5,25510,80003801,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000038,,1.1,,,0.5,0.65,,26,-20,4,
800039,s==4|七巧偃甲,s==12|zshw_zi_qqkj,s==7|rk_qqkj,1,6,s==4|专属幻武,5,22515,80003901,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000043,,1.1,,,0.55,0.65,,9,,5,
800040,s==5|冰凤寒霜弓,s==13|zshw_zi_bfhsg,s==8|rk_bfhsg,1,6,s==4|专属幻武,5,21504,80004001,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000044,,1.1,,,0.55,0.65,,13,,5,
800041,s==5|鬼面獠牙盾,s==13|zshw_zi_gmlyd,s==8|rk_gmlyd,1,6,s==4|专属幻武,5,23502,80004101,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000042,,1.1,,,0.5,0.65,,13,,5,
800042,s==5|胡笳十八拍,s==13|zshw_zi_hjsbp,s==8|rk_hjsbp,1,6,s==4|专属幻武,5,24510,80004201,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000041,,1.1,,,0.55,0.65,,13,,5,
800043,s==4|绝代风华,s==12|zshw_zi_fhjd,s==7|rk_jdfh,1,6,s==4|专属幻武,5,25507,80004301,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000040,,1.1,,,0.55,0.65,,9,,5,
800044,s==4|遁甲天书,s==12|zshw_zi_djts,s==7|rk_djts,1,6,s==4|专属幻武,5,26501,80004401,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000039,,1.1,,,0.55,0.65,,13,,5,
800045,s==5|梦溪焦尾琴,s==13|zshw_zi_mxjwq,s==9|rk_xmxjwq,1,6,s==4|专属幻武,5,21516,80004501,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000045,,1.1,,,0.55,0.65,,13,,6,
800046,s==5|神武镇山河,s==13|zshw_zi_swzsh,s==8|rk_swzsh,1,6,s==4|专属幻武,5,24506,80004601,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000046,,1.1,,,0.55,0.65,,13,,6,
800047,s==4|丈八神矛,s==15|zshw_zi_zbshenm,s==8|rk_zbsm2,1,6,s==4|专属幻武,5,24516,80004701,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000047,,1.1,,,0.55,0.65,,13,,6,
800048,s==4|月辉墨影,s==12|zshw_zi_yhmy,s==7|rk_yhmy,1,6,s==4|专属幻武,5,25517,80004801,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000048,,1.1,,,0.55,0.65,,13,,6,
800049,s==5|阴阳幻灭镜,s==13|zshw_zi_yyhmj,s==8|rk_yyhmj,1,6,s==4|专属幻武,5,25516,80004901,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000049,,1.1,,,0.55,0.65,,13,,6,
800050,s==5|幻影雁翎枪,s==13|zshw_zi_hyylq,s==8|rk_hyylq,1,6,s==4|专属幻武,5,26502,80005001,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000050,,1.1,,,0.55,0.65,,13,,6,
800051,s==5|雌雄双股剑,s==13|zshw_zi_cxsgj,s==8|rk_cxsgj,1,6,s==4|专属幻武,5,22512,80005101,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000051,,1.1,,,0.55,0.65,,13,,7,
800052,s==5|怒涛王神剑,s==13|zshw_zi_ntwsj,s==8|rk_ntwsj,1,6,s==4|专属幻武,5,21515,80005201,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000052,,1.1,,,0.55,0.65,,13,-10,7,
800053,s==5|烽火燎原剑,s==13|zshw_zi_fhlyj,s==8|rk_fhlyj,1,6,s==4|专属幻武,5,23511,80005301,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000053,,1.1,,,0.55,0.65,,13,-10,7,
800054,s==5|神王赤霄剑,s==13|zshw_zi_swcxj,s==8|rk_swcxj,1,6,s==4|专属幻武,5,24518,80005401,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000054,,1.1,,,0.55,0.65,,13,-10,7,
800055,s==5|天龙破城戟,s==13|zshw_zi_tlpcj,s==8|rk_tlpcj,1,6,s==4|专属幻武,5,25518,80005501,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000055,,1.1,,,0.55,0.65,,13,-10,7,
800056,s==4|有凤来仪,s==12|zshw_zi_yfly,s==7|rk_yfly,1,6,s==4|专属幻武,5,26503,80005601,,1,1500,1,0,30000,2,0,3000,3,0,25,4,0,25,6000|600|0|0,8000056,,1.1,,,0.55,0.65,,13,-10,7,
