id,battleid,offerMoney,hero-fieldA-1,hero-fieldB-1,hero-fieldC-1,hero-fieldA-2,hero-fieldB-2,hero-fieldC-2,hero-fieldA-3,hero-fieldB-3,hero-fieldC-3,hero-fieldA-4,hero-fieldB-4,hero-fieldC-4,
300310,300131,330,9,2000,201,10,1000,202,11,500,203,12,0,204,
300320,300132,331,13,2000,201,14,1000,202,15,500,203,16,0,204,
300330,300133,332,1,2000,201,1,1000,202,3,500,203,4,0,204,
300340,300134,333,5,2000,201,6,1000,202,7,500,203,8,0,204,
300350,300135,334,9,2000,301,10,1000,302,11,500,303,12,0,304,
300360,300136,335,13,2000,301,14,1000,302,15,500,303,16,0,304,
300370,300137,336,1,2000,301,1,1000,302,3,500,303,4,0,304,
300380,300138,337,5,2000,301,6,1000,302,7,500,303,8,0,304,
300390,300139,338,9,2000,301,10,1000,302,11,500,303,12,0,304,
300400,300140,339,13,2000,301,14,1000,302,15,500,303,16,0,304,
300410,300141,340,1,2000,301,1,1000,302,3,500,303,4,0,304,
300420,300142,341,5,2000,301,6,1000,302,7,500,303,8,0,304,
300430,300143,342,9,2000,301,10,1000,302,11,500,303,12,0,304,
300440,300144,343,13,2000,301,14,1000,302,15,500,303,16,0,304,
300450,300145,344,1,2000,301,1,1000,302,3,500,303,4,0,304,
300460,300146,345,5,2000,301,6,1000,302,7,500,303,8,0,304,
300470,300147,346,9,2000,301,10,1000,302,11,500,303,12,0,304,
300480,300148,347,13,2000,301,14,1000,302,15,500,303,16,0,304,
300490,300149,348,1,2000,301,1,1000,302,3,500,303,4,0,304,
300500,300150,349,5,2000,301,6,1000,302,7,500,303,8,0,304,
300510,300151,350,9,2000,301,10,1000,302,11,500,303,12,0,304,
300520,300152,351,13,2000,401,14,1000,402,15,500,403,16,0,404,
300530,300153,352,1,2000,401,1,1000,402,3,500,403,4,0,404,
300540,300154,353,5,2000,401,6,1000,402,7,500,403,8,0,404,
300550,300155,354,9,2000,401,10,1000,402,11,500,403,12,0,404,
300560,300156,355,13,2000,401,14,1000,402,15,500,403,16,0,404,
300570,300157,356,1,2000,401,1,1000,402,3,500,403,4,0,404,
300580,300158,357,5,2000,401,6,1000,402,7,500,403,8,0,404,
300590,300159,358,9,2000,401,10,1000,402,11,500,403,12,0,404,
300600,300160,359,13,2000,401,14,1000,402,15,500,403,16,0,404,
300610,300161,360,1,2000,401,1,1000,402,3,500,403,4,0,404,
300620,300162,361,5,2000,401,6,1000,402,7,500,403,8,0,404,
300630,300163,362,9,2000,401,10,1000,402,11,500,403,12,0,404,
300640,300164,363,13,2000,401,14,1000,402,15,500,403,16,0,404,
300650,300165,364,1,2000,401,1,1000,402,3,500,403,4,0,404,
300660,300166,365,5,2000,401,6,1000,402,7,500,403,8,0,404,
300670,300167,366,9,2000,401,10,1000,402,11,500,403,12,0,404,
300680,300168,367,13,2000,401,14,1000,402,15,500,403,16,0,404,
300690,300169,368,1,2000,501,1,1000,502,3,500,503,4,0,504,
300700,300170,369,5,2000,501,6,1000,502,7,500,503,8,0,504,
300710,300171,370,9,2000,501,10,1000,502,11,500,503,12,0,504,
300720,300172,371,13,2000,501,14,1000,502,15,500,503,16,0,504,
300730,300173,372,1,2000,501,1,1000,502,3,500,503,4,0,504,
300740,300174,373,5,2000,501,6,1000,502,7,500,503,8,0,504,
300750,300175,374,9,2000,501,10,1000,502,11,500,503,12,0,504,
300760,300176,375,13,2000,501,14,1000,502,15,500,503,16,0,504,
300770,300177,376,1,2000,501,1,1000,502,3,500,503,4,0,504,
300780,300178,377,5,2000,501,6,1000,502,7,500,503,8,0,504,
300790,300179,378,9,2000,501,10,1000,502,11,500,503,12,0,504,
300800,300180,379,13,2000,501,14,1000,502,15,500,503,16,0,504,
300810,300181,380,1,2000,501,1,1000,502,3,500,503,4,0,504,
300820,300182,381,5,2000,501,6,1000,502,7,500,503,8,0,504,
300830,300183,382,9,2000,501,10,1000,502,11,500,503,12,0,504,
300840,300184,383,13,2000,501,14,1000,502,15,500,503,16,0,504,
300850,300185,384,1,2000,501,1,1000,502,3,500,503,4,0,504,
300860,300186,385,5,2000,501,6,1000,502,7,500,503,8,0,504,
300870,300187,386,9,2000,601,10,1000,602,11,500,603,12,0,604,
300880,300188,387,13,2000,601,14,1000,602,15,500,603,16,0,604,
300890,300189,388,1,2000,601,1,1000,602,3,500,603,4,0,604,
300900,300190,389,5,2000,601,6,1000,602,7,500,603,8,0,604,
300910,300191,390,9,2000,601,10,1000,602,11,500,603,12,0,604,
300920,300192,391,13,2000,601,14,1000,602,15,500,603,16,0,604,
300930,300193,392,1,2000,601,1,1000,602,3,500,603,4,0,604,
300940,300194,393,5,2000,601,6,1000,602,7,500,603,8,0,604,
300950,300195,394,9,2000,601,10,1000,602,11,500,603,12,0,604,
300960,300196,395,13,2000,601,14,1000,602,15,500,603,16,0,604,
300970,300197,396,1,2000,601,1,1000,602,3,500,603,4,0,604,
300980,300198,397,5,2000,601,6,1000,602,7,500,603,8,0,604,
300990,300199,398,9,2000,601,10,1000,602,11,500,603,12,0,604,
301000,300200,399,13,2000,601,14,1000,602,15,500,603,16,0,604,
301010,300201,400,1,2000,601,1,1000,602,3,500,603,4,0,604,
301020,300202,401,5,2000,601,6,1000,602,7,500,603,8,0,604,
301030,300203,402,9,2000,601,10,1000,602,11,500,603,12,0,604,
301040,300204,403,13,2000,601,14,1000,602,15,500,603,16,0,604,
301050,300205,404,1,2000,701,1,1000,702,3,500,703,4,0,704,
301060,300206,405,5,2000,701,6,1000,702,7,500,703,8,0,704,
301070,300207,406,9,2000,701,10,1000,702,11,500,703,12,0,704,
301080,300208,407,13,2000,701,14,1000,702,15,500,703,16,0,704,
301090,300209,408,1,2000,701,1,1000,702,3,500,703,4,0,704,
301100,300210,409,5,2000,701,6,1000,702,7,500,703,8,0,704,
301110,300211,410,9,2000,701,10,1000,702,11,500,703,12,0,704,
301120,300212,411,13,2000,701,14,1000,702,15,500,703,16,0,704,
301130,300213,412,1,2000,701,1,1000,702,3,500,703,4,0,704,
301140,300214,413,5,2000,701,6,1000,702,7,500,703,8,0,704,
301150,300215,414,9,2000,701,10,1000,702,11,500,703,12,0,704,
301160,300216,415,13,2000,701,14,1000,702,15,500,703,16,0,704,
301170,300217,416,1,2000,701,1,1000,702,3,500,703,4,0,704,
301180,300218,417,5,2000,701,6,1000,702,7,500,703,8,0,704,
301190,300219,418,9,2000,701,10,1000,702,11,500,703,12,0,704,
301200,300220,419,13,2000,701,14,1000,702,15,500,703,16,0,704,
