id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,autoBuy,
1001,2,50151,1,2,1290,250,1,4,,,,0,s==5|利爪技能书,250,,930,1,
4010,2,50161,1,1,9,2800,1,4,,,,0,s==5|锋刺技能书,3500,8,985,,
4011,2,50162,1,1,9,2000,1,4,,,,0,s==5|丹裘技能书,2500,8,986,,
4012,2,50163,1,1,9,2000,1,4,,,,0,s==5|刃牙技能书,2500,8,987,,
4013,2,50164,1,1,9,2400,1,4,,,,0,s==5|煅骨技能书,3000,8,988,,
4014,2,50165,1,1,9,2800,1,4,,,,0,s==5|巨力技能书,3500,8,989,,
4015,2,50166,1,1,9,2400,1,4,,,,0,s==5|御力技能书,3000,8,990,,
4016,2,50167,1,1,9,2800,1,4,,,,0,s==5|玄法技能书,3500,8,991,,
4017,2,50168,1,1,9,2400,1,4,,,,0,s==5|御法技能书,3000,8,992,,
4018,2,50171,1,1,9,2000,1,4,,,,0,s==5|滋养技能书,2500,8,993,,
4019,2,50172,1,1,9,2000,1,4,,,,0,s==5|净禅技能书,2500,8,994,,
4020,2,50173,1,1,9,2800,1,4,,,,0,s==5|束缚技能书,3500,8,995,,
4021,2,50174,1,1,9,2000,1,4,,,,0,s==5|辟易技能书,2500,8,996,,
4022,2,50175,1,1,9,2000,1,4,,,,0,s==5|点破技能书,2500,8,997,,
5001,2,50050,10,2,1290,125,1,4,,,,0,s==4|灵兽灵气,250,5,998,1,
6001,2,50050,10,2,1290,125,1,4,,,,0,s==4|灵兽灵气,250,5,999,1,
