id,type,roomId,floor,site,isMove,relatedRoom,eventType,eventId1,eventId2,eventId3,desc,
62,1,61,8,3,0,,,,,,s==30|Phòng 61 (Không thể di chuyển),
63,1,62,8,3,1,54|63,4,3,,,s==25|Phòng 62 (Phòng hồi phục),
64,1,63,8,2,1,62,1,3,2,,s==21|Phòng 63 (Phòng boss),
65,2,0,1,3,0,,,,,,s==29|Phòng 0 (Không thể di chuyển),
66,2,1,1,3,1,2|9,1,1,2,,s==26|Phòng 1 (Chiến đấu thường),
67,2,2,1,3,1,1|3,2,,,,s==19|Phòng 2 (Rương báu),
68,2,3,1,3,1,2|4,3,1,1,3,s==28|Phòng 3 (Chiến Văn cấp thấp),
69,2,4,1,3,1,3|5,1,1,2,,s==26|Phòng 4 (Chiến đấu thường),
70,2,5,1,1,1,4|6|13,1,1,2,,s==41|Phòng 5 (Điểm xuất phát) Chiến đấu thường,
71,2,6,1,3,1,5|14,3,1,1,3,s==28|Phòng 6 (Chiến Văn cấp thấp),
72,2,7,1,3,0,,,,,,s==29|Phòng 7 (Không thể di chuyển),
73,2,8,2,3,0,,,,,,s==29|Phòng 8 (Không thể di chuyển),
74,2,9,2,3,1,1|17,2,,,,s==19|Phòng 9 (Rương báu),
75,2,10,2,3,0,,,,,,s==30|Phòng 10 (Không thể di chuyển),
76,2,11,2,3,0,,,,,,s==30|Phòng 11 (Không thể di chuyển),
77,2,12,2,3,0,,,,,,s==30|Phòng 12 (Không thể di chuyển),
78,2,13,2,3,1,5|14,2,,,,s==20|Phòng 13 (Rương báu),
79,2,14,2,3,1,13|6|22,1,1,2,,s==27|Phòng 14 (Chiến đấu thường),
80,2,15,2,3,0,,,,,,s==30|Phòng 15 (Không thể di chuyển),
81,2,16,3,3,1,17|24,1,2,2,,s==29|Phòng 16 (Chiến đấu tinh anh),
82,2,17,3,3,1,9|16|18,3,1,1,3,s==29|Phòng 17 (Chiến văn cấp thấp),
83,2,18,3,3,1,17|19,1,1,2,,s==27|Phòng 18 (Chiến đấu thường),
84,2,19,3,3,1,18|20|27,3,1,1,3,s==29|Phòng 19 (Chiến văn cấp thấp),
85,2,20,3,3,1,19|28,1,1,2,,s==27|Phòng 20 (Chiến đấu thường),
86,2,21,3,3,0,,,,,,s==23|Phòng 21 (Bất khả động),
87,2,22,3,3,1,30|14,3,1,1,3,s==29|Phòng 22 (Chiến văn cấp thấp),
88,2,23,3,3,0,,,,,,s==23|Phòng 23 (Bất khả động),
89,2,24,4,3,1,16,2,,,,s==20|Phòng 24 (Bảo rương),
90,2,25,4,3,0,,,,,,s==23|Phòng 25 (Bất khả động),
91,2,26,4,3,0,,,,,,s==30|Phòng 26 (Không thể di chuyển),
92,2,27,4,3,1,28|19|35,1,2,2,,s==29|Phòng 27 (Chiến đấu tinh anh),
93,2,28,4,3,1,20|27,3,1,1,3,s==29|Phòng 28 (Chiến văn cấp thấp),
94,2,29,4,3,0,,,,,,s==23|Phòng 29 (Bất khả động),
95,2,30,4,3,1,22|31,2,,,,s==20|Phòng 30 (Bảo rương),
96,2,31,4,3,1,30|39,1,1,2,,s==27|Phòng 31 (Chiến đấu thường),
97,2,32,5,3,0,,,,,,s==30|Phòng 32 (Không thể di chuyển),
98,2,33,5,3,1,41,2,,,,s==20|Phòng 33 (Bảo rương),
99,2,34,5,3,0,,,,,,s==23|Phòng 34 (Bất khả động),
100,2,35,5,3,1,27|43,3,1,1,3,s==29|Phòng 35 (Chiến văn cấp thấp),
101,2,36,5,3,0,,,,,,s==23|Phòng 36 (Bất khả động),
102,2,37,5,3,0,,,,,,s==23|Phòng 37 (Bất khả động),
103,2,38,5,3,0,,,,,,s==30|Phòng 38 (Không thể di chuyển),
104,2,39,5,3,1,47|31,3,1,2,3,s==27|Phòng 39 (Chiến văn sử thi),
105,2,40,6,3,1,48|41,3,1,2,3,s==27|Phòng 40 (Chiến văn sử thi),
106,2,41,6,3,1,40|33|42,1,4,1,,s==20|Phòng 41 (Phục binh),
107,2,42,6,3,1,41|43,3,1,2,3,s==27|Phòng 42 (Chiến văn sử thi),
108,2,43,6,3,1,42|44|51|35,2,,,,s==20|Phòng 43 (Bảo rương),
109,2,44,6,3,1,43|45,1,2,2,,s==29|Phòng 44 (Chiến đấu tinh anh),
110,2,45,6,3,1,44|53,1,4,1,,s==20|Phòng 45 (Phục binh),
111,2,46,6,3,0,,,,,,s==23|Phòng 46 (Bất khả động),
112,2,47,6,3,1,55|39,1,4,1,,s==20|Phòng 47 (Phục binh),
113,2,48,7,3,1,40|56,1,2,2,,s==29|Phòng 48 (Chiến đấu tinh anh),
114,2,49,7,3,0,,,,,,s==30|Phòng 49 (Không thể di chuyển),
115,2,50,7,3,0,,,,,,s==23|Phòng 50 (Bất khả động),
116,2,51,7,3,1,59|43,1,2,2,,s==29|Phòng 51 (Chiến đấu tinh anh),
117,2,52,7,3,0,,,,,,s==23|Phòng 52 (Bất khả động),
118,2,53,7,3,1,45|61,2,,,,s==20|Phòng 53 (Bảo rương),
119,2,54,7,3,0,,,,,,s==23|Phòng 54 (Bất khả động),
120,2,55,7,3,1,47,2,,,,s==20|Phòng 55 (Bảo rương),
121,2,56,8,3,1,48|57,4,3,,,s==25|Phòng 56 (Phòng hồi phục),
122,2,57,8,2,1,56,1,3,2,,s==21|Phòng 57 (Phòng boss),
123,2,58,8,3,0,,,,,,s==23|Phòng 58 (Bất khả động),
124,2,59,8,3,1,60|51,3,1,2,3,s==27|Phòng 59 (Chiến văn sử thi),
125,2,60,8,3,1,59|61,2,,,,s==20|Phòng 60 (Bảo rương),
126,2,61,8,3,1,60|62|53,1,2,2,,s==29|Phòng 61 (Chiến đấu tinh anh),
127,2,62,8,3,1,61,3,1,1,3,s==29|Phòng 62 (Chiến văn cấp thấp),
128,2,63,8,3,0,,,,,,s==23|Phòng 63 (Bất khả động),
129,3,0,1,1,1,1|8,1,1,2,,s==38|Phòng 0 (Khởi điểm - Chiến đấu thường),
130,3,1,1,3,1,0|2,2,,,,s==19|Phòng 1 (Bảo rương),
131,3,2,1,3,1,1|10|3,1,1,2,,s==26|Phòng 2 (Chiến đấu thường),
132,3,3,1,3,1,2|4,3,1,1,3,s==28|Phòng 3 (Chiến Văn cấp thấp),
133,3,4,1,3,1,3,1,2,2,,s==28|Phòng 4 (Chiến đấu tinh anh),
134,3,5,1,3,0,,,,,,s==22|Phòng 5 (Bất khả động),
135,3,6,1,3,0,,,,,,s==29|Phòng 6 (Không thể di chuyển),
136,3,7,1,3,0,,,,,,s==29|Phòng 7 (Không thể di chuyển),
137,3,8,2,3,1,0|16,3,1,1,3,s==28|Phòng 8 (Chiến văn cấp thấp),
138,3,9,2,3,0,,,,,,s==29|Phòng 9 (Không thể di chuyển),
139,3,10,2,3,1,2,2,,,,s==20|Phòng 10 (Bảo rương),
140,3,11,2,3,0,,,,,,s==30|Phòng 11 (Không thể di chuyển),
141,3,12,2,3,0,,,,,,s==30|Phòng 12 (Không thể di chuyển),
142,3,13,2,3,1,21|14,2,,,,s==20|Phòng 13 (Rương báu),
143,3,14,2,3,1,13,3,1,1,3,s==29|Phòng 14 (Chiến văn cấp thấp),
144,3,15,2,3,0,,,,,,s==30|Phòng 15 (Không thể di chuyển),
145,3,16,3,3,1,17|24|8,1,1,2,,s==27|Phòng 16 (Chiến đấu thường),
146,3,17,3,3,1,16|25,2,,,,s==20|Phòng 17 (Bảo rương),
147,3,18,3,3,0,,,,,,s==23|Phòng 18 (Bất khả động),
148,3,19,3,3,1,20|27,1,1,2,,s==27|Phòng 19 (Chiến đấu thường),
149,3,20,3,3,1,19|21,3,1,1,3,s==29|Phòng 20 (Chiến văn cấp thấp),
150,3,21,3,3,1,20|13|29,1,2,2,,s==29|Phòng 21 (Chiến đấu tinh anh),
151,3,22,3,3,0,,,,,,s==23|Phòng 22 (Bất khả động),
152,3,23,3,3,0,,,,,,s==23|Phòng 23 (Bất khả động),
153,3,24,4,3,1,16|25,2,,,,s==20|Phòng 24 (Bảo rương),
154,3,25,4,3,1,24|33|26|17,1,1,2,,s==27|Phòng 25 (Chiến đấu thường),
155,3,26,4,3,1,25|27,1,2,2,,s==29|Phòng 26 (Chiến đấu tinh anh),
156,3,27,4,3,1,26|35|19,3,1,1,3,s==29|Phòng 27 (Chiến Văn cấp thấp),
157,3,28,4,3,0,,,,,,s==30|Phòng 28 (Không thể di chuyển),
158,3,29,4,3,1,37|21,3,1,1,3,s==29|Phòng 29 (Chiến văn cấp thấp),
159,3,30,4,3,0,,,,,,s==30|Phòng 30 (Không thể di chuyển),
160,3,31,4,3,1,39,2,,,,s==20|Phòng 31 (Bảo rương),
161,3,32,5,3,0,,,,,,s==30|Phòng 32 (Không thể di chuyển),
162,3,33,5,3,1,41|25,3,1,2,3,s==27|Phòng 33 (Chiến Văn Sử Thi),
163,3,34,5,3,0,,,,,,s==23|Phòng 34 (Bất khả động),
164,3,35,5,3,1,43|27|36,1,2,2,,s==29|Phòng 35 (Chiến Đấu Tinh Anh),
165,3,36,5,3,1,35|37,2,,,,s==20|Phòng 36 (Bảo Tương),
166,3,37,5,3,1,36|38|29,1,1,2,,s==27|Phòng 37 (Chiến đấu thường),
167,3,38,5,3,1,37|39|46,1,4,1,,s==20|Phòng 38 (Phục Binh),
168,3,39,5,3,1,38|31,3,1,2,3,s==27|Phòng 39 (Chiến văn sử thi),
169,3,40,6,3,1,41,1,4,1,,s==20|Phòng 40 (Phục Binh),
170,3,41,6,3,1,40|33|49,1,2,2,,s==29|Phòng 41 (Chiến đấu tinh anh),
171,3,42,6,3,0,,,,,,s==26|Phòng 42 (Bất Khả Di Động),
172,3,43,6,3,1,51|35,3,1,2,3,s==27|Phòng 43 (Chiến Văn Sử Thi),
173,3,44,6,3,0,,,,,,s==26|Phòng 44 (Bất Khả Di Động),
174,3,45,6,3,0,,,,,,s==30|Phòng 45 (Không thể di chuyển),
175,3,46,6,3,1,54|38,2,,,,s==20|Phòng 46 (Bảo Tương),
176,3,47,6,3,0,,,,,,s==26|Phòng 47 (Bất Khả Di Động),
177,3,48,7,3,0,,,,,,s==30|Phòng 48 (Không thể di chuyển),
178,3,49,7,3,1,41|57|50,2,,,,s==20|Phòng 49 (Bảo Tương),
179,3,50,7,3,1,51|58|49,3,1,1,3,s==29|Phòng 50 (Chiến Văn Cấp Thấp),
180,3,51,7,3,1,50|43,1,4,1,,s==20|Phòng 51 (Phục Binh),
181,3,52,7,3,0,,,,,,s==23|Phòng 52 (Bất khả động),
182,3,53,7,3,1,61|54,4,3,,,s==25|Phòng 53 (Phòng Hồi Phục),
183,3,54,7,3,1,53|55|46,1,2,2,,s==29|Phòng 54 (Chiến Đấu Tinh Anh),
184,3,55,7,3,1,54,3,1,1,3,s==29|Phòng 55 (Chiến Văn Cấp Thấp),
185,3,56,8,3,1,57,3,1,2,3,s==27|Phòng 56 (Chiến Văn Sử Thi),
186,3,57,8,3,1,56|49|58,1,1,2,,s==27|Phòng 57 (Chiến Đấu Thường),
187,3,58,8,3,1,57|50,2,,,,s==20|Phòng 58 (Bảo Tương),
188,3,59,8,3,0,,,,,,s==30|Phòng 59 (Không thể di chuyển),
189,3,60,8,3,0,,,,,,s==30|Phòng 60 (Không thể di chuyển),
190,3,61,8,2,1,53,1,3,2,,s==21|Phòng 61 (Phòng Boss),
191,3,62,8,3,0,,,,,,s==26|Phòng 62 (Bất Khả Di Động),
192,3,63,8,3,0,,,,,,s==23|Phòng 63 (Bất khả động),
193,4,0,1,3,0,,,,,,s==29|Phòng 0 (Không thể di chuyển),
194,4,1,1,3,1,2|9,3,1,1,3,s==28|Phòng 1 (Chiến Văn Cấp Thấp),
195,4,2,1,3,1,1|3,1,1,2,,s==26|Phòng 2 (Chiến đấu thường),
196,4,3,1,3,1,2|4,2,,,,s==19|Phòng 3 (Bảo Tương),
197,4,4,1,3,1,3|5,3,1,1,3,s==28|Phòng 4 (Chiến Văn Cấp Thấp),
198,4,5,1,3,1,4|6|13,1,1,2,,s==26|Phòng 5 (Chiến Đấu Thường),
199,4,6,1,3,1,5|7,2,,,,s==19|Phòng 6 (Bảo Tương),
200,4,7,1,1,1,6,1,1,2,,s==26|Phòng 7 (Chiến Đấu Thường),
201,4,8,2,3,1,16|9,3,1,1,3,s==28|Phòng 8 (Chiến văn cấp thấp),
202,4,9,2,3,1,8|17|1,1,2,2,,s==28|Phòng 9 (Chiến Đấu Tinh Anh),
203,4,10,2,3,0,,,,,,s==30|Phòng 10 (Không thể di chuyển),
204,4,11,2,3,0,,,,,,s==30|Phòng 11 (Không thể di chuyển),
205,4,12,2,3,0,,,,,,s==30|Phòng 12 (Không thể di chuyển),
206,4,13,2,3,1,5,2,,,,s==20|Phòng 13 (Rương báu),
207,4,14,2,3,0,,,,,,s==30|Phòng 14 (Không thể di chuyển),
208,4,15,2,3,0,,,,,,s==30|Phòng 15 (Không thể di chuyển),
209,4,16,3,3,1,8|17,1,1,2,,s==27|Phòng 16 (Chiến đấu thường),
210,4,17,3,3,1,16|18|9,2,,,,s==20|Phòng 17 (Bảo rương),
211,4,18,3,3,1,17|26,1,1,2,,s==27|Phòng 18 (Chiến đấu thường),
212,4,19,3,3,0,,,,,,s==26|Phòng 19 (Bất Khả Di Động),
213,4,20,3,3,1,28,2,,,,s==20|Phòng 20 (Bảo Tương),
214,4,21,3,3,0,,,,,,s==23|Phòng 21 (Bất khả động),
215,4,22,3,3,0,,,,,,s==23|Phòng 22 (Bất khả động),
216,4,23,3,3,0,,,,,,s==23|Phòng 23 (Bất khả động),
217,4,24,4,3,0,,,,,,s==26|Phòng 24 (Bất Khả Di Động),
218,4,25,4,3,0,,,,,,s==23|Phòng 25 (Bất khả động),
219,4,26,4,3,1,18|34|27,2,,,,s==20|Phòng 26 (Bảo Tương),
220,4,27,4,3,1,26|28,3,1,1,3,s==29|Phòng 27 (Chiến Văn cấp thấp),
221,4,28,4,3,1,27|36|20,1,2,2,,s==29|Phòng 28 (Chiến Đấu Tinh Anh),
222,4,29,4,3,0,,,,,,s==23|Phòng 29 (Bất khả động),
223,4,30,4,3,1,38|31,3,1,1,3,s==29|Phòng 30 (Chiến Văn Cấp Thấp),
224,4,31,4,3,1,30|39,1,2,2,,s==29|Phòng 31 (Chiến Đấu Tinh Anh),
225,4,32,5,3,1,40|33,3,1,2,3,s==27|Phòng 32 (Chiến Văn Sử Thi),
226,4,33,5,3,1,32|34,1,1,2,,s==27|Phòng 33 (Chiến Đấu Thường),
227,4,34,5,3,1,33|42|26,3,1,1,3,s==29|Phòng 34 (Chiến Văn Cấp Thấp),
228,4,35,5,3,0,,,,,,s==30|Phòng 35 (Không thể di chuyển),
229,4,36,5,3,1,44|37|28,3,1,2,3,s==27|Phòng 36 (Chiến Văn sử thi),
230,4,37,5,3,1,36|38,1,1,2,,s==27|Phòng 37 (Chiến Đấu Thường),
231,4,38,5,3,1,37|39|30|46,2,,,,s==20|Phòng 38 (Bảo Tương),
232,4,39,5,3,1,38|31,3,1,2,3,s==27|Phòng 39 (Chiến văn sử thi),
233,4,40,6,3,1,32|48,1,2,2,,s==26|Phòng 40 (Bất Khả Di Động),
234,4,41,6,3,0,,,,,,s==26|Phòng 41 (Bất Khả Di Động),
235,4,42,6,3,1,34,1,4,1,,s==20|Phòng 42 (Phục Binh),
236,4,43,6,3,0,,,,,,s==26|Phòng 43 (Bất Khả Di Động),
237,4,44,6,3,1,36,1,4,1,,s==20|Phòng 44 (Phục binh),
238,4,45,6,3,0,,,,,,s==30|Phòng 45 (Không thể di chuyển),
239,4,46,6,3,1,54|38,1,2,2,,s==29|Phòng 46 (Chiến đấu tinh anh),
240,4,47,6,3,0,,,,,,s==26|Phòng 47 (Bất Khả Di Động),
241,4,48,7,3,1,49|40,2,,,,s==20|Phòng 48 (Bảo Rương),
242,4,49,7,3,1,48,3,1,1,3,s==29|Phòng 49 (Chiến Văn Cấp Thấp),
243,4,50,7,3,0,,,,,,s==23|Phòng 50 (Bất khả động),
244,4,51,7,3,0,,,,,,s==30|Phòng 51 (Không thể di chuyển),
245,4,52,7,3,0,,,,,,s==23|Phòng 52 (Bất khả động),
246,4,53,7,3,1,54|61,3,1,1,3,s==29|Phòng 53 (Chiến Văn Cấp Thấp),
247,4,54,7,3,1,53|55|62|46,3,1,2,3,s==27|Phòng 54 (Chiến Văn sử thi),
248,4,55,7,3,1,54,2,,,,s==20|Phòng 55 (Bảo rương),
249,4,56,8,3,0,,,,,,s==26|Phòng 56 (Bất Khả Di Động),
250,4,57,8,3,0,,,,,,s==26|Phòng 57 (Bất Khả Di Động),
251,4,58,8,2,1,59,1,3,2,,s==15|Phòng 58 (Boss),
252,4,59,8,3,1,60|58,4,3,,,s==25|Phòng 59 (Phòng Hồi Phục),
253,4,60,8,3,1,61|59,1,2,2,,s==29|Phòng 60 (Chiến Đấu Tinh Anh),
254,4,61,8,3,1,62|60|53,1,4,1,,s==20|Phòng 61 (Phục Binh),
255,4,62,8,3,1,61|54,2,,,,s==20|Phòng 62 (Bảo Rương),
256,4,63,8,3,0,,,,,,s==23|Phòng 63 (Bất khả động),
