id,nation,holeNum,showLv,lev,star,proId,proWay,proValue,nextProType,nextProWay,nextProValue,upLevConsume-type-1,upLevConsume-id-1,upLevConsume-value-1,upLevConsume-type-2,upLevConsume-id-2,upLevConsume-value-2,upLevConsume-type-3,upLevConsume-id-3,upLevConsume-value-3,upStarConsume-type-1,upStarConsume-id-1,upStarConsume-value-1,upStarConsume-type-2,upStarConsume-id-2,upStarConsume-value-2,upStarConsume-type-3,upStarConsume-id-3,upStarConsume-value-3,
1360,1,4,63,60,3,2,0,3200,5,1,100,2,1036,115,2,1037,30,,,,,,,,,,,,,
1361,1,4,64,61,3,5,1,100,12,1,100,2,1036,115,2,1037,30,,,,,,,,,,,,,
1362,1,4,65,62,3,12,1,100,4,0,5,2,1036,115,2,1037,30,,,,,,,,,,,,,
1363,1,4,66,63,3,4,0,5,1,0,32000,2,1036,120,2,1037,32,,,,,,,,,,,,,
1364,1,4,67,64,3,1,0,32000,3,0,40,2,1036,120,2,1037,32,,,,,,,,,,,,,
1365,1,4,68,65,3,3,0,40,2,0,3200,2,1036,120,2,1037,32,,,,,,,,,,,,,
1366,1,4,69,66,3,2,0,3200,5,1,100,2,1036,120,2,1037,32,,,,,,,,,,,,,
1367,1,4,70,67,3,5,1,100,12,1,100,2,1036,120,2,1037,32,,,,,,,,,,,,,
1368,1,4,71,68,3,12,1,100,4,0,5,2,1036,120,2,1037,32,,,,,,,,,,,,,
1369,1,4,72,69,3,4,0,5,1,0,32000,2,1036,125,2,1037,34,,,,,,,,,,,,,
1370,1,4,73,70,3,1,0,32000,3,0,40,2,1036,125,2,1037,34,,,,,,,,,,,,,
1371,1,4,74,71,3,3,0,40,2,0,3200,2,1036,125,2,1037,34,,,,,,,,,,,,,
1372,1,4,75,72,3,2,0,3200,5,1,100,2,1036,125,2,1037,34,,,,,,,,,,,,,
1373,1,4,76,73,3,5,1,100,12,1,100,2,1036,125,2,1037,34,,,,,,,,,,,,,
1374,1,4,77,74,3,12,1,100,4,0,5,2,1036,125,2,1037,34,,,,,,,,,,,,,
1375,1,4,78,75,3,4,0,5,,,,,,,,,,,,,,,,,,,,,,
2001,2,1,1,1,0,1,0,24000,3,0,40,2,1036,5,2,1037,1,,,,,,,,,,,,,
2002,2,1,2,2,0,3,0,40,2,0,2400,2,1036,10,2,1037,2,,,,,,,,,,,,,
2003,2,1,3,3,0,2,0,2400,11,1,100,2,1036,15,2,1037,3,,,,,,,,,,,,,
2004,2,1,4,4,0,11,1,100,7,1,100,2,1036,20,2,1037,4,,,,,,,,,,,,,
2005,2,1,5,5,0,7,1,100,4,0,5,,,,,,,,,,2,1036,40,2,1037,8,,,,
2105,2,2,6,5,1,4,0,5,1,0,24000,2,1036,30,2,1037,6,,,,,,,,,,,,,
2106,2,2,7,6,1,1,0,24000,3,0,40,2,1036,35,2,1037,7,,,,,,,,,,,,,
2107,2,2,8,7,1,3,0,40,2,0,2400,2,1036,40,2,1037,8,,,,,,,,,,,,,
2108,2,2,9,8,1,2,0,2400,11,1,100,2,1036,45,2,1037,9,,,,,,,,,,,,,
2109,2,2,10,9,1,11,1,100,7,1,100,2,1036,50,2,1037,10,,,,,,,,,,,,,
2110,2,2,11,10,1,7,1,100,4,0,5,,,,,,,,,,2,1036,70,2,1037,14,,,,
2210,2,3,12,10,2,4,0,5,1,0,24000,2,1036,60,2,1037,12,,,,,,,,,,,,,
2211,2,3,13,11,2,1,0,24000,3,0,40,2,1036,65,2,1037,13,,,,,,,,,,,,,
2212,2,3,14,12,2,3,0,40,2,0,2400,2,1036,70,2,1037,14,,,,,,,,,,,,,
2213,2,3,15,13,2,2,0,2400,11,1,100,2,1036,75,2,1037,15,,,,,,,,,,,,,
2214,2,3,16,14,2,11,1,100,7,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
2215,2,3,17,15,2,7,1,100,4,0,5,,,,,,,,,,2,1036,100,2,1037,20,,,,
2315,2,4,18,15,3,4,0,5,1,0,32000,2,1036,80,2,1037,16,,,,,,,,,,,,,
2316,2,4,19,16,3,1,0,32000,3,0,40,2,1036,80,2,1037,16,,,,,,,,,,,,,
2317,2,4,20,17,3,3,0,40,2,0,3200,2,1036,80,2,1037,16,,,,,,,,,,,,,
2318,2,4,21,18,3,2,0,3200,11,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
2319,2,4,22,19,3,11,1,100,7,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
2320,2,4,23,20,3,7,1,100,4,0,5,2,1036,80,2,1037,16,,,,,,,,,,,,,
2321,2,4,24,21,3,4,0,5,1,0,32000,2,1036,85,2,1037,18,,,,,,,,,,,,,
2322,2,4,25,22,3,1,0,32000,3,0,40,2,1036,85,2,1037,18,,,,,,,,,,,,,
2323,2,4,26,23,3,3,0,40,2,0,3200,2,1036,85,2,1037,18,,,,,,,,,,,,,
2324,2,4,27,24,3,2,0,3200,11,1,100,2,1036,85,2,1037,18,,,,,,,,,,,,,
2325,2,4,28,25,3,11,1,100,7,1,100,2,1036,85,2,1037,18,,,,,,,,,,,,,
2326,2,4,29,26,3,7,1,100,4,0,5,2,1036,85,2,1037,18,,,,,,,,,,,,,
2327,2,4,30,27,3,4,0,5,1,0,32000,2,1036,90,2,1037,20,,,,,,,,,,,,,
2328,2,4,31,28,3,1,0,32000,3,0,40,2,1036,90,2,1037,20,,,,,,,,,,,,,
2329,2,4,32,29,3,3,0,40,2,0,3200,2,1036,90,2,1037,20,,,,,,,,,,,,,
2330,2,4,33,30,3,2,0,3200,11,1,100,2,1036,90,2,1037,20,,,,,,,,,,,,,
2331,2,4,34,31,3,11,1,100,7,1,100,2,1036,90,2,1037,20,,,,,,,,,,,,,
2332,2,4,35,32,3,7,1,100,4,0,5,2,1036,90,2,1037,20,,,,,,,,,,,,,
2333,2,4,36,33,3,4,0,5,1,0,32000,2,1036,95,2,1037,22,,,,,,,,,,,,,
2334,2,4,37,34,3,1,0,32000,3,0,40,2,1036,95,2,1037,22,,,,,,,,,,,,,
2335,2,4,38,35,3,3,0,40,2,0,3200,2,1036,95,2,1037,22,,,,,,,,,,,,,
2336,2,4,39,36,3,2,0,3200,11,1,100,2,1036,95,2,1037,22,,,,,,,,,,,,,
2337,2,4,40,37,3,11,1,100,7,1,100,2,1036,95,2,1037,22,,,,,,,,,,,,,
2338,2,4,41,38,3,7,1,100,4,0,5,2,1036,95,2,1037,22,,,,,,,,,,,,,
2339,2,4,42,39,3,4,0,5,1,0,32000,2,1036,100,2,1037,24,,,,,,,,,,,,,
2340,2,4,43,40,3,1,0,32000,3,0,40,2,1036,100,2,1037,24,,,,,,,,,,,,,
2341,2,4,44,41,3,3,0,40,2,0,3200,2,1036,100,2,1037,24,,,,,,,,,,,,,
2342,2,4,45,42,3,2,0,3200,11,1,100,2,1036,100,2,1037,24,,,,,,,,,,,,,
2343,2,4,46,43,3,11,1,100,7,1,100,2,1036,100,2,1037,24,,,,,,,,,,,,,
2344,2,4,47,44,3,7,1,100,4,0,5,2,1036,100,2,1037,24,,,,,,,,,,,,,
2345,2,4,48,45,3,4,0,5,1,0,32000,2,1036,105,2,1037,26,,,,,,,,,,,,,
2346,2,4,49,46,3,1,0,32000,3,0,40,2,1036,105,2,1037,26,,,,,,,,,,,,,
2347,2,4,50,47,3,3,0,40,2,0,3200,2,1036,105,2,1037,26,,,,,,,,,,,,,
2348,2,4,51,48,3,2,0,3200,11,1,100,2,1036,105,2,1037,26,,,,,,,,,,,,,
2349,2,4,52,49,3,11,1,100,7,1,100,2,1036,105,2,1037,26,,,,,,,,,,,,,
2350,2,4,53,50,3,7,1,100,4,0,5,2,1036,105,2,1037,26,,,,,,,,,,,,,
2351,2,4,54,51,3,4,0,5,1,0,32000,2,1036,110,2,1037,28,,,,,,,,,,,,,
2352,2,4,55,52,3,1,0,32000,3,0,40,2,1036,110,2,1037,28,,,,,,,,,,,,,
2353,2,4,56,53,3,3,0,40,2,0,3200,2,1036,110,2,1037,28,,,,,,,,,,,,,
2354,2,4,57,54,3,2,0,3200,11,1,100,2,1036,110,2,1037,28,,,,,,,,,,,,,
2355,2,4,58,55,3,11,1,100,7,1,100,2,1036,110,2,1037,28,,,,,,,,,,,,,
2356,2,4,59,56,3,7,1,100,4,0,5,2,1036,110,2,1037,28,,,,,,,,,,,,,
2357,2,4,60,57,3,4,0,5,1,0,32000,2,1036,115,2,1037,30,,,,,,,,,,,,,
2358,2,4,61,58,3,1,0,32000,3,0,40,2,1036,115,2,1037,30,,,,,,,,,,,,,
2359,2,4,62,59,3,3,0,40,2,0,3200,2,1036,115,2,1037,30,,,,,,,,,,,,,
2360,2,4,63,60,3,2,0,3200,11,1,100,2,1036,115,2,1037,30,,,,,,,,,,,,,
2361,2,4,64,61,3,11,1,100,7,1,100,2,1036,115,2,1037,30,,,,,,,,,,,,,
2362,2,4,65,62,3,7,1,100,4,0,5,2,1036,115,2,1037,30,,,,,,,,,,,,,
2363,2,4,66,63,3,4,0,5,1,0,32000,2,1036,120,2,1037,32,,,,,,,,,,,,,
2364,2,4,67,64,3,1,0,32000,3,0,40,2,1036,120,2,1037,32,,,,,,,,,,,,,
2365,2,4,68,65,3,3,0,40,2,0,3200,2,1036,120,2,1037,32,,,,,,,,,,,,,
2366,2,4,69,66,3,2,0,3200,11,1,100,2,1036,120,2,1037,32,,,,,,,,,,,,,
2367,2,4,70,67,3,11,1,100,7,1,100,2,1036,120,2,1037,32,,,,,,,,,,,,,
2368,2,4,71,68,3,7,1,100,4,0,5,2,1036,120,2,1037,32,,,,,,,,,,,,,
2369,2,4,72,69,3,4,0,5,1,0,32000,2,1036,125,2,1037,34,,,,,,,,,,,,,
2370,2,4,73,70,3,1,0,32000,3,0,40,2,1036,125,2,1037,34,,,,,,,,,,,,,
2371,2,4,74,71,3,3,0,40,2,0,3200,2,1036,125,2,1037,34,,,,,,,,,,,,,
2372,2,4,75,72,3,2,0,3200,11,1,100,2,1036,125,2,1037,34,,,,,,,,,,,,,
2373,2,4,76,73,3,11,1,100,7,1,100,2,1036,125,2,1037,34,,,,,,,,,,,,,
2374,2,4,77,74,3,7,1,100,4,0,5,2,1036,125,2,1037,34,,,,,,,,,,,,,
2375,2,4,78,75,3,4,0,5,,,,,,,,,,,,,,,,,,,,,,
3001,3,1,1,1,0,1,0,24000,3,0,40,2,1036,5,2,1037,1,,,,,,,,,,,,,
3002,3,1,2,2,0,3,0,40,2,0,2400,2,1036,10,2,1037,2,,,,,,,,,,,,,
3003,3,1,3,3,0,2,0,2400,13,1,100,2,1036,15,2,1037,3,,,,,,,,,,,,,
3004,3,1,4,4,0,13,1,100,5,1,100,2,1036,20,2,1037,4,,,,,,,,,,,,,
3005,3,1,5,5,0,5,1,100,4,0,5,,,,,,,,,,2,1036,40,2,1037,8,,,,
3105,3,2,6,5,1,4,0,5,1,0,24000,2,1036,30,2,1037,6,,,,,,,,,,,,,
3106,3,2,7,6,1,1,0,24000,3,0,40,2,1036,35,2,1037,7,,,,,,,,,,,,,
3107,3,2,8,7,1,3,0,40,2,0,2400,2,1036,40,2,1037,8,,,,,,,,,,,,,
3108,3,2,9,8,1,2,0,2400,13,1,100,2,1036,45,2,1037,9,,,,,,,,,,,,,
3109,3,2,10,9,1,13,1,100,5,1,100,2,1036,50,2,1037,10,,,,,,,,,,,,,
3110,3,2,11,10,1,5,1,100,4,0,5,,,,,,,,,,2,1036,70,2,1037,14,,,,
3210,3,3,12,10,2,4,0,5,1,0,24000,2,1036,60,2,1037,12,,,,,,,,,,,,,
3211,3,3,13,11,2,1,0,24000,3,0,40,2,1036,65,2,1037,13,,,,,,,,,,,,,
3212,3,3,14,12,2,3,0,40,2,0,2400,2,1036,70,2,1037,14,,,,,,,,,,,,,
3213,3,3,15,13,2,2,0,2400,13,1,100,2,1036,75,2,1037,15,,,,,,,,,,,,,
3214,3,3,16,14,2,13,1,100,5,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
3215,3,3,17,15,2,5,1,100,4,0,5,,,,,,,,,,2,1036,100,2,1037,20,,,,
3315,3,4,18,15,3,4,0,5,1,0,32000,2,1036,80,2,1037,16,,,,,,,,,,,,,
3316,3,4,19,16,3,1,0,32000,3,0,40,2,1036,80,2,1037,16,,,,,,,,,,,,,
3317,3,4,20,17,3,3,0,40,2,0,3200,2,1036,80,2,1037,16,,,,,,,,,,,,,
3318,3,4,21,18,3,2,0,3200,13,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
3319,3,4,22,19,3,13,1,100,5,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
3320,3,4,23,20,3,5,1,100,4,0,5,2,1036,80,2,1037,16,,,,,,,,,,,,,
3321,3,4,24,21,3,4,0,5,1,0,32000,2,1036,85,2,1037,18,,,,,,,,,,,,,
3322,3,4,25,22,3,1,0,32000,3,0,40,2,1036,85,2,1037,18,,,,,,,,,,,,,
3323,3,4,26,23,3,3,0,40,2,0,3200,2,1036,85,2,1037,18,,,,,,,,,,,,,
3324,3,4,27,24,3,2,0,3200,13,1,100,2,1036,85,2,1037,18,,,,,,,,,,,,,
3325,3,4,28,25,3,13,1,100,5,1,100,2,1036,85,2,1037,18,,,,,,,,,,,,,
3326,3,4,29,26,3,5,1,100,4,0,5,2,1036,85,2,1037,18,,,,,,,,,,,,,
3327,3,4,30,27,3,4,0,5,1,0,32000,2,1036,90,2,1037,20,,,,,,,,,,,,,
3328,3,4,31,28,3,1,0,32000,3,0,40,2,1036,90,2,1037,20,,,,,,,,,,,,,
3329,3,4,32,29,3,3,0,40,2,0,3200,2,1036,90,2,1037,20,,,,,,,,,,,,,
3330,3,4,33,30,3,2,0,3200,13,1,100,2,1036,90,2,1037,20,,,,,,,,,,,,,
3331,3,4,34,31,3,13,1,100,5,1,100,2,1036,90,2,1037,20,,,,,,,,,,,,,
3332,3,4,35,32,3,5,1,100,4,0,5,2,1036,90,2,1037,20,,,,,,,,,,,,,
3333,3,4,36,33,3,4,0,5,1,0,32000,2,1036,95,2,1037,22,,,,,,,,,,,,,
3334,3,4,37,34,3,1,0,32000,3,0,40,2,1036,95,2,1037,22,,,,,,,,,,,,,
3335,3,4,38,35,3,3,0,40,2,0,3200,2,1036,95,2,1037,22,,,,,,,,,,,,,
3336,3,4,39,36,3,2,0,3200,13,1,100,2,1036,95,2,1037,22,,,,,,,,,,,,,
3337,3,4,40,37,3,13,1,100,5,1,100,2,1036,95,2,1037,22,,,,,,,,,,,,,
3338,3,4,41,38,3,5,1,100,4,0,5,2,1036,95,2,1037,22,,,,,,,,,,,,,
3339,3,4,42,39,3,4,0,5,1,0,32000,2,1036,100,2,1037,24,,,,,,,,,,,,,
3340,3,4,43,40,3,1,0,32000,3,0,40,2,1036,100,2,1037,24,,,,,,,,,,,,,
3341,3,4,44,41,3,3,0,40,2,0,3200,2,1036,100,2,1037,24,,,,,,,,,,,,,
3342,3,4,45,42,3,2,0,3200,13,1,100,2,1036,100,2,1037,24,,,,,,,,,,,,,
3343,3,4,46,43,3,13,1,100,5,1,100,2,1036,100,2,1037,24,,,,,,,,,,,,,
3344,3,4,47,44,3,5,1,100,4,0,5,2,1036,100,2,1037,24,,,,,,,,,,,,,
3345,3,4,48,45,3,4,0,5,1,0,32000,2,1036,105,2,1037,26,,,,,,,,,,,,,
3346,3,4,49,46,3,1,0,32000,3,0,40,2,1036,105,2,1037,26,,,,,,,,,,,,,
3347,3,4,50,47,3,3,0,40,2,0,3200,2,1036,105,2,1037,26,,,,,,,,,,,,,
3348,3,4,51,48,3,2,0,3200,13,1,100,2,1036,105,2,1037,26,,,,,,,,,,,,,
3349,3,4,52,49,3,13,1,100,5,1,100,2,1036,105,2,1037,26,,,,,,,,,,,,,
3350,3,4,53,50,3,5,1,100,4,0,5,2,1036,105,2,1037,26,,,,,,,,,,,,,
3351,3,4,54,51,3,4,0,5,1,0,32000,2,1036,110,2,1037,28,,,,,,,,,,,,,
3352,3,4,55,52,3,1,0,32000,3,0,40,2,1036,110,2,1037,28,,,,,,,,,,,,,
3353,3,4,56,53,3,3,0,40,2,0,3200,2,1036,110,2,1037,28,,,,,,,,,,,,,
3354,3,4,57,54,3,2,0,3200,13,1,100,2,1036,110,2,1037,28,,,,,,,,,,,,,
3355,3,4,58,55,3,13,1,100,5,1,100,2,1036,110,2,1037,28,,,,,,,,,,,,,
3356,3,4,59,56,3,5,1,100,4,0,5,2,1036,110,2,1037,28,,,,,,,,,,,,,
3357,3,4,60,57,3,4,0,5,1,0,32000,2,1036,115,2,1037,30,,,,,,,,,,,,,
3358,3,4,61,58,3,1,0,32000,3,0,40,2,1036,115,2,1037,30,,,,,,,,,,,,,
3359,3,4,62,59,3,3,0,40,2,0,3200,2,1036,115,2,1037,30,,,,,,,,,,,,,
3360,3,4,63,60,3,2,0,3200,13,1,100,2,1036,115,2,1037,30,,,,,,,,,,,,,
3361,3,4,64,61,3,13,1,100,5,1,100,2,1036,115,2,1037,30,,,,,,,,,,,,,
3362,3,4,65,62,3,5,1,100,4,0,5,2,1036,115,2,1037,30,,,,,,,,,,,,,
3363,3,4,66,63,3,4,0,5,1,0,32000,2,1036,120,2,1037,32,,,,,,,,,,,,,
3364,3,4,67,64,3,1,0,32000,3,0,40,2,1036,120,2,1037,32,,,,,,,,,,,,,
3365,3,4,68,65,3,3,0,40,2,0,3200,2,1036,120,2,1037,32,,,,,,,,,,,,,
3366,3,4,69,66,3,2,0,3200,13,1,100,2,1036,120,2,1037,32,,,,,,,,,,,,,
3367,3,4,70,67,3,13,1,100,5,1,100,2,1036,120,2,1037,32,,,,,,,,,,,,,
3368,3,4,71,68,3,5,1,100,4,0,5,2,1036,120,2,1037,32,,,,,,,,,,,,,
3369,3,4,72,69,3,4,0,5,1,0,32000,2,1036,125,2,1037,34,,,,,,,,,,,,,
3370,3,4,73,70,3,1,0,32000,3,0,40,2,1036,125,2,1037,34,,,,,,,,,,,,,
3371,3,4,74,71,3,3,0,40,2,0,3200,2,1036,125,2,1037,34,,,,,,,,,,,,,
3372,3,4,75,72,3,2,0,3200,13,1,100,2,1036,125,2,1037,34,,,,,,,,,,,,,
3373,3,4,76,73,3,13,1,100,5,1,100,2,1036,125,2,1037,34,,,,,,,,,,,,,
3374,3,4,77,74,3,5,1,100,4,0,5,2,1036,125,2,1037,34,,,,,,,,,,,,,
3375,3,4,78,75,3,4,0,5,,,,,,,,,,,,,,,,,,,,,,
4001,4,1,1,1,0,1,0,24000,3,0,40,2,1036,5,2,1037,1,,,,,,,,,,,,,
4002,4,1,2,2,0,3,0,40,2,0,2400,2,1036,10,2,1037,2,,,,,,,,,,,,,
4003,4,1,3,3,0,2,0,2400,19,1,100,2,1036,15,2,1037,3,,,,,,,,,,,,,
4004,4,1,4,4,0,19,1,100,18,1,100,2,1036,20,2,1037,4,,,,,,,,,,,,,
4005,4,1,5,5,0,18,1,100,4,0,5,,,,,,,,,,2,1036,40,2,1037,8,,,,
4105,4,2,6,5,1,4,0,5,1,0,24000,2,1036,30,2,1037,6,,,,,,,,,,,,,
4106,4,2,7,6,1,1,0,24000,3,0,40,2,1036,35,2,1037,7,,,,,,,,,,,,,
4107,4,2,8,7,1,3,0,40,2,0,2400,2,1036,40,2,1037,8,,,,,,,,,,,,,
4108,4,2,9,8,1,2,0,2400,19,1,100,2,1036,45,2,1037,9,,,,,,,,,,,,,
4109,4,2,10,9,1,19,1,100,18,1,100,2,1036,50,2,1037,10,,,,,,,,,,,,,
4110,4,2,11,10,1,18,1,100,4,0,5,,,,,,,,,,2,1036,70,2,1037,14,,,,
4210,4,3,12,10,2,4,0,5,1,0,24000,2,1036,60,2,1037,12,,,,,,,,,,,,,
4211,4,3,13,11,2,1,0,24000,3,0,40,2,1036,65,2,1037,13,,,,,,,,,,,,,
4212,4,3,14,12,2,3,0,40,2,0,2400,2,1036,70,2,1037,14,,,,,,,,,,,,,
4213,4,3,15,13,2,2,0,2400,19,1,100,2,1036,75,2,1037,15,,,,,,,,,,,,,
4214,4,3,16,14,2,19,1,100,18,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
4215,4,3,17,15,2,18,1,100,4,0,5,,,,,,,,,,2,1036,100,2,1037,20,,,,
4315,4,4,18,15,3,4,0,5,1,0,32000,2,1036,80,2,1037,16,,,,,,,,,,,,,
4316,4,4,19,16,3,1,0,32000,3,0,40,2,1036,80,2,1037,16,,,,,,,,,,,,,
4317,4,4,20,17,3,3,0,40,2,0,3200,2,1036,80,2,1037,16,,,,,,,,,,,,,
4318,4,4,21,18,3,2,0,3200,19,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
4319,4,4,22,19,3,19,1,100,18,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
4320,4,4,23,20,3,18,1,100,4,0,5,2,1036,80,2,1037,16,,,,,,,,,,,,,
