stage,battleId,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,reward-type-3,reward-id-3,reward-num-3,reward-type-4,reward-id-4,reward-num-4,reward-type-5,reward-id-5,reward-num-5,fastAtk-type-1,fastAtk-id-1,fastAtk-num-1,fastAtk-type-2,fastAtk-id-2,fastAtk-num-2,fastAtk-type-3,fastAtk-id-3,fastAtk-num-3,fastAtk-type-4,fastAtk-id-4,fastAtk-num-4,fastAtk-type-5,fastAtk-id-5,fastAtk-num-5,
22,90022,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,1550000,1,8,775000,2,1001,150,,,,,,,,,,
23,90023,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1600000,1,8,800000,2,1001,200,,,,,,,,,,
24,90024,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1650000,1,8,825000,2,1001,200,,,,,,,,,,
25,90025,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,1700000,1,8,850000,2,1001,200,,,,,,,,,,
26,90026,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1750000,1,8,875000,2,1001,200,,,,,,,,,,
27,90027,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1800000,1,8,900000,2,1001,200,,,,,,,,,,
28,90028,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,1850000,1,8,925000,2,1001,200,,,,,,,,,,
29,90029,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1900000,1,8,950000,2,1001,200,,,,,,,,,,
30,90030,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1950000,1,8,975000,2,1001,200,,,,,,,,,,
31,90031,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2000000,1,8,1000000,2,1001,200,,,,,,,,,,
32,90032,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2050000,1,8,1025000,2,1001,200,,,,,,,,,,
33,90033,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,2100000,1,8,1050000,2,1001,200,,,,,,,,,,
34,90034,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2150000,1,8,1075000,2,1001,250,,,,,,,,,,
35,90035,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2200000,1,8,1100000,2,1001,250,,,,,,,,,,
36,90036,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,2250000,1,8,1125000,2,1001,250,,,,,,,,,,
37,90037,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2300000,1,8,1150000,2,1001,250,,,,,,,,,,
38,90038,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2350000,1,8,1175000,2,1001,250,,,,,,,,,,
39,90039,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,2400000,1,8,1200000,2,1001,250,,,,,,,,,,
40,90040,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2450000,1,8,1225000,2,1001,250,,,,,,,,,,
41,90041,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2500000,1,8,1250000,2,1001,250,,,,,,,,,,
42,90042,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,2550000,1,8,1275000,2,1001,250,,,,,,,,,,
43,90043,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2600000,1,8,1300000,2,1001,250,,,,,,,,,,
44,90044,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2650000,1,8,1325000,2,1001,250,,,,,,,,,,
45,90045,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,2700000,1,8,1350000,2,1001,300,,,,,,,,,,
46,90046,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2750000,1,8,1375000,2,1001,300,,,,,,,,,,
47,90047,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2800000,1,8,1400000,2,1001,300,,,,,,,,,,
48,90048,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,2850000,1,8,1425000,2,1001,300,,,,,,,,,,
49,90049,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,2900000,1,8,1450000,2,1001,300,,,,,,,,,,
50,90050,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,2950000,1,8,1475000,2,1001,300,,,,,,,,,,
51,90051,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3000000,1,8,1500000,2,1001,300,,,,,,,,,,
52,90052,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3050000,1,8,1525000,2,1001,300,,,,,,,,,,
53,90053,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,3100000,1,8,1550000,2,1001,300,,,,,,,,,,
54,90054,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3150000,1,8,1575000,2,1001,300,,,,,,,,,,
55,90055,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3200000,1,8,1600000,2,1001,300,,,,,,,,,,
56,90056,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,3250000,1,8,1625000,2,1001,350,,,,,,,,,,
57,90057,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3300000,1,8,1650000,2,1001,350,,,,,,,,,,
58,90058,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3350000,1,8,1675000,2,1001,350,,,,,,,,,,
59,90059,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,3400000,1,8,1700000,2,1001,350,,,,,,,,,,
60,90060,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3450000,1,8,1725000,2,1001,350,,,,,,,,,,
61,90061,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
62,90062,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
63,90063,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
64,90064,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
65,90065,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
66,90066,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
67,90067,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
68,90068,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
69,90069,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
70,90070,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,3500000,1,8,1750000,2,1001,350,,,,,,,,,,
