id,heroType,level,camp,consumes-type-1,consumes-id-1,consumes-value-1,consumes-type-2,consumes-id-2,consumes-value-2,PayBack-type-1,PayBack-id-1,PayBack-value-1,PayBack-type-2,PayBack-id-2,PayBack-value-2,
144,3,12,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
145,3,1,3,2,1279,3,,,,2,1279,3,,,,
146,3,2,3,2,1279,3,,,,2,1279,3,,,,
147,3,3,3,2,1279,3,,,,2,1279,3,,,,
148,3,4,3,2,1279,3,,,,2,1279,3,,,,
149,3,5,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
150,3,6,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
151,3,7,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
152,3,8,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
153,3,9,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
154,3,10,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
155,3,11,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
156,3,12,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
157,3,1,4,2,1279,3,,,,2,1279,3,,,,
158,3,2,4,2,1279,3,,,,2,1279,3,,,,
159,3,3,4,2,1279,3,,,,2,1279,3,,,,
160,3,4,4,2,1279,3,,,,2,1279,3,,,,
161,3,5,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
162,3,6,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
163,3,7,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
164,3,8,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
165,3,9,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
166,3,10,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
167,3,11,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
168,3,12,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
169,3,1,5,2,1279,3,,,,2,1279,3,,,,
170,3,2,5,2,1279,3,,,,2,1279,3,,,,
171,3,3,5,2,1279,3,,,,2,1279,3,,,,
172,3,4,5,2,1279,3,,,,2,1279,3,,,,
173,3,5,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
174,3,6,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
175,3,7,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
176,3,8,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
177,3,9,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
178,3,10,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
179,3,11,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
180,3,12,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
181,4,1,1,2,1279,3,,,,2,1279,3,,,,
182,4,2,1,2,1279,3,,,,2,1279,3,,,,
183,4,3,1,2,1279,3,,,,2,1279,3,,,,
184,4,4,1,2,1279,3,,,,2,1279,3,,,,
185,4,5,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
186,4,6,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
187,4,7,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
188,4,8,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
189,4,9,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
190,4,10,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
191,4,11,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
192,4,12,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
193,4,1,2,2,1279,3,,,,2,1279,3,,,,
194,4,2,2,2,1279,3,,,,2,1279,3,,,,
195,4,3,2,2,1279,3,,,,2,1279,3,,,,
196,4,4,2,2,1279,3,,,,2,1279,3,,,,
197,4,5,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
198,4,6,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
199,4,7,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
200,4,8,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
201,4,9,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
202,4,10,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
203,4,11,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
204,4,12,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
205,4,1,3,2,1279,3,,,,2,1279,3,,,,
206,4,2,3,2,1279,3,,,,2,1279,3,,,,
207,4,3,3,2,1279,3,,,,2,1279,3,,,,
208,4,4,3,2,1279,3,,,,2,1279,3,,,,
209,4,5,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
210,4,6,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
211,4,7,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
212,4,8,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
213,4,9,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
214,4,10,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
215,4,11,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
216,4,12,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
217,4,1,4,2,1279,3,,,,2,1279,3,,,,
218,4,2,4,2,1279,3,,,,2,1279,3,,,,
219,4,3,4,2,1279,3,,,,2,1279,3,,,,
220,4,4,4,2,1279,3,,,,2,1279,3,,,,
221,4,5,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
222,4,6,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
223,4,7,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
224,4,8,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
225,4,9,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
226,4,10,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
227,4,11,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
228,4,12,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
229,4,1,5,2,1279,3,,,,2,1279,3,,,,
230,4,2,5,2,1279,3,,,,2,1279,3,,,,
231,4,3,5,2,1279,3,,,,2,1279,3,,,,
232,4,4,5,2,1279,3,,,,2,1279,3,,,,
233,4,5,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
234,4,6,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
235,4,7,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
236,4,8,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
237,4,9,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
238,4,10,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
239,4,11,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
240,4,12,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
