id,minRank,maxRank,floor,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,
6003,3,3,10,1,72,14000,2,1003,2,1,8,620000,
6004,4,5,10,1,72,8500,2,1003,2,1,8,540000,
6005,6,10,10,1,72,8000,2,1003,2,1,8,500000,
6006,11,20,10,1,72,5500,2,1003,1,1,8,460000,
6007,21,50,10,1,72,5000,2,1003,1,1,8,420000,
6008,51,100,10,1,72,4800,2,1003,1,1,8,380000,
6009,101,200,10,1,72,4600,2,1003,1,1,8,340000,
6010,201,500,10,1,72,4400,2,1003,1,1,8,300000,
7001,1,1,11,1,72,18000,2,3008,10,1,8,1100000,
7002,2,2,11,1,72,17000,2,3008,10,1,8,850000,
7003,3,3,11,1,72,16000,2,3008,10,1,8,680000,
7004,4,5,11,1,72,9500,2,3008,10,1,8,580000,
7005,6,10,11,1,72,9000,2,3008,10,1,8,520000,
7006,11,20,11,1,72,6100,2,3008,8,1,8,480000,
7007,21,50,11,1,72,5600,2,3008,8,1,8,440000,
7008,51,100,11,1,72,5400,2,3008,8,1,8,390000,
7009,101,200,11,1,72,5200,2,3008,8,1,8,350000,
7010,201,500,11,1,72,5000,2,3008,8,1,8,310000,
8001,1,1,12,1,72,20000,2,1003,2,1,8,1200000,
8002,2,2,12,1,72,19000,2,1003,2,1,8,930000,
8003,3,3,12,1,72,18000,2,1003,2,1,8,740000,
8004,4,5,12,1,72,11000,2,1003,2,1,8,620000,
8005,6,10,12,1,72,10000,2,1003,2,1,8,540000,
8006,11,20,12,1,72,6700,2,1003,1,1,8,500000,
8007,21,50,12,1,72,6200,2,1003,1,1,8,460000,
8008,51,100,12,1,72,6000,2,1003,1,1,8,400000,
8009,101,200,12,1,72,5800,2,1003,1,1,8,360000,
8010,201,500,12,1,72,5600,2,1003,1,1,8,320000,
9001,1,1,13,1,72,22000,2,3008,10,1,8,1300000,
9002,2,2,13,1,72,21000,2,3008,10,1,8,1010000,
9003,3,3,13,1,72,20000,2,3008,10,1,8,800000,
9004,4,5,13,1,72,12000,2,3008,10,1,8,660000,
9005,6,10,13,1,72,11000,2,3008,10,1,8,560000,
9006,11,20,13,1,72,7300,2,3008,8,1,8,520000,
9007,21,50,13,1,72,6800,2,3008,8,1,8,480000,
9008,51,100,13,1,72,6600,2,3008,8,1,8,410000,
9009,101,200,13,1,72,6400,2,3008,8,1,8,370000,
9010,201,500,13,1,72,6200,2,3008,8,1,8,330000,
10001,1,1,14,1,72,24000,2,1003,2,1,8,1400000,
10002,2,2,14,1,72,23000,2,1003,2,1,8,1090000,
10003,3,3,14,1,72,22000,2,1003,2,1,8,860000,
10004,4,5,14,1,72,13000,2,1003,2,1,8,700000,
10005,6,10,14,1,72,12000,2,1003,2,1,8,580000,
10006,11,20,14,1,72,7900,2,1003,1,1,8,540000,
10007,21,50,14,1,72,7400,2,1003,1,1,8,500000,
10008,51,100,14,1,72,7200,2,1003,1,1,8,420000,
10009,101,200,14,1,72,7000,2,1003,1,1,8,380000,
10010,201,500,14,1,72,6800,2,1003,1,1,8,340000,
