id,libId,dateStart,dateEnd,desc,heroId,odds,lockNum,openLimit,numSpace,limitAddPro,
5290,5,1,-1,,24504,30,,1000,50,80,
5300,5,1,-1,,24506,160,,1000,50,650,
5310,5,1,-1,,24510,90,500,1000,50,650,
5320,5,1,-1,,24508,30,800,1000,50,80,
5330,5,1,-1,,24513,160,,1000,50,650,
5340,5,1,-1,,25501,180,,1000,50,650,
5350,5,1,-1,,25503,190,,1000,50,650,
5360,5,1,-1,,25504,30,1100,1500,50,80,
5370,5,1,-1,,25506,200,,1000,50,650,
5380,5,1,-1,,25507,160,,1000,50,650,
5390,5,1,-1,,25509,30,500,1000,50,80,
5400,5,1,-1,,25510,15,1200,2000,50,60,
5410,5,1,-1,,25513,160,,1000,50,650,
5430,5,1,-1,,25515,150,400,1000,50,650,
5470,5,1,-1,,24505,30,800,1400,50,80,
5490,5,1,-1,,25514,30,900,1400,50,80,
6010,6,1,-1,s==6|积分招募5星,21501,300,,,,,
6020,6,1,-1,,21502,400,,,,,
6030,6,1,-1,,21503,400,,,,,
6040,6,1,-1,,21504,400,,,,,
6050,6,1,-1,,21505,400,,,,,
6060,6,1,-1,,21507,400,,,,,
6070,6,1,-1,,21510,300,,,,,
6080,6,1,-1,,22501,400,,,,,
6090,6,1,-1,,22502,300,,,,,
6100,6,1,-1,,22504,400,,,,,
6110,6,1,-1,,22505,300,,,,,
6120,6,1,-1,,22507,400,,,,,
6130,6,1,-1,,22509,400,,,,,
6140,6,1,-1,,22510,400,,,,,
6150,6,1,-1,,22511,400,,,,,
6160,6,1,-1,,23502,300,,,,,
6170,6,1,-1,,23503,400,,,,,
6180,6,1,-1,,23504,400,,,,,
6190,6,1,-1,,23506,150,,,,,
6200,6,1,-1,,23508,400,,,,,
6210,6,1,-1,,23510,150,,,,,
6220,6,1,-1,,23513,400,,,,,
6230,6,1,-1,,24501,200,,,,,
6240,6,1,-1,,24502,200,300,,,,
6250,6,1,-1,,24503,200,300,,,,
6260,6,1,-1,,24504,100,300,,,,
6270,6,1,-1,,24506,200,300,,,,
6280,6,1,-1,,24510,100,500,,,,
6290,6,1,-1,,24513,120,300,,,,
6300,6,1,-1,,25501,200,,,,,
6310,6,1,-1,,25503,200,300,,,,
6320,6,1,-1,,25506,200,300,,,,
6330,6,1,-1,,25507,100,300,,,,
6340,6,1,-1,,25509,10,500,,,,
6350,6,1,-1,,25513,200,300,,,,
7010,7,1,-1,s==7|普通招募5星将,21501,800,,,,,
7020,7,1,-1,,21502,900,,,,,
7030,7,1,-1,,21505,900,,,,,
7040,7,1,-1,,22505,900,,,,,
7050,7,1,-1,,22509,900,,,,,
7060,7,1,-1,,22510,900,,,,,
7070,7,1,-1,,23502,900,,,,,
7080,7,1,-1,,23503,900,,,,,
7090,7,1,-1,,23504,900,,,,,
7100,7,1,-1,,23513,800,,,,,
7110,7,1,-1,,24501,100,300,,,,
7120,7,1,-1,,25501,100,300,,,,
7130,7,1,-1,,21405,500,,,,,
7140,7,1,-1,,22401,500,,,,,
7150,7,1,-1,,23405,500,,,,,
7160,7,1,-1,,24402,100,,,,,
7170,7,1,-1,,25401,100,300,,,,
8080,8,1,-1,s==8|5星武将（普通）,21503,340,,,,,
8090,8,1,-1,,21504,340,,,,,
8100,8,1,-1,,21505,600,,,,,
8110,8,1,-1,,21507,340,,,,,
8120,8,1,-1,,21508,240,,,,,
8130,8,1,-1,,21510,280,,,,,
8140,8,1,-1,,22501,340,,,,,
8150,8,1,-1,,22502,320,,,,,
8160,8,1,-1,,22508,340,,,,,
8170,8,1,-1,,22509,590,,,,,
8180,8,1,-1,,22511,315,,,,,
8190,8,1,-1,,23503,330,,,,,
8200,8,1,-1,,23504,600,,,,,
8210,8,1,-1,,23506,150,,,,,
8220,8,1,-1,,23507,290,,,,,
8230,8,1,-1,,23508,340,,,,,
8240,8,1,-1,,23510,150,,,,,
