id,name,desc,upGradeType,icon,skillNum-key-1,skillNum-val-1,skillNum-key-2,skillNum-val-2,skill1_1,skill2_1,skill2_2,skillComLock-type-1,skillComLock-id-1,skillComLock-value-1,skillComLock-type-2,skillComLock-id-2,skillComLock-value-2,propertylock-type-1,propertylock-id-1,propertylock-value-1,combatJudge,skillRecastLock-type-1,skillRecastLock-id-1,skillRecastLock-value-1,skillRecastLock-type-2,skillRecastLock-id-2,skillRecastLock-value-2,propertyRecastlock-type-1,propertyRecastlock-id-1,propertyRecastlock-value-1,propertyRecastlock-type-2,propertyRecastlock-id-2,propertyRecastlock-value-2,propertyRecastlock-type-3,propertyRecastlock-id-3,propertyRecastlock-value-3,propertyLib,customizedId,recastCost-type-1,recastCost-id-1,recastCost-value-1,recastCost-type-2,recastCost-id-2,recastCost-value-2,lockRecastjudge,refineCost-type-1,refineCost-id-1,refineCost-value-1,refineCost-type-2,refineCost-id-2,refineCost-value-2,luckSkill1_1,luckSkill2_1,luckSkill2_2,luckRecastCost,buyCostWarriorType,buyCostWarriorId,buyCostWarriorNum,discomposeType,discomposeId,discomposeNum,customizedWholeId,heroId,baseAttr,zhuanshuAttr,skillId,canImprove,improve-type-1,improve-id-1,improve-value-1,improveResult,backtrackId,
100003,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23511,50003|70008,102001|102002,4403|4332,0,,,,,4050,
100011,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22512,30003,100001|100002,4202|4132,1,2,100016,1,100012,4030,
100012,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22512,40003,101001|101002,4302|4232,1,2,100017,1,100013,4040,
100013,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22512,50003|70008,102001|102002,4402|4332,0,,,,,4050,
100021,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21515,30003,100001|100002,4203|4132,1,2,100026,1,100022,4030,
100022,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21515,40003,101001|101002,4303|4232,1,2,100027,1,100023,4040,
100023,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21515,50003|70008,102001|102002,4403|4332,0,,,,,4050,
100031,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25518,30003,100001|100002,4202|4132,1,2,100036,1,100032,4030,
100032,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25518,40003,101001|101002,4302|4232,1,2,100037,1,100033,4040,
100033,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25518,50003|70008,102001|102002,4402|4332,0,,,,,4050,
100041,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24518,30003,100001|100002,4203|4132,1,2,100046,1,100042,4030,
100042,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24518,40003,101001|101002,4303|4232,1,2,100047,1,100043,4040,
100043,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24518,50003|70008,102001|102002,4403|4332,0,,,,,4050,
100051,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25516,30001,100001|100002,4203|4109,1,2,100056,1,100052,4030,
100052,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25516,40001,101001|101002,4303|4209,1,2,100057,1,100053,4040,
100053,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25516,50001|70001,102001|102002,4403|4309,0,,,,,4050,
100061,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25517,30004,100001|100002,4203|4101,1,2,100066,1,100062,4030,
100062,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25517,40004,101001|101002,4303|4201,1,2,100067,1,100063,4040,
100063,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25517,50004|70008,102001|102002,4403|4301,0,,,,,4050,
100071,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24517,30001,100001|100002,4202|4109,1,2,100076,1,100072,4030,
100072,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24517,40001,101001|101002,4302|4209,1,2,100077,1,100073,4040,
100073,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24517,50001|70001,102001|102002,4402|4309,0,,,,,4050,
100081,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24516,30003,100001|100002,4232|4125,1,2,100086,1,100082,4030,
100082,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24516,40003,101001|101002,4332|4225,1,2,100087,1,100083,4040,
100083,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24516,50003|70008,102001|102002,4432|4325,0,,,,,4050,
100091,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22515,30004,100001|100002,4203|4101,1,2,100096,1,100092,4030,
100092,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22515,40004,101001|101002,4303|4201,1,2,100097,1,100093,4040,
100093,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22515,50004|70008,102001|102002,4403|4301,0,,,,,4050,
100101,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26501,30001,100001|100002,4203|4109,1,2,100106,1,100102,4030,
100102,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26501,40001,101001|101002,4303|4209,1,2,100107,1,100103,4040,
100103,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26501,50001|70001,102001|102002,4403|4309,0,,,,,4050,
100111,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21516,30003,100001|100002,4231|4139,1,2,100116,1,100112,4030,
100112,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21516,40003,101001|101002,4331|4239,1,2,100117,1,100113,4040,
100113,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21516,50003|70008,102001|102002,4431|4339,0,,,,,4050,
100121,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26502,30001,100001|100002,4202|4109,1,2,100126,1,100122,4030,
100122,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26502,40001,101001|101002,4302|4209,1,2,100127,1,100123,4040,
100123,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26502,50001|70001,102001|102002,4402|4309,0,,,,,4050,
100131,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26503,30003,100001|100002,4203|4101,1,2,100134,1,100132,4030,
100132,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26503,40003,101001|101002,4303|4201,1,2,100135,1,100133,4040,
100133,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26503,50003|70008,102001|102002,4403|4301,0,,,,,4050,
100141,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26504,30003,100001|100002,4232|4125,1,2,100144,1,100142,4030,
100142,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26504,40003,101001|101002,4332|4225,1,2,100145,1,100143,4040,
100143,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26504,50003|70008,102001|102002,4432|4325,0,,,,,4050,
100151,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26505,30001,100001|100002,4203|4109,1,2,100154,1,100152,4030,
100152,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26505,40001,101001|101002,4303|4209,1,2,100155,1,100153,4040,
100153,s==4|大将军印,s==1|红,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26505,50001|70001,102001|102002,4403|4309,0,,,,,4050,
