id,starMapId,groupDrop,skill,skill2,skill3,type,camp,star,classify,needlevel,isRelease,jindukuang,jindutiao,
22501,1003,s==7|x_xtbg1,32|30203210,64|30203220,96|40010001,1,2,13,2,1,1,s==9|w_prg_wei,s==3|wei,
22504,1003,s==7|x_xtbg1,32|30202110,64|30202120,96|40010001,1,2,13,2,1,1,s==9|w_prg_wei,s==3|wei,
22505,,,,,,,,13,,1,2,,,
22508,1003,s==7|x_xtbg1,32|30202610,64|30202620,96|40010001,1,2,13,2,1,1,s==9|w_prg_shu,s==3|shu,
22509,,,,,,,,13,,1,2,,,
22511,1004,s==7|x_xtbg1,32|30202710,64|30202720,96|40010001,3,2,13,2,1,1,s==9|w_prg_shu,s==3|shu,
22512,1007,s==7|x_xtbg1,32|30204610,64|30204620,96|40010001,1,2,13,1,1,1,s==9|w_prg_shu,s==3|shu,
23502,1001,s==7|x_xtbg1,32|30204110,64|30204120,96|40010002,2,3,13,2,1,1,s==8|w_prg_wu,s==2|wu,
23503,1005,s==7|x_xtbg1,32|30202910,64|30202920,96|40010002,4,3,13,2,1,1,s==8|w_prg_wu,s==2|wu,
23504,,,,,,,,13,,1,2,,,
23507,1003,s==7|x_xtbg1,32|30203410,64|30203420,96|40010002,1,3,13,2,1,1,s==8|w_prg_wu,s==2|wu,
23510,1004,s==7|x_xtbg1,32|30202310,64|30202320,96|40010002,3,3,13,2,1,1,s==8|w_prg_wu,s==2|wu,
23511,1008,s==7|x_xtbg1,32|30204810,64|30204820,96|40010002,3,3,13,1,1,1,s==8|w_prg_wu,s==2|wu,
24501,1002,s==7|x_xtbg1,32|30203610,64|30203620,96|40010003,2,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24502,,,,,,,,13,,1,2,,,
24504,1008,s==7|x_xtbg1,32|30202410,64|30202420,96|40010003,3,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24505,1007,s==7|x_xtbg1,32|30203510,64|30203520,96|40010003,1,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24506,1008,s==7|x_xtbg1,32|30204210,64|30204220,96|40010003,3,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24510,1006,s==7|x_xtbg1,32|30203010,64|30203020,96|40010003,4,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24513,,,,,,,,13,,1,2,,,
24516,1002,s==7|x_xtbg1,32|30205210,64|30205220,96|40010003,2,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24517,1007,s==7|x_xtbg1,32|30204310,64|30204320,96|40010003,1,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
24518,1008,s==7|x_xtbg1,32|30204910,64|30204920,96|40010003,3,4,13,1,1,1,s==10|w_prg_shen,s==4|shen,
25401,,,,,,,,13,,1,2,,,
25503,,,,,,,,13,,1,2,,,
25504,1007,s==7|x_xtbg1,32|30203710,64|30203720,96|40010004,1,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25506,,,,,,,,13,,1,2,,,
25507,1006,s==7|x_xtbg1,32|30203110,64|30203120,96|40010004,4,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25510,1007,s==7|x_xtbg1,32|30202510,64|30202520,96|40010004,1,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25513,,,,,,,,13,,1,2,,,
25514,1006,s==7|x_xtbg1,32|30204410,64|30204420,96|40010004,4,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25516,1008,s==7|x_xtbg1,32|30204510,64|30204520,96|40010004,3,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25518,1007,s==7|x_xtbg1,32|30205010,64|30205020,96|40010004,1,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
25517,1008,s==7|x_xtbg1,32|30203810,64|30203820,96|40010004,3,5,13,1,1,1,s==8|w_xd_prg,s==2|mo,
10000001,1007,s==7|x_xtbg1,32,64,96,1,,13,1,1,1,,,
10000002,1002,s==7|x_xtbg1,32,64,96,2,,13,1,1,1,,,
10000003,1008,s==7|x_xtbg1,32,64,96,3,,13,1,1,1,,,
10000004,1006,s==7|x_xtbg1,32,64,96,4,,13,1,1,1,,,
22515,1005,s==7|x_xtbg1,32|30203910,64|30203920,96|40010001,4,2,13,2,1,1,s==9|w_prg_shu,s==3|shu,
21516,1005,s==7|x_xtbg1,32|30205110,64|30205120,96|40010000,4,1,13,2,1,1,s==9|w_prg_wei,s==3|wei,
26501,1008,s==7|x_xtbg1,32|30205310,64|30205320,96|40010005,3,,13,3,1,1,,,
26502,1007,s==7|x_xtbg1,32|30205410,64|30205420,96|40010006,1,,13,3,1,1,,,
26503,1006,s==7|x_xtbg1,32|30205510,64|30205520,96|40010007,4,,13,3,1,1,,,
26504,1002,s==7|x_xtbg1,32|30205610,64|30205620,96|40010008,2,,13,3,1,1,,,
