id,platformType,type,name,moneyType,money,ingots,extraInggots,day,vipExp,multiplyingPower,sanguobi,productId,moneyType_tw,money_tw,moneyType_us,money_us,platformRechardId,name_tw,moneyType_vn,money_vn,money_us_vn,platformRechardId_vn,name_vn,moneyType_jp,money_jp,platformRechardId_jp,name_jp,moneyType_kr,money_kr,money_us_kr,platformRechardId_kr,name_kr,moneyType_id,money_id,money_us_id,platformRechardId_id,name_id,moneyType_en,money_en,platformRechardId_en,name_en,moneyType_th,money_th,platformRechardId_th,name_th,
11,1,5,s==6|6元直购礼包,2,6,0,0,0,60,0,0,,3,33,4,0.99,60,s==8|60元寶直購禮包,5,25000,0.85,6,s==6|6元直购礼包,6,160,1,s==6|6元直购礼包,7,1500,0.99,8,s==6|6元直购礼包,8,19000,0.99,6,s==8|60 Ingot,9,0.99,99,s==6|6元直购礼包,10,35,1,s==6|6元直购礼包,
12,1,5,s==7|12元直购礼包,2,12,0,0,0,120,0,0,,3,70,4,1.99,120,s==9|120元寶直購禮包,5,49000,1.74,12,s==7|12元直购礼包,6,320,2,s==7|12元直购礼包,7,3000,1.99,9,s==7|12元直购礼包,8,35000,1.99,12,s==12|GP 120 Ingot,9,1.99,199,s==7|12元直购礼包,10,69,2,s==7|12元直购礼包,
13,1,5,s==7|30元直购礼包,2,30,0,0,0,300,0,0,,3,170,4,4.99,300,s==9|300元寶直購禮包,5,129000,4.29,30,s==7|30元直购礼包,6,800,3,s==7|30元直购礼包,7,7500,4.99,10,s==7|30元直购礼包,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==7|30元直购礼包,10,179,3,s==7|30元直购礼包,
14,1,5,s==7|50元直购礼包,2,50,0,0,0,500,0,0,,3,270,4,7.99,500,s==9|500元寶直購禮包,5,199000,6.59,169,s==7|50元直购礼包,6,1200,11,s==7|50元直购礼包,7,12000,7.99,2,s==7|50元直购礼包,8,139000,7.99,50,s==12|GP 500 Ingot,9,7.99,799,s==7|50元直购礼包,10,299,11,s==7|50元直购礼包,
15,1,5,s==7|60元直购礼包,2,60,0,0,0,600,0,0,,3,290,4,8.99,600,s==9|600元寶直購禮包,5,229000,8.49,218,s==7|60元直购礼包,6,1500,12,s==7|60元直购礼包,7,14000,8.99,1,s==7|60元直购礼包,8,149000,8.99,60,s==12|GP 600 Ingot,9,8.99,899,s==7|60元直购礼包,10,329,12,s==7|60元直购礼包,
16,1,5,s==7|68元直购礼包,2,68,0,0,0,680,0,0,,3,330,4,9.99,680,s==9|680元寶直購禮包,5,249000,8.49,68,s==7|68元直购礼包,6,1600,4,s==7|68元直购礼包,7,15000,9.99,11,s==7|68元直购礼包,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==7|68元直购礼包,10,349,4,s==7|68元直购礼包,
17,1,5,s==7|98元直购礼包,2,98,0,0,0,980,0,0,,3,490,4,14.99,980,s==9|980元寶直購禮包,5,379000,12.75,98,s==7|98元直购礼包,6,2400,5,s==7|98元直购礼包,7,23000,14.99,12,s==7|98元直购礼包,8,249000,14.99,98,s==12|GP 980 Ingot,9,14.99,1499,s==7|98元直购礼包,10,549,5,s==7|98元直购礼包,
18,1,5,s==8|118元直购礼包,2,118,0,0,0,1180,0,0,,3,590,4,17.99,1180,s==10|1180元寶直購禮包,5,449000,16.99,415,s==8|118元直购礼包,6,2900,13,s==8|118元直购礼包,7,27000,17.99,2,s==8|118元直购礼包,8,299000,17.99,118,s==13|GP 1180 Ingot,9,17.99,1799,s==8|118元直购礼包,10,649,13,s==8|118元直购礼包,
19,1,5,s==8|128元直购礼包,2,128,0,0,0,1280,0,0,,3,670,4,19.99,1280,s==10|1280元寶直購禮包,5,499000,17.39,128,s==8|128元直购礼包,6,3200,6,s==8|128元直购礼包,7,30000,19.99,13,s==8|128元直购礼包,8,349000,19.99,128,s==10|1280 Ingot,9,19.99,1999,s==8|128元直购礼包,10,729,6,s==8|128元直购礼包,
20,1,5,s==8|198元直购礼包,2,198,0,0,0,1980,0,0,,3,990,4,29.99,1980,s==10|1980元寶直購禮包,5,779000,27.99,198,s==8|198元直购礼包,6,4800,7,s==8|198元直购礼包,7,45000,29.99,14,s==8|198元直购礼包,8,499000,29.99,198,s==10|1980 Ingot,9,29.99,2999,s==8|198元直购礼包,10,1100,7,s==8|198元直购礼包,
21,1,5,s==8|328元直购礼包,2,328,0,0,0,3280,0,0,,3,1690,4,49.99,3280,s==10|3280元寶直購禮包,5,1299000,42.99,328,s==8|328元直购礼包,6,8000,8,s==8|328元直购礼包,7,79000,49.99,15,s==8|328元直购礼包,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==8|328元直购礼包,10,1800,8,s==8|328元直购礼包,
22,1,5,s==8|448元直购礼包,2,448,0,0,0,4480,0,0,,3,2290,4,69.99,4480,s==10|4480元寶直購禮包,5,1799000,59.99,1540,s==8|448元直购礼包,6,10800,14,s==8|448元直购礼包,7,109000,69.99,1,s==8|448元直购礼包,8,1199000,69.99,448,s==13|GP 4480 Ingot,9,69.99,6999,s==8|448元直购礼包,10,2500,14,s==8|448元直购礼包,
23,1,5,s==8|648元直购礼包,2,648,0,0,0,6480,0,0,,3,3290,4,99.99,6480,s==10|6480元寶直購禮包,5,2499000,85.99,648,s==8|648元直购礼包,6,15800,9,s==8|648元直购礼包,7,149000,99.99,16,s==8|648元直购礼包,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==8|648元直购礼包,10,3700,9,s==8|648元直购礼包,
24,1,6,s==6|月基金128,2,128,1280,0,30,1280,0,0,,3,670,4,19.99,1280,s==8|月基金20倍返利,5,499000,17.39,128,s==6|月基金128,6,3200,6,s==6|月基金128,7,30000,19.99,1280,s==6|月基金128,8,349000,19.99,128,s==10|1280 Ingot,9,19.99,1999,s==6|月基金128,10,729,6,s==6|月基金128,
25,1,7,s==6|月基金328,2,328,3280,0,30,3280,0,0,,3,1690,4,49.99,3280,s==8|月基金30倍返利,5,1299000,42.99,328,s==6|月基金328,6,8000,8,s==6|月基金328,7,79000,49.99,3280,s==6|月基金328,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==6|月基金328,10,1800,8,s==6|月基金328,
26,1,5,s==7|18元直购礼包,2,18,0,0,0,180,0,0,,3,100,4,2.99,180,s==9|180元寶直購禮包,5,79000,2.59,66,s==7|18元直购礼包,6,480,10,s==7|18元直购礼包,7,4400,2.99,180,s==7|18元直购礼包,8,49000,2.99,18,s==12|GP 180 Ingot,9,2.99,299,s==7|18元直购礼包,10,99,10,s==7|18元直购礼包,
27,1,9,s==6|至尊等级礼包,2,68,680,0,0,680,0,0,,3,330,4,9.99,680,s==6|至尊等級禮包,5,249000,8.49,68,s==6|至尊等级礼包,6,1600,4,s==6|至尊等级礼包,7,15000,9.99,680,s==6|至尊等级礼包,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==6|至尊等级礼包,10,349,4,s==6|至尊等级礼包,
28,1,10,s==7|328成长基金,2,328,0,0,0,3280,0,0,,3,1690,4,49.99,3280,s==10|3280元寶成長基金,5,1299000,42.99,328,s==7|328成长基金,6,8000,8,s==7|328成长基金,7,79000,49.99,3280,s==7|328成长基金,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==7|328成长基金,10,1800,8,s==7|328成长基金,
29,1,8,s==6|月基金648,2,648,6480,0,0,6480,0,0,,3,3290,4,99.99,6480,s==8|月基金40倍返利,5,2499000,85.99,648,s==6|月基金648,6,15800,9,s==6|月基金648,7,149000,99.99,6480,s==6|月基金648,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==6|月基金648,10,3700,9,s==6|月基金648,
30,1,11,s==7|648成长基金,2,648,0,0,0,6480,0,0,,3,3290,4,99.99,6480,s==10|6480元寶成長基金,5,2499000,85.99,648,s==7|648成长基金,6,15800,9,s==7|648成长基金,7,149000,99.99,6480,s==7|648成长基金,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==7|648成长基金,10,3700,9,s==7|648成长基金,
31,1,88,s==3|三国币,2,0,0,0,0,0,0,0,,3,0,4,0,0,s==3|三國幣,5,0,0,0,s==3|三国币,6,0,0,s==3|三国币,7,0,0,0,s==3|三国币,8,0,0,0,s==23|Mata Uang Tiga Kerajaan,9,0,0,s==3|三国币,10,0,0,s==3|三国币,
32,1,89,s==8|5000元三国币,2,5000,0,0,0,0,0,50000,,3,5000,4,5000,0,s==8|5000元三國幣,5,0,5000,0,s==8|5000元三国币,6,0,0,s==8|5000元三国币,7,0,5000,0,s==8|5000元三国币,8,5000,5000,5000,s==34|5000 ingot Mata Uang Tiga Kerajaan,9,5000,0,s==8|5000元三国币,10,5000,0,s==8|5000元三国币,
33,1,89,s==9|10000元三国币,2,10000,0,0,0,0,0,100000,,3,10000,4,10000,0,s==9|10000元三國幣,5,0,10000,0,s==9|10000元三国币,6,0,0,s==9|10000元三国币,7,0,10000,0,s==9|10000元三国币,8,10000,10000,10000,s==36|10.000 ingot Mata uang Tiga Kerajaan,9,10000,0,s==9|10000元三国币,10,10000,0,s==9|10000元三国币,
34,1,5,s==6|越南0元礼包,2,10,0,0,0,120,0,0,,3,70,4,1.99,120,s==9|120元寶直購禮包,5,45000,1.59,45,s==6|越南0元礼包,6,250,2,s==6|越南0元礼包,7,2500,1.99,120,s==6|越南0元礼包,8,10,10,88,s==23|Tas hdh Vietnam 0 ingot,9,1.99,249,s==6|越南0元礼包,10,69,2,s==6|越南0元礼包,
35,1,89,s==8|1000元三国币,2,1000,0,0,0,0,0,10000,,3,1000,4,1000,0,s==8|1000元三國幣,5,0,1000,0,s==8|1000元三国币,6,0,0,s==8|1000元三国币,7,0,1000,0,s==8|1000元三国币,8,1000,1000,1000,s==34|1000 ingot Mata Uang Tiga Kerajaan,9,1000,0,s==8|1000元三国币,10,1000,0,s==8|1000元三国币,
36,1,89,s==8|2000元三国币,2,2000,0,0,0,0,0,20000,,3,2000,4,2000,0,s==8|2000元三國幣,5,0,2000,0,s==8|2000元三国币,6,0,0,s==8|2000元三国币,7,0,2000,0,s==8|2000元三国币,8,2000,2000,2000,s==34|2000 ingot Mata uang Tiga Kerajaan,9,2000,0,s==8|2000元三国币,10,2000,0,s==8|2000元三国币,
51,2,1,s==4|60元宝,2,6,60,60,0,60,2,0,,3,33,4,0.99,60,s==4|60元寶,5,25000,0.85,6,s==4|60元宝,6,160,60,s==4|60元宝,7,1500,0.99,1,s==4|60元宝,8,19000,0.99,6,s==8|60 Ingot,9,0.99,99,s==4|60元宝,10,35,0.99,s==4|60元宝,
52,2,1,s==5|300元宝,2,30,300,300,0,300,2,0,,3,170,4,4.99,300,s==5|300元寶,5,129000,4.29,30,s==5|300元宝,6,800,300,s==5|300元宝,7,7500,4.99,2,s==5|300元宝,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==5|300元宝,10,179,4.99,s==5|300元宝,
53,2,1,s==5|680元宝,2,68,680,680,0,680,2,0,,3,330,4,9.99,680,s==5|680元寶,5,249000,8.49,68,s==5|680元宝,6,1600,680,s==5|680元宝,7,15000,9.99,3,s==5|680元宝,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==5|680元宝,10,349,9.99,s==5|680元宝,
54,2,1,s==6|1280元宝,2,128,1280,1280,0,1280,2,0,,3,670,4,19.99,1280,s==6|1280元寶,5,499000,17.39,128,s==6|1280元宝,6,3200,1280,s==6|1280元宝,7,30000,19.99,4,s==6|1280元宝,8,349000,19.99,128,s==10|1280 Ingot,9,19.99,1999,s==6|1280元宝,10,729,19.99,s==6|1280元宝,
55,2,1,s==6|1980元宝,2,198,1980,1980,0,1980,2,0,,3,990,4,29.99,1980,s==6|1980元寶,5,779000,27.99,198,s==6|1980元宝,6,4800,1980,s==6|1980元宝,7,45000,29.99,5,s==6|1980元宝,8,499000,29.99,198,s==10|1980 Ingot,9,29.99,2999,s==6|1980元宝,10,1100,29.99,s==6|1980元宝,
56,2,1,s==6|3280元宝,2,328,3280,3280,0,3280,2,0,,3,1690,4,49.99,3280,s==6|3280元寶,5,1299000,42.99,328,s==6|3280元宝,6,8000,3280,s==6|3280元宝,7,79000,49.99,6,s==6|3280元宝,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==6|3280元宝,10,1800,49.99,s==6|3280元宝,
57,2,1,s==6|6480元宝,2,648,6480,6480,0,6480,2,0,,3,3290,4,99.99,6480,s==6|6480元寶,5,2499000,85.99,648,s==6|6480元宝,6,15800,6480,s==6|6480元宝,7,149000,99.99,7,s==6|6480元宝,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==6|6480元宝,10,3700,99.99,s==6|6480元宝,
58,2,2,s==8|贵族月卡（不用）,2,30,0,0,30,300,0,0,,3,170,4,4.99,300,s==8|貴族月卡（不用）,5,129000,4.29,30,s==8|贵族月卡（不用）,6,610,3,s==8|贵族月卡（不用）,7,7500,4.99,300,s==8|贵族月卡（不用）,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==8|贵族月卡（不用）,10,179,3,s==8|贵族月卡（不用）,
59,2,3,s==8|王者月卡（不用）,2,98,0,0,30,980,0,0,,3,330,4,9.99,680,s==8|王者月卡（不用）,5,379000,12.75,98,s==8|王者月卡（不用）,6,1840,5,s==8|王者月卡（不用）,7,23000,14.99,980,s==8|王者月卡（不用）,8,249000,14.99,98,s==12|GP 980 Ingot,9,9.99,999,s==8|王者月卡（不用）,10,549,5,s==8|王者月卡（不用）,
60,2,4,s==6|98成长基金,2,98,0,0,0,980,0,0,,3,490,4,14.99,980,s==9|980元寶成長基金,5,379000,12.75,98,s==6|98成长基金,6,2400,5,s==6|98成长基金,7,23000,14.99,980,s==6|98成长基金,8,249000,14.99,98,s==12|GP 980 Ingot,9,14.99,1499,s==6|98成长基金,10,549,5,s==6|98成长基金,
61,2,5,s==6|6元直购礼包,2,6,0,0,0,60,0,0,,3,33,4,0.99,60,s==8|60元寶直購禮包,5,25000,0.85,6,s==6|6元直购礼包,6,160,1,s==6|6元直购礼包,7,1500,0.99,8,s==6|6元直购礼包,8,19000,0.99,6,s==8|60 Ingot,9,0.99,99,s==6|6元直购礼包,10,35,1,s==6|6元直购礼包,
62,2,5,s==7|12元直购礼包,2,12,0,0,0,120,0,0,,3,70,4,1.99,120,s==9|120元寶直購禮包,5,49000,1.74,12,s==7|12元直购礼包,6,320,2,s==7|12元直购礼包,7,3000,1.99,9,s==7|12元直购礼包,8,35000,1.99,12,s==12|GP 120 Ingot,9,1.99,199,s==7|12元直购礼包,10,69,2,s==7|12元直购礼包,
63,2,5,s==7|30元直购礼包,2,30,0,0,0,300,0,0,,3,170,4,4.99,300,s==9|300元寶直購禮包,5,129000,4.29,30,s==7|30元直购礼包,6,800,3,s==7|30元直购礼包,7,7500,4.99,10,s==7|30元直购礼包,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==7|30元直购礼包,10,179,3,s==7|30元直购礼包,
64,2,5,s==7|50元直购礼包,2,50,0,0,0,500,0,0,,3,270,4,7.99,500,s==9|500元寶直購禮包,5,199000,6.59,169,s==7|50元直购礼包,6,1200,11,s==7|50元直购礼包,7,12000,7.99,2,s==7|50元直购礼包,8,139000,7.99,50,s==12|GP 500 Ingot,9,7.99,799,s==7|50元直购礼包,10,299,11,s==7|50元直购礼包,
65,2,5,s==7|60元直购礼包,2,60,0,0,0,600,0,0,,3,290,4,8.99,600,s==9|600元寶直購禮包,5,229000,8.49,218,s==7|60元直购礼包,6,1500,12,s==7|60元直购礼包,7,14000,8.99,1,s==7|60元直购礼包,8,149000,8.99,60,s==12|GP 600 Ingot,9,8.99,899,s==7|60元直购礼包,10,329,12,s==7|60元直购礼包,
66,2,5,s==7|68元直购礼包,2,68,0,0,0,680,0,0,,3,330,4,9.99,680,s==9|680元寶直購禮包,5,249000,8.49,68,s==7|68元直购礼包,6,1600,4,s==7|68元直购礼包,7,15000,9.99,11,s==7|68元直购礼包,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==7|68元直购礼包,10,349,4,s==7|68元直购礼包,
67,2,5,s==7|98元直购礼包,2,98,0,0,0,980,0,0,,3,490,4,14.99,980,s==9|980元寶直購禮包,5,379000,12.75,98,s==7|98元直购礼包,6,2400,5,s==7|98元直购礼包,7,23000,14.99,12,s==7|98元直购礼包,8,249000,14.99,98,s==12|GP 980 Ingot,9,14.99,1499,s==7|98元直购礼包,10,549,5,s==7|98元直购礼包,
68,2,5,s==8|118元直购礼包,2,118,0,0,0,1180,0,0,,3,590,4,17.99,1180,s==10|1180元寶直購禮包,5,449000,16.99,415,s==8|118元直购礼包,6,2900,13,s==8|118元直购礼包,7,27000,17.99,2,s==8|118元直购礼包,8,299000,17.99,118,s==13|GP 1180 Ingot,9,17.99,1799,s==8|118元直购礼包,10,649,13,s==8|118元直购礼包,
69,2,5,s==8|128元直购礼包,2,128,0,0,0,1280,0,0,,3,670,4,19.99,1280,s==10|1280元寶直購禮包,5,499000,17.39,128,s==8|128元直购礼包,6,3200,6,s==8|128元直购礼包,7,30000,19.99,13,s==8|128元直购礼包,8,349000,19.99,128,s==10|1280 Ingot,9,19.99,1999,s==8|128元直购礼包,10,729,6,s==8|128元直购礼包,
70,2,5,s==8|198元直购礼包,2,198,0,0,0,1980,0,0,,3,990,4,29.99,1980,s==10|1980元寶直購禮包,5,779000,27.99,198,s==8|198元直购礼包,6,4800,7,s==8|198元直购礼包,7,45000,29.99,14,s==8|198元直购礼包,8,499000,29.99,198,s==10|1980 Ingot,9,29.99,2999,s==8|198元直购礼包,10,1100,7,s==8|198元直购礼包,
71,2,5,s==8|328元直购礼包,2,328,0,0,0,3280,0,0,,3,1690,4,49.99,3280,s==10|3280元寶直購禮包,5,1299000,42.99,328,s==8|328元直购礼包,6,8000,8,s==8|328元直购礼包,7,79000,49.99,15,s==8|328元直购礼包,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==8|328元直购礼包,10,1800,8,s==8|328元直购礼包,
72,2,5,s==8|448元直购礼包,2,448,0,0,0,4480,0,0,,3,2290,4,69.99,4480,s==10|4480元寶直購禮包,5,1799000,59.99,1540,s==8|448元直购礼包,6,10800,14,s==8|448元直购礼包,7,109000,69.99,1,s==8|448元直购礼包,8,1199000,69.99,448,s==13|GP 4480 Ingot,9,69.99,6999,s==8|448元直购礼包,10,2500,14,s==8|448元直购礼包,
73,2,5,s==8|648元直购礼包,2,648,0,0,0,6480,0,0,,3,3290,4,99.99,6480,s==10|6480元寶直購禮包,5,2499000,85.99,648,s==8|648元直购礼包,6,15800,9,s==8|648元直购礼包,7,149000,99.99,16,s==8|648元直购礼包,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==8|648元直购礼包,10,3700,9,s==8|648元直购礼包,
74,2,6,s==6|月基金128,2,128,1280,0,30,1280,0,0,,3,670,4,19.99,1280,s==8|月基金20倍返利,5,499000,17.39,128,s==6|月基金128,6,3200,6,s==6|月基金128,7,30000,19.99,1280,s==6|月基金128,8,349000,19.99,128,s==10|1280 Ingot,9,19.99,1999,s==6|月基金128,10,729,6,s==6|月基金128,
75,2,7,s==6|月基金328,2,328,3280,0,30,3280,0,0,,3,1690,4,49.99,3280,s==8|月基金30倍返利,5,1299000,42.99,328,s==6|月基金328,6,8000,8,s==6|月基金328,7,79000,49.99,3280,s==6|月基金328,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==6|月基金328,10,1800,8,s==6|月基金328,
76,2,5,s==7|18元直购礼包,2,18,0,0,0,180,0,0,,3,100,4,2.99,180,s==9|180元寶直購禮包,5,79000,2.59,66,s==7|18元直购礼包,6,480,10,s==7|18元直购礼包,7,4400,2.99,180,s==7|18元直购礼包,8,49000,2.99,18,s==12|GP 180 Ingot,9,2.99,299,s==7|18元直购礼包,10,99,10,s==7|18元直购礼包,
77,2,9,s==6|至尊等级礼包,2,68,680,0,0,680,0,0,,3,330,4,9.99,680,s==6|至尊等級禮包,5,249000,8.49,68,s==6|至尊等级礼包,6,1600,4,s==6|至尊等级礼包,7,15000,9.99,680,s==6|至尊等级礼包,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==6|至尊等级礼包,10,349,4,s==6|至尊等级礼包,
78,2,10,s==7|328成长基金,2,328,0,0,0,3280,0,0,,3,1690,4,49.99,3280,s==10|3280元寶成長基金,5,1299000,42.99,328,s==7|328成长基金,6,8000,8,s==7|328成长基金,7,79000,49.99,3280,s==7|328成长基金,8,849000,49.99,328,s==10|3280 Ingot,9,49.99,4999,s==7|328成长基金,10,1800,8,s==7|328成长基金,
79,2,8,s==6|月基金648,2,648,6480,0,0,6480,0,0,,3,3290,4,99.99,6480,s==8|月基金40倍返利,5,2499000,85.99,648,s==6|月基金648,6,15800,9,s==6|月基金648,7,149000,99.99,6480,s==6|月基金648,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==6|月基金648,10,3700,9,s==6|月基金648,
80,2,11,s==7|648成长基金,2,648,0,0,0,6480,0,0,,3,3290,4,99.99,6480,s==10|6480元寶成長基金,5,2499000,85.99,648,s==7|648成长基金,6,15800,9,s==7|648成长基金,7,149000,99.99,6480,s==7|648成长基金,8,1699000,99.99,648,s==10|6480 Ingot,9,99.99,9999,s==7|648成长基金,10,3700,9,s==7|648成长基金,
81,2,88,s==3|三国币,2,0,0,0,0,0,0,0,,3,0,4,0,0,s==3|三國幣,5,0,0,0,s==3|三国币,6,0,0,s==3|三国币,7,0,0,0,s==3|三国币,8,0,0,0,s==23|Mata Uang Tiga Kerajaan,9,0,0,s==3|三国币,10,0,0,s==3|三国币,
82,2,89,s==8|5000元三国币,2,5000,0,0,0,0,0,50000,,3,5000,4,5000,0,s==8|5000元三國幣,5,0,5000,0,s==8|5000元三国币,6,0,0,s==8|5000元三国币,7,0,5000,0,s==8|5000元三国币,8,5000,5000,5000,s==34|5000 ingot Mata Uang Tiga Kerajaan,9,5000,0,s==8|5000元三国币,10,5000,0,s==8|5000元三国币,
83,2,89,s==9|10000元三国币,2,10000,0,0,0,0,0,100000,,3,10000,4,10000,0,s==9|10000元三國幣,5,0,10000,0,s==9|10000元三国币,6,0,0,s==9|10000元三国币,7,0,10000,0,s==9|10000元三国币,8,10000,10000,10000,s==36|10.000 ingot Mata uang Tiga Kerajaan,9,10000,0,s==9|10000元三国币,10,10000,0,s==9|10000元三国币,
84,2,5,s==6|越南0元礼包,2,10,0,0,0,120,0,0,,3,70,4,1.99,120,s==9|120元寶直購禮包,5,45000,1.59,45,s==6|越南0元礼包,6,250,2,s==6|越南0元礼包,7,2500,1.99,120,s==6|越南0元礼包,8,10,10,10,s==23|Tas hdh Vietnam 0 ingot,9,2.49,249,s==6|越南0元礼包,10,69,2,s==6|越南0元礼包,
85,1,12,s==7|30元直购礼包,2,30,0,0,0,300,0,0,,3,170,4,4.99,300,s==9|300元寶直購禮包,5,129000,4.29,30,s==7|30元直购礼包,6,800,3,s==7|30元直购礼包,7,7500,4.99,300,s==7|30元直购礼包,8,89000,4.99,30,s==9|300 Ingot,9,4.99,499,s==7|30元直购礼包,10,179,3,s==7|30元直购礼包,
86,1,13,s==7|68元特惠周卡,2,68,680,0,0,680,0,0,,3,330,4,9.99,680,s==5|680元寶,5,249000,8.49,68,s==5|680元宝,6,1600,680,s==5|680元宝,7,15000,9.99,3,s==5|680元宝,8,169000,9.99,68,s==9|680 Ingot,9,9.99,999,s==7|68元特惠周卡,10,349,4,s==7|68元特惠周卡,
