id,group,item-type-1,item-id-1,item-value-1,buyArticle-type-1,buyArticle-id-1,buyArticle-value-1,vip,
115,1007,2,1014,1,1,9,980,,
116,1007,2,1052,100,1,9,1000,,
117,1007,2,1007,10,1,9,490,,
118,1007,2,1020,20,1,9,2000,,
119,1007,2,1004,1,1,9,1000,,
120,1007,2,800200,100,1,9,1500,,
121,1008,2,1056,10,1,9,400,,
122,1008,2,1057,2,1,9,1000,,
123,1008,2,1003,3,1,9,660,,
124,1008,2,1115,2000,1,9,1000,,
125,1008,2,1006,1000,1,9,800,,
126,1008,2,1012,50,1,9,1000,,
127,1008,2,1014,1,1,9,980,,
128,1008,2,3002,60,1,9,600,,
129,1008,2,1014,1,1,9,980,,
130,1008,2,1052,100,1,9,1000,,
131,1008,2,1007,10,1,9,490,,
132,1008,2,1055,200,1,9,400,,
133,1008,2,1004,1,1,9,1000,,
134,1008,2,800200,100,1,9,1500,,
135,1009,2,1056,10,1,9,400,,
136,1009,2,1057,2,1,9,1000,,
137,1009,2,1003,3,1,9,660,,
138,1009,2,1115,2000,1,9,1000,,
139,1009,2,1006,1000,1,9,800,,
140,1009,2,1012,50,1,9,1000,,
141,1009,2,1014,1,1,9,980,,
142,1009,2,3002,60,1,9,600,,
143,1009,2,1014,1,1,9,980,,
144,1009,2,71003,10,1,9,1400,,
145,1009,2,1007,10,1,9,490,,
146,1009,2,1055,200,1,9,400,,
147,1009,2,1004,1,1,9,1000,,
148,1009,2,800200,100,1,9,1500,,
149,1010,2,1056,10,1,9,400,,
150,1010,2,1057,2,1,9,1000,,
151,1010,2,1003,3,1,9,660,,
152,1010,2,1115,2000,1,9,1000,,
153,1010,2,1006,1000,1,9,800,,
154,1010,2,1012,50,1,9,1000,,
155,1010,2,1014,1,1,9,980,,
156,1010,2,3002,60,1,9,600,,
157,1010,2,1014,1,1,9,980,,
158,1010,2,71003,10,1,9,1400,,
159,1010,2,1286,10,1,9,1000,,
160,1010,2,1055,200,1,9,400,,
161,1010,2,1004,1,1,9,1000,,
162,1010,2,800200,100,1,9,1500,,
163,1010,2,50050,50,1,9,500,,
164,1010,2,50052,1,1,9,500,,
165,1010,2,1290,10,1,9,1000,,
166,1011,2,1056,10,1,9,400,,
167,1011,2,1057,2,1,9,1000,,
168,1011,2,1003,3,1,9,660,,
169,1011,2,1115,2000,1,9,1000,,
170,1011,2,1006,1000,1,9,800,,
171,1011,2,1012,50,1,9,1000,,
172,1011,2,1014,1,1,9,980,,
173,1011,2,1230,200,1,9,2000,,
174,1011,2,1014,1,1,9,980,,
175,1011,2,71003,10,1,9,1400,,
176,1011,2,1286,10,1,9,1000,,
177,1011,2,1055,200,1,9,400,,
178,1011,2,1004,1,1,9,1000,,
179,1011,2,800200,100,1,9,1500,,
180,1011,2,50050,50,1,9,500,,
181,1011,2,50052,1,1,9,500,,
182,1011,2,1290,10,1,9,1000,,
