id,mainId,minDamage,maxDamage,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,reward-type-3,reward-id-3,reward-num-3,
31,3,300000000,500000000,2,6863,1800,1,8,180000,2,1001,160,
32,3,500000000,1000000000,2,6863,1900,1,8,200000,2,1001,180,
33,3,1000000000,,2,6863,2000,1,8,220000,2,1001,200,
34,4,0,5000000,2,6867,1000,1,8,20000,2,1001,10,
35,4,5000000,10000000,2,6867,1100,1,8,40000,2,1001,20,
36,4,10000000,15000000,2,6867,1200,1,8,60000,2,1001,40,
37,4,15000000,20000000,2,6867,1300,1,8,80000,2,1001,60,
38,4,20000000,30000000,2,6867,1400,1,8,100000,2,1001,80,
39,4,30000000,50000000,2,6867,1500,1,8,120000,2,1001,100,
40,4,50000000,100000000,2,6867,1600,1,8,140000,2,1001,120,
41,4,100000000,300000000,2,6867,1700,1,8,160000,2,1001,140,
42,4,300000000,500000000,2,6867,1800,1,8,180000,2,1001,160,
43,4,500000000,1000000000,2,6867,1900,1,8,200000,2,1001,180,
44,4,1000000000,,2,6867,2000,1,8,220000,2,1001,200,
45,5,0,5000000,2,6869,1000,1,8,20000,2,1001,10,
46,5,5000000,10000000,2,6869,1100,1,8,40000,2,1001,20,
47,5,10000000,15000000,2,6869,1200,1,8,60000,2,1001,40,
48,5,15000000,20000000,2,6869,1300,1,8,80000,2,1001,60,
49,5,20000000,30000000,2,6869,1400,1,8,100000,2,1001,80,
50,5,30000000,50000000,2,6869,1500,1,8,120000,2,1001,100,
51,5,50000000,100000000,2,6869,1600,1,8,140000,2,1001,120,
52,5,100000000,300000000,2,6869,1700,1,8,160000,2,1001,140,
53,5,300000000,500000000,2,6869,1800,1,8,180000,2,1001,160,
54,5,500000000,1000000000,2,6869,1900,1,8,200000,2,1001,180,
55,5,1000000000,,2,6869,2000,1,8,220000,2,1001,200,
56,6,0,5000000,2,6875,1000,1,8,20000,2,1001,10,
57,6,5000000,10000000,2,6875,1100,1,8,40000,2,1001,20,
58,6,10000000,15000000,2,6875,1200,1,8,60000,2,1001,40,
59,6,15000000,20000000,2,6875,1300,1,8,80000,2,1001,60,
60,6,20000000,30000000,2,6875,1400,1,8,100000,2,1001,80,
61,6,30000000,50000000,2,6875,1500,1,8,120000,2,1001,100,
62,6,50000000,100000000,2,6875,1600,1,8,140000,2,1001,120,
63,6,100000000,300000000,2,6875,1700,1,8,160000,2,1001,140,
64,6,300000000,500000000,2,6875,1800,1,8,180000,2,1001,160,
65,6,500000000,1000000000,2,6875,1900,1,8,200000,2,1001,180,
66,6,1000000000,,2,6875,2000,1,8,220000,2,1001,200,
67,7,0,5000000,2,6972,1000,1,8,20000,2,1001,10,
68,7,5000000,10000000,2,6972,1100,1,8,40000,2,1001,20,
69,7,10000000,15000000,2,6972,1200,1,8,60000,2,1001,40,
70,7,15000000,20000000,2,6972,1300,1,8,80000,2,1001,60,
71,7,20000000,30000000,2,6972,1400,1,8,100000,2,1001,80,
72,7,30000000,50000000,2,6972,1500,1,8,120000,2,1001,100,
73,7,50000000,100000000,2,6972,1600,1,8,140000,2,1001,120,
74,7,100000000,300000000,2,6972,1700,1,8,160000,2,1001,140,
75,7,300000000,500000000,2,6972,1800,1,8,180000,2,1001,160,
76,7,500000000,1000000000,2,6972,1900,1,8,200000,2,1001,180,
77,7,1000000000,,2,6972,2000,1,8,220000,2,1001,200,
78,8,0,5000000,2,6985,1000,1,8,20000,2,1001,10,
79,8,5000000,10000000,2,6985,1100,1,8,40000,2,1001,20,
80,8,10000000,15000000,2,6985,1200,1,8,60000,2,1001,40,
81,8,15000000,20000000,2,6985,1300,1,8,80000,2,1001,60,
82,8,20000000,30000000,2,6985,1400,1,8,100000,2,1001,80,
83,8,30000000,50000000,2,6985,1500,1,8,120000,2,1001,100,
84,8,50000000,100000000,2,6985,1600,1,8,140000,2,1001,120,
85,8,100000000,300000000,2,6985,1700,1,8,160000,2,1001,140,
86,8,300000000,500000000,2,6985,1800,1,8,180000,2,1001,160,
87,8,500000000,1000000000,2,6985,1900,1,8,200000,2,1001,180,
88,8,1000000000,,2,6985,2000,1,8,220000,2,1001,200,
89,9,0,5000000,2,6999,1000,1,8,20000,2,1001,10,
90,9,5000000,10000000,2,6999,1100,1,8,40000,2,1001,20,
91,9,10000000,15000000,2,6999,1200,1,8,60000,2,1001,40,
92,9,15000000,20000000,2,6999,1300,1,8,80000,2,1001,60,
93,9,20000000,30000000,2,6999,1400,1,8,100000,2,1001,80,
94,9,30000000,50000000,2,6999,1500,1,8,120000,2,1001,100,
95,9,50000000,100000000,2,6999,1600,1,8,140000,2,1001,120,
96,9,100000000,300000000,2,6999,1700,1,8,160000,2,1001,140,
97,9,300000000,500000000,2,6999,1800,1,8,180000,2,1001,160,
98,9,500000000,1000000000,2,6999,1900,1,8,200000,2,1001,180,
99,9,1000000000,,2,6999,2000,1,8,220000,2,1001,200,
100,10,0,5000000,2,6574,1000,1,8,20000,2,1001,10,
101,10,5000000,10000000,2,6574,1100,1,8,40000,2,1001,20,
102,10,10000000,15000000,2,6574,1200,1,8,60000,2,1001,40,
103,10,15000000,20000000,2,6574,1300,1,8,80000,2,1001,60,
104,10,20000000,30000000,2,6574,1400,1,8,100000,2,1001,80,
105,10,30000000,50000000,2,6574,1500,1,8,120000,2,1001,100,
106,10,50000000,100000000,2,6574,1600,1,8,140000,2,1001,120,
107,10,100000000,300000000,2,6574,1700,1,8,160000,2,1001,140,
108,10,300000000,500000000,2,6574,1800,1,8,180000,2,1001,160,
109,10,500000000,1000000000,2,6574,1900,1,8,200000,2,1001,180,
110,10,1000000000,,2,6574,2000,1,8,220000,2,1001,200,
111,11,0,5000000,2,6576,1000,1,8,20000,2,1001,10,
112,11,5000000,10000000,2,6576,1100,1,8,40000,2,1001,20,
113,11,10000000,15000000,2,6576,1200,1,8,60000,2,1001,40,
114,11,15000000,20000000,2,6576,1300,1,8,80000,2,1001,60,
115,11,20000000,30000000,2,6576,1400,1,8,100000,2,1001,80,
116,11,30000000,50000000,2,6576,1500,1,8,120000,2,1001,100,
117,11,50000000,100000000,2,6576,1600,1,8,140000,2,1001,120,
118,11,100000000,300000000,2,6576,1700,1,8,160000,2,1001,140,
119,11,300000000,500000000,2,6576,1800,1,8,180000,2,1001,160,
120,11,500000000,1000000000,2,6576,1900,1,8,200000,2,1001,180,
121,11,1000000000,,2,6576,2000,1,8,220000,2,1001,200,
122,12,0,5000000,2,6555,1000,1,8,20000,2,1001,10,
123,12,5000000,10000000,2,6555,1100,1,8,40000,2,1001,20,
124,12,10000000,15000000,2,6555,1200,1,8,60000,2,1001,40,
125,12,15000000,20000000,2,6555,1300,1,8,80000,2,1001,60,
126,12,20000000,30000000,2,6555,1400,1,8,100000,2,1001,80,
127,12,30000000,50000000,2,6555,1500,1,8,120000,2,1001,100,
128,12,50000000,100000000,2,6555,1600,1,8,140000,2,1001,120,
129,12,100000000,300000000,2,6555,1700,1,8,160000,2,1001,140,
130,12,300000000,500000000,2,6555,1800,1,8,180000,2,1001,160,
131,12,500000000,1000000000,2,6555,1900,1,8,200000,2,1001,180,
132,12,1000000000,,2,6555,2000,1,8,220000,2,1001,200,
133,13,0,5000000,2,8082,1000,1,8,20000,2,1001,10,
134,13,5000000,10000000,2,8082,1100,1,8,40000,2,1001,20,
135,13,10000000,15000000,2,8082,1200,1,8,60000,2,1001,40,
136,13,15000000,20000000,2,8082,1300,1,8,80000,2,1001,60,
137,13,20000000,30000000,2,8082,1400,1,8,100000,2,1001,80,
138,13,30000000,50000000,2,8082,1500,1,8,120000,2,1001,100,
139,13,50000000,100000000,2,8082,1600,1,8,140000,2,1001,120,
140,13,100000000,300000000,2,8082,1700,1,8,160000,2,1001,140,
141,13,300000000,500000000,2,8082,1800,1,8,180000,2,1001,160,
142,13,500000000,1000000000,2,8082,1900,1,8,200000,2,1001,180,
143,13,1000000000,,2,8082,2000,1,8,220000,2,1001,200,
144,28,0,5000000,2,,1000,1,8,20000,2,1001,10,
145,28,5000000,10000000,2,,1100,1,8,40000,2,1001,20,
146,28,10000000,15000000,2,,1200,1,8,60000,2,1001,40,
147,28,15000000,20000000,2,,1300,1,8,80000,2,1001,60,
148,28,20000000,30000000,2,,1400,1,8,100000,2,1001,80,
149,28,30000000,50000000,2,,1500,1,8,120000,2,1001,100,
150,28,50000000,100000000,2,,1600,1,8,140000,2,1001,120,
151,28,100000000,300000000,2,,1700,1,8,160000,2,1001,140,
152,28,300000000,500000000,2,,1800,1,8,180000,2,1001,160,
153,28,500000000,1000000000,2,,1900,1,8,200000,2,1001,180,
154,28,1000000000,,2,,2000,1,8,220000,2,1001,200,
155,30,0,5000000,2,6581,1000,1,8,20000,2,1001,10,
156,30,5000000,10000000,2,6581,1100,1,8,40000,2,1001,20,
157,30,10000000,15000000,2,6581,1200,1,8,60000,2,1001,40,
158,30,15000000,20000000,2,6581,1300,1,8,80000,2,1001,60,
159,30,20000000,30000000,2,6581,1400,1,8,100000,2,1001,80,
160,30,30000000,50000000,2,6581,1500,1,8,120000,2,1001,100,
161,30,50000000,100000000,2,6581,1600,1,8,140000,2,1001,120,
162,30,100000000,300000000,2,6581,1700,1,8,160000,2,1001,140,
163,30,300000000,500000000,2,6581,1800,1,8,180000,2,1001,160,
164,30,500000000,1000000000,2,6581,1900,1,8,200000,2,1001,180,
165,30,1000000000,,2,6581,2000,1,8,220000,2,1001,200,
166,14,0,5000000,2,8191,1000,1,8,20000,2,1001,10,
167,14,5000000,10000000,2,8191,1100,1,8,40000,2,1001,20,
168,14,10000000,15000000,2,8191,1200,1,8,60000,2,1001,40,
169,14,15000000,20000000,2,8191,1300,1,8,80000,2,1001,60,
170,14,20000000,30000000,2,8191,1400,1,8,100000,2,1001,80,
171,14,30000000,50000000,2,8191,1500,1,8,120000,2,1001,100,
172,14,50000000,100000000,2,8191,1600,1,8,140000,2,1001,120,
173,14,100000000,300000000,2,8191,1700,1,8,160000,2,1001,140,
174,14,300000000,500000000,2,8191,1800,1,8,180000,2,1001,160,
175,14,500000000,1000000000,2,8191,1900,1,8,200000,2,1001,180,
176,14,1000000000,,2,8191,2000,1,8,220000,2,1001,200,
177,15,0,5000000,2,8191,1000,1,8,20000,2,1001,10,
178,15,5000000,10000000,2,8191,1100,1,8,40000,2,1001,20,
179,15,10000000,15000000,2,8191,1200,1,8,60000,2,1001,40,
180,15,15000000,20000000,2,8191,1300,1,8,80000,2,1001,60,
181,15,20000000,30000000,2,8191,1400,1,8,100000,2,1001,80,
182,15,30000000,50000000,2,8191,1500,1,8,120000,2,1001,100,
183,15,50000000,100000000,2,8191,1600,1,8,140000,2,1001,120,
184,15,100000000,300000000,2,8191,1700,1,8,160000,2,1001,140,
185,15,300000000,500000000,2,8191,1800,1,8,180000,2,1001,160,
186,15,500000000,1000000000,2,8191,1900,1,8,200000,2,1001,180,
187,15,1000000000,,2,8191,2000,1,8,220000,2,1001,200,
188,16,0,5000000,2,8191,1000,1,8,20000,2,1001,10,
189,16,5000000,10000000,2,8191,1100,1,8,40000,2,1001,20,
190,16,10000000,15000000,2,8191,1200,1,8,60000,2,1001,40,
191,16,15000000,20000000,2,8191,1300,1,8,80000,2,1001,60,
192,16,20000000,30000000,2,8191,1400,1,8,100000,2,1001,80,
193,16,30000000,50000000,2,8191,1500,1,8,120000,2,1001,100,
194,16,50000000,100000000,2,8191,1600,1,8,140000,2,1001,120,
195,16,100000000,300000000,2,8191,1700,1,8,160000,2,1001,140,
196,16,300000000,500000000,2,8191,1800,1,8,180000,2,1001,160,
197,16,500000000,1000000000,2,8191,1900,1,8,200000,2,1001,180,
198,16,1000000000,,2,8191,2000,1,8,220000,2,1001,200,
199,17,0,5000000,2,8146,1000,1,8,20000,2,1001,10,
200,17,5000000,10000000,2,8146,1100,1,8,40000,2,1001,20,
201,17,10000000,15000000,2,8146,1200,1,8,60000,2,1001,40,
202,17,15000000,20000000,2,8146,1300,1,8,80000,2,1001,60,
203,17,20000000,30000000,2,8146,1400,1,8,100000,2,1001,80,
204,17,30000000,50000000,2,8146,1500,1,8,120000,2,1001,100,
205,17,50000000,100000000,2,8146,1600,1,8,140000,2,1001,120,
206,17,100000000,300000000,2,8146,1700,1,8,160000,2,1001,140,
207,17,300000000,500000000,2,8146,1800,1,8,180000,2,1001,160,
208,17,500000000,1000000000,2,8146,1900,1,8,200000,2,1001,180,
209,17,1000000000,,2,8146,2000,1,8,220000,2,1001,200,
210,18,0,5000000,2,8146,1000,1,8,20000,2,1001,10,
211,18,5000000,10000000,2,8146,1100,1,8,40000,2,1001,20,
212,18,10000000,15000000,2,8146,1200,1,8,60000,2,1001,40,
213,18,15000000,20000000,2,8146,1300,1,8,80000,2,1001,60,
214,18,20000000,30000000,2,8146,1400,1,8,100000,2,1001,80,
215,18,30000000,50000000,2,8146,1500,1,8,120000,2,1001,100,
216,18,50000000,100000000,2,8146,1600,1,8,140000,2,1001,120,
217,18,100000000,300000000,2,8146,1700,1,8,160000,2,1001,140,
218,18,300000000,500000000,2,8146,1800,1,8,180000,2,1001,160,
219,18,500000000,1000000000,2,8146,1900,1,8,200000,2,1001,180,
220,18,1000000000,,2,8146,2000,1,8,220000,2,1001,200,
221,19,0,5000000,2,8146,1000,1,8,20000,2,1001,10,
222,19,5000000,10000000,2,8146,1100,1,8,40000,2,1001,20,
223,19,10000000,15000000,2,8146,1200,1,8,60000,2,1001,40,
224,19,15000000,20000000,2,8146,1300,1,8,80000,2,1001,60,
225,19,20000000,30000000,2,8146,1400,1,8,100000,2,1001,80,
226,19,30000000,50000000,2,8146,1500,1,8,120000,2,1001,100,
227,19,50000000,100000000,2,8146,1600,1,8,140000,2,1001,120,
228,19,100000000,300000000,2,8146,1700,1,8,160000,2,1001,140,
229,19,300000000,500000000,2,8146,1800,1,8,180000,2,1001,160,
230,19,500000000,1000000000,2,8146,1900,1,8,200000,2,1001,180,
231,19,1000000000,,2,8146,2000,1,8,220000,2,1001,200,
232,20,0,5000000,2,8191,1000,1,8,20000,2,1001,10,
233,20,5000000,10000000,2,8191,1100,1,8,40000,2,1001,20,
234,20,10000000,15000000,2,8191,1200,1,8,60000,2,1001,40,
235,20,15000000,20000000,2,8191,1300,1,8,80000,2,1001,60,
236,20,20000000,30000000,2,8191,1400,1,8,100000,2,1001,80,
237,20,30000000,50000000,2,8191,1500,1,8,120000,2,1001,100,
238,20,50000000,100000000,2,8191,1600,1,8,140000,2,1001,120,
239,20,100000000,300000000,2,8191,1700,1,8,160000,2,1001,140,
240,20,300000000,500000000,2,8191,1800,1,8,180000,2,1001,160,
241,20,500000000,1000000000,2,8191,1900,1,8,200000,2,1001,180,
242,20,1000000000,,2,8191,2000,1,8,220000,2,1001,200,
