id,name,isPassive,isPre,parentSkillSlot,parentEffectIndex,checkDead,tipsType,sub,eventRate,onTriggerScene,eventType,triggerTimeType,triggerTime,coolDown,targetType,selectType,selectNum,selectParam,hit,crit,control,rateType,rate,rateParam,conditionType,condition-condition-1,condition-conditionValue-1,condition-conditionParam-1,condition-condition-2,condition-conditionValue-2,condition-conditionParam-2,func,funcParamStr,funcTimes,entityEffectIdArr%1,entityEffectIdArr%2,entityEffectIdArr%3,entityEffectIdArr%4,entityEffectIdArr%5,entityEffectIdArr%6,entityEffectIdArr%7,entityEffectIdArr%8,entityEffectIdArr%9,entityEffectIdArr%10,exEffectId,spEffectTarget,calc,property,propertyValue,calc_lv,property_lv,propertyValue_lv,desc,fetterType,fetterId,nation,isForce,needDressId,fieldSkill,fieldSkillTarget,
205,s==142|Mưu sĩ、 Phương Sĩ khi tung ra 【Kỹ Năng 3】 thì， thêm một lần gây sát thương pháp thuật bằng 50% công kích lên tướng địch có sinh mệnh thấp nhất,1,,4,,,,,,,s==5|6:2-4,1,1,,2,10,1,s==2|99,,,,,10000,,2,26,3,,26,4,,8,s==55|propertyId:2|rate:10000|maxDamageRate:10000|dependent:1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
206,s==144|Mỗi lượt hành động xong， ban cho mục tiêu đồng minh có sinh mệnh thấp nhất một lớp khiên bằng 5% giới hạn sinh mệnh của bản thân， kéo dài 2 lượt,1,,,,,,,,,,,,,1,10,1,s==2|99,,,,,10000,,,,,,,,,3,s==11|buffId1:206,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
207,s==117|Khi chiến đấu bắt đầu， nhận được hiệu quả 【Vô Khiếm Khắc Kích】， có thể kháng 1 lần hiệu ứng khống chế， kéo dài 2 lượt,1,,,,,,,,,s==1|1,,,,1,11,,,,,,,10000,,,,,,,,,3,s==11|buffId1:207,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
208,s==134|Mỗi lượt lần đầu tiên gây chí mạng lên mục tiêu， thêm sát thương thực bằng 50% công kích bản thân lên tướng địch có công kích cao nhất,1,,,,,,,,,s==3|4:3,1,,1,2,9,1,s==1|2,,,,,10000,,,,,,,,,8,s==54|propertyId:2|rate:5000|maxDamageRate:10000|dependent:1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
209,s==21|Hiệu quả hồi máu  10%,,,,,,,,,,s==1|1,,,,1,11,,,,,,,10000,,,,,,,,,101,s==30|propertyId:18|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
210,s==15|Bị hồi máu  10%,,,,,,,,,,s==1|1,,,,1,11,,,,,,,10000,,,,,,,,,101,s==30|propertyId:19|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
211,s==130|Khi chịu sát thương đơn lần， vượt quá 20% sinh mệnh tối đa bản thân， có 50% xác suất chỉ chịu sát thương bằng 20% sinh mệnh tối đa,1,,,,,,,,,s==7|28:2000,,,,1,11,1,,,,,,10000,,,,,,,,,47,s==28|maxDamageRate:2000|rate:5000,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2021,s==34|Hiệu quả Trấn vệ bảo hộ (Tam Quốc),1,,,,,,,,,s==2|21,,1,,1,4,,,,,,,10000,,,,,,,,,3,s==12|buffId1:2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,s==33|Hiệu quả Trấn vệ bảo hộ (Thần Ma),1,,,,,,,,,s==2|21,,1,,1,4,,,,,,,10000,,,,,,,,,3,s==12|buffId1:2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,s==28|Trấn vệ dũng mãnh (Tam Quốc),1,,,,,,,,,s==5|6:2-2,,,1,1,4,,,,,,,10000,,,,,,,,,3,s==12|buffId1:2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,s==26|Trấn vệ hào dũng (Thần Ma),1,,,,,,,,,s==5|6:2-2,,,1,1,4,,,,,,,10000,,,,,,,,,3,s==12|buffId1:2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,s==31|Hồi sinh lực dựa trên công kích,,,,,,,,,,,,,,1,1,1,,,,,,10000,,,,,,,,,7,s==31|depend:1|propertyId:2|rate:2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,s==46|Hồi sinh lực theo phần trăm sinh mệnh mục tiêu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,s==31|depend:2|propertyId:1|rate:2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,s==26|Hút máu sát thương kỹ năng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,s==33|depend:9|rate:5000|limitRate:3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,s==44|Hồi sinh lực theo phần trăm sinh mệnh đã mất,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,s==19|depend:10|rate:5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,s==28|Giải trừ -  lợi - Sát thương,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,s==49|buffType:1|num:-1|hpRate:2000|maxDamageRate:20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,s==15|Giải trừ -  lợi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,s==16|bufftype:1|num:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,,,,,,,,,,,,,,,2,1,1,,,,,,10000,,,,,,,,,3,s==9|buffId1:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30002,,,,,,,,,,,,,,,2,1,1,,,,,,10000,,,,,,,,,3,s==9|buffId1:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,s==25|Công kích thường (vật lý),,,,,,,,,,,,,,2,1,1,,1,1,,,,,,,,,,,,1,s==16|damageRate:10000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111,s==29|Công kích thường (pháp thuật),,,,,,,,,,,,,,2,1,1,,1,1,,,,,,,,,,,,2,s==16|damageRate:10000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,s==63|Gây 120% sát thương vật lý lên tướng đơn phía trước địch phương,,,,,,,,,,,,,,2,2,1,,1,1,,,,,,,,,,,,1,s==16|damageRate:12000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50021,s==63|Gây 150% sát thương vật lý lên tướng đơn phía trước địch phương,,,,,,,,,,,,,,2,2,1,,1,1,,,,,,,,,,,,1,s==16|damageRate:15000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50031,s==67|Gây 120% sát thương pháp thuật lên tướng đơn phía trước địch phương,,,,,,,,,,,,,,2,2,1,,1,1,,,,,,,,,,,,2,s==16|damageRate:12000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50041,s==67|Gây 150% sát thương pháp thuật lên tướng đơn phía trước địch phương,,,,,,,,,,,,,,2,2,1,,1,1,,,,,,,,,,,,2,s==16|damageRate:15000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50051,s==67|Gây 120% sát thương pháp thuật lên tướng đơn phía trước địch phương,,,,,,,,,,,,,,2,2,1,,1,1,,,,,,,,,,,,2,s==16|damageRate:12000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50061,s==67|Gây 150% sát thương pháp thuật lên tướng đơn phía trước địch phương,,,,,,,,,,,,,,2,2,1,,1,1,,,,,,,,,,,,2,s==16|damageRate:15000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50111,s==56|Gây 72% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==15|damageRate:7200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50121,s==56|Gây 90% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==15|damageRate:9000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50131,s==57|Gây 108% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:10800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50141,s==57|Gây 113% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:11300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50151,s==57|Gây 118% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:11800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50161,s==57|Gây 123% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:12300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50171,s==57|Gây 128% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:12800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50181,s==57|Gây 133% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:13300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50191,s==57|Gây 138% sát thương vật lý lên toàn bộ đơn vị địch phương,,,,,,,,,,,,,,2,4,,,1,1,,,,,,,,,,,,1,s==16|damageRate:13800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50112,s==57|50% xác suất giảm 5% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50122,s==58|50% xác suất giảm 10% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50132,s==58|50% xác suất giảm 15% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50142,s==60|50% xác suất giảm 15.6% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50152,s==60|50% xác suất giảm 16.2% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50162,s==60|50% xác suất giảm 16.8% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50172,s==60|50% xác suất giảm 17.4% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50182,s==58|50% xác suất giảm 18% miễn thương mục tiêu， kéo dài 2 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50192,s==60|50% xác suất giảm 18.6% miễn thương mục tiêu， kéo dài 3 lượt,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,3,s==13|buffId1:50192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50211,s==14|Công kích  20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2000,,,,s==14|Công kích  20%,,,,,,,,
50221,s==14|Công kích  30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3000,,,,s==14|Công kích  30%,,,,,,,,
50231,s==14|Công kích  40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4000,,,,s==14|Công kích  40%,,,,,,,,
50212,s==12|Chí mạng  5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,500,,,,s==12|Chí mạng  5%,,,,,,,,
50222,s==13|Chí mạng  10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,1000,,,,s==13|Chí mạng  10%,,,,,,,,
50232,s==13|Chí mạng  15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,1500,,,,s==13|Chí mạng  15%,,,,,,,,
50213,s==9|Tốc độ  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,,,,s==9|Tốc độ  5,,,,,,,,
50223,s==10|Tốc độ  10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,10,,,,s==10|Tốc độ  10,,,,,,,,
50233,s==10|Tốc độ  15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,15,,,,s==10|Tốc độ  15,,,,,,,,
50214,s==14|Sinh mệnh  10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1000,,,,s==14|Sinh mệnh  10%,,,,,,,,
50224,s==14|Sinh mệnh  15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1500,,,,s==14|Sinh mệnh  15%,,,,,,,,
50234,s==14|Sinh mệnh  20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2000,,,,s==14|Sinh mệnh  20%,,,,,,,,
50244,s==14|Sinh mệnh  24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2400,,,,s==14|Sinh mệnh  24%,,,,,,,,
50254,s==14|Sinh mệnh  28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2800,,,,s==14|Sinh mệnh  28%,,,,,,,,
50264,s==14|Sinh mệnh  32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3200,,,,s==14|Sinh mệnh  32%,,,,,,,,
50274,s==14|Sinh mệnh  36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3600,,,,s==14|Sinh mệnh  36%,,,,,,,,
50284,s==14|Sinh mệnh  40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4000,,,,s==14|Sinh mệnh  40%,,,,,,,,
50294,s==14|Sinh mệnh  44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4400,,,,s==14|Sinh mệnh  44%,,,,,,,,
50311,s==14|Công kích  10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1000,,,,s==14|Công kích  10%,,,,,,,,
50321,s==14|Công kích  15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1500,,,,s==14|Công kích  15%,,,,,,,,
50331,s==14|Công kích  20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2000,,,,s==14|Công kích  20%,,,,,,,,
50312,s==14|Sinh mệnh  20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2000,,,,s==14|Sinh mệnh  20%,,,,,,,,
50322,s==14|Sinh mệnh  30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3000,,,,s==14|Sinh mệnh  30%,,,,,,,,
50332,s==14|Sinh mệnh  40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4000,,,,s==14|Sinh mệnh  40%,,,,,,,,
50342,s==14|Sinh mệnh  44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4400,,,,s==14|Sinh mệnh  44%,,,,,,,,
50352,s==14|Sinh mệnh  48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4800,,,,s==14|Sinh mệnh  48%,,,,,,,,
50362,s==14|Sinh mệnh  52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5200,,,,s==14|Sinh mệnh  52%,,,,,,,,
50372,s==14|Sinh mệnh  56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5600,,,,s==14|Sinh mệnh  56%,,,,,,,,
50382,s==14|Sinh mệnh  60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6000,,,,s==14|Sinh mệnh  60%,,,,,,,,
50392,s==14|Sinh mệnh  64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6400,,,,s==14|Sinh mệnh  64%,,,,,,,,
50313,s==9|Tốc độ  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,,,,s==9|Tốc độ  5,,,,,,,,
50323,s==10|Tốc độ  10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,10,,,,s==10|Tốc độ  10,,,,,,,,
50333,s==10|Tốc độ  15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,15,,,,s==10|Tốc độ  15,,,,,,,,
50411,s==97|Nếu bản thân mang trạng thái 【林】， gây 240% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:24000,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50421,s==97|Nếu bản thân mang trạng thái 【林】， gây 315% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:31500,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50431,s==97|Nếu bản thân mang trạng thái 【林】， gây 405% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:40500,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50441,s==97|Nếu bản thân mang trạng thái 【林】， gây 423% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:42300,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50451,s==97|Nếu bản thân mang trạng thái 【林】， gây 441% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:44100,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50461,s==97|Nếu bản thân mang trạng thái 【林】， gây 459% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:45900,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50471,s==97|Nếu bản thân mang trạng thái 【林】， gây 477% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:47700,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50481,s==97|Nếu bản thân mang trạng thái 【林】， gây 495% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:49500,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50491,s==97|Nếu bản thân mang trạng thái 【林】， gây 513% sát thương vật lý lên tướng địch có công kích cao nhất,,,,,,,,,,,,,,2,9,1,s==1|2,1,1,,,,,1,46,,s==5|50611,,,,1,s==16|damageRate:51300,1,215081,,,,,,,,,,,,,,,,,,,,,,,,,,
50412,s==115|Nếu bản thân mang trạng thái 【林】， có 25% xác suất gán trạng thái 【Giảm Tốc】， kéo dài 2 lượt (không thể bị giải trừ),,-1,,,,,,,,,,,,2,9,1,s==1|2,,,,,2500,,1,46,,s==5|50611,,,,3,s==13|buffId1:50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50422,s==115|Nếu bản thân mang trạng thái 【林】， có 37% xác suất gán trạng thái 【Giảm Tốc】， kéo dài 2 lượt (không thể bị giải trừ),,-1,,,,,,,,,,,,2,9,1,s==1|2,,,,,3700,,1,46,,s==5|50611,,,,3,s==13|buffId1:50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50432,s==115|Nếu bản thân mang trạng thái 【林】， có 50% xác suất gán trạng thái 【Giảm Tốc】， kéo dài 2 lượt (không thể bị giải trừ),,-1,,,,,,,,,,,,2,9,1,s==1|2,,,,,5000,,1,46,,s==5|50611,,,,3,s==13|buffId1:50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50442,s==115|Nếu bản thân mang trạng thái 【林】， có 52% xác suất gán trạng thái 【Giảm Tốc】， kéo dài 2 lượt (không thể bị giải trừ),,-1,,,,,,,,,,,,2,9,1,s==1|2,,,,,5200,,1,46,,s==5|50611,,,,3,s==13|buffId1:50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50452,s==115|Nếu bản thân mang trạng thái 【林】， có 54% xác suất gán trạng thái 【Giảm Tốc】， kéo dài 2 lượt (không thể bị giải trừ),,-1,,,,,,,,,,,,2,9,1,s==1|2,,,,,5400,,1,46,,s==5|50611,,,,3,s==13|buffId1:50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
