level,playerExp,expCost,silverCost,nextLevel,levelUpReward,openContent,breachAddCombat,starAddCombat,propertyAddCombat,equipCastCombat%1,equipCastCombat%2,equipCastCombat%3,equipCastCombat%4,talentCombat%1,talentCombat%2,talentCombat%3,talentCombat%4,talentCombat%5,talentCombat%6,talentCombat%7,talentCombat%8,talentCombat%9,petUpExp,petStar,petFly,
69,626100,26321,48159,70,45,2090,,,,,,,,,,,,,,,,,42510,,,
70,660500,28080,50689,71,45,2090,,,,,,,,,,,,,,,,,43160,,,
71,696800,28902,52038,72,45,2090,,,,,,,,,,,,,,,,,43810,,,
72,735100,30283,54267,73,45,1980,,,,,,,,,,,,,,,,,44460,,,
73,775500,31198,56308,74,45,1980,,,,,,,,,,,,,,,,,45110,,,
74,818100,32805,57648,75,45,1980,,,,,,,,,,,,,,,,,45760,,,
75,863000,34244,59652,76,45,1980,,,,,,,,,,,,,,,,,46410,,,
76,910400,35423,62003,77,45,2010,,,,,,,,,,,,,,,,,47060,,,
77,960400,36728,64175,78,45,2010,,,,,,,,,,,,,,,,,47710,,,
78,1013200,37698,65533,79,45,2010,,,,,,,,,,,,,,,,,48360,,,
79,1068900,38712,66868,80,45,2001,,,,,,,,,,,,,,,,,49010,,,
80,1127600,40975,69433,81,45,2001,,,,,,,,,,,,,,,,,49660,,,
81,1189600,41521,72989,82,45,2001,,,,,,,,,,,,,,,,,50310,,,
82,1255000,43106,73969,83,45,2001,,,,,,,,,,,,,,,,,50960,,,
83,1324000,44749,77055,84,45,2030,,,,,,,,,,,,,,,,,51610,,,
84,1396800,46611,78794,85,45,2030,,,,,,,,,,,,,,,,,52260,,,
85,1473600,47567,82454,86,45,2030,,,,,,,,,,,,,,,,,52910,,,
86,1554600,50547,83681,87,45,2030,,,,,,,,,,,,,,,,,53560,,,
87,1640100,50829,86799,88,55,2030,,,,,,,,,,,,,,,,,54210,,,
88,1730300,53742,89188,89,55,2030,,,,,,,,,,,,,,,,,54860,,,
89,1825400,55474,91114,90,55,2030,,,,,,,,,,,,,,,,,55510,,,
90,1925700,57279,93414,91,55,2030,,,,,,,,,,,,,,,,,56160,,,
91,2031600,59183,95534,92,55,2030,,,,,,,,,,,,,,,,,56810,,,
92,2143300,59833,98544,93,55,2030,,,,,,,,,,,,,,,,,57460,,,
93,2261100,62247,101598,94,55,2030,,,,,,,,,,,,,,,,,58110,,,
94,2385400,63859,103650,95,55,2030,,,,,,,,,,,,,,,,,58760,,,
95,2516500,66900,106680,96,55,2030,,,,,,,,,,,,,,,,,59410,,,
96,2654900,67754,111208,97,55,2020,,,,,,,,,,,,,,,,,60060,,,
97,2800900,70021,112602,98,55,2020,,,,,,,,,,,,,,,,,60710,,,
98,2954900,73123,114589,99,55,2020,,,,,,,,,,,,,,,,,61360,,,
99,3117400,73891,117772,100,55,2020,,,,,,,,,,,,,,,,,62010,,,
100,3288800,75846,123375,101,55,2020,,,,,,,,,,,,,,,,,62660,,,
101,3466325,78299,125983,102,55,2060,,,,,,,,,,,,,,,,,63310,,,
102,3567965,79802,129175,103,55,2060,,,,,,,,,,,,,,,,,63960,,,
103,3682100,83762,132993,104,55,2060,,,,,,,,,,,,,,,,,64610,,,
104,3799900,84604,135389,105,55,2060,,,,,,,,,,,,,,,,,65260,,,
105,3921400,88928,138721,106,55,2040,,,,,,,,,,,,,,,,,65910,,,
106,4046800,89457,141714,107,55,1520,,,,,,,,,,,,,,,,,66560,,,
107,4176200,93252,145010,108,55,1520,,,,,,,,,,,,,,,,,67210,,,
108,4309800,94192,149736,109,55,1520,,,,,,,,,,,,,,,,,67860,,,
109,4447700,98854,152697,110,55,1520,,,,,,,,,,,,,,,,,68510,,,
110,4590000,101206,153318,111,55,1520,,,,,,,,,,,,,,,,,69160,,,
111,4736800,102066,157180,112,55,1520,,,,,,,,,,,,,,,,,69810,,,
112,4888300,104098,162487,113,55,1520,,,,,,,,,,,,,,,,,70460,,,
113,5044700,108954,165344,114,55,1520,,,,,,,,,,,,,,,,,71110,,,
114,5206100,112413,167672,115,55,1520,,,,,,,,,,,,,,,,,71760,,,
115,5211314,112397,170655,116,55,1520,,,,,,,,,,,,,,,,,72410,,,
116,5212400,117024,175104,117,65,2070,,,,,,,,,,,,,,,,,73060,,,
117,5327000,118331,180473,118,65,2070,,,,,,,,,,,,,,,,,73710,,,
118,5444100,123603,186745,119,65,2070,,,,,,,,,,,,,,,,,74360,,,
119,5563800,124803,188682,120,65,2070,,,,,,,,,,,,,,,,,75010,,,
120,5686200,129893,190899,121,65,2070,,,,,,,,,,,,,,,,,75660,,,
121,5811200,133488,193673,122,65,2070,,,,,,,,,,,,,,,,,76310,,,
122,5939000,133255,202673,123,65,2070,,,,,,,,,,,,,,,,,76960,,,
123,6069600,136811,204418,124,65,2070,,,,,,,,,,,,,,,,,77610,,,
124,6203100,140123,206237,125,65,2070,,,,,,,,,,,,,,,,,78260,,,
125,6339500,144095,215632,126,65,2070,,,,,,,,,,,,,,,,,78910,,,
126,6478900,145922,219374,127,65,2050,,,,,,,,,,,,,,,,,79560,,,
127,6621400,152792,223304,128,65,3002,,,,,,,,,,,,,,,,,80210,,,
128,6767000,154397,226677,129,65,3002,,,,,,,,,,,,,,,,,80860,,,
129,6915800,156297,231157,130,65,3002,,,,,,,,,,,,,,,,,81510,,,
130,7067900,159237,235527,131,65,3002,,,,,,,,,,,,,,,,,82160,,,
131,7223300,164857,241082,132,65,3002,,,,,,,,,,,,,,,,,82810,,,
132,7382200,168921,246220,133,65,3002,,,,,,,,,,,,,,,,,83460,,,
133,7544600,170383,245749,134,65,3002,,,,,,,,,,,,,,,,,84110,,,
134,7710500,173884,256599,135,65,3002,,,,,,,,,,,,,,,,,84760,,,
135,7880100,179655,260640,136,65,3002,,,,,,,,,,,,,,,,,85410,,,
136,8053400,186075,261598,137,65,3002,,,,,,,,,,,,,,,,,86060,,,
137,8230500,187462,264478,138,65,3002,,,,,,,,,,,,,,,,,86710,,,
138,8411500,189039,275209,139,65,3002,,,,,,,,,,,,,,,,,87360,,,
139,8596500,195683,276437,140,65,3002,,,,,,,,,,,,,,,,,88010,,,
140,8785600,198209,279872,141,65,3002,,,,,,,,,,,,,,,,,88660,,,
141,8978800,206268,284559,142,65,3002,,,,,,,,,,,,,,,,,89310,,,
142,9176300,209706,296853,143,65,3002,,,,,,,,,,,,,,,,,89960,,,
143,9378100,209792,299936,144,65,3002,,,,,,,,,,,,,,,,,90610,,,
144,9584400,217817,299753,145,65,3002,,,,,,,,,,,,,,,,,91260,,,
145,9795200,217189,313078,146,75,3002,,,,,,,,,,,,,,,,,91910,,,
146,10010600,222278,311558,147,75,3002,,,,,,,,,,,,,,,,,92560,,,
147,10230800,226950,317404,148,75,3002,,,,,,,,,,,,,,,,,93210,,,
148,10455800,230792,326101,149,75,3002,,,,,,,,,,,,,,,,,93860,,,
149,10685800,238837,327810,150,75,3002,,,,,,,,,,,,,,,,,94510,,,
150,10975404,245956,335826,151,75,3002,,,,,,,,,,,,,,,,,95160,,,
151,11328415,248779,339429,152,75,3900,,,,,,,,,,,,,,,,,95810,,,
152,11691663,254728,342742,153,75,3900,,,,,,,,,,,,,,,,,96460,,,
153,12065409,253748,353906,154,75,3900,,,,,,,,,,,,,,,,,97110,,,
154,12449921,258985,361206,155,75,3900,,,,,,,,,,,,,,,,,97760,,,
155,12845575,269139,364855,156,75,3900,,,,,,,,,,,,,,,,,98410,,,
156,13252541,271168,369070,157,75,3900,,,,,,,,,,,,,,,,,99060,,,
157,13671205,272394,371817,158,75,3900,,,,,,,,,,,,,,,,,99710,,,
158,14101854,278502,383149,159,75,3900,,,,,,,,,,,,,,,,,100360,,,
159,14544885,288205,392821,160,75,3900,,,,,,,,,,,,,,,,,101010,,,
160,15000596,291555,398654,161,75,3900,,,,,,,,,,,,,,,,,101660,,,
161,15469287,297445,401938,162,75,3900,,,,,,,,,,,,,,,,,102310,,,
162,15951375,299817,404399,163,75,3900,,,,,,,,,,,,,,,,,102960,,,
163,16447172,311674,412946,164,75,3900,,,,,,,,,,,,,,,,,103610,,,
164,16956992,313486,418447,165,75,3900,,,,,,,,,,,,,,,,,104260,,,
165,17481387,320300,422324,166,75,3900,,,,,,,,,,,,,,,,,104910,,,
166,18020570,326134,438936,167,75,3900,,,,,,,,,,,,,,,,,105560,,,
167,18575105,333248,443480,168,75,3900,,,,,,,,,,,,,,,,,106210,,,
168,19145216,337787,442437,169,75,3900,,,,,,,,,,,,,,,,,106860,,,
169,19731482,344258,457797,170,75,3900,,,,,,,,,,,,,,,,,107510,,,
170,20334255,348150,455308,171,75,3900,,,,,,,,,,,,,,,,,108160,,,
171,20954012,348435,470167,172,75,3900,,,,,,,,,,,,,,,,,108810,,,
172,21591238,361517,475267,173,75,3900,,,,,,,,,,,,,,,,,109460,,,
173,22246302,360375,477482,174,75,3900,,,,,,,,,,,,,,,,,110110,,,
174,22919703,364834,484982,175,85,3900,,,,,,,,,,,,,,,,,110760,,,
175,23612072,375187,491988,176,85,3900,,,,,,,,,,,,,,,,,111410,,,
176,24323800,386111,507756,177,85,3900,,,,,,,,,,,,,,,,,112060,,,
177,25055408,391588,513918,178,85,3900,,,,,,,,,,,,,,,,,112710,,,
178,25807426,395677,511233,179,85,3900,,,,,,,,,,,,,,,,,113360,,,
179,26580393,400661,526927,180,85,3900,,,,,,,,,,,,,,,,,114010,,,
180,27374855,412188,533896,181,85,3900,,,,,,,,,,,,,,,,,114660,,,
181,28191365,419638,533976,182,85,3900,,,,,,,,,,,,,,,,,115310,,,
182,29030618,426416,549667,183,85,3900,,,,,,,,,,,,,,,,,115960,,,
183,29893187,431597,546472,184,85,3900,,,,,,,,,,,,,,,,,116610,,,
184,30779653,430378,554827,185,85,3900,,,,,,,,,,,,,,,,,117260,,,
185,31690605,441776,572152,186,85,3900,,,,,,,,,,,,,,,,,117910,,,
186,32626776,443031,576948,187,85,3900,,,,,,,,,,,,,,,,,118560,,,
187,33588775,452670,582484,188,85,3900,,,,,,,,,,,,,,,,,119210,,,
188,34577356,460372,587937,189,85,3900,,,,,,,,,,,,,,,,,119860,,,
189,35593146,469276,598033,190,85,3900,,,,,,,,,,,,,,,,,120510,,,
190,36636921,474817,611032,191,85,3900,,,,,,,,,,,,,,,,,121160,,,
191,37709326,485705,616059,192,85,3900,,,,,,,,,,,,,,,,,121810,,,
192,38811158,487873,619239,193,85,3900,,,,,,,,,,,,,,,,,122460,,,
193,39943225,491188,633585,194,85,3900,,,,,,,,,,,,,,,,,123110,,,
194,41106349,506448,641696,195,85,3900,,,,,,,,,,,,,,,,,123760,,,
195,42301361,513654,641657,196,85,3900,,,,,,,,,,,,,,,,,124410,,,
196,43529106,521439,658227,197,85,3900,,,,,,,,,,,,,,,,,125060,,,
197,44790293,530501,660553,198,85,3900,,,,,,,,,,,,,,,,,125710,,,
198,46085936,541463,679710,199,85,3900,,,,,,,,,,,,,,,,,126360,,,
199,47416915,547480,678501,200,85,3900,,,,,,,,,,,,,,,,,127010,,,
200,48761549,551821,684541,201,85,3900,,,,,,,,,,,,,,,,,127660,,,
201,50119879,552988,695492,202,85,3900,,,,,,,,,,,,,,,,,128310,,,
202,51491947,571575,703790,203,85,3900,,,,,,,,,,,,,,,,,128960,,,
203,52877795,574836,712185,204,95,3900,,,,,,,,,,,,,,,,,129610,,,
204,54277463,586494,727003,205,95,3900,,,,,,,,,,,,,,,,,130260,,,
205,55690994,594750,742432,206,95,3900,,,,,,,,,,,,,,,,,130910,,,
206,57118428,593169,738178,207,95,3900,,,,,,,,,,,,,,,,,131560,,,
207,58559808,610157,740273,208,95,3900,,,,,,,,,,,,,,,,,132210,,,
208,60015174,612422,762093,209,95,3900,,,,,,,,,,,,,,,,,132860,,,
209,61484568,629327,758741,210,95,3900,,,,,,,,,,,,,,,,,133510,,,
210,62968031,635054,790006,211,95,3900,,,,,,,,,,,,,,,,,134160,,,
211,64465605,642585,785629,212,95,3900,,,,,,,,,,,,,,,,,134810,,,
212,65977332,646265,808060,213,95,3900,,,,,,,,,,,,,,,,,135460,,,
213,67503252,663329,799554,214,95,3900,,,,,,,,,,,,,,,,,136110,,,
214,69043407,675371,821930,215,95,3900,,,,,,,,,,,,,,,,,136760,,,
215,70597840,682660,828750,216,95,3900,,,,,,,,,,,,,,,,,137410,,,
216,72166590,681963,837848,217,95,3900,,,,,,,,,,,,,,,,,138060,,,
217,73749699,687641,853508,218,95,3900,,,,,,,,,,,,,,,,,138710,,,
218,75347210,694641,847390,219,95,3900,,,,,,,,,,,,,,,,,139360,,,
219,76959163,706815,857285,220,95,3900,,,,,,,,,,,,,,,,,140010,,,
220,78585600,726965,863939,221,95,3900,,,,,,,,,,,,,,,,,140660,,,
221,80226562,732034,891360,222,95,3900,,,,,,,,,,,,,,,,,141310,,,
222,81882091,735211,901696,223,95,3900,,,,,,,,,,,,,,,,,141960,,,
223,83552229,748114,894093,224,95,3900,,,,,,,,,,,,,,,,,142610,,,
224,85237015,754176,928603,225,95,3900,,,,,,,,,,,,,,,,,143260,,,
225,86936493,765706,934629,226,95,3900,,,,,,,,,,,,,,,,,143910,,,
226,88650704,779079,922246,227,95,3900,,,,,,,,,,,,,,,,,144560,,,
227,90379688,797546,933881,228,95,3900,,,,,,,,,,,,,,,,,145210,,,
228,92123488,803428,969227,229,95,3900,,,,,,,,,,,,,,,,,145860,,,
229,93882144,805897,960992,230,95,3900,,,,,,,,,,,,,,,,,146510,,,
230,95655699,817945,978520,231,95,3900,,,,,,,,,,,,,,,,,147160,,,
231,97444194,824272,998770,232,95,3900,,,,,,,,,,,,,,,,,147810,,,
232,99247669,842137,998531,233,105,3900,,,,,,,,,,,,,,,,,148460,,,
233,101066168,838239,999865,234,105,3900,,,,,,,,,,,,,,,,,149110,,,
234,102899730,854674,1026160,235,105,3900,,,,,,,,,,,,,,,,,149760,,,
235,104748398,878468,1030897,236,105,3900,,,,,,,,,,,,,,,,,150410,,,
236,106612213,885852,1035142,237,105,3900,,,,,,,,,,,,,,,,,151060,,,
237,108491216,894888,1053333,238,105,3900,,,,,,,,,,,,,,,,,151710,,,
238,110385449,905461,1077508,239,105,3900,,,,,,,,,,,,,,,,,152360,,,
239,112294953,914048,1061283,240,105,3900,,,,,,,,,,,,,,,,,153010,,,
240,114219770,922276,1099115,241,105,3900,,,,,,,,,,,,,,,,,153660,,,
241,116159941,930733,1111766,242,105,3900,,,,,,,,,,,,,,,,,154310,,,
242,118115508,937205,1104519,243,105,3900,,,,,,,,,,,,,,,,,154960,,,
243,120086512,963344,1137238,244,105,3900,,,,,,,,,,,,,,,,,155610,,,
244,122072994,982537,1122824,245,105,3900,,,,,,,,,,,,,,,,,156260,,,
245,124074996,969514,1140799,246,105,3900,,,,,,,,,,,,,,,,,156910,,,
246,126092560,979367,1172133,247,105,3900,,,,,,,,,,,,,,,,,157560,,,
247,128125726,996843,1170694,248,105,3900,,,,,,,,,,,,,,,,,158210,,,
248,130174537,1022001,118589,249,105,3900,,,,,,,,,,,,,,,,,158860,,,
249,132239033,1036829,1192824,250,105,3900,,,,,,,,,,,,,,,,,159510,,,
250,134319256,1043135,1187090,251,105,3900,,,,,,,,,,,,,,,,,160160,,,
251,,1050876,1201988,252,105,3002,,,,,,,,,,,,,,,,,160810,,,
252,,1075574,1235522,253,105,3002,,,,,,,,,,,,,,,,,161460,,,
253,,1077538,1244836,254,105,3002,,,,,,,,,,,,,,,,,162110,,,
254,,1084923,1256277,255,105,3002,,,,,,,,,,,,,,,,,162760,,,
255,,1112697,1253382,256,105,3002,,,,,,,,,,,,,,,,,163410,,,
256,,1104464,1282589,257,105,3002,,,,,,,,,,,,,,,,,164060,,,
257,,1117911,1298857,258,105,3002,,,,,,,,,,,,,,,,,164710,,,
258,,1154130,1319379,259,105,3002,,,,,,,,,,,,,,,,,165360,,,
259,,1137171,1329091,260,105,3002,,,,,,,,,,,,,,,,,166010,,,
260,,1148255,1342942,261,105,3002,,,,,,,,,,,,,,,,,166660,,,
261,,1174824,1345307,262,115,3002,,,,,,,,,,,,,,,,,167310,,,
262,,1176810,1358758,263,115,3002,,,,,,,,,,,,,,,,,167960,,,
263,,1197030,1377049,264,115,3002,,,,,,,,,,,,,,,,,168610,,,
264,,1219482,1388487,265,115,3002,,,,,,,,,,,,,,,,,169260,,,
265,,1243553,1402564,266,115,3002,,,,,,,,,,,,,,,,,169910,,,
266,,1258141,1426366,267,115,3002,,,,,,,,,,,,,,,,,170560,,,
267,,1264600,1439214,268,115,3002,,,,,,,,,,,,,,,,,171210,,,
268,,1260940,1455442,269,115,3002,,,,,,,,,,,,,,,,,171860,,,
269,,1277701,1487656,270,115,3002,,,,,,,,,,,,,,,,,172510,,,
270,,1296328,1493702,271,115,3002,,,,,,,,,,,,,,,,,173160,,,
271,,1313022,1491773,272,115,3002,,,,,,,,,,,,,,,,,173810,,,
272,,1341948,1517053,273,115,3002,,,,,,,,,,,,,,,,,174460,,,
273,,1352830,1522808,274,115,3002,,,,,,,,,,,,,,,,,175110,,,
274,,1343832,1533964,275,115,3002,,,,,,,,,,,,,,,,,175760,,,
275,,1376957,1557868,276,115,3002,,,,,,,,,,,,,,,,,176410,,,
276,,1401122,1608996,277,115,3002,,,,,,,,,,,,,,,,,177060,,,
277,,1411200,1624138,278,115,3002,,,,,,,,,,,,,,,,,177710,,,
278,,1398158,1628887,279,115,3002,,,,,,,,,,,,,,,,,178360,,,
279,,1414364,1629793,280,115,3002,,,,,,,,,,,,,,,,,179010,,,
280,,1442618,1650051,281,115,3002,,,,,,,,,,,,,,,,,179660,,,
281,,1476277,1676515,282,115,3002,,,,,,,,,,,,,,,,,180310,,,
282,,1470102,1704412,283,115,3002,,,,,,,,,,,,,,,,,180960,,,
283,,1502835,1697402,284,115,3002,,,,,,,,,,,,,,,,,181610,,,
284,,1502569,1746775,285,115,3002,,,,,,,,,,,,,,,,,182260,,,
285,,1528592,1751463,286,115,3002,,,,,,,,,,,,,,,,,182910,,,
286,,1521247,1790518,287,115,3002,,,,,,,,,,,,,,,,,183560,,,
287,,1574237,1785893,288,115,3002,,,,,,,,,,,,,,,,,184210,,,
288,,1576057,1831683,289,115,3002,,,,,,,,,,,,,,,,,184860,,,
289,,1568733,1812222,290,115,3002,,,,,,,,,,,,,,,,,185510,,,
290,,1617592,1851098,291,125,3002,,,,,,,,,,,,,,,,,186160,,,
291,,1638260,1857755,292,125,3002,,,,,,,,,,,,,,,,,186810,,,
292,,1632249,1861328,293,125,3002,,,,,,,,,,,,,,,,,187460,,,
293,,1644580,1884679,294,125,3002,,,,,,,,,,,,,,,,,188110,,,
294,,1686061,1923869,295,125,3002,,,,,,,,,,,,,,,,,188760,,,
295,,1687195,1925587,296,125,3002,,,,,,,,,,,,,,,,,189410,,,
296,,1697516,1958707,297,125,3002,,,,,,,,,,,,,,,,,190060,,,
297,,1712700,2013987,298,125,3002,,,,,,,,,,,,,,,,,190710,,,
298,,1715594,2029334,299,125,3002,,,,,,,,,,,,,,,,,191360,,,
299,,1746295,2053047,300,125,3002,,,,,,,,,,,,,,,,,192010,,,
300,,1742994,2075587,301,125,3002,,,,,,,,,,,,,,,,,192660,,,
301,,1793624,2098079,302,125,3002,,,,,,,,,,,,,,,,,193310,,,
302,,1798164,2118481,303,125,3002,,,,,,,,,,,,,,,,,193960,,,
303,,1842271,2103821,304,125,3002,,,,,,,,,,,,,,,,,194610,,,
304,,1819498,2124164,305,125,3002,,,,,,,,,,,,,,,,,195260,,,
305,,1836396,2125672,306,125,3002,,,,,,,,,,,,,,,,,195910,,,
306,,1858704,2206773,307,125,3002,,,,,,,,,,,,,,,,,196560,,,
307,,1888894,2191717,308,125,3002,,,,,,,,,,,,,,,,,197210,,,
308,,1905262,2245676,309,125,3002,,,,,,,,,,,,,,,,,197860,,,
309,,1922590,2258236,310,125,3002,,,,,,,,,,,,,,,,,198510,,,
310,,1941706,2262173,311,125,3002,,,,,,,,,,,,,,,,,199160,,,
311,,1986413,2271321,312,125,3002,,,,,,,,,,,,,,,,,199810,,,
312,,2013685,2291922,313,125,3002,,,,,,,,,,,,,,,,,200460,,,
313,,1983894,2330488,314,125,3002,,,,,,,,,,,,,,,,,201110,,,
314,,2015076,2365623,315,125,3002,,,,,,,,,,,,,,,,,201760,,,
315,,2024807,2362128,316,125,3002,,,,,,,,,,,,,,,,,202410,,,
316,,2048864,2418314,317,125,3002,,,,,,,,,,,,,,,,,203060,,,
317,,2101779,2429213,318,125,3002,,,,,,,,,,,,,,,,,203710,,,
318,,2103083,2480607,319,125,3002,,,,,,,,,,,,,,,,,204360,,,
319,,2121992,2461756,320,135,3002,,,,,,,,,,,,,,,,,205010,,,
320,,2135731,2489892,321,135,3002,,,,,,,,,,,,,,,,,205660,,,
321,,2159932,2521452,322,135,3002,,,,,,,,,,,,,,,,,206310,,,
322,,2208409,2534377,323,135,3002,,,,,,,,,,,,,,,,,206960,,,
323,,2181889,2547005,324,135,3002,,,,,,,,,,,,,,,,,207610,,,
324,,2195266,2616998,325,135,3002,,,,,,,,,,,,,,,,,208260,,,
325,,2271144,2603430,326,135,3002,,,,,,,,,,,,,,,,,208910,,,
326,,2285191,2625383,327,135,3002,,,,,,,,,,,,,,,,,209560,,,
327,,2281531,2659608,328,135,3002,,,,,,,,,,,,,,,,,210210,,,
328,,2316459,2653319,329,135,3002,,,,,,,,,,,,,,,,,210860,,,
329,,2350580,2747272,330,135,3002,,,,,,,,,,,,,,,,,211510,,,
330,,2329178,2707240,331,135,3002,,,,,,,,,,,,,,,,,212160,,,
331,,2339975,2770184,332,135,3002,,,,,,,,,,,,,,,,,212810,,,
332,,2418023,2787035,333,135,3002,,,,,,,,,,,,,,,,,213460,,,
333,,2434560,2780189,334,135,3002,,,,,,,,,,,,,,,,,214110,,,
