activityType,name,openTime,specificTime,dropTime,duration,nextTime,rotationRule,openType,rotateType,openTimeType,relationType,limitTime,dateStartLimit,sysLimitTime,
83,s==4|声梦鹊桥,0,s==10|2023-08-20,0,777600,0,2,3,2,2,,,,,
90,s==4|将军回归,0,s==10|2021-07-18,0,604800,0,2,3,2,2,,,,,
84,s==4|决战之巅,0,s==10|2024-02-10,0,604800,0,2,3,2,2,,,,,
91,s==5|周年庆活动,0,s==10|2023-11-03,0,1209600,0,2,3,2,2,,,,,
92,s==4|元旦活动,0,s==10|2023-12-25,0,777600,0,2,3,2,2,,,,,
93,s==4|烟花活动,0,s==10|2024-02-09,0,172800,0,2,3,2,2,,,,,
94,s==4|春节活动,0,s==10|2024-02-09,0,777600,0,2,3,2,2,,,,,
95,s==4|全民竞猜,0,s==10|2022-11-21,0,2592000,0,2,3,2,2,,,,,
96,s==4|绝版皮肤,0,s==10|2022-12-02,0,86400,0,2,3,2,2,,,,,
97,s==4|腾龙秘宝,10,,0,1296000,0,2,1,1,1,,,1,s==10|2023-06-06,
98,s==4|鸿运福录,0,s==10|2021-12-28,0,777600,0,2,3,2,2,,,,,
99,s==4|武将钜惠,0,s==10|2024-03-03,0,604800,0,2,3,2,2,,,,,
100,s==5|开服转盘 ,0,,0,864000,0,2,1,2,1,,s==12|1|2023-06-01,,,
101,s==8|【日】黄金周活动,0,s==10|2022-11-11,0,777600,0,2,3,2,2,,,,,
102,s==9|开服签到（送机甲）,0,,0,1209600,0,2,1,2,1,,s==12|1|2023-06-01,,,
103,s==7|【韩】武将钜惠,0,,0,604800,0,2,1,2,1,,,,,
104,s==7|【日】美人花嫁,0,s==10|2021-12-28,0,604800,0,2,3,2,2,,,,,
105,s==4|花嫁誓约,0,s==10|2024-02-10,0,604800,0,2,3,2,2,,,,,
107,s==4|童梦乐园,0,s==10|2023-05-27,0,777600,0,2,3,2,2,,,,,
108,s==4|万灵献瑞,0,s==10|2021-12-28,0,604800,0,2,3,2,2,,,,,
109,s==9|【韩】开服武将活动,21,,0,604800,0,2,1,2,1,,,,,
110,s==8|【机甲】机甲预告,0,,0,604800,0,2,1,1,1,,,,,
113,s==4|缤纷夏日,0,s==10|2023-07-26,0,777600,0,2,3,2,2,,,,,
114,s==4|策划祭天,0,s==10|2021-12-28,0,604800,0,2,3,2,2,,,,,
111,s==4|名将周卡,7,,0,604800,7,2,1,1,1,,,,,
112,s==4|累充献礼,0,,0,604800,0,2,1,2,1,,,,,
115,s==4|冬日暖阳,0,s==10|2024-03-03,0,604800,0,2,3,2,2,,,,,
116,s==4|玲珑宝鉴,0,s==10|2024-02-10,0,604800,0,2,3,2,2,,,,,
117,s==4|珍瑜宝铺,0,s==10|2024-02-10,0,604800,0,2,3,2,2,,,,,
