id,tips,tips2,point,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,suitProperty-type-1,suitProperty-way-1,suitProperty-value-1,
2211,s==17|Đoản Kiếm Đồng Đỏ,s==13|Lục Nhất Tinh,87,2,0,50,,,,,,,
2421,s==24|Kiếm Thiên Cương Khắc Kỷ,s==11|Tử Nhị Tinh,578,2,0,290,,,,,,,
2422,s==14|Mũ Thiên Cương,s==11|Tử Nhị Tinh,580,1,0,1450,,,,,,,
2423,s==16|Giáp Thiên Cương,s==11|Tử Nhị Tinh,870,1,0,2180,,,,,,,
2424,s==18|Hộ Thủ Thiên Cương,s==11|Tử Nhị Tinh,386,2,0,200,,,,,,,
2431,s==25|Thương Tam Tiễn Tham Lang,s==11|Tử Tam Tinh,711,2,0,360,,,,2,1,200,
2432,s==12|Mũ Tham Lang,s==11|Tử Tam Tinh,712,1,0,1880,,,,1,1,100,
2433,s==14|Giáp Tham Lang,s==11|Tử Tam Tinh,1068,1,0,2670,,,,1,1,200,
2434,s==16|Hộ Thủ Tham Lang,s==11|Tử Tam Tinh,473,2,0,240,,,,2,1,100,
2511,s==20|Đao Bách Chiến Tu La,s==13|Cam Nhất Tinh,1093,2,0,550,,,,2,1,300,
2512,s==8|Mũ Tu La,s==13|Cam Nhất Tinh,1094,1,0,2740,,,,1,1,300,
2513,s==10|Giáp Tu La,s==13|Cam Nhất Tinh,1640,1,0,4110,,,,1,1,300,
2514,s==12|Hộ Thủ Tu La,s==13|Cam Nhất Tinh,727,2,0,370,,,,2,1,200,
2521,s==22|Thương Cửu Khúc Sơn Hà,s==12|Cam Nhị Tinh,1329,2,0,665,,,,2,1,400,
2522,s==11|Mũ Cửu Khúc,s==12|Cam Nhị Tinh,1331,1,0,3330,,,,1,1,400,
2523,s==13|Giáp Cửu Khúc,s==12|Cam Nhị Tinh,1997,1,0,4995,,,,1,1,500,
2524,s==15|Hộ Thủ Cửu Khúc,s==12|Cam Nhị Tinh,887,2,0,450,,,,2,1,300,
2531,s==23|Đao Bách Luyện Càn Khôn,s==12|Cam Tam Tinh,1568,2,0,785,,,,2,1,500,
2532,s==11|Mũ Càn Khôn,s==12|Cam Tam Tinh,1569,1,0,3920,,,,1,1,500,
2533,s==13|Giáp Càn Khôn,s==12|Cam Tam Tinh,2352,1,0,5885,,,,1,1,600,
2534,s==15|Hộ Thủ Càn Khôn,s==12|Cam Tam Tinh,1044,2,0,525,,,,2,1,400,
2541,s==23|Thương Bàn Long Ô Thanh,s==11|Cam Tứ Tinh,1792,2,0,900,,,,2,1,600,
2542,s==10|Mũ Ô Thanh,s==11|Cam Tứ Tinh,1792,1,0,4480,,,,1,1,600,
2543,s==12|Giáp Ô Thanh,s==11|Cam Tứ Tinh,2689,1,0,6720,,,,1,1,700,
2544,s==14|Hộ Thủ Ô Thanh,s==11|Cam Tứ Tinh,1194,2,0,600,,,,2,1,500,
2611,s==23|Kiếm Trảm Giao Thất Sát,s==14|Hồng Nhất Tinh,2410,2,0,1210,,,,2,1,700,
2612,s==11|Mũ Thất Sát,s==14|Hồng Nhất Tinh,2412,1,0,6030,,,,1,1,700,
2613,s==13|Giáp Thất Sát,s==14|Hồng Nhất Tinh,3618,1,0,9045,,,,1,1,800,
2614,s==15|Hộ Thủ Thất Sát,s==14|Hồng Nhất Tinh,1606,2,0,805,,,,2,1,600,
2621,s==23|Đao Uống Máu Oán Nguyệt,s==13|Hồng Nhị Tinh,2949,2,0,1475,,,,2,1,800,
2622,s==11|Mũ Uống Máu,s==13|Hồng Nhị Tinh,2952,1,0,7380,,,,1,1,800,
2623,s==13|Giáp Uống Máu,s==13|Hồng Nhị Tinh,4428,1,0,11070,,,,1,1,900,
2624,s==15|Hộ Thủ Uống Máu,s==13|Hồng Nhị Tinh,1965,2,0,985,,,,2,1,700,
2631,s==30|Kiếm Thượng Phương Trấn Nguyệt,s==13|Hồng Tam Tinh,3976,2,0,1740,2,1,100,2,1,900,
2632,s==14|Mũ Trấn Nguyệt,s==13|Hồng Tam Tinh,3978,1,0,8700,1,1,100,1,1,900,
2633,s==16|Giáp Trấn Nguyệt,s==13|Hồng Tam Tinh,5719,1,0,13050,1,1,100,1,1,1000,
2634,s==16|Găng Trấn Nguyệt,s==13|Hồng Tam Tinh,2817,2,0,1160,2,1,100,2,1,800,
2641,s==24|Kiếm Long Uyên Thất Tinh,s==12|Hồng Tứ Tinh,5004,2,0,2005,2,1,200,2,1,1000,
2642,s==12|Mũ Thất Tinh,s==12|Hồng Tứ Tinh,5006,1,0,10016,1,1,200,1,1,1000,
2643,s==14|Giáp Thất Tinh,s==12|Hồng Tứ Tinh,7010,1,0,15026,1,1,200,1,1,1100,
2644,s==14|Găng Thất Tinh,s==12|Hồng Tứ Tinh,3668,2,0,1340,2,1,200,2,1,900,
2651,s==22|Kiếm Phá Thiên Thần Vũ,s==13|Hồng Ngũ Tinh,7994,2,0,3250,2,1,400,2,1,1100,
2652,s==10|Mũ Thần Vũ,s==13|Hồng Ngũ Tinh,7996,1,0,16245,1,1,400,1,1,1100,
2653,s==12|Giáp Thần Vũ,s==13|Hồng Ngũ Tinh,11244,1,0,24365,1,1,400,1,1,1200,
2654,s==12|Găng Thần Vũ,s==13|Hồng Ngũ Tinh,5829,2,0,2165,2,1,400,2,1,1000,
2665,s==30|Kiếm Thượng Phương Trấn Nguyệt,s==13|Hồng Tam Tinh,3976,2,0,1740,2,1,100,,,,
2666,s==14|Mũ Trấn Nguyệt,s==13|Hồng Tam Tinh,3978,1,0,8700,1,1,100,,,,
2667,s==16|Giáp Trấn Nguyệt,s==13|Hồng Tam Tinh,5719,1,0,13050,1,1,100,,,,
2668,s==16|Găng Trấn Nguyệt,s==13|Hồng Tam Tinh,2817,2,0,1160,2,1,100,,,,
2669,s==24|Kiếm Long Uyên Thất Tinh,s==12|Hồng Tứ Tinh,5004,2,0,2005,2,1,200,,,,
2670,s==12|Mũ Thất Tinh,s==12|Hồng Tứ Tinh,5006,1,0,10016,1,1,200,,,,
2671,s==14|Giáp Thất Tinh,s==12|Hồng Tứ Tinh,7010,1,0,15026,1,1,200,,,,
2672,s==14|Găng Thất Tinh,s==12|Hồng Tứ Tinh,3668,2,0,1340,2,1,200,,,,
2673,s==22|Kiếm Phá Thiên Thần Vũ,s==13|Hồng Ngũ Tinh,7994,2,0,3250,2,1,400,,,,
2674,s==10|Mũ Thần Vũ,s==13|Hồng Ngũ Tinh,7996,1,0,16245,1,1,400,,,,
2675,s==12|Giáp Thần Vũ,s==13|Hồng Ngũ Tinh,11244,1,0,24365,1,1,400,,,,
2676,s==12|Găng Thần Vũ,s==13|Hồng Ngũ Tinh,5829,2,0,2165,2,1,400,,,,
2661,s==25|Phương Thiên Kích Bát Bảo,s==13|Hồng Lục Tinh,7994,2,0,9999,2,1,1000,,,,
2662,s==10|Mũ Bát Bảo,s==13|Hồng Lục Tinh,7996,1,0,99999,1,1,1000,2,1,900,
2663,s==12|Giáp Bát Bảo,s==13|Hồng Lục Tinh,11244,1,0,99999,1,1,1000,1,1,900,
2664,s==14|Hộ Thủ Bát Bảo,s==13|Hồng Lục Tinh,5829,2,0,9999,2,1,1000,1,1,1000,
99991,s==25|Phương Thiên Kích Bát Bảo,s==13|Hồng Lục Tinh,7994,2,0,999999,,,,2,1,800,
99992,s==10|Mũ Bát Bảo,s==13|Hồng Lục Tinh,7996,1,0,9999999,,,,2,1,1000,
99993,s==12|Giáp Bát Bảo,s==13|Hồng Lục Tinh,11244,1,0,9999999,,,,1,1,1000,
99994,s==14|Hộ Thủ Bát Bảo,s==13|Hồng Lục Tinh,5829,2,0,999999,,,,1,1,1100,
2713,s==23|Liệt Thiên Thủy Địa Phủ,s==13|Hồng Ngũ Tinh,7994,2,0,3250,2,1,400,2,1,1400,
2714,s==19|Liệt Thiên Đầu Khôi,s==13|Hồng Ngũ Tinh,7996,1,0,16245,1,1,400,1,1,800,
2715,s==21|Liệt Thiên Chiến Giáp,s==13|Hồng Ngũ Tinh,11244,1,0,24365,1,1,400,1,1,900,
2716,s==17|Liệt Thiên Hộ Thủ,s==13|Hồng Ngũ Tinh,5829,2,0,2165,2,1,400,2,1,1300,
2717,s==26|Thiên Trướng Kim Cương Đao,s==13|Hồng Ngũ Tinh,7994,2,0,3250,2,1,400,2,1,800,
2718,s==21|Thiên Trướng Đầu Khôi,s==13|Hồng Ngũ Tinh,7996,1,0,16245,1,1,400,1,1,1400,
2719,s==20|Thiên Trướng Hộ Giáp,s==13|Hồng Ngũ Tinh,11244,1,0,24365,1,1,400,1,1,1500,
2720,s==19|Thiên Trướng Hộ Thủ,s==13|Hồng Ngũ Tinh,5829,2,0,2165,2,1,400,2,1,700,
2721,s==22|Cuồng Lôi Băng Sơn Phủ,s==12|Hồng Tứ Tinh,5004,2,0,2005,2,1,200,2,1,1300,
2722,s==18|Cuồng Lôi Đầu Khôi,s==12|Hồng Tứ Tinh,5006,1,0,10016,1,1,200,1,1,700,
2723,s==20|Cuồng Lôi Chiến Giáp,s==12|Hồng Tứ Tinh,7010,1,0,15026,1,1,200,1,1,800,
2724,s==16|Cuồng Lôi Hộ Thủ,s==12|Hồng Tứ Tinh,3668,2,0,1340,2,1,200,2,1,1200,
2725,s==19|Đạt Ma Bảo Luân Đao,s==12|Hồng Tứ Tinh,5004,2,0,2005,2,1,200,2,1,700,
2726,s==15|Đạt Ma Đầu Khôi,s==12|Hồng Tứ Tinh,5006,1,0,10016,1,1,200,1,1,1300,
2727,s==17|Đạt Ma Chiến Giáp,s==12|Hồng Tứ Tinh,7010,1,0,15026,1,1,200,1,1,1400,
2728,s==13|Đạt Ma Hộ Thủ,s==12|Hồng Tứ Tinh,3668,2,0,1340,2,1,200,2,1,600,
2729,s==23|Cương Phong Trảm Tà Phủ,s==13|Hồng Tam Tinh,3976,2,0,1740,2,1,100,2,1,1200,
2730,s==20|Cương Phong Đầu Khôi,s==13|Hồng Tam Tinh,3978,1,0,8700,1,1,100,1,1,600,
2731,s==22|Cương Phong Chiến Giáp,s==13|Hồng Tam Tinh,5719,1,0,13050,1,1,100,1,1,700,
2732,s==18|Cương Phong Hộ Thủ,s==13|Hồng Tam Tinh,2817,2,0,1160,2,1,100,2,1,1100,
2733,s==26|Thiên Trướng Kim Cương Đao,s==13|Hồng Tam Tinh,3976,2,0,1740,2,1,100,2,1,600,
2734,s==21|Thiên Trướng Đầu Khôi,s==13|Hồng Tam Tinh,3978,1,0,8700,1,1,100,1,1,1200,
2735,s==20|Thiên Trướng Hộ Giáp,s==13|Hồng Tam Tinh,5719,1,0,13050,1,1,100,1,1,1300,
2736,s==19|Thiên Trướng Hộ Thủ,s==13|Hồng Tam Tinh,2817,2,0,1160,2,1,100,2,1,500,
2737,s==17|Bát Bảo Long Kích,s==13|Hồng Lục Tinh,10984,2,0,5416,2,1,1000,2,1,1600,
2738,s==18|Bát Bảo Thiên Khôi,s==13|Hồng Lục Tinh,10986,1,0,27075,1,1,1000,1,1,1600,
2739,s==16|Bát Bảo Địa Giáp,s==13|Hồng Lục Tinh,15478,1,0,40608,1,1,1000,1,1,1900,
2740,s==15|Bát Bảo Ngự Thủ,s==13|Hồng Lục Tinh,7990,2,0,3608,2,1,1000,2,1,1300,
