id,mainId,dateStart,dateEnd,stageStart,stageEnd,stage,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
66,4,61,90,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
67,4,61,90,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,
68,4,61,90,4,7,2,5000,2,6677,1,2,3014,100,2,1017,60,
69,4,61,90,4,7,2,10000,2,6674,1,2,3014,100,2,1018,25,
70,4,61,90,4,7,2,20000,2,6675,1,2,3014,200,2,1018,25,
71,6,985,986,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
72,6,985,986,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
73,6,985,986,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
74,6,985,986,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
75,6,985,986,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,
76,6,985,986,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,
77,6,985,986,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,
78,6,985,986,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
79,6,985,986,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
80,6,985,986,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
81,6,985,986,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,
82,6,985,986,4,7,2,5000,2,6677,1,2,3014,100,2,1017,60,
83,6,985,986,4,7,2,10000,2,6674,1,2,3014,100,2,1018,25,
84,6,985,986,4,7,2,20000,2,6675,1,2,3014,200,2,1018,25,
85,9,991,992,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
86,9,991,992,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
87,9,991,992,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
88,9,991,992,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
89,9,991,992,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,
90,9,991,992,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,
91,9,991,992,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,
92,9,991,992,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
93,9,991,992,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
94,9,991,992,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
95,9,991,992,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,
96,9,991,992,4,7,2,5000,2,6677,1,2,3014,100,2,71010,5,
97,9,991,992,4,7,2,10000,2,6674,1,2,3014,100,2,71010,10,
98,9,991,992,4,7,2,20000,2,6675,1,2,3014,200,2,71010,10,
99,2,981,982,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
100,2,981,982,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
101,2,981,982,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
102,2,981,982,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
103,2,981,982,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
104,2,981,982,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
105,2,981,982,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
106,2,981,982,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
107,2,981,982,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
108,2,981,982,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
109,2,981,982,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
110,2,981,982,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
111,2,981,982,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
112,2,981,982,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
113,5,983,984,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
114,5,983,984,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
115,5,983,984,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
116,5,983,984,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
117,5,983,984,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
118,5,983,984,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
119,5,983,984,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
120,5,983,984,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
121,5,983,984,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
122,5,983,984,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
123,5,983,984,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
124,5,983,984,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
125,5,983,984,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
126,5,983,984,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
127,7,987,988,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
128,7,987,988,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
129,7,987,988,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
130,7,987,988,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
131,7,987,988,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
132,7,987,988,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
133,7,987,988,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
134,7,987,988,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
135,7,987,988,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
136,7,987,988,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
137,7,987,988,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
138,7,987,988,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
139,7,987,988,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
140,7,987,988,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
141,8,989,990,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
142,8,989,990,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
143,8,989,990,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
144,8,989,990,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
145,8,989,990,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
146,8,989,990,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
147,8,989,990,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
148,8,989,990,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
149,8,989,990,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
150,8,989,990,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
151,8,989,990,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
152,8,989,990,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
153,8,989,990,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
154,8,989,990,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
155,30,1,99999,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
156,30,1,99999,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
157,30,1,99999,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
158,30,1,99999,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
159,30,1,99999,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
160,30,1,99999,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
161,30,1,99999,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
162,30,1,99999,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
163,30,1,99999,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
164,30,1,99999,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
165,30,1,99999,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
166,30,1,99999,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
167,10,987,987,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
168,10,987,987,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
169,10,987,987,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
170,10,987,987,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
171,10,987,987,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
172,10,987,987,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
173,10,987,987,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
174,10,987,987,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
175,10,987,987,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
176,10,987,987,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
177,10,987,987,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
178,10,987,987,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
179,10,987,987,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
180,10,987,987,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
181,11,988,988,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
182,11,988,988,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
183,11,988,988,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
184,11,988,988,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
185,11,988,988,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
186,11,988,988,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
187,11,988,988,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
188,11,988,988,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
189,11,988,988,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
190,11,988,988,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
191,11,988,988,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
192,11,988,988,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
193,11,988,988,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
194,11,988,988,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
195,12,989,989,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
196,12,989,989,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
197,12,989,989,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
198,12,989,989,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
199,12,989,989,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
200,12,989,989,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
201,12,989,989,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
202,12,989,989,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
203,12,989,989,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
204,12,989,989,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
205,12,989,989,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
206,12,989,989,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
207,12,989,989,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
208,12,989,989,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
209,13,990,991,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
210,13,990,991,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
211,13,990,991,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
212,13,990,991,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
213,13,990,991,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
214,13,990,991,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
215,13,990,991,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
216,13,990,991,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
217,13,990,991,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
218,13,990,991,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
219,13,990,991,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
220,13,990,991,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
221,13,990,991,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
222,13,990,991,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
223,14,91,120,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
224,14,91,120,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
225,14,91,120,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
226,14,91,120,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
227,14,91,120,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
228,14,91,120,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
229,14,91,120,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
230,14,91,120,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
231,14,91,120,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
232,14,91,120,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
233,14,91,120,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
234,14,91,120,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
235,14,91,120,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
236,14,91,120,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
237,15,121,150,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
238,15,121,150,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
239,15,121,150,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
240,15,121,150,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
241,15,121,150,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
242,15,121,150,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
243,15,121,150,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
244,15,121,150,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
245,15,121,150,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
246,15,121,150,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
247,15,121,150,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
248,15,121,150,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
249,15,121,150,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
250,15,121,150,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
251,16,151,980,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
252,16,151,980,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
253,16,151,980,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
254,16,151,980,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
255,16,151,980,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
256,16,151,980,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
257,16,151,980,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
258,16,151,980,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
259,16,151,980,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
260,16,151,980,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
261,16,151,980,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
262,16,151,980,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
263,16,151,980,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
264,16,151,980,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
265,17,9975,9976,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
266,17,9975,9976,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
267,17,9975,9976,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
268,17,9975,9976,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
269,17,9975,9976,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
270,17,9975,9976,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
271,17,9975,9976,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
272,17,9975,9976,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
273,17,9975,9976,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
274,17,9975,9976,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
275,17,9975,9976,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
276,17,9975,9976,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
277,17,9975,9976,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
278,17,9975,9976,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
279,18,9973,9974,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
280,18,9973,9974,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
281,18,9973,9974,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
282,18,9973,9974,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
283,18,9973,9974,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
284,18,9973,9974,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
285,18,9973,9974,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
286,18,9973,9974,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
287,18,9973,9974,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
288,18,9973,9974,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
289,18,9973,9974,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
290,18,9973,9974,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
291,18,9973,9974,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
292,18,9973,9974,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
293,19,9971,9972,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
294,19,9971,9972,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
295,19,9971,9972,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
296,19,9971,9972,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
297,19,9971,9972,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
298,19,9971,9972,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
299,19,9971,9972,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
300,19,9971,9972,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
301,19,9971,9972,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
302,19,9971,9972,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
303,19,9971,9972,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
304,19,9971,9972,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
305,19,9971,9972,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
306,19,9971,9972,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
307,20,9967,9968,1,3,1,200,2,1003,10,2,1003,6,2,2074,3,
308,20,9967,9968,1,3,1,500,2,1516,1,2,1029,40,2,2074,8,
309,20,9967,9968,1,3,1,1000,2,1761,1,2,1003,15,2,2074,16,
310,20,9967,9968,1,3,1,2000,2,1761,2,2,6490,1,2,2074,24,
311,20,9967,9968,1,3,1,5000,2,6677,1,2,6491,1,2,2074,36,
312,20,9967,9968,1,3,1,10000,2,6674,1,2,6492,1,2,2074,50,
313,20,9967,9968,1,3,1,20000,2,6675,1,2,6493,1,2,2074,80,
314,20,9967,9968,4,7,2,200,2,1003,10,2,1003,6,2,2074,3,
315,20,9967,9968,4,7,2,500,2,1516,1,2,1029,40,2,2074,8,
316,20,9967,9968,4,7,2,1000,2,1105,10,2,1003,15,2,2074,16,
317,20,9967,9968,4,7,2,2000,2,1468,2,2,6490,1,2,2074,24,
318,20,9967,9968,4,7,2,5000,2,6677,1,2,6491,1,2,1463,5,
319,20,9967,9968,4,7,2,10000,2,6674,1,2,6492,1,2,1463,10,
320,20,9967,9968,4,7,2,20000,2,6675,1,2,6493,1,2,1527,2,
