id,actId,type,items-type-1,items-id-1,items-value-1,appearNum,floorNum,weight,openDays,swapId,
67,3290,1,2,1077,40,,,660,46,,
68,3290,1,2,3008,10,,,500,46,,
69,3290,1,2,3002,30,,,800,46,,
70,3290,1,2,1006,300,,,800,46,,
71,3290,1,2,1001,300,,,800,46,,
72,3290,1,2,2200,3,,,600,46,,
73,3290,1,2,2201,3,,,600,46,,
74,3290,1,2,3014,10,33,28,300,61,84,
75,3290,1,2,1021,4,,,200,61,,
76,3290,1,2,1057,1,,,200,61,,
77,3290,1,2,1018,4,,,200,61,,
78,3290,1,2,1017,6,,,1000,61,,
79,3290,1,2,1115,300,,,1000,61,,
80,3290,1,2,1020,6,,,1000,61,,
81,3290,1,2,1003,1,,,500,61,,
82,3290,1,2,1027,20,,,800,61,,
83,3290,1,2,1077,40,,,660,61,,
84,3290,1,2,3008,10,,,500,61,,
85,3290,1,2,3002,30,,,800,61,,
86,3290,1,2,1006,300,,,800,61,,
87,3290,1,2,1001,300,,,800,61,,
88,3290,1,2,2200,3,,,600,61,,
89,3290,1,2,2201,3,,,600,61,,
100,3330,2,2,25516,50,40,40,10,1,135,
101,3330,2,2,25504,50,40,40,10,1,136,
102,3330,2,2,22512,50,120,120,10,1,135,
103,3330,2,2,24516,50,40,40,10,1,136,
104,3330,2,2,24505,50,40,40,10,1,135,
105,3330,1,2,3014,10,33,28,300,1,115,
106,3330,1,2,1030,4,,,200,1,,
107,3330,1,2,1081,4,,,200,1,,
108,3330,1,2,1044,2,,,200,1,,
109,3330,1,2,1082,3,,,1000,1,,
110,3330,1,2,1043,5,,,1000,1,,
111,3330,1,2,1029,3,,,1000,1,,
112,3330,1,2,1003,1,,,500,1,,
113,3330,1,2,1027,10,,,800,1,,
114,3330,1,2,1077,20,,,660,1,,
115,3330,1,2,3008,10,,,500,1,,
116,3330,1,2,3002,15,,,800,1,,
117,3330,1,2,1006,150,,,800,1,,
118,3330,1,2,1001,150,,,800,1,,
119,3330,1,2,2200,1,,,600,1,,
120,3330,1,2,2201,1,,,600,1,,
121,3330,1,2,3014,10,33,28,300,15,131,
122,3330,1,2,1037,4,,,200,15,,
123,3330,1,2,1081,4,,,200,15,,
124,3330,1,2,1104,2,,,200,15,,
125,3330,1,2,1082,3,,,1000,15,,
126,3330,1,2,1036,5,,,1000,15,,
127,3330,1,2,1103,3,,,1000,15,,
128,3330,1,2,1003,1,,,500,15,,
129,3330,1,2,1027,10,,,800,15,,
130,3330,1,2,1077,20,,,660,15,,
131,3330,1,2,3008,10,,,500,15,,
132,3330,1,2,3002,15,,,800,15,,
133,3330,1,2,1006,150,,,800,15,,
134,3330,1,2,1001,150,,,800,15,,
135,3330,1,2,2200,1,,,600,15,,
136,3330,1,2,2201,1,,,600,15,,
137,3330,1,2,3014,10,33,28,300,22,147,
138,3330,1,2,1105,1,,,200,22,,
139,3330,1,2,1009,4,,,200,22,,
140,3330,1,2,1010,4,,,200,22,,
141,3330,1,2,1052,20,,,1000,22,,
142,3330,1,2,1011,3,,,1000,22,,
143,3330,1,2,1078,150,,,1000,22,,
144,3330,1,2,1003,1,,,500,22,,
145,3330,1,2,1027,20,,,800,22,,
146,3330,1,2,1077,40,,,660,22,,
147,3330,1,2,3008,10,,,500,22,,
148,3330,1,2,3002,30,,,800,22,,
149,3330,1,2,1006,300,,,800,22,,
150,3330,1,2,1001,300,,,800,22,,
151,3330,1,2,2200,3,,,600,22,,
152,3330,1,2,2201,3,,,600,22,,
153,3330,1,2,3014,10,33,28,300,46,163,
154,3330,1,2,1076,1,,,200,46,,
155,3330,1,2,1073,1,,,200,46,,
156,3330,1,2,1018,4,,,200,46,,
157,3330,1,2,1017,6,,,1000,46,,
158,3330,1,2,1078,150,,,1000,46,,
159,3330,1,2,1052,12,,,1000,46,,
160,3330,1,2,1003,1,,,500,46,,
161,3330,1,2,1027,20,,,800,46,,
162,3330,1,2,1077,40,,,660,46,,
163,3330,1,2,3008,10,,,500,46,,
164,3330,1,2,3002,30,,,800,46,,
165,3330,1,2,1006,300,,,800,46,,
166,3330,1,2,1001,300,,,800,46,,
167,3330,1,2,2200,3,,,600,46,,
168,3330,1,2,2201,3,,,600,46,,
169,3330,1,2,3014,10,33,28,300,61,179,
170,3330,1,2,1021,4,,,200,61,,
171,3330,1,2,1057,1,,,200,61,,
172,3330,1,2,1018,4,,,200,61,,
173,3330,1,2,1017,6,,,1000,61,,
174,3330,1,2,1115,300,,,1000,61,,
175,3330,1,2,1020,6,,,1000,61,,
176,3330,1,2,1003,1,,,500,61,,
177,3330,1,2,1027,20,,,800,61,,
178,3330,1,2,1077,40,,,660,61,,
179,3330,1,2,3008,10,,,500,61,,
180,3330,1,2,3002,30,,,800,61,,
181,3330,1,2,1006,300,,,800,61,,
182,3330,1,2,1001,300,,,800,61,,
183,3330,1,2,2200,3,,,600,61,,
184,3330,1,2,2201,3,,,600,61,,
185,3390,2,2,24517,50,40,40,10,,203,
186,3390,2,2,24516,50,40,40,10,,203,
187,3390,2,2,25516,50,40,40,10,,204,
188,3390,2,2,25504,50,40,40,10,,204,
189,3390,1,2,3014,10,33,28,300,1,199,
190,3390,1,2,1030,4,,,200,1,,
191,3390,1,2,1081,4,,,200,1,,
192,3390,1,2,1044,2,,,200,1,,
193,3390,1,2,1082,3,,,1000,1,,
194,3390,1,2,1043,5,,,1000,1,,
195,3390,1,2,1029,3,,,1000,1,,
196,3390,1,2,1003,1,,,500,1,,
197,3390,1,2,1027,10,,,800,1,,
198,3390,1,2,1077,20,,,660,1,,
199,3390,1,2,3008,10,,,500,1,,
200,3390,1,2,3002,15,,,800,1,,
201,3390,1,2,1006,150,,,800,1,,
202,3390,1,2,1001,150,,,800,1,,
203,3390,1,2,2200,1,,,600,1,,
204,3390,1,2,2201,1,,,600,1,,
205,3390,1,2,3014,10,33,28,300,15,215,
206,3390,1,2,1037,4,,,200,15,,
207,3390,1,2,1081,4,,,200,15,,
208,3390,1,2,1104,2,,,200,15,,
209,3390,1,2,1082,3,,,1000,15,,
210,3390,1,2,1036,5,,,1000,15,,
211,3390,1,2,1103,3,,,1000,15,,
212,3390,1,2,1003,1,,,500,15,,
213,3390,1,2,1027,10,,,800,15,,
214,3390,1,2,1077,20,,,660,15,,
215,3390,1,2,3008,10,,,500,15,,
216,3390,1,2,3002,15,,,800,15,,
217,3390,1,2,1006,150,,,800,15,,
218,3390,1,2,1001,150,,,800,15,,
219,3390,1,2,2200,1,,,600,15,,
220,3390,1,2,2201,1,,,600,15,,
221,3390,1,2,3014,10,33,28,300,22,231,
222,3390,1,2,1105,1,,,200,22,,
223,3390,1,2,1009,4,,,200,22,,
224,3390,1,2,1010,4,,,200,22,,
225,3390,1,2,1052,20,,,1000,22,,
226,3390,1,2,1011,3,,,1000,22,,
227,3390,1,2,1078,150,,,1000,22,,
228,3390,1,2,1003,1,,,500,22,,
229,3390,1,2,1027,20,,,800,22,,
230,3390,1,2,1077,40,,,660,22,,
231,3390,1,2,3008,10,,,500,22,,
232,3390,1,2,3002,30,,,800,22,,
233,3390,1,2,1006,300,,,800,22,,
234,3390,1,2,1001,300,,,800,22,,
235,3390,1,2,2200,3,,,600,22,,
236,3390,1,2,2201,3,,,600,22,,
237,3390,1,2,3014,10,33,28,300,46,247,
238,3390,1,2,1076,1,,,200,46,,
239,3390,1,2,1073,1,,,200,46,,
240,3390,1,2,1018,4,,,200,46,,
241,3390,1,2,1017,6,,,1000,46,,
242,3390,1,2,1078,150,,,1000,46,,
243,3390,1,2,1052,12,,,1000,46,,
244,3390,1,2,1003,1,,,500,46,,
245,3390,1,2,1027,20,,,800,46,,
246,3390,1,2,1077,40,,,660,46,,
247,3390,1,2,3008,10,,,500,46,,
248,3390,1,2,3002,30,,,800,46,,
249,3390,1,2,1006,300,,,800,46,,
250,3390,1,2,1001,300,,,800,46,,
251,3390,1,2,2200,3,,,600,46,,
252,3390,1,2,2201,3,,,600,46,,
253,3390,1,2,3014,10,33,28,300,61,263,
254,3390,1,2,1021,4,,,200,61,,
255,3390,1,2,1057,1,,,200,61,,
256,3390,1,2,1018,4,,,200,61,,
257,3390,1,2,1017,6,,,1000,61,,
258,3390,1,2,1115,300,,,1000,61,,
259,3390,1,2,1020,6,,,1000,61,,
260,3390,1,2,1003,1,,,500,61,,
261,3390,1,2,1027,20,,,800,61,,
262,3390,1,2,1077,40,,,660,61,,
263,3390,1,2,3008,10,,,500,61,,
264,3390,1,2,3002,30,,,800,61,,
265,3390,1,2,1006,300,,,800,61,,
266,3390,1,2,1001,300,,,800,61,,
267,3390,1,2,2200,3,,,600,61,,
268,3390,1,2,2201,3,,,600,61,,
