level,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,propertys-type-1,propertys-way-1,propertys-value-1,addPropertys-type-1,addPropertys-way-1,addPropertys-value-1,levelLimit,
66,2,1030,14,2,1029,35,17,1,100,,,,,
67,2,1030,14,2,1029,35,7,1,100,,,,,
68,2,1030,14,2,1029,35,8,1,100,,,,,
69,2,1030,14,2,1029,35,9,1,100,,,,,
70,2,1030,14,2,1029,35,1,1,100,1,0,8750,,
71,2,1030,15,2,1029,35,2,1,100,2,0,1000,,
72,2,1030,15,2,1029,35,4,0,8,,,,,
73,2,1030,15,2,1029,35,5,1,100,,,,,
74,2,1030,15,2,1029,35,6,1,200,,,,,
75,2,1030,15,2,1029,40,16,1,100,,,,,
76,2,1030,16,2,1029,40,17,1,100,,,,,
77,2,1030,16,2,1029,40,7,1,100,,,,,
78,2,1030,16,2,1029,40,8,1,100,,,,,
79,2,1030,16,2,1029,40,9,1,100,,,,,
80,2,1030,16,2,1029,40,1,1,100,1,0,8750,,
81,2,1030,17,2,1029,40,2,1,100,2,0,1000,,
82,2,1030,17,2,1029,40,4,0,8,,,,,
83,2,1030,17,2,1029,40,5,1,100,,,,,
84,2,1030,17,2,1029,40,6,1,200,,,,,
85,2,1030,17,2,1029,40,16,1,100,,,,,
86,2,1030,18,2,1029,45,17,1,100,,,,,
87,2,1030,18,2,1029,45,7,1,100,,,,,
88,2,1030,18,2,1029,45,8,1,100,,,,,
89,2,1030,18,2,1029,45,9,1,100,,,,,
90,2,1030,18,2,1029,45,1,1,100,1,0,8750,,
91,2,1030,19,2,1029,45,2,1,100,2,0,1000,,
92,2,1030,19,2,1029,45,4,0,8,,,,,
93,2,1030,19,2,1029,45,5,1,100,,,,,
94,2,1030,19,2,1029,45,6,1,200,,,,,
95,2,1030,19,2,1029,45,16,1,100,,,,,
96,2,1030,20,2,1029,45,17,1,100,,,,,
97,2,1030,20,2,1029,50,7,1,100,,,,,
98,2,1030,20,2,1029,50,8,1,100,,,,,
99,2,1030,20,2,1029,50,9,1,100,,,,,
100,2,1030,20,2,1029,50,1,1,100,1,0,8750,,
101,2,1030,21,2,1029,50,2,1,100,2,0,1000,,
102,2,1030,21,2,1029,50,4,0,8,,,,,
103,2,1030,21,2,1029,50,5,1,100,,,,,
104,2,1030,21,2,1029,50,6,1,200,,,,,
105,2,1030,21,2,1029,50,16,1,100,,,,,
106,2,1030,22,2,1029,50,17,1,100,,,,,
107,2,1030,22,2,1029,50,7,1,100,,,,,
108,2,1030,22,2,1029,55,8,1,100,,,,,
109,2,1030,22,2,1029,55,9,1,100,,,,,
110,2,1030,22,2,1029,55,1,1,100,1,0,8750,,
111,2,1030,23,2,1029,55,2,1,100,2,0,1000,,
112,2,1030,23,2,1029,55,4,0,8,,,,,
113,2,1030,23,2,1029,55,5,1,100,,,,,
114,2,1030,23,2,1029,55,6,1,200,,,,,
115,2,1030,23,2,1029,55,16,1,100,,,,,
116,2,1030,24,2,1029,55,17,1,100,,,,,
117,2,1030,24,2,1029,55,7,1,100,,,,,
118,2,1030,24,2,1029,55,8,1,100,,,,,
119,2,1030,24,2,1029,60,9,1,100,,,,,
120,2,1030,24,2,1029,60,1,1,100,1,0,8750,,
121,2,1030,24,2,1029,60,2,1,100,2,0,1000,,
122,2,1030,24,2,1029,60,4,0,8,,,,,
123,2,1030,24,2,1029,60,5,1,100,,,,,
124,2,1030,24,2,1029,60,6,1,200,,,,,
125,2,1030,24,2,1029,60,16,1,100,,,,,
126,2,1030,24,2,1029,60,17,1,100,,,,,
127,2,1030,24,2,1029,60,7,1,100,,,,,
128,2,1030,24,2,1029,60,8,1,100,,,,,
129,2,1030,24,2,1029,60,9,1,100,,,,,
130,2,1030,24,2,1029,65,1,1,100,1,0,8750,,
131,2,1030,24,2,1029,65,2,1,100,2,0,1000,,
132,2,1030,24,2,1029,65,4,0,8,,,,,
133,2,1030,24,2,1029,65,5,1,100,,,,,
134,2,1030,24,2,1029,65,6,1,200,,,,,
135,2,1030,24,2,1029,65,16,1,100,,,,,
136,2,1030,24,2,1029,65,17,1,100,,,,,
137,2,1030,24,2,1029,65,7,1,100,,,,,
138,2,1030,24,2,1029,65,8,1,100,,,,,
139,2,1030,24,2,1029,65,9,1,100,,,,,
140,2,1030,24,2,1029,65,1,1,100,1,0,8750,,
141,2,1030,24,2,1029,70,2,1,100,2,0,1000,,
142,2,1030,24,2,1029,70,4,0,8,,,,,
143,2,1030,24,2,1029,70,5,1,100,,,,,
144,2,1030,24,2,1029,70,6,1,200,,,,,
145,2,1030,24,2,1029,70,16,1,100,,,,,
146,2,1030,24,2,1029,70,17,1,100,,,,,
147,2,1030,24,2,1029,70,7,1,100,,,,,
148,2,1030,24,2,1029,70,8,1,100,,,,,
149,2,1030,24,2,1029,70,9,1,100,,,,,
150,2,1030,24,2,1029,70,1,1,100,1,0,8750,,
151,2,1030,24,2,1029,70,2,1,100,2,0,1000,,
152,2,1030,24,2,1029,75,4,0,8,,,,,
153,2,1030,24,2,1029,75,5,1,100,,,,,
154,2,1030,24,2,1029,75,6,1,200,,,,,
155,2,1030,24,2,1029,75,16,1,100,,,,,
156,2,1030,24,2,1029,75,17,1,100,,,,,
157,2,1030,24,2,1029,75,7,1,100,,,,,
158,2,1030,24,2,1029,75,8,1,100,,,,,
159,2,1030,24,2,1029,75,9,1,100,,,,,
160,2,1030,24,2,1029,75,1,1,100,1,0,8750,,
161,2,1030,24,2,1029,75,2,1,100,2,0,1000,,
162,2,1030,24,2,1029,75,4,0,8,,,,,
163,2,1030,24,2,1029,80,5,1,100,,,,,
164,2,1030,24,2,1029,80,6,1,200,,,,,
165,2,1030,24,2,1029,80,16,1,100,,,,,
166,2,1030,24,2,1029,80,17,1,100,,,,,
167,2,1030,24,2,1029,80,7,1,100,,,,,
168,2,1030,24,2,1029,80,8,1,100,,,,,
169,2,1030,24,2,1029,80,9,1,100,,,,,
170,2,1030,24,2,1029,80,1,1,100,1,0,8750,,
171,2,1030,24,2,1029,80,2,1,100,2,0,1000,,
172,2,1030,24,2,1029,80,4,0,8,,,,,
173,2,1030,24,2,1029,80,5,1,100,,,,,
174,2,1030,24,2,1029,85,6,1,200,,,,,
175,2,1030,24,2,1029,85,16,1,100,,,,,
176,2,1030,24,2,1029,85,17,1,100,,,,,
177,2,1030,24,2,1029,85,7,1,100,,,,,
178,2,1030,24,2,1029,85,8,1,100,,,,,
179,2,1030,24,2,1029,85,9,1,100,,,,,
180,2,1030,24,2,1029,85,1,1,100,1,0,8750,,
181,2,1030,24,2,1029,85,2,1,100,2,0,1000,,
182,2,1030,24,2,1029,85,4,0,8,,,,,
183,2,1030,24,2,1029,85,5,1,100,,,,,
184,2,1030,24,2,1029,85,6,1,200,,,,,
185,2,1030,24,2,1029,90,16,1,100,,,,,
186,2,1030,24,2,1029,90,17,1,100,,,,,
187,2,1030,24,2,1029,90,7,1,100,,,,,
188,2,1030,24,2,1029,90,8,1,100,,,,,
189,2,1030,24,2,1029,90,9,1,100,,,,,
190,2,1030,24,2,1029,90,1,1,100,1,0,8750,,
191,2,1030,24,2,1029,90,2,1,100,2,0,1000,,
192,2,1030,24,2,1029,90,4,0,8,,,,,
193,2,1030,24,2,1029,90,5,1,100,,,,,
194,2,1030,24,2,1029,90,6,1,200,,,,,
195,2,1030,24,2,1029,90,16,1,100,,,,,
196,2,1030,24,2,1029,95,17,1,100,,,,,
197,2,1030,24,2,1029,95,7,1,100,,,,,
198,2,1030,24,2,1029,95,8,1,100,,,,,
199,2,1030,24,2,1029,95,9,1,100,,,,,
200,2,1030,24,2,1029,95,1,1,100,1,0,8750,,
201,2,1030,24,2,1029,95,2,1,100,2,0,1000,,
202,2,1030,24,2,1029,95,4,0,8,,,,,
203,2,1030,24,2,1029,95,5,1,100,,,,,
204,2,1030,24,2,1029,95,6,1,200,,,,,
205,2,1030,24,2,1029,95,16,1,100,,,,,
206,2,1030,24,2,1029,95,17,1,100,,,,,
207,2,1030,24,2,1029,100,7,1,100,,,,,
208,2,1030,24,2,1029,100,8,1,100,,,,,
209,2,1030,24,2,1029,100,9,1,100,,,,,
210,2,1030,24,2,1029,100,1,1,100,1,0,8750,,
211,2,1030,24,2,1029,100,2,1,100,2,0,1000,,
212,2,1030,24,2,1029,100,4,0,8,,,,,
213,2,1030,24,2,1029,100,5,1,100,,,,,
214,2,1030,24,2,1029,100,6,1,200,,,,,
215,2,1030,24,2,1029,100,16,1,100,,,,,
216,2,1030,24,2,1029,100,17,1,100,,,,,
217,2,1030,24,2,1029,100,7,1,100,,,,,
218,2,1030,24,2,1029,105,8,1,100,,,,,
219,2,1030,24,2,1029,105,9,1,100,,,,,
220,2,1030,24,2,1029,105,1,1,100,1,0,8750,,
221,2,1030,24,2,1029,105,2,1,100,2,0,1000,,
222,2,1030,24,2,1029,105,4,0,8,,,,,
223,2,1030,24,2,1029,105,5,1,100,,,,,
224,2,1030,24,2,1029,105,6,1,200,,,,,
225,2,1030,24,2,1029,105,16,1,100,,,,,
226,2,1030,24,2,1029,105,17,1,100,,,,,
227,2,1030,24,2,1029,105,7,1,100,,,,,
228,2,1030,24,2,1029,105,8,1,100,,,,,
229,2,1030,24,2,1029,110,9,1,100,,,,,
230,2,1030,24,2,1029,110,1,1,100,1,0,8750,,
231,2,1030,24,2,1029,110,2,1,100,2,0,1000,,
232,2,1030,24,2,1029,110,4,0,8,,,,,
233,2,1030,24,2,1029,110,5,1,100,,,,,
234,2,1030,24,2,1029,110,6,1,200,,,,,
235,2,1030,24,2,1029,110,16,1,100,,,,,
236,2,1030,24,2,1029,110,17,1,100,,,,,
237,2,1030,24,2,1029,110,7,1,100,,,,,
238,2,1030,24,2,1029,110,8,1,100,,,,,
239,2,1030,24,2,1029,110,9,1,100,,,,,
240,2,1030,24,2,1029,115,1,1,100,1,0,8750,,
241,2,1030,26,2,1029,130,2,1,100,2,0,1000,,
242,2,1030,26,2,1029,130,4,0,8,,,,,
243,2,1030,26,2,1029,130,5,1,100,,,,,
244,2,1030,26,2,1029,130,6,1,200,,,,,
245,2,1030,26,2,1029,130,16,1,100,,,,,
246,2,1030,26,2,1029,130,17,1,100,,,,,
247,2,1030,26,2,1029,130,7,1,100,,,,,
248,2,1030,26,2,1029,130,8,1,100,,,,,
249,2,1030,26,2,1029,130,9,1,100,,,,,
250,2,1030,26,2,1029,130,1,1,100,1,0,8750,200,
251,2,1030,28,2,1029,140,2,1,100,2,0,1000,200,
252,2,1030,28,2,1029,140,4,0,8,,,,200,
253,2,1030,28,2,1029,140,5,1,100,,,,200,
254,2,1030,28,2,1029,140,6,1,200,,,,200,
255,2,1030,28,2,1029,140,16,1,100,,,,200,
256,2,1030,28,2,1029,140,17,1,100,,,,200,
257,2,1030,28,2,1029,140,7,1,100,,,,200,
258,2,1030,28,2,1029,140,8,1,100,,,,200,
259,2,1030,28,2,1029,140,9,1,100,,,,200,
260,2,1030,28,2,1029,140,1,1,100,1,0,8750,205,
261,2,1030,30,2,1029,150,2,1,100,2,0,1000,205,
262,2,1030,30,2,1029,150,4,0,8,,,,205,
263,2,1030,30,2,1029,150,5,1,100,,,,205,
264,2,1030,30,2,1029,150,6,1,200,,,,205,
265,2,1030,30,2,1029,150,16,1,100,,,,205,
266,2,1030,30,2,1029,150,17,1,100,,,,205,
267,2,1030,30,2,1029,150,7,1,100,,,,205,
268,2,1030,30,2,1029,150,8,1,100,,,,205,
269,2,1030,30,2,1029,150,9,1,100,,,,205,
270,2,1030,30,2,1029,150,1,1,100,1,0,8750,210,
271,2,1030,32,2,1029,160,2,1,100,2,0,1000,210,
272,2,1030,32,2,1029,160,4,0,8,,,,210,
273,2,1030,32,2,1029,160,5,1,100,,,,210,
274,2,1030,32,2,1029,160,6,1,200,,,,210,
275,2,1030,32,2,1029,160,16,1,100,,,,210,
276,2,1030,32,2,1029,160,17,1,100,,,,210,
277,2,1030,32,2,1029,160,7,1,100,,,,210,
278,2,1030,32,2,1029,160,8,1,100,,,,210,
279,2,1030,32,2,1029,160,9,1,100,,,,210,
280,2,1030,32,2,1029,160,1,1,100,1,0,8750,215,
281,2,1030,34,2,1029,170,2,1,100,2,0,1000,215,
282,2,1030,34,2,1029,170,4,0,8,,,,215,
283,2,1030,34,2,1029,170,5,1,100,,,,215,
284,2,1030,34,2,1029,170,6,1,200,,,,215,
285,2,1030,34,2,1029,170,16,1,100,,,,215,
286,2,1030,34,2,1029,170,17,1,100,,,,215,
287,2,1030,34,2,1029,170,7,1,100,,,,215,
288,2,1030,34,2,1029,170,8,1,100,,,,215,
289,2,1030,34,2,1029,170,9,1,100,,,,215,
290,2,1030,34,2,1029,170,1,1,100,1,0,8750,220,
291,2,1030,36,2,1029,180,2,1,100,2,0,1000,220,
292,2,1030,36,2,1029,180,4,0,8,,,,220,
293,2,1030,36,2,1029,180,5,1,100,,,,220,
294,2,1030,36,2,1029,180,6,1,200,,,,220,
295,2,1030,36,2,1029,180,16,1,100,,,,220,
296,2,1030,36,2,1029,180,17,1,100,,,,220,
297,2,1030,36,2,1029,180,7,1,100,,,,220,
298,2,1030,36,2,1029,180,8,1,100,,,,220,
299,2,1030,36,2,1029,180,9,1,100,,,,220,
300,2,1030,36,2,1029,180,1,1,100,1,0,8750,225,
301,2,1030,38,2,1029,190,2,1,100,2,0,1000,225,
302,2,1030,38,2,1029,190,4,0,8,,,,225,
303,2,1030,38,2,1029,190,5,1,100,,,,225,
304,2,1030,38,2,1029,190,6,1,200,,,,225,
305,2,1030,38,2,1029,190,16,1,100,,,,225,
306,2,1030,38,2,1029,190,17,1,100,,,,225,
307,2,1030,38,2,1029,190,7,1,100,,,,225,
308,2,1030,38,2,1029,190,8,1,100,,,,225,
309,2,1030,38,2,1029,190,9,1,100,,,,225,
310,2,1030,38,2,1029,190,1,1,100,1,0,8750,230,
311,2,1030,40,2,1029,200,2,1,100,2,0,1000,230,
312,2,1030,40,2,1029,200,4,0,8,,,,230,
313,2,1030,40,2,1029,200,5,1,100,,,,230,
314,2,1030,40,2,1029,200,6,1,200,,,,230,
315,2,1030,40,2,1029,200,16,1,100,,,,230,
316,2,1030,40,2,1029,200,17,1,100,,,,230,
317,2,1030,40,2,1029,200,7,1,100,,,,230,
318,2,1030,40,2,1029,200,8,1,100,,,,230,
319,2,1030,40,2,1029,200,9,1,100,,,,230,
320,2,1030,40,2,1029,200,1,1,100,1,0,8750,235,
321,2,1030,42,2,1029,210,2,1,100,2,0,1000,235,
322,2,1030,42,2,1029,210,4,0,8,,,,235,
323,2,1030,42,2,1029,210,5,1,100,,,,235,
324,2,1030,42,2,1029,210,6,1,200,,,,235,
325,2,1030,42,2,1029,210,16,1,100,,,,235,
326,2,1030,42,2,1029,210,17,1,100,,,,235,
327,2,1030,42,2,1029,210,7,1,100,,,,235,
328,2,1030,42,2,1029,210,8,1,100,,,,235,
329,2,1030,42,2,1029,210,9,1,100,,,,235,
330,2,1030,42,2,1029,210,1,1,100,1,0,8750,240,
331,2,1030,44,2,1029,220,2,1,100,2,0,1000,240,
332,2,1030,44,2,1029,220,4,0,8,,,,240,
333,2,1030,44,2,1029,220,5,1,100,,,,240,
334,2,1030,44,2,1029,220,6,1,200,,,,240,
335,2,1030,44,2,1029,220,16,1,100,,,,240,
336,2,1030,44,2,1029,220,17,1,100,,,,240,
337,2,1030,44,2,1029,220,7,1,100,,,,240,
338,2,1030,44,2,1029,220,8,1,100,,,,240,
339,2,1030,44,2,1029,220,9,1,100,,,,240,
340,2,1030,44,2,1029,220,1,1,100,1,0,8750,245,
341,2,1030,46,2,1029,230,2,1,100,2,0,1000,245,
342,2,1030,46,2,1029,230,4,0,8,,,,245,
343,2,1030,46,2,1029,230,5,1,100,,,,245,
344,2,1030,46,2,1029,230,6,1,200,,,,245,
345,2,1030,46,2,1029,230,16,1,100,,,,245,
346,2,1030,46,2,1029,230,17,1,100,,,,245,
347,2,1030,46,2,1029,230,7,1,100,,,,245,
348,2,1030,46,2,1029,230,8,1,100,,,,245,
349,2,1030,46,2,1029,230,9,1,100,,,,245,
350,2,1030,46,2,1029,230,1,1,100,1,0,8750,250,
351,2,1030,48,2,1029,240,2,1,100,2,0,1000,250,
352,2,1030,48,2,1029,240,4,0,8,,,,250,
353,2,1030,48,2,1029,240,5,1,100,,,,250,
354,2,1030,48,2,1029,240,6,1,200,,,,250,
355,2,1030,48,2,1029,240,16,1,100,,,,250,
356,2,1030,48,2,1029,240,17,1,100,,,,250,
357,2,1030,48,2,1029,240,7,1,100,,,,250,
358,2,1030,48,2,1029,240,8,1,100,,,,250,
359,2,1030,48,2,1029,240,9,1,100,,,,250,
360,2,1030,48,2,1029,240,1,1,100,1,0,8750,250,
