id,subclass,targetclass,name,quality,star,seat,sell,exchange,combine,iconId,warriorSignet,useFuncType,useFuncId,useFuncValue,timeOut,useDesc,pathwayId,suit,property,desc,camp,WeightFirst,boxUseSystemId,
1012,1,,s==15|Tiềm Năng Thạch,5,,,,,1,1012,,29,8,,,s==18|Võ Tướng Thiên Phú,1012,,,s==80|Võ tướng thiên phú， giới hạn đột phá。 tinh thạch dùng để học thiên phú võ tướng。,,,,
1013,1,,s==16|CHIẾN MÃ CHI HỒN,5,,,,,1,1013,,29,8,,,s==18|CHIẾN MÃ BỒI DƯỠNG,,,,s==147|Chiêu mộ chiến mã làm nguyên liệu tiêu hao hoàn trả， có thể dùng để nuôi dưỡng chiến mã khác， đồng thời cung cấp 1 điểm nuôi dưỡng cho chiến mã đó。,,,,
1014,1,,s==21|Đoạt Bảo Lệnh Cao Cấp,5,,,,,1,1014,,29,1,,,s==15|ĐOẠT BẢO ĐẠO CỤ,1014,,,s==122|Chuyển bàn đoạt bảo， phúc tinh cao chiếu。 dùng để tham gia hoạt động đoạt bảo cao cấp， có thể tham gia rút thưởng một lần。,,,,
1015,1,,s==24|CÔNG THÀNH ĐOẠT BẢO LỆNH,5,,,,,1,1015,,29,35,,,s==23|CÔNG THÀNH TRỪNG THƯỞNG,1015,,,s==133|Chuyển bàn đoạt bảo， khí vận gia thân。 dùng để tham gia hoạt động chuyển bàn công thành đoạt địa， có thể tham gia rút thưởng một lần。,,,2020,
1016,1,,s==27|TRẬN PHÁP TRUYỀN THỪA THẠCH,5,,,,,1,1016,,29,8,,,s==22|TINH THẠCH NGUYÊN LIỆU,1016,,,s==78|Ẩn chứa truyền thừa chi lực， có thể dùng để truyền thừa thuộc tính tinh thạch。,,,,
1017,1,,s==14|Quân Công Lệnh,4,,,,,1,1017,,29,8,,,s==19|PHÓ TƯỚNG THĂNG CẤP,1017,,,s==103|Đơn kỵ xung trận， dĩ nhất đương bách。 thu được qua man di xâm nhập， có thể dùng để thăng cấp phó tướng。,,,,
1018,1,,s==23|Cao Giai Quân Công Lệnh,5,,,,,1,1018,,29,8,,,s==19|PHÓ TƯỚNG THĂNG CẤP,1018,,,s==109|Long thành phi tướng， chiến đãng sa trường。 thu được qua man di xâm nhập， có thể dùng để thăng cấp phó tướng。,,,,
1019,1,,s==20|KỲ NGỘ LÀM MỚI QUYỂN,5,,,,,1,1019,,29,19,,,s==14|KÌ NGỘ LÀM MỚI,1019,,,s==99|Nghi vi y hề phong vi mã， vân chi quân hề phân phân nhi lai hạ。 dùng để làm mới danh sách kỳ duyên。,,,,
1020,1,,s==17|Tinh Hoa Tướng Ấn,5,,,,,1,1020,,29,8,,,s==19|TƯỚNG ẤN TINH LUYỆN,1020,,,s==119|Thiên địa tinh hoa， ẩn linh kỳ thượng。 ẩn chứa tinh hoa tướng ấn， vật tất yếu để tinh luyện tướng ấn， vô cùng quý hiếm。,,,,
1021,1,,s==25|Thạch Tinh Luyện Tướng Ấn,6,,,,,1,1021,,29,8,,,s==19|TƯỚNG ẤN TINH LUYỆN,1021,,,s==132|Lưu kim văn ngọc， luyện hóa thần quang。 có thể dùng để tinh luyện tướng ấn và thăng cấp chiến pháp cao cấp， sở hữu sức mạnh thần kỳ。,,1,,
1022,1,,s==13|TƯỚNG QUÂN ẤN,5,,,,,1,1022,,,,,,s==25|TỤ NGHĨA ĐÌNH NGUYÊN LIỆU,1022,,,s==42|Dùng để phá giới hạn cấp độ tụ nghĩa sảnh。,,,,
1023,1,,s==17|KẾT TINH NGỌC BỘI,5,,,,,1,1023,,,,,,s==25|TỤ NGHĨA ĐÌNH NGUYÊN LIỆU,1023,,,s==61|Dùng để phá giới hạn cấp độ tụ nghĩa sảnh， vật phẩm quý hiếm。,,,,
1024,1,,s==28|CHUYÊN THUỘC TẨY LUYỆN THẠCH,5,,,,,1,1024,,,,,,s==25|TỤ NGHĨA ĐÌNH NGUYÊN LIỆU,1024,,,s==45|Dùng cho tẩy luyện chuyên dụng sau kết nghĩa。,,,,
1025,1,,s==11|ĐỘ KANG TỬU,5,,,,,1,1025,,,,,,s==25|TỤ NGHĨA ĐÌNH NGUYÊN LIỆU,1025,,,s==57|Dùng để mở khóa ô trong tụ nghĩa sảnh， vật phẩm quý hiếm。,,,,
1026,1,,s==16|PHONG THÂN THẠCH,5,,,,,1,1026,,29,8,,,s==36|Mua trang phục， thăng cấp trang phục,1026,,,s==140|Có thể thu được trong thương thành huy chương， dùng để mua trang phục võ tướng trong thương thành trang phục， thăng cấp trang phục võ tướng。,,2,,
1027,1,,s==25|Thần Binh Cường Hóa Thạch,4,,,,,1,1027,,29,16,,,s==21|THẦN BINH NGUYÊN LIỆU,1027,,,s==83|Thiên chùy bách luyện， thần uy tiệm hiện。 có thể dùng để nâng cấp thần binh cấp độ。,,,,
1028,1,,s==23|THẦN BINH KỸ NĂNG THẠCH,4,,,,2|1027|6,1,1028,,29,16,,,s==21|THẦN BINH NGUYÊN LIỆU,1028,,,s==126|Vân tinh trụ địa， luyện ngã thần binh。 đá khai thác từ thiên ngoại vân tinh， vật phẩm thiết yếu để nâng cấp kỹ năng thần binh。,,,,
1029,1,,s==26|Thần Binh Tinh Luyện Thạch,5,,,,,1,1029,,29,16,,,s==21|THẦN BINH NGUYÊN LIỆU,1029,,,s==138|Ngọc thạch phụ linh， hào hán tiến cấp。 vật liệu hợp thành từ nhiều loại nguyên liệu quý hiếm， vật phẩm cần thiết cho tinh luyện thần binh。,,,,
1030,1,,s==13|Hồn Thần Binh,5,,,,,1,1030,,29,16,,,s==21|THẦN BINH NGUYÊN LIỆU,1030,,,s==95|Tinh hồn biến hóa từ thần binh thiên niên， vật phẩm cao cấp cần thiết cho tinh luyện thần binh。,,,,
1031,1,,s==20|Thần Binh Ngọc Thạch,5,,,,,1,1031,,29,16,,,s==21|THẦN BINH NGUYÊN LIỆU,1031,,,s==101|Bảo thạch thần binh quý giá， có thể dùng để tăng thuộc tính thần binh： công kích +50， sinh mệnh +500。,,,,
1032,1,,s==18|THẦN TƯỚNG CHI HỒN,5,,,,,1,1032,,,,,,s==25|TƯỚNG HỒN CHÍ NGUYÊN LIỆU,1032,,,s==74|Ý chí thần tướng biến hóa thành tinh hồn， dùng để thăng cấp tướng hồn chí。,,,,
1033,1,,s==14|TƯỚNG HỒN LỆNH,5,,,,,1,1033,,,,,,s==25|TƯỚNG HỒN CHÍ NGUYÊN LIỆU,1033,,,s==81|Ngọc ấn dùng để phong hầu bái tướng thời cổ đại， dùng để thăng cấp tướng hồn chí。,,,,
1034,1,,s==15|KỲ MƯU TINH HOA,5,,,,,1,1034,,,,,,s==16|KÌ MƯU THĂNG CẤP,1034,,,s==76|Tinh hoa thu được sau khi phân giải kỳ mưu， có thể dùng để thăng cấp kỳ mưu。,,,,
1035,1,,s==15|KỲ MƯU TINH HỒN,6,,,,,1,1035,,,,,,s==16|KÌ MƯU TIẾN GIAI,1035,,,s==68|Ẩn chứa sức mạnh truyền thừa kỳ mưu， có thể dùng để tiến cấp kỳ mưu。,,1,,
1036,1,,s==14|Đả Khổng Thạch,4,,,,,1,1036,,29,8,,,s==17|Đính Đá Bảo Thạch,1036,,,s==50|Vật liệu cơ bản dùng để nâng cấp cấp độ khảm ngọc。,,,,
1037,1,,s==13|Thôi Hỏa Ngọc,5,,,,,1,1037,,29,8,,,s==17|Đính Đá Bảo Thạch,1037,,,s==51|Vật liệu cao cấp dùng để nâng cấp cấp độ khảm ngọc。,,,,
1038,1,,s==24|XÍCH HỒNG TINH TÚY (Ngô),5,,,,,1,1038,,29,12,,,s==17|BẢO VẬT THĂNG CẤP,1038,,,s==99|Xích luyện như hỏa， khí quán trường hồng。 dùng làm nguyên liệu cơ bản để nâng cấp bảo vật Ngô quốc。,,,,
1039,1,,s==24|ĐIỂN LAM TINH TÚY (Ngụy),5,,,,,1,1039,,29,12,,,s==17|BẢO VẬT THĂNG CẤP,1039,,,s==95|Vãng dương như hải， khí ẩn thiên cơ。 dùng làm nguyên liệu cơ bản để nâng cấp bảo vật Ngụy quốc。,,,,
1040,1,,s==26|TÀNG THANH TINH TÚY (Thục),5,,,,,1,1040,,29,12,,,s==17|BẢO VẬT THĂNG CẤP,1040,,,s==96|Nhuận lục như lâm， khí dưỡng thế vật。 dùng làm nguyên liệu cơ bản để nâng cấp bảo vật Thục quốc。,,,,
1041,1,,s==25|HUYỀN SẮC TINH TÚY (Thần),5,,,,,1,1041,,29,12,,,s==17|BẢO VẬT THĂNG CẤP,1041,,,s==94|Thần uy hào đãng， càn khôn ánh nhật。 dùng làm nguyên liệu cơ bản để nâng cấp bảo vật thần phe。,,,,
1042,1,,s==19|ÁM TỬ TINH TÚY (Ma),5,,,,,1,1042,,29,12,,,s==17|BẢO VẬT THĂNG CẤP,1042,,,s==95|Ma trụ thâm vực， thao thiết thôn thiên。 dùng làm nguyên liệu cơ bản để nâng cấp bảo vật ma phe。,,,,
1043,1,,s==22|Thạch Tiến Cấp Bảo Vật,5,,,,,1,1043,,29,12,,,s==17|BẢO VẬT TIẾN GIAI,1043,,,s==80|Thần thạch tập hợp từ tinh túy bảo vật， có thể dùng để tiến cấp toàn hệ bảo vật。,,,,
1044,1,,s==16|Linh Hồn Bảo Vật,5,,,,,1,1044,,29,12,,,s==17|BẢO VẬT TIẾN GIAI,1044,,,s==72|Ẩn chứa linh hồn lực giữa trời đất， là then chốt trong tiến cấp bảo vật。,,,,
1045,1,,s==19|Chiến Hồn Tinh Quái,6,,,,,1,1045,,29,8,,,s==20|CHIẾN HỒN THĂNG GIAI,1045,,,s==123|Phong lâm hỏa sơn， hợp binh mưu chi đạo， tập thiên địa tinh hoa， vật liệu tất yếu để thăng cấp chiến hồn， vô cùng quý hiếm。,,1,,
1046,1,,s==18|Chiến Hồn Tinh Hoa,5,,,,,1,1046,,29,8,,,s==20|CHIẾN HỒN THĂNG GIAI,1046,,,s==122|Phong lâm hỏa sơn， hợp binh mưu chi đạo， tập thiên địa tinh hoa， vật liệu cơ bản để nâng cấp chiến hồn， tương đối hiếm có。,,,,
1047,1,,s==16|CHIẾN CÔNG THẠCH,5,,,,,1,1047,,,,,,s==19|NGUYÊN LIỆU ĐỔI TRẢ,1047,,,s==112|Nguyên liệu thu được từ võ tướng hạ chức， có thể đổi mảnh võ tướng và vật phẩm khác trong thương thành võ tướng。,,,,
1048,1,,s==12|Phong Hầu Ấn,5,,,,,1,1048,,29,8,,,s==19|Võ tướng thăng tinh,1048,,,s==102|Ngọc ấn dùng để phong hầu bái tướng， dùng để thăng cấp võ tướng lên 12 và 13 sao， phá giới hạn cấp độ。,,,,
1049,1,,s==17|Tinh Hoa Chiến Kỳ,4,,,,,1,1049,,29,8,,,s==18|CHIẾN KỲ THĂNG CẤP,1049,,,s==97|Tinh hoa thu được từ luyện hóa quặng， nguyên liệu cơ bản để nâng cấp chiến kỳ， tương đối hiếm có。,,,,
1050,1,,s==24|Thạch Tẩy Luyện Chiến Kỳ,5,,,,,1,1050,,29,8,,,s==18|CHIẾN KỲ TẨY LUYỆN,1050,,,s==97|Quặng hiếm có， là nguyên liệu tẩy luyện chiến kỳ， tẩy luyện thuộc tính nhất định tăng không giảm。,,,,
1051,1,,s==16|Chiến Kỳ Chi Hồn,6,,,,,1,1051,,29,8,,,s==18|CHIẾN KỲ THĂNG CẤP,1051,,,s==96|Tinh hoa ẩn chứa lực hồn phách， là nguyên liệu then chốt để nâng cấp chiến kỳ， vô cùng quý hiếm。,,1,,
1052,1,,s==21|Chuyển Hóa Thần Thạch,5,,,,,1,1052,,29,6,,,s==23|CHUYỂN SINH NGUYÊN LIỆU,1052,,,s==149|Thần thạch thu được qua tiêu hao tụ hiền lệnh， có thể dùng để ngẫu nhiên đổi võ tướng 4、5 sao thuộc phe Ngụy， Thục， Ngô thành võ tướng khác cùng phe。,,,,
1053,1,,s==24|Võ Tướng Chuyển Sinh Đan,5,,,,,1,1053,,29,7,,,s==23|CHUYỂN SINH NGUYÊN LIỆU,1053,,,s==104|Đan dược hiếm có của Tam Quốc， có tác dụng hồi sinh， dùng để chuyển sinh hoàn trả võ tướng 7、8 và 9 sao。,,,,
1054,1,,s==18|Tạo Hóa Thần Thạch,6,,,,,1,1054,,29,7,,,s==23|CHUYỂN SINH NGUYÊN LIỆU,1054,,,s==86|Tạo hóa luân hồi， sinh sinh bất tức， dùng để chuyển đổi võ tướng trên 10 sao、 lùi cấp。,,1,,
1055,1,,s==23|Chú Hồn Tiến Giai Thạch,5,,,,,1,1055,,29,8,,,s==16|Đúc hồn trang bị,1055,,,s==125|Nguyên liệu nâng cấp trang bị quý hiếm， dùng để đúc hồn trang bị võ tướng， đúc hồn xong có thể nâng cao cấp kỹ năng võ tướng。,,,,
1056,1,,s==16|Chú Hồn Tinh Hồn,6,,,,,1,1056,,29,8,,,s==16|Đúc hồn trang bị,1056,,,s==126|Tinh hồn ẩn chứa tinh hoa giữa trời đất， dùng để đúc hồn trang bị võ tướng， đúc hồn xong có thể nâng cao cấp kỹ năng võ tướng。,,1,,
1057,1,,s==19|Thạch Khóa Chiến Mã,6,,,,,1,1057,,,,,,s==21|KHÓA KỸ NĂNG CHIẾN MÃ,1057,,,s==98|Dùng khi truyền thừa kỹ năng chiến mã， tiêu hao khi liên tục khóa kỹ năng thứ hai、 thứ ba、 thứ tư。,,1,,
1058,1,,s==16|KÌ LÂN THÁNH VẬT,5,,,,,1,1058,,29,26,,,s==14|PHỐI SỨC TẾ TỰ,1058,,,s==148|Kỳ lân hiện thế， thất tinh diệu đế。 có thể dâng tế tại kỳ lân tế đàn để thu trang sức， tế tự có thể nhận trang sức 1 sao cùng nguyên liệu liên quan。,,,,
1059,1,,s==21|THANH LONG THẦN THẠCH,5,,,,,1,1059,,,,,,s==25|LỤC SAO TRANG BỊ ĐOÁN CHẾ,1059,,,s==61|Nguyên liệu cần thiết để rèn trang bị 6 sao， vô cùng quý hiếm,,,,
1060,1,,s==18|BẠCH HỔ THẦN THẠCH,5,,,,,1,1060,,,,,,s==30|TRANG BỊ CHUYÊN THUỘC ĐOÁN CHẾ,1060,,,s==86|Dùng cho rèn chuyên dụng， thu thập đủ số lượng có thể rèn trang bị chuyên dụng Bạch Hổ,,,,
1061,1,,s==19|CHU TƯỚC THẦN THẠCH,5,,,,,1,1061,,,,,,s==30|TRANG BỊ CHUYÊN THUỘC ĐOÁN CHẾ,1061,,,s==87|Dùng cho rèn chuyên dụng， thu thập đủ số lượng có thể rèn trang bị chuyên dụng Chu Tước,,,,
1062,1,,s==19|HUYỀN VŨ THẦN THẠCH,5,,,,,1,1062,,,,,,s==30|TRANG BỊ CHUYÊN THUỘC ĐOÁN CHẾ,1062,,,s==87|Dùng cho rèn chuyên dụng， thu thập đủ số lượng có thể rèn trang bị chuyên dụng Huyền Vũ,,,,
1063,1,,s==17|BẢO TƯƠNG ẤN KHÓA,5,,,,,,1063,,29,17,,,s==15|Lối chơi đạo cụ,1063,,,s==98|Chìa khóa thu được trong chiến dịch Hổ Lao， có thể dùng để mở rương báu phát hiện tại Hổ Lao Quan。,,,,
1064,1,,s==17|TRỊ QUỐC BINH THƯ,3,,,1|8|10000,,1,1064,,1383,,,,s==16|Hoạt động đạo cụ,1064,,,s==132|Vật phẩm rơi ra khi xuất chinh trong thời gian hoạt động đặc biệt mở， dùng để đổi lấy vật phẩm quý hiếm、 tài nguyên trong hoạt động。,,,,
1065,1,,s==19|TRUYỀN QUỐC NGỌC ẤN,3,,,1|8|10000,,1,1065,,29,11,,,s==16|Hoạt động đạo cụ,1065,,,s==132|Vật phẩm rơi ra khi xuất chinh trong thời gian hoạt động đặc biệt mở， dùng để đổi lấy vật phẩm quý hiếm、 tài nguyên trong hoạt động。,,,,
1066,1,,s==11|TỨ PHÚ LỆNH,5,,,,,1,1066,,,,,,s==16|Hoạt động đạo cụ,1066,,,s==140|Thu được khi mua gói siêu giá trị trong hoạt động cá chép cuối tuần mở， dùng để tham gia phúc lành cá chép， nhận vật phẩm quý hiếm、 hiếm có。,,,,
1067,1,,s==17|THẤT HUYỀN CỔ CẦM,3,,,1|8|10000,,1,1067,,29,10,,,s==16|Hoạt động đạo cụ,1067,,,s==132|Vật phẩm rơi ra khi xuất chinh trong thời gian hoạt động đặc biệt mở， dùng để đổi lấy vật phẩm quý hiếm、 tài nguyên trong hoạt động。,,,,
1068,1,,s==14|VÔ HIỆU ĐẠO CỤ,4,,,,,,1068,,,,,,s==16|Hoạt động đạo cụ,1068,,,s==132|Vật phẩm rơi ra khi xuất chinh trong thời gian hoạt động đặc biệt mở， dùng để đổi lấy vật phẩm quý hiếm、 tài nguyên trong hoạt động。,,,,
1069,1,,s==13|TRỊ QUỐC SÁCH,3,,,1|8|10000,,1,1069,,29,9,,,s==16|Hoạt động đạo cụ,1069,,,s==132|Vật phẩm rơi ra khi xuất chinh trong thời gian hoạt động đặc biệt mở， dùng để đổi lấy vật phẩm quý hiếm、 tài nguyên trong hoạt động。,,,,
1070,1,,s==17|Thần Khu Hồn Ngọc,7,,,,,1,10701,,,,,,s==24|CHIẾN MÃ GIÁC NGỘ ĐẠO CỤ,,,,s==132|Dùng xong có thể thức tỉnh chiến mã， hình tượng chiến mã thức tỉnh tiến hóa、 thuộc tính tăng vọt， còn có thể thêm một ô kỹ năng mới。,,10,,
1071,1,,s==11|GIA TỐC PHÙ,3,,,,,1,1071,,29,13,,,s==16|KỲ MƯU GIÁN TÍCH,,,,s==64|Phù chú cấp thấp， có thể phần nào tăng tốc định giá mảnh chương。,,,,
1072,1,,s==12|VỌNG KHÍ PHÙ,4,,,,,1,1072,,29,13,,,s==16|KỲ MƯU GIÁN TÍCH,,,,s==64|Phù chú trung cấp， có thể dùng để tăng tốc định giá mảnh chương。,,,,
1073,1,,s==14|Thiên Nhãn Phù,5,,,,,1,1073,,29,13,,,s==16|KỲ MƯU GIÁN TÍCH,,,,s==64|Phù chú cao cấp， có thể tăng tốc định giá mảnh chương rất nhiều。,,,,
1074,1,,s==14|TỐT BẢN CHƯƠNG,3,,,,,1,1074,,29,13,,,s==13|KỲ MƯU ĐẠO CỤ,,,,s==169|Mảnh chương kỳ thư ẩn chứa sức mạnh di chuyển sơn lấp hải， có thể phân tích để thu kỳ mưu。\nTỷ lệ thu kỳ mưu： kỳ mưu sử thi 2.2% kỳ mưu tuyệt phẩm 8.8% kỳ mưu ưu tú 89%。,,,,
1075,1,,s==21|Tàn Chương Tối Thượng,4,,,,,1,1075,,29,13,,,s==13|KỲ MƯU ĐẠO CỤ,1075,,,s==170|Mảnh chương kỳ thư ẩn chứa sức mạnh di chuyển sơn lấp hải， có thể phân tích để thu kỳ mưu。\nTỷ lệ thu kỳ mưu： kỳ mưu sử thi 5.5% kỳ mưu tuyệt phẩm 28.5% kỳ mưu ưu tú 63%。,,,,
1076,1,,s==17|Sử Thi Tàn Chương,5,,,,,1,1076,,29,13,,,s==13|KỲ MƯU ĐẠO CỤ,1076,,,s==190|Mảnh chương kỳ thư ẩn chứa sức mạnh di chuyển sơn lấp hải， có thể phân tích để thu kỳ mưu。\nTỷ lệ thu kỳ mưu： kỳ mưu sử thi 12.5% kỳ mưu tuyệt phẩm 87.5% (10 lần nhất định ra kỳ mưu sử thi)。,,,,
1077,1,,s==16|Tinh Túy Tự Chọn,4,,,,,1,1077,,12,20,1,,s==23|TỰ CHỌN NGUYÊN LIỆU BAO,1077,,,s==87|Dùng để mở ra， thu tinh túy loại đã chọn， tinh túy có thể dùng để nâng cấp bảo vật phe。,,2,,
1078,1,,s==11|Nữ Nhi Hồng,4,,,,,1,1078,,29,21,,,s==17|MỸ NHÂN THĂNG CẤP,1078,,,s==112|Rượu dùng để hẹn hò mỹ nhân， hẹn hò có thể tăng thuộc tính toàn thể võ tướng， thu được qua tàu thuyền phong vân。,,,,
1079,1,,s==16|Ngọc Bội Mỹ Nhân,5,,,,,1,1079,,29,21,,,s==17|MỸ NHÂN THĂNG CẤP,1079,,,s==139|Dùng để thưởng mỹ nhân， sau khi thưởng tăng thuộc tính toàn thể võ tướng： công kích +50， sinh mệnh +500， thu được qua nạp lần đầu mỗi ngày。,,,,
1080,1,,s==11|Đào Hoa Tụy,5,,,,,1,1080,,29,21,,,s==17|MỸ NHÂN THĂNG CẤP,1080,,,s==160|Dùng để nâng cấp kỹ năng mỹ nhân， mỹ nhân trong chiến đấu có thể phát động kỹ năng。 thu được qua chinh chiến treo máy、 tàu thuyền phong vân và ưu đãi hàng tuần。,,,,
1081,1,,s==24|Phượng Quân Mĩ Nhân Quan,5,,,,,1,1081,,29,21,,,s==17|MỸ NHÂN THĂNG CẤP,1081,,,s==125|Dùng để sủng hạnh mỹ nhân， sau khi sủng hạnh có thể gia tăng thuộc tính cho toàn thể võ tướng， thu nhận qua đặc ưu hàng tuần。,,,,
1082,1,,s==15|Lụa Gấm Mĩ Nhân,5,,,,,1,1082,,29,21,,,s==17|MỸ NHÂN THĂNG CẤP,1082,,,s==125|Dùng để sủng hạnh mỹ nhân， sau khi sủng hạnh có thể gia tăng thuộc tính cho toàn thể võ tướng， thu nhận qua đặc ưu hàng tuần。,,,,
1083,1,,s==21|Đan Giác Ngộ Võ Tướng,5,,,,,1,1083,,,,,,s==19|Thức tỉnh thăng cấp,1083,,,s==93|Có thể dùng để thăng cấp cấp bậc giác tỉnh võ tướng， thu nhận qua phân giải giác tỉnh y phục。,,,,
1084,1,,s==21|Tinh Tinh Thiên Cương,5,,,,,1,1084,,,,,,,1084,,,s==113|Tinh trần ẩn chứa sức mạnh thiên cương tinh tú， có thể dùng để thăng cấp lực lượng thiên cương tại tụ nghĩa sảnh。,,,,
1085,1,,s==14|VÔ HIỆU ĐẠO CỤ,4,,,,,1,1085,,,,,,s==20|Tinh luyện thần binh,1085,,,s==14|VÔ HIỆU ĐẠO CỤ,,,,
1086,1,,s==13|Lạc Long Diệp,4,,,,,1,1086,,29,13,,,s==16|Thăng cấp kỳ thư,1086,,,s==94|Tài liệu quý giá thu được sau khi phân giải kỳ mưu， có thể dùng để cường hóa kỳ mưu và kỳ thư。,,,,
1087,1,,s==14|VÔ HIỆU ĐẠO CỤ,5,,,,,1,1087,,,,,,s==20|Tinh luyện thần binh,1087,,,s==14|VÔ HIỆU ĐẠO CỤ,,,,
1088,1,,s==14|VÔ HIỆU ĐẠO CỤ,6,,,,,1,1088,,,,,,s==20|Tinh luyện thần binh,1088,,,s==14|VÔ HIỆU ĐẠO CỤ,,,,
1089,1,,s==15|Tàng Long Quyển,5,,,,,1,1089,,29,13,,,s==15|Tiến cấp kỳ thư,1089,,,s==107|Quyển thư ẩn chứa tinh hoa kỳ mưu， có thể nghe thoáng qua tiếng rồng kêu trong đó， dùng để tiến cấp kỳ thư。,,,,
1090,12,,s==18|Linh Hồn Thần Binh,5,,,,,1,1090,,29,16,,,s==19|Huyễn hóa thần binh,1090,,,s==160|Thu nhận qua tiêu hao thần binh lệnh trong hồ luyện thần binh huyễn hóa， linh lực thần binh tích lũy đạt đến giá trị nhất định sẽ kích hoạt thần binh huyễn hóa。,,,,
1091,1,,s==14|VÔ HIỆU ĐẠO CỤ,4,,,,,1,1091,,,,,,s==17|Tiến cấp phụ kiện,1091,,,s==88|Thần thạch ẩn chứa sức mạnh thánh thú， là đạo cụ cơ bản cần thiết cho tiến cấp phụ kiện。,,,,
1092,1,,s==14|VÔ HIỆU ĐẠO CỤ,4,,,,,1,1091,,,,,,s==17|Tiến cấp phụ kiện,1092,,,s==108|Tinh hoa thánh thú sau khi tinh luyện tạo thành vật liệu， là đạo cụ cao cấp cần thiết cho tiến cấp phụ kiện。,,,,
1093,1,,s==14|VÔ HIỆU ĐẠO CỤ,4,,,,,1,1093,,,,,,s==17|Tiến cấp phụ kiện,1092,,,s==62|Dùng để tấn công các thành trì khác trong công thành lược địa。,,,,
